accession	asm5	asm10	asm20	asm5_minus_asm10	asm20_minus_asm10
GCA_000020325.1	92.13486201903568	92.13486201903568	92.4202123319637	0.0	0.28535031292801705
GCA_000020465.1	97.83419906260212	97.83419906260212	97.84567134762435	0.0	0.011472285022222195
GCA_000020645.1	0.002650553071030184	0.002650553071030184	0.002650553071030184	0.0	0.0
GCA_000020725.1	0.02121274498120321	0.02121274498120321	0.021386087126095576	0.0	0.0001733421448923654
GCA_000020785.1	99.23662115248725	99.23662115248725	99.2435463868872	0.0	0.006925234399957958
GCA_000021565.1	99.75105420153369	99.75105420153369	99.77610503405805	0.0	0.025050832524357247
GCA_000021645.1	36.951109099139885	36.951109099139885	37.78072387850568	0.0	0.829614779365798
GCA_000021665.1	90.34855018320978	90.34855018320978	90.28965732417421	0.0	-0.0588928590355664
GCA_000022325.1	75.66847747114095	75.66847747114095	76.10740938075399	0.0	0.4389319096130464
GCA_000022565.1	73.23506864927572	73.23506864927572	74.10548060307858	0.0	0.8704119538028579
GCA_000025665.1	3.0369026176066636	3.0369026176066636	3.1420965335779787	0.0	0.10519391597131511
GCA_000025685.1	0.4519175658501333	0.4519175658501333	0.4673926586757706	0.0	0.015475092825637304
GCA_000091665.1	99.66308931351718	99.66308931351718	99.66941141783535	0.0	0.0063221043181727055
GCA_000144915.1	0.6383093889350351	0.6383093889350351	0.659960586800922	0.0	0.021651197865886873
GCA_000156375.1	96.95530437888182	96.95530437888182	97.11723846407106	0.0	0.16193408518924457
GCA_000166095.1	99.2181555839021	99.2181555839021	99.2305415565468	0.0	0.012385972644693766
GCA_000172575.2	23.910133686179677	23.910133686179677	24.499082903682073	0.0	0.588949217502396
GCA_000195675.1	21.158533924410477	21.158533924410477	21.711952343234792	0.0	0.5534184188243145
GCA_000195755.1	0.12567718455543486	0.12567718455543486	0.1285925135940468	0.0	0.0029153290386119413
GCA_000196115.1	99.03962955540604	99.03962955540604	99.0473406202663	0.0	0.007711064860259853
GCA_000196135.1	96.67681503822817	96.67681503822817	96.83546133233509	0.0	0.15864629410691578
GCA_000243155.3	0.23219744395387704	0.23219744395387704	0.24152236372601582	0.0	0.009324919772138784
GCA_000308215.1	5.270256500089878	5.270256500089878	5.435203663185678	0.0	0.1649471630958006
GCA_000328665.1	2.542434395118962	2.542434395118962	2.6239373208602905	0.0	0.08150292574132845
GCA_001481685.1	99.75083604366357	99.75083604366357	99.75434943470255	0.0	0.0035133910389788525
GCA_001639275.1	98.15415852773714	98.15415852773714	98.23647832004085	0.0	0.08231979230370712
GCA_002952055.1	98.05566358625974	98.05566358625974	98.07851523401132	0.0	0.022851647751579662
GCA_003019295.1	97.73221515883897	97.73221515883897	97.75386553191802	0.0	0.02165037307905493
