accession	organism	gtdb_phylum	kingdom	leakage_free	n_bins	true_cont_max	magicc_cont_median	magicc_n_bins_ge5pct	checkm2_cont_median	checkm2_n_bins_ge5pct	cocopye_cont_median	cocopye_n_bins_ge5pct	deepcheck_cont_median	deepcheck_n_bins_ge5pct
GCA_000016125.1	Methanococcus maripaludis	Methanobacteriota_A	Archaea	False	6	0.887	0.598	0	0.43	0	16.451	5	1.332	0
GCA_000017325.1	Shewanella baltica	Proteobacteria (g)	Bacteria	False	1	0.0	0.561	0	2.59	0	1.203	0	3.376	0
GCA_001481685.1	Ignicoccus islandicus	Thermoproteota	Archaea	False	5	0.0073	0.513	0	0.15	0	4.494	2	0.286	1
GCA_000015865.1	Ruminiclostridium thermocellum	Firmicutes_A	Bacteria	False	3	0.3684	0.457	0	2.28	1	22.628	3	3.383	0
GCA_000017945.1	Ignicoccus hospitalis	Thermoproteota	Archaea	False	6	0.4069	0.45	0	0.19	0	0.0	1	0.218	0
GCA_000007565.2	Pseudomonas putida	Proteobacteria (g)	Bacteria	True	5	0.2351	0.437	0	2.47	1	20.268	3	1.582	1
GCA_000008185.1	Treponema denticola	Spirochaetota	Bacteria	False	7	0.5809	0.431	1	3.93	2	22.867	7	2.157	2
GCA_000008565.1	Deinococcus radiodurans	Deinococcota	Bacteria	False	1	0.0	0.376	0	0.26	0	10.297	1	0.002	0
GCA_000016065.1	Shewanella loihica	Proteobacteria (g)	Bacteria	False	4	0.5506	0.354	0	2.085	0	27.513	4	3.8	1
GCA_000006985.1	Chlorobaculum tepidum	Bacteroidota	Bacteria	True	5	0.0069	0.322	0	0.95	0	0.547	1	0.119	0
GCA_000022565.1	Acidobacterium capsulatum	Acidobacteriota	Bacteria	False	3	0.8468	0.315	0	0.53	0	21.895	3	1.718	0
GCA_000019085.1	Thermoanaerobacter pseudethanolicus	Firmicutes_A	Bacteria	False	7	0.7841	0.303	0	0.44	0	0.0	1	0.399	0
GCA_000022325.1	Caldicellulosiruptor bescii	Firmicutes_A	Bacteria	True	2	0.0793	0.301	0	2.45	0	22.897	2	3.412	0
GCA_000015805.1	Pyrobaculum calidifontis	Thermoproteota	Archaea	False	7	0.3481	0.286	0	0.87	1	18.767	5	2.948	2
GCA_000012825.1	Phocaeicola vulgatus	Bacteroidota	Bacteria	True	7	0.998	0.268	0	2.05	1	24.188	6	3.241	0
GCA_000011065.1	Bacteroides thetaiotaomicron	Bacteroidota	Bacteria	True	2	0.0393	0.249	0	1.85	0	13.293	1	0.869	0
GCA_000196135.1	Wolinella succinogenes	Campylobacterota	Bacteria	False	6	0.2567	0.246	0	3.275	1	18.511	4	1.948	0
GCA_000021665.1	Shewanella baltica OS223	Proteobacteria (g)	Bacteria	True	6	0.9037	0.24	0	4.495	3	16.721	4	2.762	0
GCA_000010505.1	Porphyromonas gingivalis	Bacteroidota	Bacteria	False	7	0.1484	0.222	0	0.06	0	2.675	2	-0.199	0
GCA_000008665.1	Archaeoglobus fulgidus	Halobacteriota	Archaea	False	7	0.5472	0.222	0	2.6	1	19.932	5	5.106	4
GCA_000009145.1	Nitrosomonas europaea	Proteobacteria (g)	Bacteria	True	7	0.0688	0.205	0	0.39	0	0.0	1	0.171	1
GCA_000018945.1	Thermotoga neapolitana	Thermotogota	Bacteria	True	7	0.0	0.188	0	0.51	1	1.259	1	0.134	1
GCA_000091665.1	Methanocaldococcus jannaschii	Methanobacteriota_A	Archaea	False	7	0.8216	0.143	0	0.11	0	0.694	1	0.182	1
GCA_000016085.1	Chlorobium phaeovibrioides	Bacteroidota	Bacteria	True	6	0.7101	0.134	0	0.245	1	0.0	2	-0.406	0
GCA_000011585.1	Methanococcus maripaludis	Methanobacteriota_A	Archaea	False	4	0.0198	0.127	0	1.58	0	21.716	3	1.564	0
GCA_000018865.1	Chloroflexus aurantiacus	Chloroflexota	Bacteria	False	7	0.4986	0.11	0	3.93	2	14.086	5	2.117	1
GCA_000196115.1	Rhodopirellula baltica	Planctomycetota	Bacteria	True	7	0.0304	0.054	0	3.37	0	0.0	1	0.876	0
