cohort	tool	tool_key	n	n_clusters	cluster_unit	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	comp_rmse	comp_r2	comp_r2_pearson	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	cont_rmse	cont_r2	cont_r2_pearson	true_comp_mean	true_cont_mean	true_comp_sd	true_cont_sd	r2_min_truth_sd_pp	comp_r2_interpretable	cont_r2_interpretable	denominator	note
all_MOCK1_comp>=50	CoCoPyE 0.5.0	cocopye	308	52	accession	4.6507	3.5881	5.7676	2.3999	0.9834	3.7305	6.9797	0.626	0.6705	10.2261	8.5202	12.0357	10.2161	8.5127	12.0278	14.4439	-454.9615	0.0398	92.209	0.2651	11.431	0.6775	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms (includes TRAIN/VAL references), true completeness >= 50 %. All 7 assemblies.
all_MOCK1_comp>=50	DeepCheck	deepcheck	308	52	accession	13.9752	12.3291	15.6535	-13.1697	-15.0433	-11.3016	23.6473	-3.2936	0.3708	1.8504	1.5451	2.1565	1.6941	1.3475	2.0339	2.8331	-16.5417	0.0501	92.209	0.2651	11.431	0.6775	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms (includes TRAIN/VAL references), true completeness >= 50 %. All 7 assemblies.
all_MOCK1_comp>=50_ORF_intact	MAGICC V5	magicc	269	52	accession	4.0238	2.7693	5.9266	1.8792	-0.3449	3.3903	7.0617	0.6162	0.6843	1.3493	0.7584	2.2442	1.2038	0.5817	2.1016	2.9752	-23.1545	0.0088	91.995	0.2593	11.419	0.6065	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms, ORF-intact assemblies only.
all_MOCK1_comp>=50_ORF_intact	CheckM2 1.0.1	checkm2	269	52	accession	6.3463	4.8942	7.8721	-4.3865	-6.3207	-2.4847	9.6049	0.2899	0.825	1.6643	1.2914	2.0908	1.6081	1.2199	2.0561	2.5667	-16.9766	0.149	91.995	0.2593	11.419	0.6065	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms, ORF-intact assemblies only.
all_MOCK1_comp>=50_ORF_intact	CoCoPyE 0.5.0	cocopye	269	52	accession	4.8734	3.7019	6.1194	3.0137	1.3733	4.5241	7.2887	0.5911	0.6629	8.4942	6.4817	10.5224	8.4827	6.4689	10.5113	12.8161	-447.1974	0.0616	91.995	0.2593	11.419	0.6065	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms, ORF-intact assemblies only.
all_MOCK1_comp>=50_ORF_intact	DeepCheck	deepcheck	269	52	accession	7.7619	5.9032	9.7699	-6.8396	-9.1026	-4.7377	11.6662	-0.0476	0.8435	1.5104	1.1862	1.8511	1.346	0.9781	1.727	2.2695	-13.0543	0.0926	91.995	0.2593	11.419	0.6065	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms, ORF-intact assemblies only.
ORF_compromised_assembly_only	MAGICC V5	magicc	39	39	accession	4.9048	2.8494	7.4549	-2.9204	-5.7781	-0.5916	8.7987	0.4043	0.6079	1.5719	0.7579	2.5755	1.3396	0.4932	2.3813	3.2406	-8.6885	0.013	93.688	0.3052	11.549	1.0547	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Only the assembly/assemblies whose ORFs are broken by indels (['minion']). Reported separately because this is a per-base-accuracy result, not a fragmentation result.
ORF_compromised_assembly_only	CheckM2 1.0.1	checkm2	39	39	accession	50.6879	45.5215	55.3439	-50.6879	-55.3439	-45.5215	53.0959	-20.6924	0.1576	3.4504	2.8736	4.0496	3.4122	2.8092	4.0299	3.9473	-13.375	0.0476	93.688	0.3052	11.549	1.0547	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Only the assembly/assemblies whose ORFs are broken by indels (['minion']). Reported separately because this is a per-base-accuracy result, not a fragmentation result.
ORF_compromised_assembly_only	CoCoPyE 0.5.0	cocopye	39	39	accession	3.1145	2.2177	4.1123	-1.8336	-3.0918	-0.597	4.2785	0.8591	0.8857	22.172	20.6778	23.7017	22.172	20.6778	23.7017	22.6867	-473.8425	0.0051	93.688	0.3052	11.549	1.0547	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Only the assembly/assemblies whose ORFs are broken by indels (['minion']). Reported separately because this is a per-base-accuracy result, not a fragmentation result.
ORF_compromised_assembly_only	DeepCheck	deepcheck	39	39	accession	56.8308	51.7475	61.7072	-56.8308	-61.7072	-51.7475	58.9701	-25.7578	0.0987	4.1951	3.24	5.2562	4.095	3.0528	5.169	5.2783	-24.704	0.0046	93.688	0.3052	11.549	1.0547	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Only the assembly/assemblies whose ORFs are broken by indels (['minion']). Reported separately because this is a per-base-accuracy result, not a fragmentation result.
leakage_free_all_bins	MAGICC V5	magicc	137	23	accession	9.4425	5.9603	14.0994	7.6804	3.6814	12.8214	15.9987	0.7397	0.9025	0.7913	0.4601	1.1335	0.634	0.2622	1.013	1.679	-11.2536	0.0003	78.174	0.2504	31.473	0.4814	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Leakage-free organisms, no completeness floor.
leakage_free_all_bins	CheckM2 1.0.1	checkm2	137	23	accession	9.7633	7.9016	11.6245	-7.3147	-9.8885	-4.8685	18.959	0.6345	0.7286	2.3693	1.8062	2.9638	2.3561	1.796	2.9568	3.367	-48.2768	0.1968	78.174	0.2504	31.473	0.4814	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Leakage-free organisms, no completeness floor.
leakage_free_all_bins	CoCoPyE 0.5.0	cocopye	137	23	accession	11.1768	6.301	17.2847	10.7141	5.7043	17.0128	19.6014	0.6093	0.9392	10.1763	7.6084	12.6325	10.154	7.5916	12.6214	14.5124	-914.4631	0.1001	78.174	0.2504	31.473	0.4814	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Leakage-free organisms, no completeness floor.
leakage_free_all_bins	DeepCheck	deepcheck	137	23	accession	13.0262	10.8651	15.3704	-9.2266	-12.6465	-5.4677	22.8647	0.4684	0.6083	2.1329	1.6862	2.6597	2.0167	1.5198	2.5747	3.6568	-57.1265	0.0374	78.174	0.2504	31.473	0.4814	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Leakage-free organisms, no completeness floor.
all_MOCK1_all_bins	MAGICC V5	magicc	394	62	accession	9.7741	7.2791	12.8477	7.5353	4.4297	10.7763	16.8925	0.7223	0.8581	1.1514	0.6789	1.7995	1.0145	0.5233	1.6799	2.7063	-18.9808	0.0135	76.616	0.2287	32.094	0.6062	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Everything, no completeness floor.
all_MOCK1_all_bins	CheckM2 1.0.1	checkm2	394	62	accession	10.8312	9.4862	12.1215	-9.0652	-10.747	-7.4409	19.019	0.6479	0.7669	1.7292	1.4244	2.0519	1.6767	1.3647	2.0147	2.6345	-17.934	0.1115	76.616	0.2287	32.094	0.6062	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Everything, no completeness floor.
all_MOCK1_all_bins	CoCoPyE 0.5.0	cocopye	394	62	accession	12.1914	9.1241	16.0479	10.4319	6.9934	14.4594	20.4037	0.5948	0.8797	9.8233	8.234	11.5024	9.8106	8.2241	11.4989	14.0611	-538.3684	0.0402	76.616	0.2287	32.094	0.6062	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Everything, no completeness floor.
all_MOCK1_all_bins	DeepCheck	deepcheck	394	62	accession	13.5307	12.1359	15.064	-10.1021	-12.2343	-7.8487	21.9197	0.5324	0.6684	2.0095	1.742	2.3088	1.8847	1.5911	2.2069	3.3446	-29.5161	0.0216	76.616	0.2287	32.094	0.6062	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Everything, no completeness floor.
below_50pct_floor	MAGICC V5	magicc	86	24	accession	29.9686	25.0052	34.7557	29.9686	25.0052	34.7557	33.4103	-3.4448	0.5346	0.3418	0.1386	0.5824	0.2749	0.066	0.5256	1.0512	-57.2706	0.0278	20.771	0.0983	15.94	0.1385	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Below MAGICC's stated 50 % completeness floor — reported for transparency; MAGICC does not claim this regime.
below_50pct_floor	CheckM2 1.0.1	checkm2	86	24	accession	6.785	4.9338	9.006	-4.8241	-7.6529	-2.2689	9.4958	0.641	0.7403	1.1518	0.7808	1.5795	1.1041	0.7371	1.54	2.031	-216.5068	0.0825	20.771	0.0983	15.94	0.1385	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Below MAGICC's stated 50 % completeness floor — reported for transparency; MAGICC does not claim this regime.
below_50pct_floor	CoCoPyE 0.5.0	cocopye	86	24	accession	39.1975	34.5771	43.6356	39.1975	34.5771	43.6356	41.6271	-5.8999	0.4274	8.3807	5.3643	11.8213	8.3584	5.3373	11.8034	12.5952	-8363.7331	0.0978	20.771	0.0983	15.94	0.1385	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Below MAGICC's stated 50 % completeness floor — reported for transparency; MAGICC does not claim this regime.
below_50pct_floor	DeepCheck	deepcheck	86	24	accession	11.9387	10.2522	14.1061	0.8844	-3.3079	5.0316	14.0903	0.2095	0.2284	2.5794	1.9523	3.3479	2.5672	1.9445	3.3368	4.7438	-1185.5593	0.0037	20.771	0.0983	15.94	0.1385	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Below MAGICC's stated 50 % completeness floor — reported for transparency; MAGICC does not claim this regime.
