accession	cohort	v5_completeness	v5_contamination	v5_mimag	checkm2_completeness	checkm2_contamination	checkm2_mimag	total_bp	log10_total_bp	n_contigs	n50	longest_contig	mean_contig_bp	gc_pct	has_kraken2_output
GCA_015060685.1	agree_clean	99.964066	0.5022615	HQ	98.81	0.02	HQ	2600571	6.4151	31	120347	347708	83889.4	45.497	False
GCA_015067545.1	disagreement_141	80.86024	7.0765467	MQ	97.69	0.04	HQ	1801424	6.2556	18	137094	402686	100079.1	52.159	True
GCA_015068615.1	disagreement_141	64.47526	2.166897	MQ	90.74	1.17	HQ	1324291	6.122	74	24755	142329	17895.8	48.057	True
GCA_015487885.1	disagreement_141	89.26524	64.5203	LQ	96.66	2.28	HQ	4891862	6.6895	299	25711	134227	16360.7	54.323	True
GCA_015660205.1	agree_clean	99.95734	0.7643044	HQ	93.09	1.66	HQ	2674636	6.4273	157	27893	83523	17035.9	54.388	False
GCA_015663435.1	neither_hq	51.036644	2.905047	MQ	47.94	1.78	LQ	1394212	6.1443	291	6045	33193	4791.1	51.753	False
GCA_015664395.1	neither_hq	72.32645	0.55653155	MQ	89.74	0.48	MQ	2040233	6.3097	122	31899	73382	16723.2	53.853	False
GCA_016187975.1	agree_clean	99.12106	4.957688	HQ	91.87	1.48	HQ	4179931	6.6212	452	12073	53235	9247.6	72.317	False
GCA_016193115.1	neither_hq	60.455235	0.0050336123	MQ	82.08	1.63	MQ	1495510	6.1748	321	6338	25140	4658.9	49.616	False
GCA_016201405.1	neither_hq	74.48503	0.025320053	MQ	89.95	0.1	MQ	1987511	6.2983	19	224036	488165	104605.8	51.508	False
GCA_016207365.1	neither_hq	58.076904	2.4632215	MQ	73.09	1.43	MQ	2074792	6.317	321	7623	26322	6463.5	53.655	False
GCA_016218815.1	neither_hq	80.6912	59.977142	LQ	83.3	2.69	MQ	7324227	6.8648	161	78149	305054	45492.1	71.294	False
GCA_016278515.1	disagreement_141	99.1635	8.066452	MQ	100.0	1.6	HQ	4270740	6.6305	167	46988	241797	25573.3	40.874	True
GCA_016280565.1	neither_hq	58.547523	0.85567236	MQ	81.56	1.75	MQ	1476079	6.1691	279	6300	21066	5290.6	61.355	False
GCA_016283595.1	agree_clean	99.898865	0.2791494	HQ	94.58	3.1	HQ	2899150	6.4623	162	26700	73875	17896.0	38.104	False
GCA_016291665.1	agree_clean	99.73636	0.4713714	HQ	91.05	0.51	HQ	1967109	6.2938	44	83796	172153	44707.0	49.75	False
GCA_016295605.1	disagreement_141	75.380974	0.008767843	MQ	93.13	1.53	HQ	1674252	6.2238	266	8156	31085	6294.2	64.893	True
GCA_016704105.1	agree_clean	99.31407	3.2043457	HQ	97.56	1.07	HQ	3711359	6.5695	27	483918	938072	137457.7	65.276	False
GCA_016720765.1	v5hq_only	98.52016	1.6309947	HQ	93.69	5.4	MQ	6328625	6.8013	15	810156	1701737	421908.3	48.622	True
GCA_016787285.1	disagreement_141	99.80432	7.4893355	MQ	96.77	1.11	HQ	5556013	6.7448	345	24969	81122	16104.4	55.688	True
GCA_017306625.1	neither_hq	75.377686	0.021457672	MQ	82.41	5.41	MQ	3780427	6.5775	997	4930	40590	3791.8	61.353	False
GCA_017308295.1	agree_clean	99.96278	0.48876703	HQ	98.5	3.93	HQ	7324041	6.8648	445	27801	183987	16458.5	65.958	False
GCA_017392245.1	neither_hq	87.40959	0.2373159	MQ	65.02	5.46	MQ	1524176	6.183	361	4948	21179	4222.1	53.291	False
GCA_017398165.1	neither_hq	58.620426	0.010460615	MQ	81.76	0.53	MQ	1426731	6.1543	232	8410	23998	6149.7	54.642	False
GCA_017410995.1	v5hq_only	99.51479	0.15235543	HQ	83.38	7.2	MQ	3630638	6.56	965	4368	28348	3762.3	55.611	True
GCA_017414665.1	neither_hq	53.522537	0.19210577	MQ	53.21	3.1	MQ	1096732	6.0401	308	3782	16038	3560.8	52.345	False
GCA_017429225.1	neither_hq	83.99107	0.23817718	MQ	83.27	0.44	MQ	2532411	6.4035	68	89229	178958	37241.3	45.79	False
GCA_017451455.1	neither_hq	68.63294	0.052270293	MQ	53.53	2.5	MQ	1393885	6.1442	322	4266	16954	4328.8	60.53	False
GCA_017505105.1	v5hq_only	99.981	0.0060141087	HQ	82.99	2.98	MQ	2077229	6.3175	343	8337	32943	6056.1	46.553	True
GCA_017511835.1	neither_hq	79.499954	2.2624044	MQ	93.14	11.41	LQ	675877	5.8299	52	19488	56547	12997.6	44.611	False
GCA_017537325.1	neither_hq	70.75137	5.956569	MQ	77.58	7.48	MQ	1357736	6.1328	37	77272	158143	36695.6	41.089	False
GCA_017538985.1	neither_hq	61.586708	0.17827749	MQ	70.56	2.18	MQ	818254	5.9129	218	4090	20503	3753.5	24.55	False
GCA_017541565.1	v5hq_only	91.07297	0.4018128	HQ	80.01	3.07	MQ	1768605	6.2476	308	7149	27292	5742.2	35.582	True
GCA_017550315.1	neither_hq	97.004974	23.02938	LQ	86.05	5.06	MQ	3511390	6.5455	231	22768	75919	15200.8	61.121	False
GCA_017561485.1	neither_hq	56.764965	0.018808246	MQ	49.94	4.44	LQ	1029188	6.0125	418	2477	13169	2462.2	46.108	False
GCA_017632895.1	neither_hq	74.52565	0.104776025	MQ	81.84	0.58	MQ	856718	5.9328	72	16386	48334	11898.9	23.118	False
GCA_017881545.1	neither_hq	86.349686	2.37844	MQ	85.95	1.69	MQ	2954574	6.4705	467	6879	105510	6326.7	62.235	False
GCA_017939065.1	disagreement_141	89.018974	14.0129175	LQ	95.04	3.18	HQ	1444896	6.1598	50	59691	251330	28897.9	26.613	True
GCA_017985155.1	neither_hq	51.321022	0.0010669231	MQ	49.34	0.28	LQ	1341224	6.1275	114	16495	58472	11765.1	45.917	False
GCA_017989775.1	neither_hq	62.251102	0.016981363	MQ	68.17	1.14	MQ	2053463	6.3125	399	5462	18655	5146.5	38.994	False
GCA_018003835.1	neither_hq	50.156384	0.0006169081	MQ	39.03	0.04	LQ	899006	5.9538	179	5220	16364	5022.4	43.367	False
GCA_018004355.1	neither_hq	50.140953	0.006645918	MQ	23.15	0.42	LQ	1257024	6.0993	198	7206	21524	6348.6	56.571	False
GCA_018057765.1	disagreement_141	73.647125	48.25221	LQ	97.73	0.03	HQ	1759823	6.2455	51	65094	258532	34506.3	35.81	True
GCA_018064325.1	neither_hq	65.3282	0.041419268	MQ	88.03	0.15	MQ	573249	5.7583	158	4109	12981	3628.2	31.913	False
GCA_018334895.1	neither_hq	52.744743	2.0819008	MQ	63.61	0.02	MQ	763522	5.8828	100	10113	38818	7635.2	46.889	False
GCA_018367955.1	agree_clean	99.972015	4.2438655	HQ	97.18	1.96	HQ	3829325	6.5831	94	105022	256663	40737.5	41.824	False
GCA_018369725.1	neither_hq	93.09256	39.68497	LQ	100.0	5.8	MQ	6298483	6.7992	132	147776	412477	47715.8	49.672	False
GCA_018380175.1	agree_clean	99.89792	0.37766695	HQ	99.88	1.7	HQ	4339557	6.6374	231	67980	200902	18786.0	42.882	False
GCA_018381015.1	agree_clean	99.920334	0.08769035	HQ	99.99	0.42	HQ	4295644	6.633	49	188486	347778	87666.2	46.371	False
GCA_018384235.1	neither_hq	71.344765	3.570801	MQ	89.55	0.46	MQ	1694760	6.2291	169	15584	67230	10028.2	54.833	False
GCA_018677455.1	disagreement_141	79.18665	1.9505739	MQ	100.0	0.98	HQ	3208883	6.5064	168	34782	96736	19100.5	61.645	True
GCA_019119235.1	neither_hq	68.96884	0.026464462	MQ	78.44	2.01	MQ	2175123	6.3375	286	10302	51761	7605.3	49.44	False
GCA_019163065.1	v5hq_only	91.33749	0.09953976	HQ	73.08	0.6	MQ	3959404	6.5976	349	24977	85070	11345.0	59.301	True
GCA_019235985.1	disagreement_141	93.24382	5.475268	MQ	94.11	2.13	HQ	2336253	6.3685	389	7735	22432	6005.8	61.976	True
GCA_019414485.1	neither_hq	79.16254	0.05259514	MQ	71.56	2.38	MQ	1665930	6.2217	384	5004	35727	4338.4	60.091	False
GCA_019416335.1	neither_hq	73.68723	0.03761053	MQ	77.77	1.27	MQ	1789045	6.2526	430	4823	22202	4160.6	69.998	False
GCA_019651035.1	neither_hq	51.20038	1.2627631	MQ	19.72	0.39	LQ	597031	5.776	2	559678	559678	298515.5	29.309	False
GCA_019751695.1	neither_hq	53.058243	0.117355585	MQ	58.67	1.41	MQ	1548460	6.1899	697	2441	7678	2221.6	66.875	False
GCA_020244765.1	agree_clean	99.95292	1.7761797	HQ	99.99	0.0	HQ	5287563	6.7233	357	23178	80934	14811.1	42.689	False
GCA_020245415.1	agree_clean	99.946335	2.659133	HQ	100.0	0.0	HQ	5326101	6.7264	368	23030	86695	14473.1	42.652	False
GCA_020245635.1	agree_clean	99.85597	0.91721714	HQ	99.6	0.03	HQ	4912543	6.6913	535	12004	78739	9182.3	42.483	False
GCA_020433705.1	neither_hq	97.94621	5.547282	MQ	63.3	9.26	MQ	5336737	6.7273	2429	3040	23513	2197.1	64.249	False
GCA_020446005.1	neither_hq	78.46096	0.076547265	MQ	81.15	4.54	MQ	2528376	6.4028	329	10703	47853	7685.0	66.136	False
GCA_020446485.1	neither_hq	75.616135	0.016281009	MQ	76.83	2.57	MQ	2373343	6.3754	447	6899	38373	5309.5	64.975	False
GCA_020627185.1	neither_hq	82.58374	0.019821525	MQ	80.65	5.51	MQ	1883230	6.2749	404	6030	27145	4661.5	63.157	False
GCA_020720785.1	agree_clean	99.95669	0.004851818	HQ	98.89	1.1	HQ	2589571	6.4132	103	56959	174968	25141.5	45.476	False
GCA_020847735.1	agree_clean	97.68775	1.4837056	HQ	98.03	0.47	HQ	3656978	6.5631	27	185302	558176	135443.6	71.243	False
GCA_020852775.1	neither_hq	56.280125	0.0015944242	MQ	66.68	3.75	MQ	2126985	6.3278	321	7641	25686	6626.1	62.216	False
GCA_020859825.1	agree_clean	99.865974	0.5004555	HQ	100.0	0.69	HQ	4564309	6.6594	31	201699	437931	147235.8	50.694	False
GCA_021153025.1	agree_clean	99.940735	1.6253412	HQ	100.0	0.65	HQ	2931923	6.4672	123	109473	231344	23836.8	53.59	False
GCA_021325555.1	agree_clean	95.878555	1.6475886	HQ	92.85	3.05	HQ	4350908	6.6386	46	197976	357766	94585.0	63.465	False
GCA_021732365.1	agree_clean	99.68788	0.25179088	HQ	99.99	0.72	HQ	2503213	6.3985	35	125826	359235	71520.4	42.383	False
GCA_021734505.1	neither_hq	62.39993	2.9996367	MQ	78.1	4.57	MQ	1982571	6.2972	116	24297	65699	17091.1	40.671	False
GCA_021781535.1	v5hq_only	99.839935	0.9716213	HQ	95.22	9.85	MQ	3800625	6.5799	133	70000	277050	28576.1	51.331	True
GCA_021810405.1	disagreement_141	98.36741	22.343327	LQ	92.47	0.11	HQ	2103954	6.323	62	50265	170500	33934.7	45.63	True
GCA_021810705.1	v5hq_only	99.35502	3.568551	HQ	69.84	1.16	MQ	2385135	6.3775	342	7721	45164	6974.1	68.555	True
GCA_021814685.1	neither_hq	76.85638	37.8243	LQ	61.58	8.89	MQ	4048930	6.6073	913	4358	30514	4434.8	66.191	False
GCA_021842005.1	neither_hq	67.01987	10.89305	LQ	65.27	10.94	LQ	2864974	6.4571	719	3862	18573	3984.7	72.341	False
GCA_022482265.1	agree_clean	99.973076	0.1631558	HQ	99.98	0.0	HQ	2385521	6.3776	1	2385521	2385521	2385521.0	53.628	False
GCA_022641845.1	neither_hq	77.63151	0.08548796	MQ	86.46	0.9	MQ	1350879	6.1306	49	41064	121403	27569.0	37.204	False
GCA_022646625.1	agree_clean	92.701904	0.29070973	HQ	100.0	0.54	HQ	5333158	6.727	144	52287	121614	37035.8	29.668	False
GCA_022647105.1	neither_hq	70.3005	0.027129054	MQ	76.22	0.37	MQ	1815100	6.2589	15	171630	308517	121006.7	60.772	False
GCA_022714405.1	neither_hq	85.087845	0.4464835	MQ	88.35	2.07	MQ	1983108	6.2973	523	5391	30006	3791.8	60.024	False
GCA_022715355.1	agree_clean	99.83504	1.2505025	HQ	99.99	0.2	HQ	2884527	6.4601	134	44594	151676	21526.3	55.33	False
GCA_022764095.1	neither_hq	99.290474	6.825656	MQ	84.69	6.45	MQ	3157694	6.4994	272	20136	76162	11609.2	55.564	False
GCA_022783155.1	disagreement_141	87.640724	0.06647408	MQ	96.78	1.88	HQ	2501410	6.3982	168	22074	91014	14889.3	47.178	True
GCA_022827685.1	disagreement_141	99.820816	5.138433	MQ	98.84	2.77	HQ	4307412	6.6342	167	42335	233965	25792.9	68.611	True
GCA_022837345.1	agree_clean	99.93442	1.1827052	HQ	99.65	0.73	HQ	2222617	6.3469	75	88150	178219	29634.9	59.717	False
GCA_022844135.1	agree_clean	99.88452	0.14752746	HQ	99.89	0.11	HQ	5340936	6.7276	75	95021	246248	71212.5	61.916	False
GCA_023139045.1	disagreement_141	81.678955	6.5615745	MQ	94.38	1.03	HQ	3695767	6.5677	205	39366	133555	18028.1	46.932	True
GCA_023383015.1	agree_clean	99.81741	0.4832685	HQ	100.0	1.33	HQ	4359817	6.6395	84	106185	459299	51902.6	72.492	False
GCA_023395465.1	agree_clean	99.965225	0.21253228	HQ	93.58	3.73	HQ	3824360	6.5826	301	19622	184487	12705.5	70.175	False
GCA_023409405.1	disagreement_141	98.861916	6.478524	MQ	96.14	0.2	HQ	1695966	6.2294	9	375312	645755	188440.7	28.388	True
GCA_023429945.1	agree_clean	99.80006	3.293261	HQ	91.96	2.86	HQ	5659112	6.7527	273	33239	100472	20729.3	52.155	False
GCA_023436885.1	agree_clean	98.7155	0.31206906	HQ	99.18	3.83	HQ	5431508	6.7349	52	242212	747504	104452.1	61.83	False
GCA_023511995.1	agree_clean	99.906166	1.0385096	HQ	99.98	0.0	HQ	2507758	6.3993	44	96876	283153	56994.5	65.259	False
GCA_023709145.1	agree_clean	99.9284	1.130709	HQ	97.74	1.84	HQ	2378870	6.3764	73	75282	325552	32587.3	38.35	False
GCA_024228115.1	disagreement_141	96.737625	26.185966	LQ	97.44	0.96	HQ	6414368	6.8072	700	22846	99064	9163.4	64.086	True
GCA_024233225.1	neither_hq	87.79198	0.18103719	MQ	64.85	0.19	MQ	5154969	6.7122	103	244482	559855	50048.2	66.261	False
GCA_024276305.1	agree_clean	99.69873	0.39054453	HQ	95.48	0.37	HQ	3545856	6.5497	119	58584	187557	29797.1	63.329	False
GCA_024763275.1	disagreement_141	81.40536	0.34325123	MQ	91.13	0.29	HQ	2554815	6.4074	98	40789	141139	26069.5	54.106	True
GCA_025057715.1	neither_hq	56.143425	0.023213029	MQ	71.11	1.2	MQ	901616	5.955	159	6847	23281	5670.5	43.524	False
GCA_025359005.1	agree_clean	99.59494	0.9408593	HQ	90.76	1.67	HQ	4160079	6.6191	673	7837	36664	6181.4	63.935	False
GCA_025936635.1	neither_hq	85.288635	0.24186373	MQ	72.86	10.84	LQ	5414485	6.7336	1027	5961	40669	5272.1	57.323	False
GCA_026129125.1	agree_clean	92.2231	0.14104247	HQ	91.03	1.71	HQ	3102172	6.4917	231	24576	153323	13429.3	70.113	False
GCA_026339155.1	agree_clean	99.963486	1.9103497	HQ	94.45	0.35	HQ	2706857	6.4325	81	103071	275215	33418.0	46.618	False
GCA_027083665.1	neither_hq	74.760185	0.22444725	MQ	77.02	1.0	MQ	1774635	6.2491	371	6128	25733	4783.4	54.589	False
GCA_027315205.1	agree_clean	98.98157	2.2628756	HQ	99.91	0.09	HQ	1999789	6.301	42	158198	333242	47614.0	56.859	False
GCA_027336295.1	neither_hq	59.09599	0.50072074	MQ	52.27	0.0	MQ	2563798	6.4089	865	3231	19521	2963.9	68.459	False
GCA_027345925.1	neither_hq	58.990776	0.003221631	MQ	72.06	2.58	MQ	1745111	6.2418	261	7413	27240	6686.2	53.424	False
GCA_027385435.1	neither_hq	80.30395	0.09529889	MQ	78.18	0.02	MQ	3241115	6.5107	243	20172	82703	13337.9	57.005	False
GCA_027404155.1	agree_clean	99.922005	0.46352744	HQ	100.0	2.81	HQ	3654244	6.5628	40	193130	371565	91356.1	51.202	False
GCA_027410815.1	neither_hq	62.817284	0.38021207	MQ	59.36	1.69	MQ	2369841	6.3747	612	4510	20219	3872.3	72.648	False
GCA_027421505.1	agree_clean	98.38318	0.033313036	HQ	95.93	1.64	HQ	2676550	6.4276	100	51524	185941	26765.5	45.499	False
GCA_027442175.1	disagreement_141	99.96314	5.958909	MQ	99.55	1.23	HQ	2314502	6.3645	61	108777	457182	37942.7	53.222	True
GCA_027457585.1	agree_clean	99.91	3.0813308	HQ	93.32	0.68	HQ	3984583	6.6004	155	82672	236100	25707.0	54.89	False
GCA_027532385.1	agree_clean	99.80505	0.22369623	HQ	99.99	0.01	HQ	3062897	6.4861	30	449267	724117	102096.6	65.455	False
GCA_027533085.1	neither_hq	99.58852	11.997292	LQ	99.91	6.6	MQ	3707493	6.5691	203	37877	182855	18263.5	63.885	False
GCA_028281345.1	agree_clean	99.8521	0.35874546	HQ	99.99	0.03	HQ	2495008	6.3971	61	71107	329907	40901.8	48.349	False
GCA_028691095.1	neither_hq	70.98971	0.10125041	MQ	67.99	0.27	MQ	1674035	6.2238	295	6423	17565	5674.7	52.787	False
GCA_028709285.1	neither_hq	78.90988	0.8238375	MQ	85.88	1.6	MQ	2029079	6.3073	333	6719	28458	6093.3	44.749	False
GCA_028714435.1	neither_hq	80.706505	0.020882487	MQ	82.53	1.89	MQ	2290837	6.36	272	11085	58845	8422.2	51.067	False
GCA_028723105.1	v5hq_only	99.86364	0.08762777	HQ	89.59	0.15	MQ	2162216	6.3349	172	18482	66617	12571.0	44.831	True
GCA_028724105.1	disagreement_141	88.850006	0.016728044	MQ	98.24	0.59	HQ	2416929	6.3833	86	48291	129786	28103.8	41.844	True
GCA_028802975.1	neither_hq	50.861103	16.262604	LQ	28.78	3.91	LQ	1183231	6.0731	2566	426	4336	461.1	45.467	False
GCA_029007115.1	disagreement_141	75.70194	0.29004216	MQ	93.11	4.46	HQ	1243304	6.0946	54	40649	88829	23024.1	24.74	True
GCA_029052315.1	v5hq_only	91.05852	0.20441711	HQ	86.3	1.19	MQ	1636416	6.2139	250	10295	52256	6545.7	61.91	True
GCA_029056385.1	agree_clean	99.87825	0.36754906	HQ	96.23	0.09	HQ	2919501	6.4653	81	65470	213539	36043.2	48.994	False
GCA_029063245.1	v5hq_only	99.72542	0.028771162	HQ	76.21	1.35	MQ	2623574	6.4189	642	4392	17650	4086.6	42.973	True
GCA_029237715.1	neither_hq	71.743225	0.31258464	MQ	81.36	1.56	MQ	2772461	6.4429	366	8520	77153	7575.0	57.807	False
GCA_029559035.1	disagreement_141	98.4721	9.046748	MQ	95.64	0.37	HQ	2863561	6.4569	100	78009	185345	28635.6	55.931	True
GCA_029567925.1	neither_hq	51.840664	21.053865	LQ	47.59	9.26	LQ	1472149	6.168	986	1376	10573	1493.1	59.469	False
GCA_029861005.1	neither_hq	81.24961	0.59185624	MQ	88.67	3.45	MQ	2745801	6.4387	400	8537	36775	6864.5	58.095	False
GCA_029935075.1	v5hq_only	99.95508	0.5709499	HQ	84.9	1.87	MQ	2426221	6.3849	334	10778	54949	7264.1	33.989	True
GCA_030065935.1	agree_clean	99.95561	0.51608384	HQ	98.9	0.41	HQ	7020599	6.8464	282	35571	158770	24895.7	37.847	False
GCA_030066955.1	v5hq_only	95.76679	1.0397524	HQ	74.13	6.31	MQ	3972961	6.5991	412	9941	37108	9643.1	66.646	True
GCA_030148245.1	agree_clean	99.70056	0.1368761	HQ	99.97	2.65	HQ	3529287	6.5477	52	102498	278724	67870.9	67.979	False
