accession	domain	family	protein_1	protein_2	contig_1	contig_2	same_contig	hmm_span_1	hmm_span_2	hmm_reciprocal_overlap	hmm_coverage_1	hmm_coverage_2	passes_split_gene_control	aa_identity	cohort
GCA_022646625.1	bacteria	TIGR00043	JALCJM010000143.1_8	JALCJM010000012.1_1	JALCJM010000143.1	JALCJM010000012.1	False	18-144	30-67	1.0	0.8699	0.2603	False	1.0	agree_clean
GCA_022646625.1	bacteria	hisS	JALCJM010000007.1_93	JALCJM010000003.1_75	JALCJM010000007.1	JALCJM010000003.1	False	1-405	3-405	1.0	0.9975	0.9926	True	0.3325	agree_clean
GCA_022783155.1	bacteria	TIGR00006	JALFON010000090.1_4	JALFON010000144.1_3	JALFON010000090.1	JALFON010000144.1	False	4-310	6-307	1.0	0.9903	0.9742	True	0.3741	disagreement_141
GCA_022783155.1	bacteria	lepA	JALFON010000127.1_15	JALFON010000036.1_1	JALFON010000127.1	JALFON010000036.1	False	2-487	185-595	0.7372	0.8168	0.6908	True	0.8816	disagreement_141
GCA_022783155.1	bacteria	pheT_bact	JALFON010000023.1_11	JALFON010000040.1_1	JALFON010000023.1	JALFON010000040.1	False	1-798	1-398	1.0	1.0	0.4987	True	0.4512	disagreement_141
GCA_023139045.1	bacteria	TIGR00006	JAGLOJ010000081.1_9	JAGLOJ010000066.1_21	JAGLOJ010000081.1	JAGLOJ010000066.1	False	5-306	6-308	0.9967	0.9742	0.9774	True	0.368	disagreement_141
GCA_023395465.1	bacteria	T6A_TsaD_YgjD	JAEWZE010000055.1_6	JAEWZE010000080.1_5	JAEWZE010000055.1	JAEWZE010000080.1	False	1-313	1-313	1.0	0.9968	0.9968	True	0.836	agree_clean
GCA_023395465.1	bacteria	ruvB	JAEWZE010000119.1_4	JAEWZE010000111.1_2	JAEWZE010000119.1	JAEWZE010000111.1	False	2-304	1-304	1.0	0.9934	0.9967	True	0.9571	agree_clean
GCA_023383015.1	bacteria	dnaG	JAHDXW010000019.1_74	JAHDXW010000029.1_54	JAHDXW010000019.1	JAHDXW010000029.1	False	2-414	4-412	1.0	0.9976	0.9879	True	0.5012	agree_clean
GCA_023709145.1	bacteria	S6	BRFF01000036.1_7	BRFF01000001.1_325	BRFF01000036.1	BRFF01000001.1	False	1-94	3-94	1.0	0.9895	0.9684	True	0.4	agree_clean
GCA_023429945.1	bacteria	TIGR00006	JAEZCP010000180.1_4	JAEZCP010000115.1_2	JAEZCP010000180.1	JAEZCP010000115.1	False	5-309	6-309	1.0	0.9839	0.9806	True	0.3945	agree_clean
GCA_023436885.1	bacteria	leuS_bact	JAEZHI010000025.1_18	JAEZHI010000038.1_35	JAEZHI010000025.1	JAEZHI010000038.1	False	1-843	1-842	1.0	1.0	0.9988	True	0.4267	agree_clean
GCA_023436885.1	bacteria	rplT_bact	JAEZHI010000007.1_213	JAEZHI010000050.1_1	JAEZHI010000007.1	JAEZHI010000050.1	False	1-114	1-113	1.0	1.0	0.9912	True	0.7788	agree_clean
GCA_026339155.1	bacteria	dnaG	JAPKWD010000006.1_68	JAPKWD010000015.1_35	JAPKWD010000006.1	JAPKWD010000015.1	False	1-410	1-413	1.0	0.9903	0.9976	True	0.354	agree_clean
GCA_027421505.1	bacteria	rplV_bact	DAIBGZ010000006.1_51	DAIBGZ010000089.1_3	DAIBGZ010000006.1	DAIBGZ010000089.1	False	1-103	1-82	1.0	1.0	0.7961	True	0.5122	agree_clean
GCA_027421505.1	bacteria	rpsS_bact	DAIBGZ010000006.1_50	DAIBGZ010000089.1_2	DAIBGZ010000006.1	DAIBGZ010000089.1	False	1-91	1-92	1.0	0.9891	1.0	True	0.6703	agree_clean
GCA_029007115.1	bacteria	lepA	JAQXHG010000028.1_7	JAQXHG010000011.1_20	JAQXHG010000028.1	JAQXHG010000011.1	False	2-595	251-595	1.0	0.9983	0.5798	True	0.7703	disagreement_141
GCA_027404155.1	bacteria	rpoA	DAHZCI010000030.1_29	DAHZCI010000010.1_36	DAHZCI010000030.1	DAHZCI010000010.1	False	1-297	1-297	1.0	0.9966	0.9966	True	0.7483	agree_clean
GCA_028724105.1	bacteria	TIGR00006	JAQYDP010000047.1_10	JAQYDP010000017.1_59	JAQYDP010000047.1	JAQYDP010000017.1	False	5-309	6-309	1.0	0.9839	0.9806	True	0.3414	disagreement_141
GCA_030148245.1	bacteria	PGK	JASBTV010000025.1_2	JASBTV010000028.1_38	JASBTV010000025.1	JASBTV010000028.1	False	1-382	261-382	1.0	1.0	0.3194	True	0.7025	agree_clean
GCA_027457585.1	bacteria	TIGR00006	DAIEDC010000033.1_17	DAIEDC010000005.1_38	DAIEDC010000033.1	DAIEDC010000005.1	False	13-309	6-309	1.0	0.9581	0.9806	True	0.3841	agree_clean
GCA_030065935.1	bacteria	IF-2	JASJCP010000139.1_14	JASJCP010000128.1_2	JASJCP010000139.1	JASJCP010000128.1	False	3-586	3-586	1.0	0.9949	0.9949	True	0.7189	agree_clean
GCA_030451785.1	bacteria	S6	JAKDGA010000013.1_6	JAKDGA010000195.1_2	JAKDGA010000013.1	JAKDGA010000195.1	False	1-94	1-94	1.0	0.9895	0.9895	True	1.0	agree_clean
GCA_031263035.1	bacteria	L3_bact	JAISGP010000073.1_33	JAISGP010000080.1_7	JAISGP010000073.1	JAISGP010000080.1	False	2-202	2-201	1.0	0.995	0.9901	True	0.42	disagreement_141
GCA_031263035.1	bacteria	Ribosomal_L23	JAISGP010000073.1_31	JAISGP010000080.1_9	JAISGP010000073.1	JAISGP010000080.1	False	1-82	1-38	1.0	0.9535	0.4419	True	0.4211	disagreement_141
GCA_031263035.1	bacteria	rplD_bact	JAISGP010000073.1_32	JAISGP010000080.1_8	JAISGP010000073.1	JAISGP010000080.1	False	1-188	9-186	1.0	1.0	0.9468	True	0.3503	disagreement_141
GCA_031263035.1	bacteria	rpoB	JAISGP010000088.1_1	JAISGP010000142.1_58	JAISGP010000088.1	JAISGP010000142.1	False	336-1102	286-892	0.9176	0.6195	0.4903	True	0.5148	disagreement_141
GCA_031263035.1	bacteria	rpsG_bact	JAISGP010000034.1_30	JAISGP010000080.1_3	JAISGP010000034.1	JAISGP010000080.1	False	1-153	7-154	0.9932	0.9935	0.961	True	0.4286	disagreement_141
GCA_031263035.1	bacteria	rpsJ_bact	JAISGP010000080.1_6	JAISGP010000073.1_34	JAISGP010000080.1	JAISGP010000073.1	False	1-99	2-99	1.0	1.0	0.9899	True	0.5816	disagreement_141
GCA_031263035.1	bacteria	rpsL_bact	JAISGP010000080.1_2	JAISGP010000034.1_29	JAISGP010000080.1	JAISGP010000034.1	False	1-123	1-123	1.0	0.9919	0.9919	True	0.6992	disagreement_141
GCA_030655455.1	bacteria	L12	JAURVO010000017.1_11	JAURVO010000025.1_132	JAURVO010000017.1	JAURVO010000025.1	False	1-125	1-125	1.0	1.0	1.0	True	0.6829	agree_clean
GCA_030655455.1	bacteria	Ribosomal_L10	JAURVO010000025.1_131	JAURVO010000017.1_12	JAURVO010000025.1	JAURVO010000017.1	False	1-100	17-100	1.0	1.0	0.84	True	0.4512	agree_clean
GCA_030655455.1	bacteria	Ribosomal_S9	JAURVO010000018.1_226	JAURVO010000009.1_51	JAURVO010000018.1	JAURVO010000009.1	False	1-121	1-121	1.0	1.0	1.0	True	0.719	agree_clean
GCA_030655455.1	bacteria	rplM_bact	JAURVO010000018.1_227	JAURVO010000009.1_50	JAURVO010000018.1	JAURVO010000009.1	False	2-140	6-138	1.0	0.9858	0.9433	True	0.6343	agree_clean
GCA_030655455.1	bacteria	rpoB	JAURVO010000017.1_10	JAURVO010000025.1_136	JAURVO010000017.1	JAURVO010000025.1	False	2-1238	1-858	0.9988	0.9992	0.6931	True	0.7469	agree_clean
GCA_035529375.1	bacteria	S20	DATKWU010000009.1_261	DATKWU010000008.1_5	DATKWU010000009.1	DATKWU010000008.1	False	1-82	1-82	1.0	0.9762	0.9762	True	0.4933	agree_clean
GCA_035529375.1	bacteria	infC	DATKWU010000002.1_1	DATKWU010000003.1_1	DATKWU010000002.1	DATKWU010000003.1	False	51-169	5-95	0.4945	0.7	0.5353	False	1.0	agree_clean
GCA_031969975.1	bacteria	IF-2	DALYJI010000019.1_6	DALYJI010000020.1_27	DALYJI010000019.1	DALYJI010000020.1	False	3-586	3-586	1.0	0.9949	0.9949	True	0.7853	disagreement_141
GCA_031969975.1	bacteria	infC	DALYJI010000094.1_1	DALYJI010000485.1_4	DALYJI010000094.1	DALYJI010000485.1	False	3-169	3-169	1.0	0.9824	0.9824	True	0.7178	disagreement_141
GCA_031969975.1	bacteria	infC	DALYJI010000094.1_1	DALYJI010000279.1_2	DALYJI010000094.1	DALYJI010000279.1	False	3-169	19-155	1.0	0.9824	0.8059	True	0.4361	disagreement_141
GCA_031969975.1	bacteria	infC	DALYJI010000485.1_4	DALYJI010000279.1_2	DALYJI010000485.1	DALYJI010000279.1	False	3-169	19-155	1.0	0.9824	0.8059	True	0.3985	disagreement_141
GCA_035509275.1	bacteria	rpoA	DATJLU010000090.1_1	DATJLU010000010.1_1	DATJLU010000090.1	DATJLU010000010.1	False	2-298	44-298	1.0	0.9966	0.8557	True	0.9	agree_clean
GCA_035509275.1	bacteria	secG	DATJLU010000140.1_3	DATJLU010000075.1_3	DATJLU010000140.1	DATJLU010000075.1	False	2-72	2-73	1.0	0.9726	0.9863	True	0.6522	agree_clean
GCA_035509275.1	bacteria	uS11_bact	DATJLU010000090.1_2	DATJLU010000228.1_1	DATJLU010000090.1	DATJLU010000228.1	False	1-117	1-117	1.0	1.0	1.0	True	0.8718	agree_clean
GCA_035509275.1	bacteria	uS13_bact	DATJLU010000228.1_2	DATJLU010000090.1_3	DATJLU010000228.1	DATJLU010000090.1	False	1-112	1-113	1.0	0.9912	1.0	True	0.7946	agree_clean
GCA_035556475.1	bacteria	rpmH_bact	DATMFA010000110.1_55	DATMFA010000017.1_2	DATMFA010000110.1	DATMFA010000017.1	False	2-44	1-44	1.0	0.9773	1.0	True	0.7209	agree_clean
GCA_036481315.1	bacteria	ruvB	JAZGHS010000080.1_2	JAZGHS010000046.1_3	JAZGHS010000080.1	JAZGHS010000046.1	False	1-304	2-304	1.0	0.9967	0.9934	True	0.6007	agree_clean
GCA_035568395.1	bacteria	Ribosomal_S9	DATMOF010000003.1_2	DATMOF010000012.1_167	DATMOF010000003.1	DATMOF010000012.1	False	1-121	1-121	1.0	1.0	1.0	True	0.9587	agree_clean
GCA_035568395.1	bacteria	rpsB_bact	DATMOF010000003.1_3	DATMOF010000012.1_168	DATMOF010000003.1	DATMOF010000012.1	False	3-224	3-137	1.0	0.9867	0.6	True	0.9481	agree_clean
GCA_035568395.1	bacteria	rpsG_bact	DATMOF010000003.1_14	DATMOF010000011.1_2	DATMOF010000003.1	DATMOF010000011.1	False	1-153	1-153	1.0	0.9935	0.9935	True	0.9739	agree_clean
GCA_035568395.1	bacteria	rpsL_bact	DATMOF010000003.1_15	DATMOF010000011.1_3	DATMOF010000003.1	DATMOF010000011.1	False	1-123	49-123	1.0	0.9919	0.6048	True	1.0	agree_clean
GCA_036387965.1	bacteria	RNAse_H_YqgF	DASVST010000268.1_6	DASVST010000181.1_3	DASVST010000268.1	DASVST010000181.1	False	1-129	1-74	1.0	0.9923	0.5692	True	0.4225	disagreement_141
GCA_036387965.1	bacteria	uS11_bact	DASVST010000216.1_1	DASVST010000107.1_1	DASVST010000216.1	DASVST010000107.1	False	2-117	10-117	1.0	0.9915	0.9231	True	0.9722	disagreement_141
GCA_036638955.1	bacteria	hisS	JAVWJO010000033.1_5	JAVWJO010000015.1_61	JAVWJO010000033.1	JAVWJO010000015.1	False	1-405	1-404	1.0	0.9975	0.9951	True	0.5088	disagreement_141
GCA_036501045.1	bacteria	S16	DASYAX010000214.1_1	DASYAX010000046.1_10	DASYAX010000214.1	DASYAX010000046.1	False	1-74	2-74	1.0	0.9487	0.9359	True	0.5753	agree_clean
GCA_036501045.1	bacteria	rpsD_bact	DASYAX010000116.1_12	DASYAX010000129.1_2	DASYAX010000116.1	DASYAX010000129.1	False	1-200	21-200	1.0	1.0	0.9	True	0.9835	agree_clean
GCA_036501045.1	bacteria	uS11_bact	DASYAX010000116.1_13	DASYAX010000129.1_3	DASYAX010000116.1	DASYAX010000129.1	False	1-117	1-117	1.0	1.0	1.0	True	0.9915	agree_clean
GCA_036501045.1	bacteria	uS13_bact	DASYAX010000129.1_4	DASYAX010000116.1_14	DASYAX010000129.1	DASYAX010000116.1	False	1-113	1-113	1.0	1.0	1.0	True	0.9646	agree_clean
GCA_037143955.1	bacteria	L17	JBAWXR010000153.1_3	JBAWXR010000050.1_13	JBAWXR010000153.1	JBAWXR010000050.1	False	3-112	4-112	1.0	0.9821	0.9732	True	0.5596	disagreement_141
GCA_037143955.1	bacteria	PGK	JBAWXR010000213.1_5	JBAWXR010000030.1_14	JBAWXR010000213.1	JBAWXR010000030.1	False	94-381	1-88	0.0	0.7539	0.2304	False	0.3548	disagreement_141
GCA_037143955.1	bacteria	TIGR00152	JBAWXR010000030.1_3	JBAWXR010000303.1_2	JBAWXR010000030.1	JBAWXR010000303.1	False	2-187	2-181	1.0	0.9894	0.9574	True	0.4551	disagreement_141
GCA_037143955.1	bacteria	nusG	JBAWXR010000275.1_2	JBAWXR010000016.1_11	JBAWXR010000275.1	JBAWXR010000016.1	False	1-171	1-169	1.0	0.9942	0.9826	True	0.6893	disagreement_141
GCA_037143955.1	bacteria	rpoA	JBAWXR010000153.1_4	JBAWXR010000050.1_12	JBAWXR010000153.1	JBAWXR010000050.1	False	2-296	2-297	1.0	0.9899	0.9933	True	0.5298	disagreement_141
GCA_037143955.1	bacteria	rpsD_bact	JBAWXR010000153.1_5	JBAWXR010000050.1_11	JBAWXR010000153.1	JBAWXR010000050.1	False	1-200	1-200	1.0	1.0	1.0	True	0.5735	disagreement_141
GCA_037143955.1	bacteria	rpsG_bact	JBAWXR010000290.1_2	JBAWXR010000037.1_22	JBAWXR010000290.1	JBAWXR010000037.1	False	1-154	1-154	1.0	1.0	1.0	True	0.7987	disagreement_141
GCA_037143955.1	bacteria	rpsL_bact	JBAWXR010000290.1_1	JBAWXR010000037.1_23	JBAWXR010000290.1	JBAWXR010000037.1	False	1-123	1-123	1.0	0.9919	0.9919	True	0.8537	disagreement_141
GCA_037143955.1	bacteria	secE_bact	JBAWXR010000275.1_3	JBAWXR010000016.1_10	JBAWXR010000275.1	JBAWXR010000016.1	False	3-57	3-57	1.0	0.9649	0.9649	True	0.6364	disagreement_141
GCA_037143955.1	bacteria	uS11_bact	JBAWXR010000050.1_10	JBAWXR010000153.1_6	JBAWXR010000050.1	JBAWXR010000153.1	False	1-117	1-117	1.0	1.0	1.0	True	0.6581	disagreement_141
GCA_037143955.1	bacteria	uS13_bact	JBAWXR010000153.1_7	JBAWXR010000050.1_9	JBAWXR010000153.1	JBAWXR010000050.1	False	1-113	1-113	1.0	1.0	1.0	True	0.5841	disagreement_141
GCA_036504555.1	bacteria	L3_bact	DASXUZ010000243.1_2	DASXUZ010000162.1_5	DASXUZ010000243.1	DASXUZ010000162.1	False	1-200	1-201	1.0	0.9901	0.995	True	0.675	agree_clean
GCA_036504555.1	bacteria	rplD_bact	DASXUZ010000162.1_4	DASXUZ010000243.1_1	DASXUZ010000162.1	DASXUZ010000243.1	False	1-188	1-114	1.0	1.0	0.6064	True	0.693	agree_clean
GCA_036504555.1	bacteria	rpsJ_bact	DASXUZ010000162.1_6	DASXUZ010000243.1_3	DASXUZ010000162.1	DASXUZ010000243.1	False	1-99	1-99	1.0	1.0	1.0	True	0.9697	agree_clean
GCA_038108155.1	bacteria	S20	JAYNHP010000002.1_33	JAYNHP010000139.1_2	JAYNHP010000002.1	JAYNHP010000139.1	False	1-84	1-84	1.0	1.0	1.0	True	0.321	agree_clean
GCA_038108155.1	bacteria	S20	JAYNHP010000002.1_33	JAYNHP010000089.1_2	JAYNHP010000002.1	JAYNHP010000089.1	False	1-84	1-84	1.0	1.0	1.0	True	0.3333	agree_clean
GCA_038108155.1	bacteria	S20	JAYNHP010000139.1_2	JAYNHP010000089.1_2	JAYNHP010000139.1	JAYNHP010000089.1	False	1-84	1-84	1.0	1.0	1.0	True	0.9405	agree_clean
GCA_038108155.1	bacteria	smpB	JAYNHP010000021.1_22	JAYNHP010000123.1_1	JAYNHP010000021.1	JAYNHP010000123.1	False	3-144	2-144	1.0	0.9861	0.9931	True	0.4643	agree_clean
GCA_038108155.1	bacteria	smpB	JAYNHP010000021.1_22	JAYNHP010000089.1_4	JAYNHP010000021.1	JAYNHP010000089.1	False	3-144	2-144	1.0	0.9861	0.9931	True	0.45	agree_clean
GCA_038108155.1	bacteria	smpB	JAYNHP010000123.1_1	JAYNHP010000089.1_4	JAYNHP010000123.1	JAYNHP010000089.1	False	2-144	2-144	1.0	0.9931	0.9931	True	0.9007	agree_clean
GCA_037444405.1	bacteria	S16	JBBIML010000003.1_2	JBBIML010000009.1_8	JBBIML010000003.1	JBBIML010000009.1	False	1-78	1-78	1.0	1.0	1.0	True	1.0	agree_clean
GCA_038115005.1	bacteria	rpsJ_bact	JAYNRZ010000029.1_2	JAYNRZ010000085.1_1	JAYNRZ010000029.1	JAYNRZ010000085.1	False	1-98	1-75	1.0	0.9899	0.7576	True	0.96	agree_clean
GCA_038246785.1	bacteria	S6	JBBRVP010000049.1_16	JBBRVP010000072.1_1	JBBRVP010000049.1	JBBRVP010000072.1	False	1-94	1-77	1.0	0.9895	0.8105	True	0.6883	disagreement_141
GCA_041241435.1	bacteria	infC	JBERZM010000037.1_7	JBERZM010000149.1_4	JBERZM010000037.1	JBERZM010000149.1	False	20-169	60-169	1.0	0.8824	0.6471	True	0.9455	agree_clean
GCA_041241435.1	bacteria	rplT_bact	JBERZM010000037.1_5	JBERZM010000149.1_2	JBERZM010000037.1	JBERZM010000149.1	False	1-113	1-113	1.0	0.9912	0.9912	True	0.9469	agree_clean
GCA_041241435.1	bacteria	rpmI_bact	JBERZM010000037.1_6	JBERZM010000149.1_3	JBERZM010000037.1	JBERZM010000149.1	False	1-58	1-58	1.0	0.9206	0.9206	True	0.9138	agree_clean
GCA_041241815.1	bacteria	L9	JBESAC010000018.1_2	JBESAC010000037.1_4	JBESAC010000018.1	JBESAC010000037.1	False	1-147	1-146	1.0	0.9932	0.9865	True	0.2828	disagreement_141
GCA_041241815.1	bacteria	S6	JBESAC010000018.1_4	JBESAC010000037.1_2	JBESAC010000018.1	JBESAC010000037.1	False	1-94	2-91	1.0	0.9895	0.9474	True	0.3	disagreement_141
GCA_041655595.1	bacteria	L11_bact	JBBAFB010000152.1_4	JBBAFB010000049.1_1	JBBAFB010000152.1	JBBAFB010000049.1	False	1-138	1-138	1.0	0.9857	0.9857	True	0.9854	disagreement_141
GCA_041655595.1	bacteria	L12	JBBAFB010000049.1_4	JBBAFB010000152.1_1	JBBAFB010000049.1	JBBAFB010000152.1	False	2-125	2-125	1.0	0.992	0.992	True	0.9839	disagreement_141
GCA_041655595.1	bacteria	Ribosomal_L10	JBBAFB010000152.1_2	JBBAFB010000049.1_3	JBBAFB010000152.1	JBBAFB010000049.1	False	2-99	2-99	1.0	0.98	0.98	True	0.9072	disagreement_141
GCA_041655595.1	bacteria	rplA_bact	JBBAFB010000049.1_2	JBBAFB010000152.1_3	JBBAFB010000049.1	JBBAFB010000152.1	False	1-225	1-225	1.0	0.9912	0.9912	True	0.9511	disagreement_141
GCA_041686735.1	bacteria	ileS	JAWLDF010000001.1_104	JAWLDF010000005.1_80	JAWLDF010000001.1	JAWLDF010000005.1	False	1-859	10-854	1.0	0.9977	0.9814	True	0.3502	agree_clean
GCA_043425335.1	bacteria	L9	JBHWQB010000206.1_3	JBHWQB010000182.1_10	JBHWQB010000206.1	JBHWQB010000182.1	False	1-147	1-147	1.0	0.9932	0.9932	True	0.6939	agree_clean
GCA_043425335.1	bacteria	Ribosomal_L10	JBHWQB010000135.1_2	JBHWQB010000088.1_3	JBHWQB010000135.1	JBHWQB010000088.1	False	4-100	4-97	1.0	0.97	0.94	True	0.6452	agree_clean
GCA_043425335.1	bacteria	Ribosomal_L10	JBHWQB010000135.1_2	JBHWQB010000160.1_4	JBHWQB010000135.1	JBHWQB010000160.1	False	4-100	4-58	1.0	0.97	0.55	True	0.8	agree_clean
GCA_043425335.1	bacteria	Ribosomal_L10	JBHWQB010000088.1_3	JBHWQB010000160.1_4	JBHWQB010000088.1	JBHWQB010000160.1	False	4-97	4-58	1.0	0.94	0.55	True	0.6545	agree_clean
GCA_043425335.1	bacteria	S6	JBHWQB010000220.1_3	JBHWQB010000206.1_7	JBHWQB010000220.1	JBHWQB010000206.1	False	1-94	1-94	1.0	0.9895	0.9895	True	0.5957	agree_clean
GCA_043425335.1	bacteria	TIGR00043	JBHWQB010000002.1_11	JBHWQB010000176.1_5	JBHWQB010000002.1	JBHWQB010000176.1	False	8-144	62-145	0.9881	0.9384	0.5753	True	0.5065	agree_clean
GCA_043425335.1	bacteria	frr	JBHWQB010000107.1_10	JBHWQB010000057.1_2	JBHWQB010000107.1	JBHWQB010000057.1	False	2-176	1-176	1.0	0.9943	1.0	True	0.7069	agree_clean
GCA_043425335.1	bacteria	pyrH_bact	JBHWQB010000057.1_3	JBHWQB010000107.1_9	JBHWQB010000057.1	JBHWQB010000107.1	False	2-232	2-232	1.0	0.9914	0.9914	True	0.7149	agree_clean
GCA_041855225.1	bacteria	3a0501s007	JBHADV010000084.1_25	JBHADV010000002.1_3	JBHADV010000084.1	JBHADV010000002.1	False	1-412	1-413	1.0	0.9952	0.9976	True	0.7264	agree_clean
GCA_041855225.1	bacteria	rplO_bact	JBHADV010000002.1_4	JBHADV010000084.1_24	JBHADV010000002.1	JBHADV010000084.1	False	1-143	2-143	1.0	0.9931	0.9861	True	0.6783	agree_clean
GCA_043813215.1	bacteria	serS	JBDRLH010000040.1_10	JBDRLH010000038.1_8	JBDRLH010000040.1	JBDRLH010000038.1	False	1-418	1-418	1.0	1.0	1.0	True	0.6053	disagreement_141
