accession	stratum	phylum	domain	phylum_reference_genomes	genome_size	n_contigs_meta	n_sequences_scored	informative_kmers	total_kmers	informative_kmer_density
GCA_963979165.1	cpr_dpann	Patescibacteriota	Bacteria	1609	928484	52	52	7367	926716	0.00794958
GCA_948570655.1	cpr_dpann	Patescibacteriota	Bacteria	1609	815188	22	21	4599	814341	0.00564751
GCA_000992375.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1379854	19	18	9774	1379092	0.00708727
GCA_963554325.1	cpr_dpann	Patescibacteriota	Bacteria	1609	650533	15	15	9832	650023	0.01512562
GCA_903821745.1	cpr_dpann	Patescibacteriota	Bacteria	1609	768961	5	5	4077	768791	0.00530313
GCA_028870835.1	cpr_dpann	Patescibacteriota	Bacteria	1609	987749	20	20	3867	987069	0.00391766
GCA_028702475.1	cpr_dpann	Patescibacteriota	Bacteria	1609	655278	36	29	4435	653361	0.00678798
GCA_002788675.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1218889	12	10	5311	1218379	0.00435907
GCA_018701095.1	cpr_dpann	Patescibacteriota	Bacteria	1609	950833	16	16	6496	950289	0.00683582
GCA_002070095.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1442421	69	69	7571	1440075	0.00525737
GCA_002425145.1	cpr_dpann	Patescibacteriota	Bacteria	1609	875973	26	16	6600	872349	0.00756578
GCA_001783145.1	cpr_dpann	Patescibacteriota	Bacteria	1609	854266	34	20	6568	852623	0.00770329
GCA_018644765.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1019930	27	25	4508	1018814	0.00442475
GCA_001774655.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1089175	3	2	3687	1089043	0.00338554
GCA_028708725.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1105266	36	33	12169	1103745	0.01102519
GCA_903862575.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1347921	53	53	5033	1346119	0.0037389
GCA_000999325.1	cpr_dpann	Patescibacteriota	Bacteria	1609	586558	7	7	4056	586320	0.00691772
GCA_041671465.1	cpr_dpann	Patescibacteriota	Bacteria	1609	747206	33	32	5934	746075	0.00795362
GCA_041664485.1	cpr_dpann	Patescibacteriota	Bacteria	1609	742385	11	11	4777	742011	0.00643791
GCA_000992615.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1387108	20	18	9860	1386382	0.00711204
GCA_001791305.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1070576	23	5	5669	1069223	0.00530198
GCA_000992205.1	cpr_dpann	Patescibacteriota	Bacteria	1609	794606	20	20	5262	793926	0.00662782
GCA_027425155.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1529883	20	20	12535	1529203	0.00819708
GCA_000990745.1	cpr_dpann	Patescibacteriota	Bacteria	1609	743731	4	4	5461	743595	0.00734405
GCA_002410925.1	rare_phylum	UBP13	Bacteria	2	2254220	56	40	13220	2250179	0.00587509
GCA_023150995.1	rare_phylum	CLD3	Bacteria	3	3749409	78	69	29381	3746428	0.0078424
GCA_035422465.1	rare_phylum	UBA4055	Bacteria	2	2682198	78	63	11608	2678061	0.00433448
