accession	cohort	v5_completeness	v5_contamination	checkm2_completeness	checkm2_contamination	total_bp	n_contigs	classified_bp	unclassified_pct	orig_phylum_dominant	orig_phylum_dominant_pct	orig_phylum_contam_pct	orig_n_phyla	strict_phylum_dominant	strict_phylum_dominant_pct	strict_phylum_contam_pct	strict_n_phyla	strict_qualifying_bp	strict_qualifying_bp_frac	strict_n_qualifying_contigs	total_kmers	informative_kmers	informative_kmer_density	mean_contig_confidence_bpw	asm_total_bp	asm_n_contigs	asm_n50	asm_gc_pct
GCA_015487885.1	disagreement_141	89.26524	64.5203	96.66	2.28	4891862	299	4006894	18.091	Pseudomonadota	38.225	20.991	13	unresolved			0	0	0.0	0	4881696	4459	0.000913	0.000396	4891862	299	25711	54.323
GCA_016278515.1	disagreement_141	99.1635	8.066452	100.0	1.6	4270740	167	3862410	9.561	Bacillota	74.769	7.535	5	unresolved			0	0	0.0	0	4264415	3834	0.000899	0.000351	4270740	167	46988	40.874
GCA_016295605.1	disagreement_141	75.380974	0.008767843	93.13	1.53	1674252	266	1434084	14.345	Pseudomonadota	32.326	34.624	12	unresolved			0	0	0.0	0	1665208	4847	0.002911	0.001166	1674252	266	8156	64.893
GCA_016787285.1	disagreement_141	99.80432	7.4893355	96.77	1.11	5556013	345	4711087	15.207	Pseudomonadota	31.503	34.534	13	unresolved			0	0	0.0	0	5544283	5822	0.00105	0.000437	5556013	345	24969	55.688
GCA_017939065.1	disagreement_141	89.018974	14.0129175	95.04	3.18	1444896	50	1396803	3.328	Bacillota	79.197	11.161	7	unresolved			0	0	0.0	0	1443196	3562	0.002468	0.000786	1444896	50	59691	26.613
GCA_018057765.1	disagreement_141	73.647125	48.25221	97.73	0.03	1759823	51	1649284	6.281	Pseudomonadota	30.588	45.907	4	unresolved			0	0	0.0	0	1756493	1333	0.000759	0.000189	1759823	51	65094	35.81
GCA_018677455.1	disagreement_141	79.18665	1.9505739	100.0	0.98	3208883	168	3070746	4.305	Pseudomonadota	89.032	2.467	3	unresolved			0	0	0.0	0	3203171	10022	0.003129	0.000509	3208883	168	34782	61.645
GCA_019235985.1	disagreement_141	93.24382	5.475268	94.11	2.13	2336253	389	1345411	42.412	Pseudomonadota	22.656	22.584	9	unresolved			0	0	0.0	0	2323027	3060	0.001317	0.000923	2336253	389	7735	61.976
GCA_021810405.1	disagreement_141	98.36741	22.343327	92.47	0.11	2103954	62	1939563	7.813	Pseudomonadota	28.896	21.775	4	unresolved			0	0	0.0	0	2101013	1264	0.000602	0.00027	2103954	62	50265	45.63
GCA_022783155.1	disagreement_141	87.640724	0.06647408	96.78	1.88	2501410	168	2476635	0.99	Bacillota	98.926	0.083	2	unresolved			0	0	0.0	0	2495698	122057	0.048907	0.04729	2501410	168	22074	47.178
GCA_022827685.1	disagreement_141	99.820816	5.138433	98.84	2.77	4307412	167	4224271	1.93	Pseudomonadota	89.481	4.165	5	unresolved			0	0	0.0	0	4301734	22433	0.005215	0.000426	4307412	167	42335	68.611
GCA_023139045.1	disagreement_141	81.678955	6.5615745	94.38	1.03	3695767	205	2615691	29.225	Pseudomonadota	18.376	28.366	12	unresolved			0	0	0.0	0	3688797	1174	0.000318	0.000204	3695767	205	39366	46.932
GCA_023409405.1	disagreement_141	98.861916	6.478524	96.14	0.2	1695966	9	1691973	0.235	Bacillota	99.765	0.0	1	unresolved			0	0	0.0	0	1695660	2416	0.001425	7.2e-05	1695966	9	375312	28.388
GCA_024228115.1	disagreement_141	96.737625	26.185966	97.44	0.96	6414368	700	5403979	15.752	Pseudomonadota	45.931	26.497	14	unresolved			0	0	0.0	0	6390568	8779	0.001374	0.00042	6414368	700	22846	64.086
GCA_024763275.1	disagreement_141	81.40536	0.34325123	91.13	0.29	2554815	98	2193662	14.136	Pseudomonadota	38.96	28.916	9	unresolved			0	0	0.0	0	2551483	1749	0.000685	0.000229	2554815	98	40789	54.106
GCA_027442175.1	disagreement_141	99.96314	5.958909	99.55	1.23	2314502	61	2227309	3.767	Pseudomonadota	95.559	0.0	1	unresolved			0	0	0.0	0	2312428	4746	0.002052	0.000413	2314502	61	108777	53.222
GCA_028724105.1	disagreement_141	88.850006	0.016728044	98.24	0.59	2416929	86	2335873	3.354	Bacillota	86.425	1.212	2	unresolved			0	0	0.0	0	2414005	7819	0.003239	0.000363	2416929	86	48291	41.844
GCA_029007115.1	disagreement_141	75.70194	0.29004216	93.11	4.46	1243304	54	1202698	3.266	Bacillota	45.175	26.536	5	unresolved			0	0	0.0	0	1241468	1886	0.001519	0.000566	1243304	54	40649	24.74
GCA_029559035.1	disagreement_141	98.4721	9.046748	95.64	0.37	2863561	100	2630248	8.148	Pseudomonadota	49.625	28.676	9	unresolved			0	0	0.0	0	2860161	5232	0.001829	0.000936	2863561	100	78009	55.931
GCA_031263035.1	disagreement_141	62.08219	26.310593	93.8	2.73	2392468	156	2039962	14.734	Bacillota	66.446	12.309	10	unresolved			0	0	0.0	0	2387164	3719	0.001558	0.000555	2392468	156	28309	31.157
GCA_031969975.1	disagreement_141	88.15625	29.18064	99.37	2.37	9145261	1116	7979607	12.746	Cyanobacteriota	58.5	20.978	13	unresolved			0	0	0.0	0	9099878	19126	0.002102	0.000941	9145261	1116	13144	46.354
GCA_035386105.1	disagreement_141	77.825836	0.0044882298	94.02	0.88	1886924	106	1688246	10.529	Bacillota	81.711	5.822	8	unresolved			0	0	0.0	0	1871307	2360	0.001261	0.000362	1886924	106	30030	34.871
GCA_035435645.1	disagreement_141	71.285835	0.38408637	90.7	1.11	1663062	208	1476497	11.218	Bacillota	83.203	4.691	4	unresolved			0	0	0.0	0	1652891	6946	0.004202	0.001262	1663062	208	9925	39.416
GCA_035436425.1	disagreement_141	93.48346	9.269306	95.16	0.05	2254552	40	2213949	1.801	Pseudomonadota	56.196	20.05	4	unresolved			0	0	0.0	0	2251330	1637	0.000727	0.000198	2254552	40	95107	46.387
GCA_035453605.1	disagreement_141	80.10804	6.6231728	95.64	0.24	3932547	24	3897829	0.883	Pseudomonadota	80.529	18.588	5	unresolved			0	0	0.0	0	3930667	9198	0.00234	7.5e-05	3932547	24	319965	67.022
GCA_035601835.1	disagreement_141	80.189095	14.553431	98.23	0.11	2565881	18	2565881	0.0	Pseudomonadota	49.588	48.086	3	unresolved			0	0	0.0	0	2565269	4937	0.001925	0.000119	2565881	18	228804	63.509
GCA_036387965.1	disagreement_141	81.47278	0.43416917	92.98	3.39	4156919	685	2230164	46.351	Bacteroidota	38.603	8.356	10	unresolved			0	0	0.0	0	4133629	3740	0.000905	0.000748	4156919	685	8753	38.033
GCA_036638955.1	disagreement_141	89.15718	0.4679054	94.94	0.41	3800672	59	3800672	0.0	Pseudomonadota	100.0	0.0	1	unresolved			0	0	0.0	0	3796006	37565	0.009896	0.001088	3800672	59	107360	48.056
GCA_036666455.1	disagreement_141	87.22237	1.8401891	93.25	0.69	2057459	95	1914600	6.943	Bacillota	80.735	6.833	5	unresolved			0	0	0.0	0	2053165	2354	0.001147	0.000351	2057459	95	33882	32.445
GCA_036724015.1	disagreement_141	72.55689	1.4502823	98.9	1.67	2505319	265	1583535	36.793	Bacteroidota	24.154	22.647	8	unresolved			0	0	0.0	0	2495777	2025	0.000811	0.000492	2505319	265	13723	37.807
GCA_036772475.1	disagreement_141	85.269714	0.086310506	93.32	0.17	2894137	72	2777165	4.042	Bacteroidota	50.8	30.645	5	unresolved			0	0	0.0	0	2883975	1922	0.000666	0.000153	2894137	72	85658	49.184
GCA_036794495.1	disagreement_141	71.75981	5.736023	95.43	3.6	2207610	85	2160859	2.118	Actinomycetota	36.553	44.297	10	unresolved			0	0	0.0	0	2198299	3643	0.001657	0.000491	2207610	85	46718	62.821
GCA_037143955.1	disagreement_141	82.787	13.499811	90.1	3.16	2153551	326	1805940	16.141	Actinomycetota	74.31	5.453	4	unresolved			0	0	0.0	0	2142467	6894	0.003218	0.001099	2153551	326	9868	62.892
GCA_038246785.1	disagreement_141	68.34118	2.9494822	96.66	1.04	3405052	84	3385297	0.58	Actinomycetota	99.42	0.0	1	unresolved			0	0	0.0	0	3402196	33082	0.009724	0.000499	3405052	84	69285	73.017
GCA_039925865.1	disagreement_141	70.96335	1.8668145	94.4	0.49	3104186	342	1745767	43.761	Bacteroidota	12.158	29.416	16	unresolved			0	0	0.0	0	3092558	1950	0.000631	0.000578	3104186	342	11818	34.507
GCA_040797425.1	disagreement_141	99.48987	5.974123	100.0	2.29	3660398	145	3621321	1.068	Bacillota	90.066	7.833	3	unresolved			0	0	0.0	0	3655468	22087	0.006042	0.002583	3660398	145	53258	68.465
GCA_041241815.1	disagreement_141	83.19635	0.04364252	90.95	2.23	1722530	126	1626275	5.588	Bacteroidota	84.371	2.49	5	unresolved			0	0	0.0	0	1718246	3279	0.001908	0.000858	1722530	126	18131	38.478
GCA_041586535.1	disagreement_141	64.70879	3.27836	96.48	1.44	3824862	239	3760701	1.677	Pseudomonadota	96.741	0.603	3	unresolved			0	0	0.0	0	3816736	13151	0.003446	0.000939	3824862	239	22059	42.701
GCA_041655595.1	disagreement_141	72.85508	0.15984178	93.5	1.2	2088801	169	1549254	25.83	Bacillota	42.732	18.821	12	unresolved			0	0	0.0	0	2083055	1693	0.000813	0.000436	2088801	169	16164	42.288
GCA_041781395.1	disagreement_141	82.7688	0.06915629	92.09	0.07	2088110	131	1865974	10.638	Bacteroidota	77.924	4.905	4	unresolved			0	0	0.0	0	2083656	3581	0.001719	0.000694	2088110	131	21394	37.444
GCA_043557685.1	disagreement_141	84.93734	0.37379563	92.42	1.58	2615191	319	2090293	20.071	Bacillota	64.709	8.196	9	unresolved			0	0	0.0	0	2603340	5244	0.002014	0.000859	2615191	319	10084	33.424
GCA_043747205.1	disagreement_141	79.73966	0.28936267	95.78	4.71	2959920	472	2683180	9.35	Bacteroidota	87.629	2.172	6	unresolved			0	0	0.0	0	2943872	20336	0.006908	0.001625	2959920	472	12357	31.086
GCA_043788545.1	disagreement_141	99.409546	6.054342	99.35	0.05	4870130	167	4536240	6.856	Bacteroidota	68.652	12.624	8	unresolved			0	0	0.0	0	4864452	3135	0.000644	0.000201	4870130	167	46754	44.335
GCA_043813215.1	disagreement_141	69.82423	3.599155	95.29	0.49	612632	44	465427	24.028	Pseudomonadota	19.415	31.283	6	unresolved			0	0	0.0	0	611136	341	0.000558	0.000444	612632	44	23799	39.375
GCA_044344765.1	disagreement_141	63.872627	15.361121	93.3	1.35	3596205	307	3506663	2.49	Pseudomonadota	36.717	49.947	10	unresolved			0	0	0.0	0	3585767	12256	0.003418	0.000728	3596205	307	15862	69.87
GCA_046063625.1	disagreement_141	88.17737	0.042948127	93.73	0.57	4635650	552	4616740	0.408	Cyanobacteriota	99.403	0.118	2	unresolved			0	0	0.0	0	4616882	148252	0.032111	0.022402	4635650	552	10901	37.699
GCA_046160275.1	disagreement_141	91.71346	29.836962	93.87	4.26	5881720	782	2688270	54.294	Bacteroidota	24.893	13.72	14	unresolved			0	0	0.0	0	5855132	3711	0.000634	0.00062	5881720	782	9510	37.824
GCA_046302235.1	disagreement_141	88.575096	0.13864636	93.76	0.49	2566202	475	2406944	6.206	Cyanobacteriota	81.434	8.757	6	unresolved			0	0	0.0	0	2550052	19550	0.007667	0.001484	2566202	475	7899	68.586
GCA_046757765.1	disagreement_141	97.883835	5.975813	91.67	4.7	5642785	698	3020039	46.48	Pseudomonadota	23.482	15.852	19	unresolved			0	0	0.0	0	5619053	3684	0.000656	0.000515	5642785	698	10924	59.167
GCA_048428545.1	disagreement_141	85.10075	0.10340512	91.03	2.82	3016132	236	3009245	0.228	Actinomycetota	99.421	0.239	2	unresolved			0	0	0.0	0	3008108	252261	0.08386	0.057895	3016132	236	16920	64.608
GCA_048491915.1	disagreement_141	55.629852	32.329674	97.63	0.01	847736	39	840930	0.803	Pseudomonadota	98.586	0.0	1	unresolved			0	0	0.0	0	846410	3598	0.004251	0.000952	847736	39	30238	38.604
GCA_048535265.1	disagreement_141	86.42712	0.21836162	98.92	0.57	1903751	74	1903751	0.0	Actinomycetota	99.8	0.0	1	unresolved			0	0	0.0	0	1901235	162549	0.085497	0.01035	1903751	74	40595	59.705
GCA_048561425.1	disagreement_141	87.94443	12.419516	100.0	1.15	3621627	1495	1889141	47.837	Pseudomonadota	39.299	9.547	14	unresolved			0	0	0.0	0	3566608	12955	0.003632	0.00219	3621627	1495	4743	43.639
GCA_049282835.1	disagreement_141	98.08657	19.41846	95.42	1.52	5067105	179	4767799	5.907	Pseudomonadota	64.667	17.161	5	unresolved			0	0	0.0	0	5061019	5714	0.001129	0.000294	5067105	179	62967	59.129
GCA_049324695.1	disagreement_141	97.80748	15.378988	98.81	4.8	9979657	69	9891967	0.879	Pseudomonadota	72.624	20.422	3	unresolved			0	0	0.0	0	9970442	10665	0.00107	0.000117	9979657	69	234877	63.254
GCA_049840515.1	disagreement_141	78.669754	2.5625288	91.27	1.76	2986087	28	2969593	0.552	Bacillota	97.457	0.345	2	unresolved			0	0	0.0	0	2985135	7355	0.002464	0.000272	2986087	28	201501	42.607
GCA_049970495.1	disagreement_141	90.60214	5.628517	95.94	1.88	1988594	143	1435457	27.815	Bacillota	22.764	22.752	10	unresolved			0	0	0.0	0	1983647	1049	0.000529	0.000393	1988594	143	25676	36.795
GCA_050949705.1	disagreement_141	79.283195	13.875094	95.08	1.48	2489808	21	2464418	1.02	Bacillota	98.98	0.0	1	unresolved			0	0	0.0	0	2489094	4195	0.001685	0.000276	2489808	21	202195	36.628
GCA_051270635.1	disagreement_141	99.19812	11.948755	93.7	1.51	7862417	419	5456188	30.604	Pseudomonadota	27.397	23.316	13	unresolved			0	0	0.0	0	7848171	3806	0.000485	0.000297	7862417	419	26933	54.07
GCA_051656445.1	disagreement_141	80.6943	4.4070573	91.22	3.58	2447981	655	1548180	36.757	Pseudomonadota	57.089	2.829	8	unresolved			0	0	0.0	0	2425711	6421	0.002647	0.001552	2447981	655	4695	53.519
GCA_051873075.1	disagreement_141	89.484276	1.7819911	93.75	2.08	1713025	83	1663121	2.913	Bacillota	96.274	0.592	2	unresolved			0	0	0.0	0	1707942	10503	0.00615	0.002485	1713025	83	36055	51.331
GCA_051874775.1	disagreement_141	67.64038	35.292583	97.33	1.54	1643850	39	1575234	4.174	Pseudomonadota	40.237	30.37	5	unresolved			0	0	0.0	0	1641726	1324	0.000806	0.000275	1643850	39	67922	47.778
GCA_052086065.1	disagreement_141	87.28264	0.14001727	98.94	0.44	3668688	131	3668688	0.0	Actinomycetota	100.0	0.0	1	unresolved			0	0	0.0	0	3645927	303585	0.083267	0.021073	3668688	131	58518	63.236
GCA_052109275.1	disagreement_141	84.554596	0.26167333	91.72	1.7	3538844	172	3522486	0.462	Actinomycetota	99.538	0.0	1	unresolved			0	0	0.0	0	3519755	292200	0.083017	0.020364	3538844	172	46486	63.182
GCA_052733055.1	disagreement_141	83.08392	0.1269728	91.79	1.02	2769163	148	2491380	10.031	Bacteroidota	77.154	2.215	4	unresolved			0	0	0.0	0	2764131	4375	0.001583	0.000418	2769163	148	34121	35.786
GCA_053497875.1	disagreement_141	85.47356	2.6081114	95.65	1.32	2373738	48	2366469	0.306	Actinomycetota	91.255	2.939	2	unresolved			0	0	0.0	0	2372106	4400	0.001855	0.000326	2373738	48	66067	65.277
GCA_053526915.1	disagreement_141	85.60852	1.855737	99.66	0.2	1618686	90	1485406	8.234	Campylobacterota	66.482	13.933	6	unresolved			0	0	0.0	0	1615626	2135	0.001321	0.000324	1618686	90	28566	36.871
GCA_054040315.1	disagreement_141	99.80986	17.307032	95.33	0.47	991928	77	815948	17.741	Pseudomonadota	24.178	39.54	10	unresolved			0	0	0.0	0	989310	984	0.000995	0.000463	991928	77	23654	30.651
GCA_054186275.1	disagreement_141	76.78789	3.7255168	93.27	0.0	1766851	125	1401523	20.677	Bacteroidota	55.287	10.832	6	unresolved			0	0	0.0	0	1761388	1460	0.000829	0.000344	1766851	125	25398	42.129
GCA_054602775.1	disagreement_141	93.534775	5.8497963	97.97	0.54	2177818	73	2132316	2.089	Actinomycetota	43.925	45.475	4	unresolved			0	0	0.0	0	2175121	5293	0.002433	0.00043	2177818	73	40805	61.665
GCA_055962315.1	disagreement_141	95.67377	50.675446	97.96	0.04	3310086	42	3280752	0.886	Pseudomonadota	69.48	19.928	5	unresolved			0	0	0.0	0	3308658	2456	0.000742	0.000136	3310086	42	116990	50.784
GCA_902797625.1	disagreement_141	75.634384	1.0822743	95.18	0.1	1811845	139	1455942	19.643	Bacteroidota	46.75	22.615	8	unresolved			0	0	0.0	0	1807119	1673	0.000926	0.000404	1811845	139	19595	35.11
GCA_903852135.1	disagreement_141	84.78137	0.57608485	94.4	4.85	1480201	237	1473284	0.467	Pseudomonadota	99.533	0.0	1	Pseudomonadota	100.0	0.0	1	4706	0.0032	2	1472143	123271	0.083736	0.071509	1480201	237	8694	46.42
GCA_903898695.1	disagreement_141	99.6242	9.661332	97.81	0.96	4787948	95	4666381	2.539	Pseudomonadota	58.865	27.69	6	unresolved			0	0	0.0	0	4784718	5148	0.001076	0.000159	4787948	95	89749	61.016
GCA_903952265.1	disagreement_141	54.315018	0.11792183	97.61	0.0	571808	2	571808	0.0	Pseudomonadota	100.0	0.0	1	unresolved			0	0	0.0	0	571740	591	0.001034	2.1e-05	571808	2	333063	36.693
GCA_934202235.1	disagreement_141	79.70908	0.111055374	99.85	0.64	1616150	75	1514847	6.268	Bacillota	90.119	1.647	3	unresolved			0	0	0.0	0	1613600	2786	0.001727	0.000392	1616150	75	28576	48.661
GCA_937870855.1	disagreement_141	69.05198	0.4454732	100.0	0.63	3224987	211	2619744	18.767	Bacteroidota	60.073	9.334	9	unresolved			0	0	0.0	0	3217813	3250	0.00101	0.000458	3224987	211	22795	41.781
GCA_937897955.1	disagreement_141	73.79252	7.9890103	97.58	3.2	2001936	248	1639717	18.093	Pseudomonadota	80.241	0.916	6	unresolved			0	0	0.0	0	1993504	6631	0.003326	0.000599	2001936	248	24275	59.098
GCA_938009135.1	disagreement_141	99.63043	9.431428	97.51	0.64	4169948	165	3606388	13.515	Bacteroidota	37.431	24.263	12	unresolved			0	0	0.0	0	4164338	2708	0.00065	0.000334	4169948	165	30004	39.351
GCA_938038695.1	disagreement_141	85.63953	0.7593602	98.54	2.03	2034131	139	1736841	14.615	Bacillota	58.903	10.645	5	unresolved			0	0	0.0	0	2029405	3167	0.001561	0.000626	2034131	139	21303	44.265
GCA_938082465.1	disagreement_141	94.05246	9.034342	94.86	0.63	2448320	43	2375153	2.988	Pseudomonadota	94.426	2.586	3	unresolved			0	0	0.0	0	2446858	2996	0.001224	0.000254	2448320	43	103285	40.685
GCA_944355355.1	disagreement_141	71.42343	28.078032	93.78	0.93	1370104	80	1151629	15.946	Bacillota	52.376	18.052	7	unresolved			0	0	0.0	0	1367384	1237	0.000905	0.000354	1370104	80	25084	31.513
GCA_945860945.1	disagreement_141	70.507614	0.07409155	93.8	0.33	2627201	131	2502689	4.739	Pseudomonadota	43.869	37.294	10	unresolved			0	0	0.0	0	2622720	4764	0.001816	0.000505	2627201	131	31512	61.172
GCA_945881845.1	disagreement_141	77.36545	0.009056926	91.68	1.01	2067449	66	2041346	1.263	Actinomycetota	74.26	22.422	3	unresolved			0	0	0.0	0	2065205	5049	0.002445	0.000238	2067449	66	57637	64.011
GCA_946999215.1	disagreement_141	83.94728	0.0067949295	92.54	0.13	1607478	12	1607478	0.0	Actinomycetota	61.118	38.882	3	unresolved			0	0	0.0	0	1607070	2291	0.001426	0.000325	1607478	12	212402	46.44
GCA_947085045.1	disagreement_141	78.72232	1.7234564	99.76	2.31	2795204	14	2795204	0.0	Actinomycetota	100.0	0.0	1	unresolved			0	0	0.0	0	2794728	35993	0.012879	9.1e-05	2795204	14	276992	70.208
GCA_947498875.1	disagreement_141	68.635315	1.42636	100.0	0.23	2316515	78	2261069	2.394	Pseudomonadota	96.767	0.84	3	unresolved			0	0	0.0	0	2313863	11884	0.005136	0.000282	2316515	78	53396	62.422
GCA_947626165.1	disagreement_141	65.47315	11.839453	97.45	2.05	1836353	16	1816646	1.073	Bacillota	94.149	0.795	2	unresolved			0	0	0.0	0	1835809	1818	0.00099	0.00016	1836353	16	163983	38.011
GCA_948703015.1	disagreement_141	82.77455	31.674969	92.25	0.48	1657732	84	1467669	11.465	Bacillota	61.379	10.732	6	unresolved			0	0	0.0	0	1652922	2121	0.001283	0.000559	1657732	84	42023	27.317
GCA_949386215.1	disagreement_141	97.38136	63.80365	95.05	2.27	4751202	156	4654875	2.027	Bacillota	74.672	14.611	6	unresolved			0	0	0.0	0	4745898	6900	0.001454	0.000317	4751202	156	49215	54.935
GCA_963537445.1	disagreement_141	86.96846	0.20753741	91.0	0.43	1674560	164	1529695	8.651	Pseudomonadota	81.023	2.992	5	unresolved			0	0	0.0	0	1668984	6522	0.003908	0.001034	1674560	164	13204	37.983
GCA_963639955.1	disagreement_141	98.86117	7.129261	95.81	0.39	2610100	66	2532700	2.965	Actinomycetota	93.012	1.513	4	unresolved			0	0	0.0	0	2607017	13495	0.005176	0.000418	2610100	66	107664	64.164
GCA_963705225.1	disagreement_141	97.244446	25.59051	94.3	0.02	4850502	1	4850502	0.0	Pseudomonadota	100.0	0.0	1	unresolved			0	0	0.0	0	4850468	5305	0.001094	7e-06	4850502	1	4850502	52.176
GCA_963729245.1	disagreement_141	92.32568	14.7138	90.35	4.84	4361354	58	4361354	0.0	Pseudomonadota	70.723	23.575	5	unresolved			0	0	0.0	0	4359382	12111	0.002778	0.000268	4361354	58	113422	61.528
GCA_963761895.1	disagreement_141	96.33667	15.909502	91.69	4.71	10215802	5	10215802	0.0	Pseudomonadota	100.0	0.0	1	unresolved			0	0	0.0	0	10215632	361363	0.035374	0.020879	10215802	5	2762856	61.175
GCA_963765295.1	disagreement_141	76.11514	1.4574498	91.39	0.72	3754360	8	3754360	0.0	Actinomycetota	100.0	0.0	1	unresolved			0	0	0.0	0	3754088	14781	0.003937	0.000181	3754360	8	569695	69.915
GCA_963849745.1	disagreement_141	98.231514	5.8389335	95.99	1.09	4261971	15	4261971	0.0	Actinomycetota	98.886	1.114	2	unresolved			0	0	0.0	0	4261461	10137	0.002379	0.000216	4261971	15	447667	63.095
GCA_963979665.1	disagreement_141	65.830055	0.006312132	92.5	2.78	1621888	367	918622	43.361	Pseudomonadota	47.363	4.554	8	unresolved			0	0	0.0	0	1609410	2742	0.001704	0.001233	1621888	367	5301	51.012
GCA_964242225.1	disagreement_141	74.63924	11.433495	99.64	0.39	3920059	39	3903730	0.417	Acidobacteriota	88.456	10.621	6	unresolved			0	0	0.0	0	3917004	7633	0.001949	0.000165	3920059	39	281990	62.04
GCA_964358905.1	disagreement_141	99.82205	5.1383348	91.92	0.72	1251100	163	477033	61.871	Pseudomonadota	11.189	18.84	12	unresolved			0	0	0.0	0	1243841	583	0.000469	0.000489	1251100	163	9748	45.051
GCA_964362675.1	disagreement_141	74.257385	1.7480195	91.88	0.18	581374	71	337181	42.003	Bacteroidota	15.224	30.384	9	unresolved			0	0	0.0	0	575060	383	0.000666	0.000438	581374	71	13912	36.523
GCA_964370005.1	disagreement_141	85.284195	0.047799945	95.2	0.3	2172649	128	1724742	20.616	Bacillota	32.696	25.238	11	unresolved			0	0	0.0	0	2161976	1527	0.000706	0.000317	2172649	128	26486	48.397
GCA_964436235.1	disagreement_141	98.94782	32.64514	92.41	2.11	4757597	321	3363825	29.296	Pseudomonadota	21.679	28.224	12	unresolved			0	0	0.0	0	4722571	2076	0.00044	0.000289	4757597	321	27117	43.348
GCA_964441855.1	disagreement_141	80.09703	0.05390942	95.71	0.21	532405	78	268096	49.644	Pseudomonadota	13.089	29.381	6	unresolved			0	0	0.0	0	527865	326	0.000618	0.000511	532405	78	9803	53.879
GCA_964442135.1	disagreement_141	73.216705	0.53073466	90.37	0.04	1458986	63	1230372	15.669	Bacillota	44.785	14.042	4	unresolved			0	0	0.0	0	1454141	1217	0.000837	0.000327	1458986	63	33252	49.834
GCA_964453895.1	disagreement_141	99.72406	10.420132	96.82	1.75	4033014	60	3867667	4.1	Pseudomonadota	69.352	12.986	8	unresolved			0	0	0.0	0	4030583	2473	0.000614	0.000147	4033014	60	112159	52.297
GCA_964499935.1	disagreement_141	99.63936	35.73852	96.67	1.5	1466879	131	1231141	16.071	Pseudomonadota	65.826	8.302	8	unresolved			0	0	0.0	0	1460786	1091	0.000747	0.000229	1466879	131	885286	46.03
GCA_964536905.1	disagreement_141	72.09778	1.9100875	92.64	3.25	567757	116	282570	50.23	Bacillota	18.3	17.706	11	unresolved			0	0	0.0	0	562534	424	0.000754	0.000731	567757	116	5702	31.453
GCA_964545285.1	disagreement_141	76.3179	0.3560424	94.46	0.59	1099409	53	1013576	7.807	Bacillota	47.261	17.691	6	unresolved			0	0	0.0	0	1096899	1271	0.001159	0.000512	1099409	53	31968	25.23
