dataset	sample	genome	taxid	ref_len	span_bp	union_bp	n_contigs	cami_novelty_category	completeness_pct	completeness_pct_union	contamination_pct	excluded_non_genome	scoreable_by_magicc	bin_id
marine	0	Otu119.1	28108	4480507	3658038	3658038	5953	known_strain	81.64339437478839	81.64339437478839	0.0	False	True	s0__Otu119.1
marine	0	Otu1191	1462	3592666	1087852	1087852	3803	known_strain	30.279797788049322	30.279797788049322	0.0	False	False	s0__Otu1191
marine	0	Otu1193	64160	1541968	1359666	1359666	1583	known_strain	88.17731626077844	88.17731626077844	0.0	False	True	s0__Otu1193
marine	0	Otu1204	1737403	1118574	996696	996696	1139	known_strain	89.10416297893568	89.10416297893568	0.0	False	True	s0__Otu1204
marine	0	Otu1209	80852	4655067	2397886	2397886	6886	new_strain	51.511310148704624	51.511310148704624	0.0	False	True	s0__Otu1209
marine	0	Otu1219	62322	5547544	1677214	1677214	5808	new_strain	30.233451055097536	30.233451055097536	0.0	False	False	s0__Otu1219
marine	0	Otu122.0	159346	3555109	1803268	1803268	5132	known_strain	50.72328302732771	50.72328302732771	0.0	False	True	s0__Otu122.0
marine	0	Otu122.1	1920883	3147211	54470	54470	231	known_strain	1.7307387397921525	1.7307387397921525	0.0	False	False	s0__Otu122.1
marine	0	Otu1227	129337	3442724	1051830	1051830	3686	known_strain	30.55226036127206	30.55226036127206	0.0	False	False	s0__Otu1227
marine	0	Otu123.0	1076588	3153637	2794714	2794714	3236	known_strain	88.61875986361144	88.61875986361144	0.0	False	True	s0__Otu123.0
marine	0	Otu1237.0	1758689	3597394	1092992	1092992	3798	known_strain	30.382882720102387	30.382882720102387	0.0	False	False	s0__Otu1237.0
marine	0	Otu1270	212663	4928188	3259270	3259270	7585	new_strain	66.1352610736441	66.1352610736441	0.0	False	True	s0__Otu1270
marine	0	Otu1278.0	104267	2644621	2533188	2533188	1404	new_species	95.78642837669368	95.78642837669368	0.0	False	True	s0__Otu1278.0
marine	0	Otu1279	106589	7949449	2418895	2418895	8488	new_species	30.42846114240119	30.42846114240119	0.0	False	False	s0__Otu1279
marine	0	Otu128	80854	5158435	2667679	2667679	7614	known_strain	51.71489027195263	51.71489027195263	0.0	False	True	s0__Otu128
marine	0	Otu1283	511678	4451800	1346753	1346753	4714	new_species	30.25187564580619	30.25187564580619	0.0	False	False	s0__Otu1283
marine	0	Otu13.0	1329899	2655425	2637843	2637843	373	known_strain	99.3378837662521	99.3378837662521	0.0	False	True	s0__Otu13.0
marine	0	Otu130.0	880	4289847	2209172	2209172	6308	known_strain	51.49768744666185	51.49768744666185	0.0	False	True	s0__Otu130.0
marine	0	Otu1300	1821960	4329652	1316441	1316441	4556	known_strain	30.40523811151566	30.40523811151566	0.0	False	False	s0__Otu1300
marine	0	Otu1301	80852	4453751	3386592	3386592	6345	new_strain	76.03909603388244	76.03909603388244	0.0	False	True	s0__Otu1301
marine	0	Otu1302	2337	1884562	567502	567502	1986	known_strain	30.113204023003753	30.113204023003753	0.0	False	False	s0__Otu1302
marine	0	Otu1316	131112	1998342	605895	605895	2095	known_strain	30.319885184818215	30.319885184818215	0.0	False	False	s0__Otu1316
marine	0	Otu132	914150	2495242	2210540	2210540	2610	known_strain	88.59020487792367	88.59020487792367	0.0	False	True	s0__Otu132
marine	0	Otu1330	342948	1847607	561737	561737	1957	known_strain	30.403489486671138	30.403489486671138	0.0	False	False	s0__Otu1330
marine	0	Otu1332.0	1906738	3628091	2403622	2403622	5478	known_strain	66.25032282817602	66.25032282817602	0.0	False	True	s0__Otu1332.0
marine	0	Otu1334	74109	6403280	3309075	3309075	9434	known_strain	51.67781199635187	51.67781199635187	0.0	False	True	s0__Otu1334
marine	0	Otu1336	754477	2745290	827313	827313	2839	known_strain	30.13572336620175	30.13572336620175	0.0	False	False	s0__Otu1336
marine	0	Otu1337	1491	3914604	3914341	3914341	14	known_strain	99.99328156819949	99.99328156819949	0.0	False	True	s0__Otu1337
marine	0	Otu1344	40269	4643964	1412771	1412771	4933	new_strain	30.42166132209466	30.42166132209466	0.0	False	False	s0__Otu1344
marine	0	Otu136	40269	4246561	4211071	4211071	519	new_strain	99.16426491930764	99.16426491930764	0.0	False	True	s0__Otu136
marine	0	Otu1362.0	1855377	1663904	1392438	1392438	2080	known_strain	83.68499624978364	83.68499624978364	0.0	False	True	s0__Otu1362.0
marine	0	Otu137.0	314275	4395035	4311222	4311222	1369	known_strain	98.09300722292313	98.09300722292313	0.0	False	True	s0__Otu137.0
marine	0	Otu1381	246969	2086428	1848751	1848751	2188	known_strain	88.60842550042464	88.60842550042464	0.0	False	True	s0__Otu1381
marine	0	Otu1382	373994	8728773	2672515	2672515	9350	known_strain	30.617304402348417	30.617304402348417	0.0	False	False	s0__Otu1382
marine	0	Otu139	645	5040536	4460106	4460106	5235	new_strain	88.48475638305132	88.48475638305132	0.0	False	True	s0__Otu139
marine	0	Otu1398	1008460	1716818	520063	520063	1806	known_strain	30.292261614218862	30.292261614218862	0.0	False	False	s0__Otu1398
marine	0	Otu1399	39766	2201561	1140544	1140544	3285	known_strain	51.806150272465764	51.806150272465764	0.0	False	True	s0__Otu1399
marine	0	Otu1405	288	5187005	3438505	3438505	7946	known_strain	66.29075931100896	66.29075931100896	0.0	False	True	s0__Otu1405
marine	0	Otu1420.0	1670800	5324561	1610661	1610661	5615	known_strain	30.249648750385244	30.249648750385244	0.0	False	False	s0__Otu1420.0
marine	0	Otu1427	261964	2852073	1471468	1471468	4222	known_strain	51.59292907299357	51.59292907299357	0.0	False	True	s0__Otu1427
marine	0	Otu1428.0	133924	4650996	3567657	3567657	6695	known_strain	76.70737622651149	76.70737622651149	0.0	False	True	s0__Otu1428.0
marine	0	Otu1433	2014	6585441	3387696	3387696	9668	known_strain	51.442204098404346	51.442204098404346	0.0	False	True	s0__Otu1433
marine	0	Otu1445	53633	3551206	3354493	3354493	2360	known_strain	94.4606705440349	94.4606705440349	0.0	False	True	s0__Otu1445
marine	0	Otu1446.0	320787	6158829	1874981	1874981	6524	known_strain	30.44379053225865	30.44379053225865	0.0	False	False	s0__Otu1446.0
marine	0	Otu1455	135577	2839318	873262	873262	3063	known_strain	30.75604775512993	30.75604775512993	0.0	False	False	s0__Otu1455
marine	0	Otu1458.0	1763535	4944132	4762119	4762119	2548	known_strain	96.31860557121048	96.31860557121048	0.0	False	True	s0__Otu1458.0
marine	0	Otu1460	1480675	2835858	860749	860749	3005	known_strain	30.352330758451235	30.352330758451235	0.0	False	False	s0__Otu1460
marine	0	Otu1462.0	192421	3294581	996989	996989	3487	known_strain	30.261480898481476	30.261480898481476	0.0	False	False	s0__Otu1462.0
marine	0	Otu1468.0	320324	4228350	2167676	2167676	6231	known_strain	51.265292608227796	51.265292608227796	0.0	False	True	s0__Otu1468.0
marine	0	Otu1469.0	1850250	3780829	183926	183926	758	known_strain	4.864700307789641	4.864700307789641	0.0	False	False	s0__Otu1469.0
marine	0	Otu1469.1	60890	4061725	1086100	1086100	3876	known_strain	26.73987037527159	26.73987037527159	0.0	False	False	s0__Otu1469.1
marine	0	Otu1474.0	314275	4480937	2960870	2960870	6903	known_strain	66.07702808586686	66.07702808586686	0.0	False	True	s0__Otu1474.0
marine	0	Otu1475	2198	2478101	2463583	2463583	319	known_strain	99.41414817233034	99.41414817233034	0.0	False	True	s0__Otu1475
marine	0	Otu1487	228	3916707	2597916	2597916	6045	new_strain	66.32908716429388	66.32908716429388	0.0	False	True	s0__Otu1487
marine	0	Otu149	32003	1352885	1041389	1041389	1927	known_strain	76.97542658836487	76.97542658836487	0.0	False	True	s0__Otu149
marine	0	Otu1498	212663	5295768	4859074	4859074	4456	new_strain	91.75390613788217	91.75390613788217	0.0	False	True	s0__Otu1498
marine	0	Otu150.0	49546	3309884	3293052	3293052	318	new_genus	99.49146254068118	99.49146254068118	0.0	False	True	s0__Otu150.0
marine	0	Otu1501	316	5030940	1528784	1528784	5351	known_strain	30.38764127578544	30.38764127578544	0.0	False	False	s0__Otu1501
marine	0	Otu1507	80852	4578199	2370387	2370387	6872	new_strain	51.77553444050815	51.77553444050815	0.0	False	True	s0__Otu1507
marine	0	Otu1515	669	6130289	4063506	4063506	9394	known_strain	66.2857167092775	66.2857167092775	0.0	False	True	s0__Otu1515
marine	0	Otu152	286	6425471	5376720	5376720	7988	new_species	83.67822374422046	83.67822374422046	0.0	False	True	s0__Otu152
marine	0	Otu1529	645	4351783	4281774	4281774	1126	new_strain	98.39125710082511	98.39125710082511	0.0	False	True	s0__Otu1529
marine	0	Otu1534	2336	1869610	565947	565947	1957	new_strain	30.270858628270066	30.270858628270066	0.0	False	False	s0__Otu1534
marine	0	Otu1536	1219	1864731	1234814	1234814	2877	known_strain	66.21941717062676	66.21941717062676	0.0	False	True	s0__Otu1536
marine	0	Otu1543	657445	1858987	961802	961802	2773	known_strain	51.7379626646125	51.7379626646125	0.0	False	True	s0__Otu1543
marine	0	Otu1544	1434100	4211468	1292724	1292724	4495	known_strain	30.69532998944786	30.69532998944786	0.0	False	False	s0__Otu1544
marine	0	Otu1545	1760	3194345	977012	977012	3421	new_order	30.585675623641155	30.585675623641155	0.0	False	False	s0__Otu1545
marine	0	Otu1546	182710	3630528	2419900	2419900	5575	known_strain	66.6542166869392	66.6542166869392	0.0	False	True	s0__Otu1546
marine	0	Otu1548.0	1284658	3288122	2058475	2058475	5063	known_strain	62.60336447370262	62.60336447370262	0.0	False	True	s0__Otu1548.0
marine	0	Otu1548.1	1063	4649054	3955632	3955632	5533	new_strain	85.084664536054	85.084664536054	0.0	False	True	s0__Otu1548.1
marine	0	Otu157.0	1897729	3543891	1077768	1077768	3742	new_strain	30.411996305755455	30.411996305755455	0.0	False	False	s0__Otu157.0
marine	0	Otu1573	1238	3515614	2330224	2330224	5477	known_strain	66.28213450054528	66.28213450054528	0.0	False	True	s0__Otu1573
marine	0	Otu1585	55601	3384748	1740178	1740178	5021	new_strain	51.412335571215344	51.412335571215344	0.0	False	True	s0__Otu1585
marine	0	Otu159	1298608	3347688	2961056	2961056	3424	new_species	88.4507755800421	88.4507755800421	0.0	False	True	s0__Otu159
marine	0	Otu1596	80852	4568100	1383719	1383719	4870	new_strain	30.29090869289201	30.29090869289201	0.0	False	False	s0__Otu1596
marine	0	Otu160	971279	1859370	1859366	1859366	1	known_strain	99.99978487337108	99.99978487337108	0.0	False	True	s0__Otu160
marine	0	Otu1617	492670	4241576	1293968	1293968	4533	known_strain	30.506773897249513	30.506773897249513	0.0	False	False	s0__Otu1617
marine	0	Otu1621	1348	2143887	654856	654856	2298	known_strain	30.545266611533165	30.545266611533165	0.0	False	False	s0__Otu1621
marine	0	Otu163	1883	7224475	6037438	6037438	8955	known_strain	83.56922821381484	83.56922821381484	0.0	False	True	s0__Otu163
marine	0	Otu1632	1144748	2496140	1658853	1658853	3825	known_strain	66.45672918986916	66.45672918986916	0.0	False	True	s0__Otu1632
marine	0	Otu1635	670	5443401	1661282	1661282	5750	known_strain	30.519191953706883	30.519191953706883	0.0	False	False	s0__Otu1635
marine	0	Otu1656	29292	1768562	1353914	1353914	2530	known_strain	76.55451151839743	76.55451151839743	0.0	False	True	s0__Otu1656
marine	0	Otu1664	2252	3904707	2592019	2592019	5999	known_strain	66.38190778463019	66.38190778463019	0.0	False	True	s0__Otu1664
marine	0	Otu1665	1505907	2126164	1418197	1418197	3317	known_strain	66.70214527195456	66.70214527195456	0.0	False	True	s0__Otu1665
marine	0	Otu1676.0	1754	2540159	769887	769887	2668	known_strain	30.308614539483553	30.308614539483553	0.0	False	False	s0__Otu1676.0
marine	0	Otu1692	55601	4117885	1246228	1246228	4300	new_strain	30.263788328231605	30.263788328231605	0.0	False	False	s0__Otu1692
marine	0	Otu1719	39765	2427734	735820	735820	2552	known_strain	30.308921817629113	30.308921817629113	0.0	False	False	s0__Otu1719
marine	0	Otu172.0	60890	4540155	4183130	4183130	3813	known_strain	92.13628169082332	92.13628169082332	0.0	False	True	s0__Otu172.0
marine	0	Otu1722	56812	4845257	1471513	1471513	5142	known_strain	30.370174378779083	30.370174378779083	0.0	False	False	s0__Otu1722
marine	0	Otu1723	502682	2724951	834011	834011	2918	known_strain	30.606458611549346	30.606458611549346	0.0	False	False	s0__Otu1723
marine	0	Otu1737	44251	6053498	4020615	4020615	9299	known_strain	66.41804457521916	66.41804457521916	0.0	False	True	s0__Otu1737
marine	0	Otu1739	1348774	3863562	1171167	1171167	4114	known_strain	30.31314108586843	30.31314108586843	0.0	False	False	s0__Otu1739
marine	0	Otu174	1219	1484494	448489	448489	1575	known_strain	30.211573775306604	30.211573775306604	0.0	False	False	s0__Otu174
marine	0	Otu1750	195522	1976356	1008483	1008483	2889	known_strain	51.027395874022694	51.027395874022694	0.0	False	True	s0__Otu1750
marine	0	Otu1763.0	2426	5193164	4785704	4785704	4372	known_strain	92.15391618674087	92.15391618674087	0.0	False	True	s0__Otu1763.0
marine	0	Otu1769	511678	3863714	1169858	1169858	4053	new_species	30.27806923597347	30.27806923597347	0.0	False	False	s0__Otu1769
marine	0	Otu1780	662	5089025	1556208	1556208	5446	known_strain	30.57968864369894	30.57968864369894	0.0	False	False	s0__Otu1780
marine	0	Otu179	271098	5226917	5017768	5017768	2748	known_strain	95.99861639279905	95.99861639279905	0.0	False	True	s0__Otu179
marine	0	Otu1817	1898108	593366	391137	391137	922	known_strain	65.91833708031805	65.91833708031805	0.0	False	True	s0__Otu1817
marine	0	Otu183.0	326544	5413691	2676515	2676515	7840	known_strain	49.43974452919459	49.43974452919459	0.0	False	False	s0__Otu183.0
marine	0	Otu183.1	2743	4779762	2563122	2563122	7186	known_strain	53.624469168130126	53.624469168130126	0.0	False	True	s0__Otu183.1
marine	0	Otu1844	511678	4514179	1374765	1374765	4807	new_species	30.454374981585797	30.454374981585797	0.0	False	False	s0__Otu1844
marine	0	Otu185.0	28229	5373180	5274753	5274753	1669	known_strain	98.1681797371389	98.1681797371389	0.0	False	True	s0__Otu185.0
marine	0	Otu186.0	314275	4927947	4927630	4927630	9	known_strain	99.99356730094702	99.99356730094702	0.0	False	True	s0__Otu186.0
marine	0	Otu1870	1238	3354469	1022517	1022517	3595	known_strain	30.4822313158953	30.4822313158953	0.0	False	False	s0__Otu1870
marine	0	Otu189	38027	5017558	5016179	5016179	34	known_strain	99.9725165110199	99.9725165110199	0.0	False	True	s0__Otu189
marine	0	Otu1892	191493	2594799	788148	788148	2741	known_strain	30.374144586921762	30.374144586921762	0.0	False	False	s0__Otu1892
marine	0	Otu1896	1298608	3477883	1066712	1066712	3754	new_species	30.671302053576845	30.671302053576845	0.0	False	False	s0__Otu1896
marine	0	Otu1901	46541	1915238	584990	584990	2087	known_strain	30.543984611834144	30.543984611834144	0.0	False	False	s0__Otu1901
marine	0	Otu1913	54259	1394664	1289787	1289787	1216	known_strain	92.48012424497944	92.48012424497944	0.0	False	True	s0__Otu1913
marine	0	Otu1918	1270	2464392	1272416	1272416	3655	new_strain	51.63204555119478	51.63204555119478	0.0	False	True	s0__Otu1918
marine	0	Otu1919	192073	4545906	1383726	1383726	4805	known_strain	30.438948803604827	30.438948803604827	0.0	False	False	s0__Otu1919
marine	0	Otu1920	1094	1966858	1298797	1298797	3032	known_strain	66.03410108914828	66.03410108914828	0.0	False	True	s0__Otu1920
marine	0	Otu1950	1883	7106149	2157202	2157202	7553	known_strain	30.356836030316842	30.356836030316842	0.0	False	False	s0__Otu1950
marine	0	Otu196	2234	2316287	2309780	2309780	159	known_strain	99.71907626300195	99.71907626300195	0.0	False	True	s0__Otu196
marine	0	Otu1961	1038856	3275843	1694701	1694701	4824	known_strain	51.73327903687692	51.73327903687692	0.0	False	True	s0__Otu1961
marine	0	Otu1974.0	226	4755740	2154719	2154719	6599	known_strain	45.30775441887067	45.30775441887067	0.0	False	False	s0__Otu1974.0
marine	0	Otu1974.1	314275	4442936	517790	517790	2043	known_strain	11.65423044581331	11.65423044581331	0.0	False	False	s0__Otu1974.1
marine	0	Otu1986.0	1033846	4651725	1430513	1430513	4988	known_strain	30.752312314249014	30.752312314249014	0.0	False	False	s0__Otu1986.0
marine	0	Otu2.0	133539	4145260	4145259	4145259	2	known_strain	99.99997587606084	99.99997587606084	0.0	False	True	s0__Otu2.0
marine	0	Otu20	94122	5251146	5213952	5213952	747	known_strain	99.29169746946667	99.29169746946667	0.0	False	True	s0__Otu20
marine	0	Otu2019	1219	2682675	2048895	2048895	3829	known_strain	76.37507338757024	76.37507338757024	0.0	False	True	s0__Otu2019
marine	0	Otu203	316	4383480	2904171	2904171	6663	known_strain	66.25263489282487	66.25263489282487	0.0	False	True	s0__Otu203
marine	0	Otu2044	1246	1788069	928623	928623	2674	new_strain	51.9344052159061	51.9344052159061	0.0	False	True	s0__Otu2044
marine	0	Otu205.0	307121	7074838	1141611	1141611	4372	known_strain	16.136214002355956	16.136214002355956	0.0	False	False	s0__Otu205.0
marine	0	Otu205.1	168697	5786361	2449533	2449533	7749	known_strain	42.332875532653425	42.332875532653425	0.0	False	False	s0__Otu205.1
marine	0	Otu2115	1760	3250704	1677415	1677415	4845	new_order	51.601591532172726	51.601591532172726	0.0	False	True	s0__Otu2115
marine	0	Otu2117	41275	3990717	2063495	2063495	5926	new_species	51.70737489027661	51.70737489027661	0.0	False	True	s0__Otu2117
marine	0	Otu2119.0	1515	3577579	1835468	1835468	5199	new_strain	51.304751062100934	51.304751062100934	0.0	False	True	s0__Otu2119.0
marine	0	Otu2121	497	3113999	948444	948444	3271	known_strain	30.457427892558734	30.457427892558734	0.0	False	False	s0__Otu2121
marine	0	Otu2123	80852	4512856	1384637	1384637	4840	new_strain	30.68205588656053	30.68205588656053	0.0	False	False	s0__Otu2123
marine	0	Otu2128	2190	1739927	889552	889552	2560	known_strain	51.12582309487697	51.12582309487697	0.0	False	True	s0__Otu2128
marine	0	Otu2151	1238	3511244	1816664	1816664	5172	known_strain	51.73847217681255	51.73847217681255	0.0	False	True	s0__Otu2151
marine	0	Otu2156	1219	1657990	1387138	1387138	2025	known_strain	83.66383391938432	83.66383391938432	0.0	False	True	s0__Otu2156
marine	0	Otu2169.0	244787	1676444	509411	509411	1754	known_strain	30.386401215907004	30.386401215907004	0.0	False	False	s0__Otu2169.0
marine	0	Otu218	1541959	1878735	969310	969310	2744	known_strain	51.59375856626932	51.59375856626932	0.0	False	True	s0__Otu218
marine	0	Otu2189	39152	1772694	916116	916116	2637	known_strain	51.67930844240461	51.67930844240461	0.0	False	True	s0__Otu2189
marine	0	Otu219.0	73141	5017071	4463124	4463124	5112	known_strain	88.95875701181028	88.95875701181028	0.0	False	True	s0__Otu219.0
marine	0	Otu22	1372	3600595	1855390	1855390	5317	new_species	51.5300943316313	51.5300943316313	0.0	False	True	s0__Otu22
marine	0	Otu2206	1760	4806429	1460768	1460768	5058	new_order	30.391960434659495	30.391960434659495	0.0	False	False	s0__Otu2206
marine	0	Otu2209	1238	3308199	1712098	1712098	4867	known_strain	51.753174461391225	51.753174461391225	0.0	False	True	s0__Otu2209
marine	0	Otu222.0	1003110	6732271	6565263	6565263	2495	known_strain	97.51929178133203	97.51929178133203	0.0	False	True	s0__Otu222.0
marine	0	Otu222.1	168695	5183331	5182863	5182863	18	known_strain	99.99097105702877	99.99097105702877	0.0	False	True	s0__Otu222.1
marine	0	Otu2232	1648404	3226359	982231	982231	3446	known_strain	30.443946256445734	30.443946256445734	0.0	False	False	s0__Otu2232
marine	0	Otu2233.0	399736	3400178	1030285	1030285	3569	known_strain	30.300913658049666	30.300913658049666	0.0	False	False	s0__Otu2233.0
marine	0	Otu226	511678	4510390	4506803	4506803	78	new_species	99.92047250902915	99.92047250902915	0.0	False	True	s0__Otu226
marine	0	Otu229.0	300231	4134229	2741280	2741280	6416	known_strain	66.30692204036109	66.30692204036109	0.0	False	True	s0__Otu229.0
marine	0	Otu2290.0	104267	2670264	2452538	2452538	2244	new_species	91.84627437586695	91.84627437586695	0.0	False	True	s0__Otu2290.0
marine	0	Otu23	190893	5732794	5729877	5729877	103	known_strain	99.94911730650011	99.94911730650011	0.0	False	True	s0__Otu23
marine	0	Otu230.0	104267	2889421	550276	550276	2088	new_species	19.04450753282405	19.04450753282405	0.0	False	False	s0__Otu230.0
marine	0	Otu230.1	76594	4635105	657607	657607	2568	known_strain	14.187531889784589	14.187531889784589	0.0	False	False	s0__Otu230.1
marine	0	Otu232.0	96345	2806870	860143	860143	3047	known_strain	30.644205111031148	30.644205111031148	0.0	False	False	s0__Otu232.0
marine	0	Otu2333	22	4799109	1456895	1456895	5074	new_species	30.357614298820884	30.357614298820884	0.0	False	False	s0__Otu2333
marine	0	Otu2338	379547	1486778	1315654	1315654	1561	known_strain	88.49027897910784	88.49027897910784	0.0	False	True	s0__Otu2338
marine	0	Otu234.0	1564114	5341557	5198797	5198797	2140	known_strain	97.32737102683731	97.32737102683731	0.0	False	True	s0__Otu234.0
marine	0	Otu2343	80852	4642937	1414400	1414400	4929	new_strain	30.463476028212316	30.463476028212316	0.0	False	False	s0__Otu2343
marine	0	Otu235.0	2742	4616532	4362156	4362156	3068	known_strain	94.4898898133924	94.4898898133924	0.0	False	True	s0__Otu235.0
marine	0	Otu2362.0	146919	3832918	1967995	1967995	5596	known_strain	51.34456307179021	51.34456307179021	0.0	False	True	s0__Otu2362.0
marine	0	Otu239.0	187493	3920328	1194557	1194557	4121	known_strain	30.470843255972458	30.470843255972458	0.0	False	False	s0__Otu239.0
marine	0	Otu24.0	467094	4830181	4830145	4830145	1	known_strain	99.99925468631507	99.99925468631507	0.0	False	True	s0__Otu24.0
marine	0	Otu2403	1580092	1803090	1508132	1508132	2265	known_strain	83.64152649063551	83.64152649063551	0.0	False	True	s0__Otu2403
marine	0	Otu241.0	1217908	4875481	3224968	3224968	7489	known_strain	66.1466632728135	66.1466632728135	0.0	False	True	s0__Otu241.0
marine	0	Otu2411	1306787	4168427	2154357	2154357	6125	known_strain	51.68273307892881	51.68273307892881	0.0	False	True	s0__Otu2411
marine	0	Otu2423	670	5045560	1519458	1519458	5282	known_strain	30.114754358287286	30.114754358287286	0.0	False	False	s0__Otu2423
marine	0	Otu2425	32052	2661166	813542	813542	2849	known_strain	30.570885093226053	30.570885093226053	0.0	False	False	s0__Otu2425
marine	0	Otu2438	46770	2045086	616177	616177	2122	known_strain	30.129637580033307	30.129637580033307	0.0	False	False	s0__Otu2438
marine	0	Otu2446	40269	4655660	1414734	1414734	4987	new_strain	30.38739942349742	30.38739942349742	0.0	False	False	s0__Otu2446
marine	0	Otu2448	84405	1694430	1307619	1307619	2487	known_strain	77.17161523344133	77.17161523344133	0.0	False	True	s0__Otu2448
marine	0	Otu245.0	1555194	4305801	2225494	2225494	6376	known_strain	51.68594647081925	51.68594647081925	0.0	False	True	s0__Otu245.0
marine	0	Otu2468.0	1917485	4691010	1429638	1429638	4983	known_strain	30.47612347873912	30.47612347873912	0.0	False	False	s0__Otu2468.0
