dataset	bin_id	sample	dominant	contaminant	dominant_taxid	contaminant_taxid	distance_rank	target_completeness	target_contamination	ref_len	dominant_bp	contaminant_bp	completeness_pct	contamination_pct	n_contigs_dominant	n_contigs_contaminant	cont_shortfall_rel	scoreable_by_magicc	in_domain
marine	s0__Otu2403__X__Otu2472__c60__k2__genus	0	Otu2403	Otu2472	1580092	1510466	genus	60.0	2.0	1803090	1082644	36454	60.043813675412764	2.021751548730235	1649	126	-0.010875774365117552	True	True
marine	s0__Otu26.0__X__Otu80.0__c60__k5__genus	0	Otu26.0	Otu80.0	936476	119864	genus	60.0	5.0	3899940	3899907	195235	99.99915383313589	5.00610265798961	1	39	-0.0012205315979219478	True	True
marine	s0__Otu583__X__Otu771__c60__k5__genus	0	Otu583	Otu771	1219	1218	genus	60.0	5.0	1704176	1022571	86090	60.0038376317939	5.051708274262753	943	113	-0.010341654852550519	True	True
marine	s0__Otu351__X__Otu770__c60__k5__genus	0	Otu351	Otu770	64471	1280380	genus	60.0	5.0	2606748	1564405	130528	60.01366453527537	5.007311792317478	659	448	-0.0014623584634955833	True	True
marine	s0__Otu1147__X__Otu2423__c60__k5__genus	0	Otu1147	Otu2423	672	670	genus	60.0	5.0	5127345	3076685	256451	60.00542190938975	5.0016333989618404	5694	904	-0.00032667979236808973	True	True
marine	s0__Otu116.0__X__Otu157.0__c60__k15__genus	0	Otu116.0	Otu157.0	2745	1897729	genus	60.0	15.0	5643878	3401035	846761	60.260604499246796	15.003176893618182	314	2952	-0.0002117929078787976	True	True
marine	s0__Otu1180.0__X__Otu87.0__c60__k20__genus	0	Otu1180.0	Otu87.0	28108	314275	genus	60.0	20.0	4674885	2899440	935270	62.02163261770075	20.006267533853773	51	666	-0.0003133766926886494	True	True
marine	s0__Otu1111__X__Otu368__c60__k20__genus	0	Otu1111	Otu368	662	662	genus	60.0	20.0	5521305	3312960	1104784	60.003205763854744	20.009472398282654	7657	420	-0.00047361991413268355	True	True
marine	s0__Otu660__X__Otu974__c60__k20__genus	0	Otu660	Otu974	1219	1501269	genus	60.0	20.0	2410873	1446916	483370	60.01626796600236	20.049583698519168	1698	1135	-0.0024791849259584	True	True
marine	s0__Otu79.0__X__Otu570.0__c60__k2__family	0	Otu79.0	Otu570.0	314275	680279	family	60.0	2.0	4438767	2663800	88972	60.01216103480989	2.0044305096437816	911	329	-0.0022152548218907775	True	True
marine	s0__Otu1548.0__X__Otu384.0__c60__k2__family	0	Otu1548.0	Otu384.0	1284658	31989	family	60.0	2.0	3288122	1973672	66270	60.024293502491695	2.0154361669062157	4862	99	-0.007718083453107871	True	True
marine	s0__Otu136__X__Otu371__c60__k2__family	0	Otu136	Otu371	40269	662	family	60.0	2.0	4246561	2548094	85067	60.003706528647534	2.003197410798997	306	157	-0.001598705399498579	True	True
marine	s0__Otu136__X__Otu1334__c60__k5__family	0	Otu136	Otu1334	40269	74109	family	60.0	5.0	4246561	2553595	212464	60.13324664357818	5.003201414038324	313	619	-0.0006402828076648604	True	True
marine	s0__Otu105.0__X__Otu1136.0__c60__k5__family	0	Otu105.0	Otu1136.0	328515	1774273	family	60.0	5.0	3914632	2349298	195770	60.01325284215732	5.000980935117273	4397	688	-0.00019618702345454154	True	True
marine	s0__Otu80.0__X__Otu352.1__c60__k5__family	0	Otu80.0	Otu352.1	119864	187493	family	60.0	5.0	4684316	2813435	236436	60.06074312663791	5.047396460870702	482	53	-0.009479292174140319	True	True
marine	s0__Otu1332.0__X__Otu873.0__c60__k5__family	0	Otu1332.0	Otu873.0	1906738	2724	family	60.0	5.0	3628091	2177066	181450	60.005826755723604	5.00125272491787	4963	563	-0.0002505449835739526	True	True
marine	s0__Otu470__X__Otu713__c60__k10__family	0	Otu470	Otu713	229980	2280	family	60.0	10.0	1595994	957773	159841	60.01106520450578	10.015137901520934	1788	380	-0.0015137901520933638	True	True
marine	s0__Otu327__X__Otu89__c60__k10__family	0	Otu327	Otu89	1042877	342949	family	60.0	10.0	2011320	1206924	203212	60.006562854244976	10.103414672951097	1073	252	-0.010341467295109652	True	True
marine	s0__Otu1301__X__Otu1692__c60__k20__family	0	Otu1301	Otu1692	80852	55601	family	60.0	20.0	4453751	2673055	890822	60.0180611803399	20.00161212425212	4991	3048	-8.060621260597145e-05	True	True
marine	s0__Otu292.0__X__Otu122.0__c60__k20__family	0	Otu292.0	Otu122.0	2434	159346	family	60.0	20.0	4331234	2598948	866574	60.004793091299156	20.007554429061095	4896	2513	-0.0003777214530547468	True	True
marine	s0__Otu4.0__X__Otu2.0__c60__k2__order	0	Otu4.0	Otu2.0	1335757	133539	order	60.0	2.0	1926631	1926624	65832	99.99963667147472	3.4169490680882846	1	1	-0.7084745340441423	True	True
marine	s0__Otu954__X__Otu2169.0__c60__k5__order	0	Otu954	Otu2169.0	387092	244787	order	60.0	5.0	1877931	1127170	93963	60.0219070881731	5.003538468665782	1705	330	-0.0007076937331563116	True	True
marine	s0__Otu2156__X__Otu2425__c60__k5__order	0	Otu2156	Otu2425	1219	32052	order	60.0	5.0	1657990	995219	82951	60.02563344772888	5.003106170724793	1471	303	-0.000621234144958649	True	True
marine	s0__Otu393.0__X__Otu1279__c60__k5__order	0	Otu393.0	Otu1279	192843	106589	order	60.0	5.0	4969784	2982244	248756	60.00751742932892	5.005368442572152	5545	852	-0.0010736885144304153	True	True
marine	s0__Otu352.1__X__Otu2411__c60__k10__order	0	Otu352.1	Otu2411	187493	1306787	order	60.0	10.0	3909699	2350404	391099	60.11726222402287	10.00330204447964	565	1146	-0.0003302044479639221	True	True
marine	s0__Otu726__X__Otu1300__c60__k10__order	0	Otu726	Otu1300	91347	1821960	order	60.0	10.0	5379796	3227978	538149	60.001866241768276	10.003148818282328	6085	1855	-0.00031488182823284915	True	True
marine	s0__Otu660__X__Otu2425__c60__k15__order	0	Otu660	Otu2425	1219	32052	order	60.0	15.0	2410873	1446823	361712	60.01241044219252	15.003361852739651	1756	1272	-0.00022412351597675222	True	True
marine	s0__Otu152__X__Otu219.0__c60__k2__class	0	Otu152	Otu219.0	286	73141	class	60.0	2.0	6425471	3855530	129053	60.00385030140203	2.008459768941452	5730	150	-0.004229884470726031	True	True
marine	s0__Otu1487__X__Otu132__c60__k5__class	0	Otu1487	Otu132	228	914150	class	60.0	5.0	3916707	2350382	196357	60.00913522507555	5.013318586251154	5460	222	-0.002663717250230846	True	True
marine	s0__Otu351__X__Otu1382__c60__k5__class	0	Otu351	Otu1382	64471	373994	class	60.0	5.0	2606748	1564278	130447	60.008792564528676	5.004204472392422	637	457	-0.0008408944784843442	True	True
marine	s0__Otu1147__X__Otu394.0__c60__k5__class	0	Otu1147	Otu394.0	672	314275	class	60.0	5.0	5127345	3076895	256485	60.009517596338846	5.002296510182171	5739	758	-0.00045930203643411714	True	True
marine	s0__Otu226__X__Otu79.1__c60__k5__class	0	Otu226	Otu79.1	511678	226	class	60.0	5.0	4510390	2751451	226528	61.00250754369356	5.022359485543379	44	205	-0.004471897108675726	True	True
marine	s0__Otu189__X__Otu1475__c60__k5__class	0	Otu189	Otu1475	38027	2198	class	60.0	5.0	5017558	3173733	253733	63.25254237220576	5.056902182296647	18	31	-0.011380436459329424	True	True
marine	s0__Otu523__X__Otu1420.0__c60__k10__class	0	Otu523	Otu1420.0	39960	1670800	class	60.0	10.0	3052398	1831754	305308	60.01032630738193	10.002234308894188	2676	1058	-0.0002234308894188075	True	True
marine	s0__Otu958__X__Otu35.0__c60__k10__class	0	Otu958	Otu35.0	511678	421	class	60.0	10.0	4328876	2598084	437635	60.017519559349815	10.109668191003854	6052	41	-0.010966819100385373	True	True
marine	s0__Otu229.0__X__Otu23__c60__k10__class	0	Otu229.0	Otu23	300231	190893	class	60.0	10.0	4134229	2481048	413494	60.012350549522054	10.001719788623223	5806	11	-0.00017197886232231952	True	True
marine	s0__Otu771__X__Otu941__c60__k10__class	0	Otu771	Otu941	1218	70799	class	60.0	10.0	1569623	942741	157166	60.06161989216519	10.012977638579455	1141	527	-0.0012977638579455331	True	True
marine	s0__Otu1573__X__Otu1344__c60__k15__class	0	Otu1573	Otu1344	1238	40269	class	60.0	15.0	3515614	2109693	527497	60.009233095556	15.004406058230511	4970	1843	-0.00029373721536742894	True	True
marine	s0__Otu186.0__X__Otu1010__c60__k15__class	0	Otu186.0	Otu1010	314275	190893	class	60.0	15.0	4927947	3511440	739567	71.25563647498645	15.007608645141678	7	2566	-0.0005072430094452093	True	True
marine	s0__Otu186.0__X__Otu479__c60__k20__class	0	Otu186.0	Otu479	314275	55601	class	60.0	20.0	4927947	3374085	994431	68.46837029700198	20.179417514027648	6	197	-0.008970875701382396	True	True
marine	s0__Otu520.0__X__Otu172.0__c60__k20__class	0	Otu520.0	Otu172.0	1608628	60890	class	60.0	20.0	3969941	2382262	794239	60.007491295210684	20.00631747423954	4402	713	-0.00031587371197705494	True	True
marine	s0__Otu50.0__X__Otu384.0__c60__k2__phylum	0	Otu50.0	Otu384.0	314275	31989	phylum	60.0	2.0	4397537	2645127	90246	60.15019316494665	2.0521942168991414	256	120	-0.026097108449570694	True	True
marine	s0__Otu87.0__X__Otu1332.0__c60__k5__phylum	0	Otu87.0	Otu1332.0	314275	1906738	phylum	60.0	5.0	4971381	2983893	249001	60.0214105497044	5.00868873256747	2137	588	-0.0017377465134940095	True	True
marine	s0__Otu1278.0__X__Otu249.0__c60__k5__phylum	0	Otu1278.0	Otu249.0	104267	1006	phylum	60.0	5.0	2644621	1587708	136312	60.035369907446096	5.1543113361044925	886	39	-0.03086226722089851	True	True
marine	s0__Otu1487__X__Otu336__c60__k5__phylum	0	Otu1487	Otu336	228	120577	phylum	60.0	5.0	3916707	2350865	196025	60.02146701297799	5.004842077796475	5493	682	-0.0009684155592950105	True	True
marine	s0__Otu980__X__Otu1445__c60__k10__phylum	0	Otu980	Otu1445	1408	53633	phylum	60.0	10.0	3705251	2227371	372361	60.113903214654016	10.049548600081344	1544	253	-0.004954860008134432	True	True
marine	s0__Otu50.0__X__Otu40.1__c60__k10__phylum	0	Otu50.0	Otu40.1	314275	171437	phylum	60.0	10.0	4397537	2654677	533194	60.36736018366645	12.12483260516057	264	4	-0.212483260516057	True	True
marine	s0__Otu235.0__X__Otu683.0__c60__k15__phylum	0	Otu235.0	Otu683.0	2742	1792508	phylum	60.0	15.0	4616532	2770923	699962	60.0217435945424	15.16207404172656	1959	286	-0.010804936115104032	True	True
marine	s0__Otu189__X__Otu383__c60__k15__phylum	0	Otu189	Otu383	38027	293091	phylum	60.0	15.0	5017558	3019153	752898	60.17176084461804	15.005267502637738	20	2657	-0.0003511668425158376	True	True
marine	s0__Otu226__X__Otu149__c60__k15__phylum	0	Otu226	Otu149	511678	32003	phylum	60.0	15.0	4510390	2821252	676600	62.550067732502065	15.000920097818593	42	1277	-6.133985457286902e-05	True	True
marine	s0__Otu48.0__X__Otu873.0__c60__k20__phylum	0	Otu48.0	Otu873.0	1335746	2724	phylum	60.0	20.0	1739487	1739483	348357	99.99977004714609	20.026421582914963	1	1087	-0.001321079145748172	True	True
marine	s0__Otu1487__X__Otu336__c60__k20__phylum	0	Otu1487	Otu336	228	120577	phylum	60.0	20.0	3916707	2350091	783591	60.00170551435173	20.006372700332193	5460	2718	-0.0003186350166096474	True	True
marine	s0__RNODE_394_length_3642_cov_5.12873__X__RNODE_55_length_2901_cov_27.42654__c75__k2__species	0	RNODE_394_length_3642_cov_5.12873	RNODE_55_length_2901_cov_27.42654	32644	32644	species	75.0	2.0	36200	28715	1669	79.3232044198895	4.610497237569061	8	1	-1.3052486187845305	True	True
marine	s0__RNODE_544_length_1578_cov_361.93923__X__RNODE_367_length_2322_cov_4.57652__c75__k2__species	0	RNODE_544_length_1578_cov_361.93923	RNODE_367_length_2322_cov_4.57652	32644	32644	species	75.0	2.0	15120	11543	2246	76.3425925925926	14.854497354497354	11	1	-6.427248677248677	True	True
marine	s0__Otu703__X__Otu1596__c75__k5__species	0	Otu703	Otu1596	80852	80852	species	75.0	5.0	4664454	3499241	233294	75.01930558217532	5.001528581909051	4103	832	-0.0003057163818102282	True	True
marine	s0__RNODE_291_length_2033_cov_2.59025__X__RNODE_386_length_2437_cov_8.66377__c75__k5__species	0	RNODE_291_length_2033_cov_2.59025	RNODE_386_length_2437_cov_8.66377	32644	32644	species	75.0	5.0	20110	15713	2061	78.13525609149677	10.248632521133764	8	1	-1.049726504226753	True	True
marine	s0__RNODE_294_length_6942_cov_7.24595__X__RNODE_114_length_10406_cov_5.47746__c75__k5__species	0	RNODE_294_length_6942_cov_7.24595	RNODE_114_length_10406_cov_5.47746	32644	32644	species	75.0	5.0	69200	55161	10304	79.71242774566474	14.890173410404625	8	1	-1.978034682080925	True	True
marine	s0__RNODE_515_length_1754_cov_11.73892__X__RNODE_544_length_1578_cov_361.93923__c75__k10__species	0	RNODE_515_length_1754_cov_11.73892	RNODE_544_length_1578_cov_361.93923	32644	32644	species	75.0	10.0	17100	13443	3102	78.6140350877193	18.140350877192983	8	3	-0.8140350877192983	True	True
marine	s0__Otu137.0__X__Otu50.0__c75__k10__species	0	Otu137.0	Otu50.0	314275	314275	species	75.0	10.0	4395035	3296745	445315	75.01066544407496	10.132228753582167	1011	44	-0.013222875358216691	True	True
marine	s0__RNODE_25_length_1750_cov_3.28993__X__RNODE_462_length_1528_cov_6.07822__c75__k10__species	0	RNODE_25_length_1750_cov_3.28993	RNODE_462_length_1528_cov_6.07822	32644	32644	species	75.0	10.0	17280	13499	2826	78.11921296296296	16.354166666666668	8	2	-0.6354166666666667	True	True
marine	s0__RNODE_528_length_4221_cov_4.74329__X__RNODE_587_length_4088_cov_9.08425__c75__k10__species	0	RNODE_528_length_4221_cov_4.74329	RNODE_587_length_4088_cov_9.08425	32644	32644	species	75.0	10.0	41770	33339	7553	79.81565717021786	18.08235575772085	8	2	-0.8082355757720852	True	True
marine	s0__RNODE_368_length_1901_cov_5.06386__X__RNODE_339_length_1478_cov_5.31250__c75__k10__species	0	RNODE_368_length_1901_cov_5.06386	RNODE_339_length_1478_cov_5.31250	32644	32644	species	75.0	10.0	18790	14191	2764	75.52421500798297	14.709952102182012	8	2	-0.4709952102182012	True	True
marine	s0__RNODE_229_length_2135_cov_3.06673__X__RNODE_338_length_1509_cov_4.27236__c75__k15__species	0	RNODE_229_length_2135_cov_3.06673	RNODE_338_length_1509_cov_4.27236	32644	32644	species	75.0	15.0	21130	17838	4247	84.42025556081401	20.099384761003314	9	3	-0.3399589840668876	True	True
marine	s0__Otu159__X__Otu1896__c75__k15__species	0	Otu159	Otu1896	1298608	1298608	species	75.0	15.0	3347688	2511049	502207	75.0084535954366	15.001607079273816	2905	1761	-0.00010713861825439134	True	True
marine	s0__RNODE_158_length_1640_cov_4.51607__X__RNODE_523_length_7269_cov_4.49610__c75__k15__species	0	RNODE_158_length_1640_cov_4.51607	RNODE_523_length_7269_cov_4.49610	32644	32644	species	75.0	15.0	16180	13496	2867	83.41161928306552	17.719406674907294	9	3	-0.18129377832715293	True	True
marine	s0__Otu2019__X__Otu2156__c75__k15__species	0	Otu2019	Otu2156	1219	1219	species	75.0	15.0	2682675	2012066	402565	75.00222725451275	15.006103982032858	3766	576	-0.00040693213552387417	True	True
marine	s0__RNODE_456_length_1695_cov_36.79753__X__RNODE_522_length_1263_cov_12.38809__c75__k15__species	0	RNODE_456_length_1695_cov_36.79753	RNODE_522_length_1263_cov_12.38809	32644	32644	species	75.0	15.0	16070	12334	3375	76.7517112632234	21.001866832607345	13	3	-0.4001244555071563	True	True
marine	s0__RNODE_14_length_1961_cov_5.54358__X__RNODE_180_length_2647_cov_2.76800__c75__k20__species	0	RNODE_14_length_1961_cov_5.54358	RNODE_180_length_2647_cov_2.76800	32644	32644	species	75.0	20.0	19390	15383	6223	79.33470861268695	32.09386281588448	8	4	-0.6046931407942239	True	True
marine	s0__Otu1089__X__Otu1487__c75__k20__species	0	Otu1089	Otu1487	228	228	species	75.0	20.0	3850272	2888962	770303	75.03267301634794	20.00645668669642	4245	1784	-0.0003228343348210316	True	True
marine	s0__RNODE_91_length_2298_cov_6.78822__X__RNODE_134_length_2327_cov_32.11800__c75__k20__species	0	RNODE_91_length_2298_cov_6.78822	RNODE_134_length_2327_cov_32.11800	32644	32644	species	75.0	20.0	22760	18236	6680	80.12302284710017	29.349736379613358	10	3	-0.4674868189806679	True	True
marine	s0__Otu1180.0__X__Otu137.0__c75__k2__genus	0	Otu1180.0	Otu137.0	28108	314275	genus	75.0	2.0	4674885	3559199	94782	76.13447175705926	2.0274723335440337	62	32	-0.013736166772016833	True	True
marine	s0__Otu503__X__Otu770__c75__k2__genus	0	Otu503	Otu770	32051	1280380	genus	75.0	2.0	2366980	1976632	47652	83.50860590288046	2.013198252625709	26	160	-0.00659912631285442	True	True
marine	s0__Otu26.0__X__Otu80.0__c75__k5__genus	0	Otu26.0	Otu80.0	936476	119864	genus	75.0	5.0	3899940	3899907	195987	99.99915383313589	5.025385005923168	1	35	-0.005077001184633545	True	True
marine	s0__Otu1278.0__X__Otu44.0__c75__k5__genus	0	Otu1278.0	Otu44.0	104267	104267	genus	75.0	5.0	2644621	1984601	132625	75.04292675585651	5.0148962743621865	1090	460	-0.0029792548724373092	True	True
marine	s0__Otu483__X__Otu1334__c75__k10__genus	0	Otu483	Otu1334	1295392	74109	genus	75.0	10.0	5909413	4433304	591192	75.02105539078077	10.004242384142046	6532	1654	-0.00042423841420458075	True	True
marine	s0__Otu104__X__Otu1010__c75__k10__genus	0	Otu104	Otu1010	662	190893	genus	75.0	10.0	5504684	4130778	550505	75.04114677609105	10.0006648883024	302	1930	-6.648883023991914e-05	True	True
marine	s0__Otu616__X__Otu108.0__c75__k10__genus	0	Otu616	Otu108.0	80854	90736	genus	75.0	10.0	5213431	3910336	521354	75.00503986721988	10.000209075367067	5699	1873	-2.0907536706715747e-05	True	True
marine	s0__Otu13.0__X__Otu30.0__c75__k10__genus	0	Otu13.0	Otu30.0	1329899	34067	genus	75.0	10.0	2655425	1992470	271102	75.03393995311485	10.209363849477956	268	26	-0.020936384947795615	True	True
marine	s0__Otu252__X__Otu351__c75__k15__genus	0	Otu252	Otu351	316279	64471	genus	75.0	15.0	2234828	1676881	335474	75.03400709137347	15.011177593980387	3118	142	-0.0007451729320257764	True	True
marine	s0__Otu2.0__X__Otu67.0__c75__k15__genus	0	Otu2.0	Otu67.0	133539	1229	genus	75.0	15.0	4145260	4079427	3522099	98.4118487139528	84.9669019554865	1	2	-4.664460130365767	True	True
marine	s0__Otu137.0__X__Otu119.1__c75__k15__genus	0	Otu137.0	Otu119.1	314275	28108	genus	75.0	15.0	4395035	3297164	659530	75.02019892901876	15.006251372287137	1027	1076	-0.00041675815247579353	True	True
marine	s0__Otu116.0__X__Otu595.0__c75__k20__genus	0	Otu116.0	Otu595.0	2745	1380358	genus	75.0	20.0	5643878	4242561	1129054	75.17102602146963	20.00493277849025	407	2147	-0.00024663892451251004	True	True
marine	s0__Otu2290.0__X__Otu42.0__c75__k2__family	0	Otu2290.0	Otu42.0	104267	1736674	family	75.0	2.0	2670264	2002753	53745	75.00205972143578	2.0127223375666228	1820	89	-0.006361168783311388	True	True
marine	s0__Otu79.1__X__Otu183.0__c75__k2__family	0	Otu79.1	Otu183.0	226	326544	family	75.0	2.0	4143824	3109131	83026	75.03047909370669	2.0036082613547292	2710	255	-0.0018041306773646237	True	True
marine	s0__Otu1445__X__Otu605__c75__k2__family	0	Otu1445	Otu605	53633	73919	family	75.0	2.0	3551206	2664373	71223	75.02727242519865	2.0056003509793574	1856	198	-0.0028001754896787023	True	True
marine	s0__Otu54__X__Otu703__c75__k2__family	0	Otu54	Otu703	55601	80852	family	75.0	2.0	3468533	2606061	70744	75.13438678542197	2.0395942607436632	153	80	-0.019797130371831617	True	True
marine	s0__Otu137.0__X__Otu229.0__c75__k2__family	0	Otu137.0	Otu229.0	314275	300231	family	75.0	2.0	4395035	3296334	88372	75.00131398271003	2.0107234640907294	1031	202	-0.00536173204536472	True	True
marine	s0__Otu250__X__Otu1769__c75__k2__family	0	Otu250	Otu1769	666	511678	family	75.0	2.0	4050927	3043107	81179	75.12125002499428	2.0039610686640366	398	282	-0.00198053433201828	True	True
marine	s0__Otu483__X__Otu1111__c75__k2__family	0	Otu483	Otu1111	1295392	662	family	75.0	2.0	5909413	4432134	118205	75.00125646997427	2.000283276866924	6513	286	-0.00014163843346204352	True	True
marine	s0__Otu384.0__X__Otu1548.1__c75__k5__family	0	Otu384.0	Otu1548.1	31989	1063	family	75.0	5.0	4147426	3110706	208638	75.0032911979623	5.030541834863358	4609	307	-0.006108366972671675	True	True
marine	s0__Otu1458.0__X__Otu393.0__c75__k5__family	0	Otu1458.0	Otu393.0	1763535	192843	family	75.0	5.0	4944132	3708519	247269	75.00849491882498	5.001262102225426	1957	467	-0.00025242044508519965	True	True
marine	s0__Otu2290.0__X__Otu85.0__c75__k5__family	0	Otu2290.0	Otu85.0	104267	1790137	family	75.0	5.0	2670264	2003513	133551	75.03052132673024	5.001415590368593	1845	407	-0.000283118073718569	True	True
marine	s0__Otu368__X__Otu1301__c75__k5__family	0	Otu368	Otu1301	662	80852	family	75.0	5.0	5549219	4163200	277586	75.02316992715552	5.0022534702631125	1742	506	-0.0004506940526225023	True	True
marine	s0__Otu72.0__X__Otu53.0__c75__k5__family	0	Otu72.0	Otu53.0	1427356	1384459	family	75.0	5.0	3653837	2830623	183296	77.46987618768982	5.0165346730026545	81	223	-0.0033069346005309085	True	True
marine	s0__Otu1458.0__X__Otu393.0__c75__k20__family	0	Otu1458.0	Otu393.0	1763535	192843	family	75.0	20.0	4944132	3708134	989550	75.00070790990208	20.014635531575614	1998	1854	-0.0007317765787806963	True	True
marine	s0__Otu86.0__X__Otu2411__c75__k2__order	0	Otu86.0	Otu2411	187493	1306787	order	75.0	2.0	3764053	2898586	75909	77.00704533118954	2.0166825493689915	80	215	-0.008341274684495747	True	True
marine	s0__Otu1337__X__Otu496.0__c75__k5__order	0	Otu1337	Otu496.0	1491	1510	order	75.0	5.0	3914604	3140147	195906	80.2162108862097	5.004490875705435	10	586	-0.0008981751410869876	True	True
marine	s0__Otu435.1__X__Otu2362.0__c75__k10__order	0	Otu435.1	Otu2362.0	29549	146919	order	75.0	10.0	3386737	2540530	338732	75.0140917349059	10.001721420942932	3805	975	-0.00017214209429319282	True	True
marine	s0__Otu352.1__X__Otu157.0__c75__k10__order	0	Otu352.1	Otu157.0	187493	1897729	order	75.0	10.0	3909699	2934631	391130	75.0602795765096	10.004094944393417	676	1370	-0.0004094944393417066	True	True
marine	s0__Otu351__X__Otu492__c75__k15__order	0	Otu351	Otu492	64471	1219	order	75.0	15.0	2606748	1957966	391148	75.1114415355838	15.005209556121267	798	1099	-0.00034730374141780376	True	True
