accession	domain	n_proteins	n_scg_detected	n_scg_hits	n_scg_profiles	error
GCA_949426935.1	Bacteria	990	83	83	85	
GCA_905211065.1	Bacteria	1263	82	83	85	
GCA_949048855.1	Bacteria	1511	83	83	85	
GCA_944358225.1	Bacteria	1160	76	76	85	
GCA_946410005.1	Bacteria	900	65	65	85	
GCA_934695425.1	Bacteria	1158	83	83	85	
GCA_902467675.1	Bacteria	1382	82	83	85	
GCA_944380925.1	Bacteria	1344	83	83	85	
GCA_949290195.1	Bacteria	1742	83	86	85	
GCA_947629935.1	Bacteria	1192	81	81	85	
GCA_946498375.1	Bacteria	994	40	40	85	
GCA_944358705.1	Bacteria	1776	83	85	85	
GCA_934667035.1	Bacteria	988	81	82	85	
GCA_948553635.1	Bacteria	1123	75	75	85	
GCA_900554775.1	Bacteria	970	75	76	85	
GCA_949541075.1	Bacteria	915	82	82	85	
GCA_036305105.1	Bacteria	2330	83	84	85	
GCA_900758765.1	Bacteria	1768	82	82	85	
GCA_948728615.1	Bacteria	1024	83	83	85	
GCA_947632255.1	Bacteria	1155	56	60	85	
GCA_951801275.1	Bacteria	1071	74	75	85	
GCA_949289795.1	Bacteria	918	67	67	85	
GCA_947632455.1	Bacteria	1674	81	81	85	
GCA_944364025.1	Bacteria	1228	49	50	85	
GCA_944327425.1	Bacteria	1300	61	61	85	
GCA_900772125.1	Bacteria	919	81	81	85	
GCA_949300125.1	Bacteria	1428	83	84	85	
GCA_934725455.1	Bacteria	1317	68	69	85	
GCA_947593275.1	Bacteria	1257	70	70	85	
GCA_934702035.1	Bacteria	1188	83	83	85	
GCA_937903055.1	Bacteria	1370	83	83	85	
GCA_948516975.1	Bacteria	993	55	55	85	
GCA_902473805.1	Bacteria	1260	83	83	85	
GCA_904381505.1	Bacteria	1430	82	82	85	
GCA_946490845.1	Bacteria	1635	74	74	85	
GCA_025992315.1	Bacteria	1245	82	82	85	
GCA_910587745.1	Bacteria	1413	81	81	85	
GCA_946492135.1	Bacteria	1195	55	55	85	
GCA_958421075.1	Bacteria	1482	83	84	85	
GCA_934718145.1	Bacteria	1176	78	79	85	
GCA_944380895.1	Bacteria	1393	83	83	85	
GCA_905202225.1	Bacteria	1083	84	84	85	
GCA_949518505.1	Bacteria	937	77	77	85	
GCA_948725815.1	Bacteria	964	83	83	85	
GCA_938034665.1	Bacteria	1982	82	95	85	
GCA_947059005.1	Bacteria	1508	82	82	85	
GCA_944380725.1	Bacteria	1115	83	85	85	
GCA_900548695.1	Bacteria	1518	83	83	85	
GCA_934675455.1	Bacteria	1564	80	80	85	
GCA_900552265.1	Bacteria	1116	84	84	85	
GCA_947305745.1	Bacteria	1093	83	83	85	
GCA_900752875.1	Bacteria	1374	82	82	85	
GCA_902464095.1	Bacteria	981	80	80	85	
GCA_946497735.1	Bacteria	1287	69	70	85	
GCA_944384825.1	Bacteria	1250	84	84	85	
GCA_905213715.1	Bacteria	1001	75	76	85	
GCA_902472745.1	Bacteria	1466	72	74	85	
GCA_947625315.1	Bacteria	1188	70	70	85	
GCA_018716045.1	Bacteria	1702	83	84	85	
GCA_944372055.1	Bacteria	1442	80	80	85	
GCA_017414725.1	Bacteria	915	75	76	85	
GCA_949296345.1	Bacteria	1639	83	83	85	
GCA_934726435.1	Bacteria	504	35	35	85	
GCA_947630265.1	Bacteria	1099	45	45	85	
GCA_934725345.1	Bacteria	1439	79	80	85	
GCA_944333345.1	Bacteria	1787	48	48	85	
GCA_910585045.1	Bacteria	1486	83	83	85	
GCA_023663235.1	Bacteria	1575	80	81	85	
GCA_944372135.1	Bacteria	1459	83	83	85	
GCA_902474975.1	Bacteria	1770	83	83	85	
GCA_934699355.1	Bacteria	1022	83	83	85	
GCA_948735795.1	Bacteria	806	47	47	85	
GCA_022799195.1	Bacteria	1060	65	65	85	
GCA_945926705.1	Bacteria	1357	68	68	85	
GCA_902494965.1	Bacteria	596	59	59	85	
GCA_948651305.1	Bacteria	1599	75	75	85	
GCA_946500895.1	Bacteria	1379	58	58	85	
GCA_958424835.1	Bacteria	1119	83	84	85	
GCA_030526145.1	Bacteria	1081	83	83	85	
GCA_949295455.1	Bacteria	1054	58	58	85	
GCA_905210225.1	Bacteria	1385	82	83	85	
GCA_949013525.1	Bacteria	1407	75	75	85	
GCA_948933715.1	Bacteria	1020	83	84	85	
GCA_946566955.1	Bacteria	1075	82	82	85	
GCA_946554525.1	Bacteria	1194	80	80	85	
GCA_944327405.1	Bacteria	1248	58	58	85	
GCA_948675975.1	Bacteria	1301	71	71	85	
GCA_031965095.1	Bacteria	1524	83	83	85	
GCA_022771205.1	Bacteria	1429	84	84	85	
GCA_947429545.1	Bacteria	1474	61	61	85	
GCA_948433145.1	Bacteria	1428	70	70	85	
GCA_944358145.1	Bacteria	1341	49	49	85	
GCA_034089345.1	Bacteria	1403	84	84	85	
GCA_944358945.1	Bacteria	1400	52	52	85	
GCA_902474025.1	Bacteria	1249	82	82	85	
GCA_944359885.1	Bacteria	1461	51	51	85	
GCA_018712565.1	Bacteria	1376	78	78	85	
GCA_905199155.1	Bacteria	1771	82	82	85	
GCA_948736965.1	Bacteria	1422	74	75	85	
GCA_963929745.1	Bacteria	1233	83	83	85	
GCA_948741765.1	Bacteria	828	76	77	85	
GCA_900549285.1	Bacteria	1265	82	83	85	
GCA_948825265.1	Bacteria	1681	83	83	85	
GCA_947589695.1	Bacteria	1262	57	57	85	
GCA_944358175.1	Bacteria	1119	51	51	85	
GCA_947627845.1	Bacteria	1053	78	78	85	
GCA_948797705.1	Bacteria	1728	83	83	85	
GCA_947623755.1	Bacteria	1022	78	78	85	
GCA_949287595.1	Bacteria	2292	82	83	85	
GCA_037298455.1	Bacteria	1178	79	79	85	
GCA_949473985.1	Bacteria	749	68	68	85	
GCA_949552825.1	Bacteria	771	77	78	85	
GCA_949482495.1	Bacteria	1648	83	83	85	
GCA_949746815.1	Bacteria	1493	83	83	85	
GCA_949284385.1	Bacteria	1421	78	78	85	
GCA_946497135.1	Bacteria	1679	83	83	85	
GCA_948559385.1	Bacteria	1441	48	49	85	
GCA_944371955.1	Bacteria	1205	79	79	85	
GCA_948528875.1	Bacteria	1439	39	40	85	
GCA_949541025.1	Bacteria	875	52	52	85	
GCA_949478275.1	Bacteria	981	83	83	85	
GCA_902480755.1	Bacteria	1518	83	83	85	
GCA_944372725.1	Bacteria	1392	45	46	85	
GCA_904374455.1	Bacteria	1635	83	85	85	
GCA_000435275.1	Bacteria	1204	81	81	85	
GCA_934725425.1	Bacteria	1001	83	83	85	
GCA_937965835.1	Bacteria	1083	69	69	85	
GCA_905212765.1	Bacteria	1230	81	81	85	
GCA_023458915.1	Bacteria	1199	81	81	85	
GCA_018716965.1	Bacteria	1343	77	77	85	
GCA_946499385.1	Bacteria	1384	77	77	85	
GCA_949504955.1	Bacteria	966	81	82	85	
GCA_036756005.1	Bacteria	1709	83	83	85	
GCA_948437815.1	Bacteria	1081	39	40	85	
GCA_948856575.1	Bacteria	960	83	83	85	
GCA_948542215.1	Bacteria	1040	83	83	85	
GCA_930990255.1	Bacteria	1419	81	81	85	
GCA_900554305.1	Bacteria	976	76	77	85	
GCA_946496505.1	Bacteria	1307	80	80	85	
GCA_948670435.1	Bacteria	883	55	56	85	
GCA_947628145.1	Bacteria	1113	77	77	85	
GCA_948468875.1	Bacteria	1441	83	83	85	
GCA_949046155.1	Bacteria	944	82	82	85	
GCA_947623735.1	Bacteria	1362	79	79	85	
GCA_963928265.1	Bacteria	1316	82	82	85	
GCA_902474375.1	Bacteria	1488	83	83	85	
GCA_949519745.1	Bacteria	956	82	82	85	
GCA_934700635.1	Bacteria	1154	65	65	85	
GCA_938049195.1	Bacteria	1059	83	83	85	
GCA_934476325.1	Bacteria	1057	57	57	85	
GCA_934463265.1	Bacteria	1310	78	78	85	
GCA_947073085.1	Bacteria	1017	83	83	85	
GCA_963594565.1	Bacteria	908	81	81	85	
GCA_949295335.1	Bacteria	1589	83	84	85	
GCA_036818295.1	Bacteria	1691	83	83	85	
GCA_037071865.1	Bacteria	1494	83	83	85	
GCA_947585915.1	Bacteria	1437	81	81	85	
GCA_930971515.1	Bacteria	1724	83	85	85	
GCA_948800495.1	Bacteria	1384	58	59	85	
GCA_937990115.1	Bacteria	1045	83	83	85	
GCA_949457715.1	Bacteria	816	74	74	85	
GCA_900551255.1	Bacteria	1382	82	83	85	
GCA_934728355.1	Bacteria	962	73	73	85	
GCA_944358135.1	Bacteria	1373	70	70	85	
GCA_948823415.1	Bacteria	948	64	64	85	
GCA_949068525.1	Bacteria	1087	83	83	85	
GCA_948473105.1	Bacteria	1524	83	83	85	
GCA_026338125.1	Bacteria	1711	83	84	85	
GCA_937984195.1	Bacteria	1186	84	84	85	
GCA_947650775.1	Bacteria	1146	32	32	85	
GCA_937912175.1	Bacteria	1001	80	80	85	
GCA_948629065.1	Bacteria	956	83	83	85	
GCA_949514905.1	Bacteria	986	83	83	85	
GCA_000438195.1	Bacteria	1397	83	84	85	
GCA_023421155.1	Bacteria	1155	73	73	85	
GCA_946486265.1	Bacteria	1425	81	81	85	
GCA_944358905.1	Bacteria	1588	75	75	85	
GCA_900757295.1	Bacteria	1492	79	85	85	
GCA_900758895.1	Bacteria	1630	79	79	85	
GCA_947624705.1	Bacteria	1312	75	76	85	
GCA_023453485.1	Bacteria	1038	83	83	85	
GCA_938038805.1	Bacteria	1791	81	84	85	
GCA_944384705.1	Bacteria	1116	83	83	85	
GCA_944371995.1	Bacteria	1777	83	85	85	
GCA_017888105.1	Bacteria	1576	58	59	85	
GCA_958448925.1	Bacteria	1481	80	80	85	
GCA_948968885.1	Bacteria	992	82	82	85	
GCA_944332295.1	Bacteria	1864	80	80	85	
GCA_947856335.1	Bacteria	929	71	72	85	
GCA_938010595.1	Bacteria	1272	79	79	85	
GCA_948511145.1	Bacteria	1075	82	82	85	
GCA_947074005.1	Bacteria	1654	83	84	85	
GCA_934099115.1	Bacteria	1124	75	75	85	
GCA_948611915.1	Bacteria	1565	82	83	85	
GCA_963601445.1	Bacteria	1622	83	83	85	
GCA_958452055.1	Bacteria	1267	73	74	85	
GCA_030523605.1	Bacteria	1400	82	82	85	
GCA_944332635.1	Bacteria	1594	43	43	85	
GCA_947628495.1	Bacteria	1162	74	74	85	
GCA_019416545.1	Bacteria	1697	83	83	85	
GCA_944359095.1	Bacteria	1166	57	57	85	
GCA_949287315.1	Bacteria	1235	60	61	85	
GCA_031965535.1	Bacteria	1524	83	83	85	
GCA_944358115.1	Bacteria	1407	82	82	85	
GCA_944358935.1	Bacteria	1698	77	77	85	
GCA_905213055.1	Bacteria	1214	80	80	85	
GCA_934679995.1	Bacteria	1224	80	80	85	
GCA_030526535.1	Bacteria	1089	84	85	85	
GCA_949536635.1	Bacteria	1371	50	50	85	
GCA_017406805.1	Bacteria	1181	83	84	85	
GCA_949070865.1	Bacteria	1525	82	82	85	
GCA_949406765.1	Bacteria	1726	83	83	85	
GCA_949503615.1	Bacteria	1388	81	81	85	
GCA_017886705.1	Bacteria	1809	66	67	85	
GCA_944329205.1	Bacteria	1185	76	76	85	
GCA_947444905.1	Bacteria	864	53	54	85	
GCA_949295495.1	Bacteria	1288	79	79	85	
GCA_032886495.1	Bacteria	515	77	77	85	
GCA_949439325.1	Bacteria	871	61	61	85	
GCA_938010025.1	Bacteria	1223	83	83	85	
GCA_023264145.1	Bacteria	1000	63	64	85	
GCA_022710505.1	Bacteria	978	57	59	85	
GCA_937877385.1	Bacteria	530	61	61	85	
GCA_028688425.1	Bacteria	800	66	66	85	
GCA_902606665.1	Bacteria	814	44	44	85	
GCA_027356705.1	Bacteria	918	75	77	85	
GCA_002505075.1	Archaea	976	92	96	128	
GCA_027327665.1	Bacteria	759	63	63	85	
GCA_902580895.1	Bacteria	1052	79	79	85	
GCA_004321785.1	Bacteria	951	70	70	85	
GCA_038857815.1	Archaea	1123	82	84	128	
GCA_009694865.1	Bacteria	1019	64	65	85	
GCA_002790655.1	Bacteria	819	76	76	85	
GCA_040753135.1	Bacteria	626	63	64	85	
GCA_027423705.1	Bacteria	757	58	58	85	
GCA_001779455.1	Bacteria	1035	59	59	85	
GCA_001782255.1	Bacteria	792	58	58	85	
GCA_021790235.1	Bacteria	553	63	63	85	
GCA_028718965.1	Bacteria	885	60	60	85	
GCA_903871315.1	Bacteria	661	63	63	85	
GCA_041616235.1	Archaea	1235	92	94	128	
GCA_041676305.1	Bacteria	750	67	68	85	
GCA_041737855.1	Bacteria	702	58	58	85	
GCA_018062815.1	Bacteria	911	63	63	85	
GCA_027329945.1	Archaea	781	101	103	128	
GCA_949292485.1	Bacteria	1011	73	74	85	
GCA_017546085.1	Bacteria	845	68	68	85	
GCA_002322785.1	Bacteria	1012	74	74	85	
GCA_038999245.1	Archaea	655	100	100	128	
GCA_018822645.1	Bacteria	988	74	74	85	
GCA_021823435.1	Archaea	841	86	91	128	
GCA_944351375.1	Bacteria	1037	73	73	85	
GCA_036170315.1	Bacteria	774	63	63	85	
GCA_950069915.1	Bacteria	799	66	66	85	
GCA_902609675.1	Bacteria	1053	46	47	85	
GCA_958350295.1	Bacteria	1114	43	43	85	
GCA_007131205.1	Archaea	1136	106	108	128	
GCA_003483035.1	Bacteria	772	59	59	85	
GCA_011322135.1	Bacteria	661	64	64	85	
GCA_001795935.1	Bacteria	769	59	59	85	
GCA_038997405.1	Archaea	745	107	110	128	
GCA_947311665.1	Bacteria	835	61	61	85	
GCA_038878295.1	Archaea	812	105	106	128	
GCA_023270015.1	Archaea	852	106	111	128	
GCA_022599815.1	Bacteria	1053	80	81	85	
GCA_946538835.1	Bacteria	862	38	38	85	
GCA_003554915.1	Bacteria	961	62	64	85	
GCA_902510025.1	Bacteria	809	53	53	85	
GCA_034722215.1	Archaea	675	71	75	128	
GCA_026389025.1	Bacteria	885	69	69	85	
GCA_001819815.1	Bacteria	871	61	62	85	
GCA_036770125.1	Bacteria	648	40	40	85	
GCA_947449205.1	Bacteria	902	37	37	85	
GCA_902528455.1	Bacteria	966	32	32	85	
GCA_948616465.1	Bacteria	989	78	78	85	
GCA_032582795.1	Bacteria	608	82	82	85	
GCA_016291995.1	Bacteria	868	64	65	85	
GCA_029059365.1	Bacteria	848	78	78	85	
GCA_948860255.1	Bacteria	834	70	70	85	
GCA_902524465.1	Bacteria	807	74	74	85	
GCA_945788455.1	Bacteria	1030	36	36	85	
GCA_023139785.1	Archaea	1070	84	84	128	
GCA_016181505.1	Archaea	1249	88	90	128	
GCA_028701035.1	Bacteria	634	68	68	85	
GCA_001791275.1	Bacteria	931	69	69	85	
GCA_903925465.1	Bacteria	909	76	78	85	
GCA_023487965.1	Bacteria	565	50	50	85	
GCA_036384495.1	Bacteria	989	65	65	85	
GCA_001776975.1	Bacteria	753	65	65	85	
GCA_002456985.1	Bacteria	857	59	59	85	
GCA_038830485.1	Archaea	809	99	99	128	
GCA_020849575.1	Bacteria	862	32	32	85	
GCA_002293825.1	Bacteria	891	75	75	85	
GCA_030741815.1	Archaea	662	68	68	128	
GCA_027334625.1	Bacteria	622	65	65	85	
GCA_036849835.1	Archaea	518	56	56	128	
GCA_036753185.1	Bacteria	842	55	55	85	
GCA_016212045.1	Bacteria	1052	69	70	85	
GCA_035510715.1	Bacteria	1028	73	73	85	
GCA_031255005.1	Bacteria	787	80	80	85	
GCA_949033005.1	Bacteria	539	61	63	85	
GCA_017992155.1	Bacteria	883	60	60	85	
GCA_001789725.1	Bacteria	691	48	48	85	
GCA_000989855.1	Bacteria	1047	59	59	85	
GCA_903903955.1	Bacteria	853	47	47	85	
GCA_041487075.1	Bacteria	615	54	54	85	
GCA_036834045.1	Bacteria	851	52	52	85	
GCA_001000355.1	Bacteria	524	42	42	85	
GCA_023246755.1	Bacteria	953	69	69	85	
GCA_959018425.1	Bacteria	608	42	42	85	
GCA_000997055.1	Bacteria	749	69	69	85	
GCA_026395955.1	Bacteria	723	64	64	85	
GCA_003694385.1	Archaea	1006	94	96	128	
GCA_023247895.1	Bacteria	768	58	58	85	
GCA_021786835.1	Bacteria	900	61	61	85	
GCA_027337745.1	Archaea	723	82	83	128	
GCA_016931175.1	Archaea	1067	102	104	128	
GCA_949488565.1	Bacteria	918	78	78	85	
GCA_018716885.1	Bacteria	913	78	78	85	
GCA_017425305.1	Bacteria	1065	48	50	85	
GCA_041674925.1	Bacteria	701	49	50	85	
GCA_947628125.1	Bacteria	1054	75	79	85	
GCA_031274665.1	Archaea	927	80	80	128	
GCA_036822955.1	Bacteria	520	45	45	85	
GCA_963615165.1	Bacteria	998	54	55	85	
GCA_030832275.1	Bacteria	936	48	48	85	
GCA_022733275.1	Bacteria	815	80	80	85	
GCA_902604605.1	Bacteria	888	33	33	85	
GCA_009884515.1	Bacteria	752	77	77	85	
GCA_001786355.1	Bacteria	754	60	60	85	
GCA_036646285.1	Bacteria	886	49	49	85	
GCA_002784865.1	Bacteria	967	66	66	85	
GCA_037129115.1	Bacteria	736	73	73	85	
GCA_001000005.1	Bacteria	680	49	49	85	
GCA_028700345.1	Bacteria	811	54	54	85	
GCA_902593805.1	Bacteria	866	75	75	85	
GCA_902514755.1	Bacteria	1099	71	71	85	
GCA_001778755.1	Bacteria	923	60	60	85	
GCA_036752865.1	Bacteria	694	73	73	85	
GCA_027351495.1	Archaea	810	90	96	128	
GCA_036405235.1	Bacteria	951	74	74	85	
GCA_949380525.1	Bacteria	904	78	78	85	
GCA_009777625.1	Bacteria	927	61	61	85	
GCA_902627045.1	Bacteria	969	48	48	85	
GCA_938083225.1	Bacteria	976	70	70	85	
GCA_040325925.1	Bacteria	1149	72	72	85	
GCA_038868055.1	Archaea	792	93	95	128	
GCA_020854825.1	Archaea	842	109	109	128	
GCA_902569975.1	Bacteria	940	63	63	85	
GCA_038064275.1	Bacteria	490	60	60	85	
GCA_026987855.1	Bacteria	802	65	66	85	
GCA_027353745.1	Archaea	676	79	79	128	
GCA_003539915.1	Bacteria	498	62	62	85	
GCA_902614725.1	Bacteria	969	40	40	85	
GCA_018818075.1	Archaea	724	72	74	128	
GCA_937873535.1	Bacteria	731	53	53	85	
GCA_001786765.1	Bacteria	762	66	66	85	
GCA_943354445.1	Bacteria	587	58	59	85	
GCA_948288625.1	Bacteria	964	75	75	85	
GCA_015257785.3	Bacteria	682	74	74	85	
GCA_946998985.1	Bacteria	1081	53	53	85	
GCA_041640075.1	Archaea	1125	105	109	128	
GCA_947631895.1	Bacteria	979	48	48	85	
GCA_947473115.1	Bacteria	936	71	71	85	
GCA_020061865.1	Bacteria	652	56	57	85	
GCA_023473255.1	Archaea	693	95	97	128	
GCA_003520225.1	Bacteria	1340	42	42	85	
GCA_022705865.1	Bacteria	826	75	75	85	
GCA_963650615.1	Bacteria	1627	70	72	85	
GCA_948790455.1	Bacteria	981	78	78	85	
GCA_038836625.1	Archaea	1186	122	124	128	
GCA_027409965.1	Bacteria	1752	59	59	85	
GCA_958346355.1	Bacteria	1072	51	52	85	
GCA_900760295.1	Bacteria	1636	45	46	85	
GCA_946549475.1	Bacteria	1547	40	40	85	
GCA_902539835.1	Bacteria	1202	76	76	85	
GCA_903867805.1	Bacteria	1727	81	82	85	
GCA_016186375.1	Archaea	1450	76	79	128	
GCA_017960825.1	Bacteria	1606	44	44	85	
GCA_034180605.1	Bacteria	1636	84	85	85	
GCA_945828065.1	Bacteria	1622	74	74	85	
GCA_021161765.1	Archaea	2169	113	121	128	
GCA_963541745.1	Bacteria	1133	82	83	85	
GCA_027058165.1	Bacteria	1910	74	75	85	
GCA_031265025.1	Bacteria	1712	68	68	85	
GCA_963579435.1	Bacteria	1951	53	54	85	
GCA_036127515.1	Archaea	1443	94	96	128	
GCA_017612655.1	Bacteria	1357	46	48	85	
GCA_947574905.1	Bacteria	1061	70	72	85	
GCA_032065985.1	Bacteria	2064	77	77	85	
GCA_038817035.1	Archaea	1691	128	130	128	
GCA_963533645.1	Bacteria	1719	47	51	85	
GCA_948830685.1	Bacteria	1717	85	85	85	
GCA_903901625.1	Bacteria	1794	83	83	85	
GCA_041676145.1	Bacteria	1528	76	77	85	
GCA_948976265.1	Bacteria	1966	83	83	85	
GCA_900772265.1	Bacteria	1227	61	62	85	
GCA_036656295.1	Bacteria	1489	47	48	85	
GCA_030836925.1	Bacteria	2157	44	44	85	
GCA_016777905.1	Bacteria	1719	68	71	85	
GCA_963512545.1	Bacteria	1942	85	86	85	
GCA_028275605.1	Archaea	1308	100	101	128	
GCA_938002035.1	Bacteria	1265	47	47	85	
GCA_903883995.1	Archaea	1267	110	112	128	
GCA_947485425.1	Bacteria	1477	48	48	85	
GCA_041841585.1	Bacteria	1523	71	74	85	
GCA_949443495.1	Bacteria	1727	84	84	85	
GCA_949280135.1	Bacteria	1251	84	84	85	
GCA_002495735.1	Archaea	1041	92	92	128	
GCA_029258285.1	Bacteria	1678	84	84	85	
GCA_002308175.1	Bacteria	1159	64	65	85	
GCA_021107695.1	Bacteria	1870	57	57	85	
GCA_028702105.1	Bacteria	1745	74	75	85	
GCA_948948635.1	Bacteria	1248	59	59	85	
GCA_017999835.1	Bacteria	1614	78	78	85	
GCA_030461335.1	Bacteria	1950	78	79	85	
GCA_934120025.1	Bacteria	1313	82	82	85	
GCA_949878655.1	Bacteria	1620	84	84	85	
GCA_023407375.1	Bacteria	1692	37	37	85	
GCA_018659375.1	Archaea	1640	108	109	128	
GCA_902463305.1	Bacteria	1907	84	85	85	
GCA_037968255.1	Archaea	1535	116	118	128	
GCA_947466905.1	Bacteria	1750	61	61	85	
GCA_934270475.1	Bacteria	1402	84	84	85	
GCA_949415385.1	Bacteria	1804	67	68	85	
GCA_001765415.1	Bacteria	1842	85	85	85	
GCA_022770545.1	Bacteria	1232	80	81	85	
GCA_949348685.1	Bacteria	1534	32	33	85	
GCA_009914645.1	Bacteria	1829	71	73	85	
GCA_949436365.1	Bacteria	1004	58	58	85	
GCA_034089505.1	Bacteria	1530	72	72	85	
GCA_946500975.1	Bacteria	1651	85	85	85	
GCA_027368395.1	Archaea	1551	117	118	128	
GCA_021202555.1	Bacteria	1730	84	84	85	
GCA_902647125.1	Bacteria	1132	81	81	85	
GCA_902510915.1	Bacteria	1507	73	73	85	
GCA_958434705.1	Bacteria	2018	84	84	85	
GCA_041652675.1	Bacteria	1102	62	64	85	
GCA_027380035.1	Archaea	1413	122	124	128	
GCA_949483105.1	Bacteria	1688	54	54	85	
GCA_948844735.1	Bacteria	1391	40	40	85	
GCA_963989555.1	Bacteria	1158	57	57	85	
GCA_005884215.1	Archaea	1704	98	102	128	
GCA_948760455.1	Bacteria	1729	84	84	85	
GCA_948513095.1	Bacteria	1768	70	72	85	
GCA_944388745.1	Bacteria	1489	56	56	85	
GCA_030455605.1	Bacteria	1320	72	72	85	
GCA_902633975.1	Bacteria	1388	73	73	85	
GCA_948952925.1	Bacteria	1884	38	38	85	
GCA_002440145.1	Bacteria	1530	70	70	85	
GCA_959028735.1	Bacteria	1655	83	83	85	
GCA_002477185.1	Bacteria	1771	54	54	85	
GCA_902787125.1	Bacteria	1657	80	80	85	
GCA_009785655.1	Bacteria	1672	72	73	85	
GCA_948613035.1	Bacteria	1501	83	83	85	
GCA_035359075.1	Bacteria	1675	81	83	85	
GCA_902761255.1	Bacteria	1750	82	82	85	
GCA_945965665.1	Bacteria	1669	85	85	85	
GCA_029460375.1	Archaea	1230	102	103	128	
GCA_031271875.1	Bacteria	1653	30	30	85	
GCA_963544595.1	Bacteria	1938	59	59	85	
GCA_023396455.1	Archaea	1284	89	92	128	
GCA_021633545.1	Bacteria	1613	82	82	85	
