gtdb_accession	ncbi_accession	gcf_accession	checkm2_completeness	checkm2_contamination	contig_count	n50_contigs	longest_contig	genome_size	domain	phylum	gtdb_taxonomy	fasta_path	download_dir
RS_GCF_000022205.1	GCA_000022205.1	GCF_000022205.1	99.94	0.48	3	2735295	2735295	3692576	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum lacusprofundi	/home/tianrm/projects/magicc2/data/genomes/GCF_000022205.1/GCF_000022205.1_ASM2220v1_genomic.fna	GCF_000022205.1
GB_GCA_029907705.1	GCA_029907705.1		98.85	0.67	72	44679	104685	1788592	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__JACTUA01;g__JARYLJ01;s__JARYLJ01 sp029907705	/home/tianrm/projects/magicc2/data/genomes/GCA_029907705.1/GCA_029907705.1_ASM2990770v1_genomic.fna	GCA_029907705.1
RS_GCF_008806895.1	GCA_008806895.1	GCF_008806895.1	99.69	1.09	5	2734347	2734347	3255273	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp003990725	/home/tianrm/projects/magicc2/data/genomes/GCF_008806895.1/GCF_008806895.1_ASM880689v1_genomic.fna	GCF_008806895.1
RS_GCF_024372745.1	GCA_024372745.1	GCF_024372745.1	99.86	0.17	69	72685	210121	2342634	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocalculus;s__Methanocalculus taiwanensis	/home/tianrm/projects/magicc2/data/genomes/GCF_024372745.1/GCF_024372745.1_ASM2437274v1_genomic.fna	GCF_024372745.1
RS_GCF_013388255.1	GCA_013388255.1	GCF_013388255.1	99.96	0.59	1	2704953	2704953	2704953	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus zinderi	/home/tianrm/projects/magicc2/data/genomes/GCF_013388255.1/GCF_013388255.1_ASM1338825v1_genomic.fna	GCF_013388255.1
RS_GCF_001485555.1	GCA_001485555.1	GCF_001485555.1	99.81	0.47	6	3047371	3047371	4184591	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula hispanica	/home/tianrm/projects/magicc2/data/genomes/GCF_001485555.1/GCF_001485555.1_ASM148555v1_genomic.fna	GCF_001485555.1
RS_GCF_000296615.1	GCA_000296615.1	GCF_000296615.1	99.79	0.67	16	707005	1032605	3168011	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum ruber	/home/tianrm/projects/magicc2/data/genomes/GCF_000296615.1/GCF_000296615.1_ASM29661v1_genomic.fna	GCF_000296615.1
RS_GCF_028617175.1	GCA_028617175.1	GCF_028617175.1	99.62	1.5	87	179076	579726	4220559	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halococcaceae;g__Halococcus;s__Halococcus salifodinae	/home/tianrm/projects/magicc2/data/genomes/GCF_028617175.1/GCF_028617175.1_ASM2861717v1_genomic.fna	GCF_028617175.1
RS_GCF_000063445.1	GCA_000063445.1	GCF_000063445.1	99.99	0.37	1	3179916	3179916	3179916	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae;g__Methanocella_A;s__Methanocella_A arvoryzae	/home/tianrm/projects/magicc2/data/genomes/GCF_000063445.1/GCF_000063445.1_ASM6344v1_genomic.fna	GCF_000063445.1
RS_GCF_000723845.1	GCA_000723845.1	GCF_000723845.1	99.84	0.74	10	944085	1170062	3893626	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax prahovense	/home/tianrm/projects/magicc2/data/genomes/GCF_000723845.1/GCF_000723845.1_PRJEB5511_assembly_1_genomic.fna	GCF_000723845.1
RS_GCF_030553305.1	GCA_030553305.1	GCF_030553305.1	99.93	1.63	6	2782162	2782162	3610213	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomarina;s__Halomarina ordinaria	/home/tianrm/projects/magicc2/data/genomes/GCF_030553305.1/GCF_030553305.1_ASM3055330v1_genomic.fna	GCF_030553305.1
RS_GCF_001508745.1	GCA_001508745.1	GCF_001508745.1	99.95	0.08	99	34454	104015	2037571	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__Archaeoglobus fulgidus	/home/tianrm/projects/magicc2/data/genomes/GCF_001508745.1/GCF_001508745.1_ASM150874v1_genomic.fna	GCF_001508745.1
GB_GCA_002011155.2	GCA_002011155.2		100.0	0.37	21	187849	238144	1465354	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Mnemosynellales;f__Mnemosynellaceae;g__Mnemosynella;s__Mnemosynella biddleae	/home/tianrm/projects/magicc2/data/genomes/GCA_002011155.2/GCA_002011155.2_ASM201115v2_genomic.fna	GCA_002011155.2
RS_GCF_900101055.1	GCA_900101055.1	GCF_900101055.1	99.51	0.25	21	226508	450426	2217720	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus thermophilus	/home/tianrm/projects/magicc2/data/genomes/GCF_900101055.1/GCF_900101055.1_IMG-taxon_2634166298_annotated_assembly_genomic.fna	GCF_900101055.1
RS_GCF_039545195.1	GCA_039545195.1	GCF_039545195.1	99.98	1.92	28	783588	1430848	4279145	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula japonica	/home/tianrm/projects/magicc2/data/genomes/GCF_039545195.1/GCF_039545195.1_ASM3954519v1_genomic.fna	GCF_039545195.1
RS_GCF_028211295.1	GCA_028211295.1	GCF_028211295.1	99.97	0.78	72	973679	1264869	3695056	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum ezzemoulense	/home/tianrm/projects/magicc2/data/genomes/GCF_028211295.1/GCF_028211295.1_ASM2821129v1_genomic.fna	GCF_028211295.1
RS_GCF_003173355.1	GCA_003173355.1	GCF_003173355.1	99.94	1.8	25	451884	981388	3743701	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum lacunae	/home/tianrm/projects/magicc2/data/genomes/GCF_003173355.1/GCF_003173355.1_ASM317335v1_genomic.fna	GCF_003173355.1
RS_GCF_000337295.1	GCA_000337295.1	GCF_000337295.1	99.75	0.49	16	323675	988750	3894540	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax mediterranei	/home/tianrm/projects/magicc2/data/genomes/GCF_000337295.1/GCF_000337295.1_ASM33729v1_genomic.fna	GCF_000337295.1
GB_GCA_027036775.1	GCA_027036775.1		99.94	0.0	49	90476	183782	1529650	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus_B;s__Archaeoglobus_B sp027036775	/home/tianrm/projects/magicc2/data/genomes/GCA_027036775.1/GCA_027036775.1_ASM2703677v1_genomic.fna	GCA_027036775.1
GB_GCA_012519275.1	GCA_012519275.1		99.92	0.39	81	61082	150941	3183080	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina flavescens	/home/tianrm/projects/magicc2/data/genomes/GCA_012519275.1/GCA_012519275.1_ASM1251927v1_genomic.fna	GCA_012519275.1
RS_GCF_017357525.1	GCA_017357525.1	GCF_017357525.1	99.76	0.51	1	2746416	2746416	2746416	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanofollaceae;g__Methanofollis;s__Methanofollis aquaemaris	/home/tianrm/projects/magicc2/data/genomes/GCF_017357525.1/GCF_017357525.1_ASM1735752v1_genomic.fna	GCF_017357525.1
RS_GCF_003688715.1	GCA_003688715.1	GCF_003688715.1	99.89	1.12	20	434723	729044	3507307	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloplanus;s__Haloplanus aerogenes	/home/tianrm/projects/magicc2/data/genomes/GCF_003688715.1/GCF_003688715.1_ASM368871v1_genomic.fna	GCF_003688715.1
RS_GCF_028210995.1	GCA_028210995.1	GCF_028210995.1	99.92	0.46	86	849880	1150072	3455161	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum ezzemoulense	/home/tianrm/projects/magicc2/data/genomes/GCF_028210995.1/GCF_028210995.1_ASM2821099v1_genomic.fna	GCF_028210995.1
RS_GCF_001485575.1	GCA_001485575.1	GCF_001485575.1	99.97	1.13	9	3121921	3121921	4359264	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula sp001485575	/home/tianrm/projects/magicc2/data/genomes/GCF_001485575.1/GCF_001485575.1_ASM148557v1_genomic.fna	GCF_001485575.1
RS_GCF_016278365.1	GCA_016278365.1	GCF_016278365.1	99.89	1.12	24	249817	528048	2869497	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus sp016278365	/home/tianrm/projects/magicc2/data/genomes/GCF_016278365.1/GCF_016278365.1_ASM1627836v1_genomic.fna	GCF_016278365.1
RS_GCF_003382685.1	GCA_003382685.1	GCF_003382685.1	99.77	1.04	97	71285	174010	3838315	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haladaptataceae;g__Halorussus;s__Halorussus litoreus	/home/tianrm/projects/magicc2/data/genomes/GCF_003382685.1/GCF_003382685.1_ASM338268v1_genomic.fna	GCF_003382685.1
RS_GCF_004126515.1	GCA_004126515.1	GCF_004126515.1	99.98	1.29	3	3062294	3062294	3726301	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum ezzemoulense	/home/tianrm/projects/magicc2/data/genomes/GCF_004126515.1/GCF_004126515.1_ASM412651v1_genomic.fna	GCF_004126515.1
RS_GCF_000304355.2	GCA_000304355.2	GCF_000304355.2	99.95	0.55	1	2789774	2789774	2789774	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus bourgensis	/home/tianrm/projects/magicc2/data/genomes/GCF_000304355.2/GCF_000304355.2_Mb_MS2_genomic.fna	GCF_000304355.2
GB_GCA_035413445.1	GCA_035413445.1		99.89	0.81	48	122398	285720	3107920	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina thermophila	/home/tianrm/projects/magicc2/data/genomes/GCA_035413445.1/GCA_035413445.1_ASM3541344v1_genomic.fna	GCA_035413445.1
RS_GCF_902377425.1	GCA_902377425.1	GCF_902377425.1	99.37	1.16	41	148576	303345	3425042	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum lipolyticum	/home/tianrm/projects/magicc2/data/genomes/GCF_902377425.1/GCF_902377425.1_MGYG-HGUT-01693_genomic.fna	GCF_902377425.1
RS_GCF_024296685.1	GCA_024296685.1	GCF_024296685.1	99.92	0.3	1	3766003	3766003	3766003	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinema marinum	/home/tianrm/projects/magicc2/data/genomes/GCF_024296685.1/GCF_024296685.1_ASM2429668v1_genomic.fna	GCF_024296685.1
GB_GCA_900079125.1	GCA_900079125.1		99.9	0.55	1	2551189	2551189	2551189	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus bourgensis	/home/tianrm/projects/magicc2/data/genomes/GCA_900079125.1/GCA_900079125.1_MBBA_genomic.fna	GCA_900079125.1
GB_GCA_026986375.1	GCA_026986375.1		99.94	0.12	30	90468	162516	1459177	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WAKM01;s__WAKM01 sp026986375	/home/tianrm/projects/magicc2/data/genomes/GCA_026986375.1/GCA_026986375.1_ASM2698637v1_genomic.fna	GCA_026986375.1
RS_GCF_024498195.1	GCA_024498195.1	GCF_024498195.1	99.91	0.41	1	3902757	3902757	3902757	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Halovivax;s__Halovivax cerinus	/home/tianrm/projects/magicc2/data/genomes/GCF_024498195.1/GCF_024498195.1_ASM2449819v1_genomic.fna	GCF_024498195.1
RS_GCF_003856835.1	GCA_003856835.1	GCF_003856835.1	99.88	1.12	2	3461954	3461954	3503092	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloplanus;s__Haloplanus aerogenes	/home/tianrm/projects/magicc2/data/genomes/GCF_003856835.1/GCF_003856835.1_ASM385683v1_genomic.fna	GCF_003856835.1
RS_GCF_002025255.2	GCA_002025255.2	GCF_002025255.2	99.92	0.51	4	2904575	2904575	3465332	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina sp002025255	/home/tianrm/projects/magicc2/data/genomes/GCF_002025255.2/GCF_002025255.2_ASM202525v2_genomic.fna	GCF_002025255.2
RS_GCF_010692885.1	GCA_010692885.1	GCF_010692885.1	100.0	0.92	1	3994321	3994321	3994321	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halogeometricum;s__Halogeometricum borinquense	/home/tianrm/projects/magicc2/data/genomes/GCF_010692885.1/GCF_010692885.1_ASM1069288v1_genomic.fna	GCF_010692885.1
RS_GCF_017875315.1	GCA_017875315.1	GCF_017875315.1	99.03	0.26	6	719866	1115846	2541249	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanomicrobium;s__Methanomicrobium sp017875315	/home/tianrm/projects/magicc2/data/genomes/GCF_017875315.1/GCF_017875315.1_ASM1787531v1_genomic.fna	GCF_017875315.1
RS_GCF_021504015.1	GCA_021504015.1	GCF_021504015.1	98.97	0.01	78	55773	182508	2236468	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum	/home/tianrm/projects/magicc2/data/genomes/GCF_021504015.1/GCF_021504015.1_ASM2150401v1_genomic.fna	GCF_021504015.1
RS_GCF_000007345.1	GCA_000007345.1	GCF_000007345.1	99.98	1.23	1	5751492	5751492	5751492	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina acetivorans	/home/tianrm/projects/magicc2/data/genomes/GCF_000007345.1/GCF_000007345.1_ASM734v1_genomic.fna	GCF_000007345.1
