distance	dominant	donor	n_donor_genes	n_rbh_orthologues	pct_donor_genes_orthologous
order	RS_GCF_001975045.1	RS_GCF_009831115.1	2518	1226	48.69
phylum	RS_GCF_001975045.1	RS_GCF_015352395.1	3992	691	17.31
genus	RS_GCF_001975045.1	RS_GCF_017583125.1	2645	1816	68.66
class	RS_GCF_001975045.1	RS_GCF_034398955.1	5546	1193	21.51
family	RS_GCF_001975045.1	RS_GCF_035790375.1	2785	1688	60.61
order	RS_GCF_002025445.1	GB_GCA_002368095.1	7519	2122	28.22
phylum	RS_GCF_002025445.1	GB_GCA_944323225.1	2015	483	23.97
phylum	RS_GCF_002025445.1	GB_GCA_944323425.1	1941	445	22.93
species	RS_GCF_002025445.1	RS_GCF_003945305.1	5755	3787	65.8
class	RS_GCF_002025445.1	RS_GCF_029582805.1	3244	1646	50.74
genus	RS_GCF_002025445.1	RS_GCF_032701645.1	4704	3377	71.79
family	RS_GCF_002025445.1	RS_GCF_034932065.1	4337	2311	53.29
genus	RS_GCF_002063555.1	GB_GCA_001951515.1	4350	3385	77.82
order	RS_GCF_002063555.1	RS_GCF_009193065.1	4606	1720	37.34
phylum	RS_GCF_002063555.1	RS_GCF_024807635.1	8819	1044	11.84
species	RS_GCF_002063555.1	RS_GCF_025176995.1	4758	4075	85.65
family	RS_GCF_002063555.1	RS_GCF_028221515.1	5583	3007	53.86
class	RS_GCF_002063555.1	RS_GCF_900146805.1	5734	1595	27.82
family	RS_GCF_002108165.1	RS_GCF_000738005.1	1911	1026	53.69
species	RS_GCF_002108165.1	RS_GCF_015558565.1	1975	1512	76.56
genus	RS_GCF_002108165.1	RS_GCF_023205815.1	2244	1191	53.07
class	RS_GCF_002108165.1	RS_GCF_036898665.1	8909	637	7.15
order	RS_GCF_002108165.1	RS_GCF_039527385.1	4370	668	15.29
phylum	RS_GCF_002108165.1	RS_GCF_041821025.1	3496	484	13.84
species	RS_GCF_002734455.1	RS_GCF_000248735.1	2927	2449	83.67
genus	RS_GCF_002734455.1	RS_GCF_001747885.1	2778	1818	65.44
order	RS_GCF_002734455.1	RS_GCF_009831115.1	2518	1224	48.61
family	RS_GCF_002734455.1	RS_GCF_022810205.1	2780	1665	59.89
class	RS_GCF_002734455.1	RS_GCF_035810435.1	4148	1187	28.62
phylum	RS_GCF_002734455.1	RS_GCF_036442355.1	3855	693	17.98
species	RS_GCF_002966575.1	RS_GCF_001184655.1	1792	1533	85.55
phylum	RS_GCF_002966575.1	RS_GCF_017309185.1	5467	569	10.41
class	RS_GCF_002966575.1	RS_GCF_031823135.1	6474	877	13.55
order	RS_GCF_002966575.1	RS_GCF_033434015.1	5434	1166	21.46
family	RS_GCF_002966575.1	RS_GCF_038129635.1	2785	1326	47.61
genus	RS_GCF_002966575.1	RS_GCF_038431845.1	1941	1573	81.04
family	RS_GCF_003050485.1	RS_GCF_003026855.1	4400	2548	57.91
species	RS_GCF_003050485.1	RS_GCF_003050165.1	4782	4221	88.27
phylum	RS_GCF_003050485.1	RS_GCF_004306595.1	7194	988	13.73
genus	RS_GCF_003050485.1	RS_GCF_014525155.1	4925	3069	62.31
order	RS_GCF_003050485.1	RS_GCF_019771915.1	5263	1742	33.1
class	RS_GCF_003050485.1	RS_GCF_035621175.1	6577	1536	23.35
phylum	RS_GCF_003337515.1	RS_GCF_019685025.1	6580	947	14.39
species	RS_GCF_003337515.1	RS_GCF_019800655.1	3550	3123	87.97
order	RS_GCF_003337515.1	RS_GCF_019857605.1	6521	1911	29.31
class	RS_GCF_003337515.1	RS_GCF_026210475.1	5001	1249	24.98
family	RS_GCF_003337515.1	RS_GCF_029813005.1	6397	2045	31.97
genus	RS_GCF_003337515.1	RS_GCF_039968815.1	4214	2634	62.51
species	RS_GCF_003354325.1	GB_GCA_011996705.1	2017	1380	68.42
phylum	RS_GCF_003354325.1	RS_GCF_000451805.1	3661	131	3.58
class	RS_GCF_003354325.1	RS_GCF_007680225.1	5974	141	2.36
genus	RS_GCF_003354325.1	RS_GCF_012220205.1	1924	424	22.04
class	RS_GCF_003354325.1	RS_GCF_030517775.1	5656	140	2.48
phylum	RS_GCF_003354325.1	RS_GCF_034188255.1	3859	130	3.37
family	RS_GCF_003354325.1	RS_GCF_040895875.1	1225	321	26.2
order	RS_GCF_003354325.1	RS_GCF_900489665.1	1700	273	16.06
class	RS_GCF_003945305.1	GB_GCA_000316115.1	8518	2029	23.82
phylum	RS_GCF_003945305.1	GB_GCA_963927045.1	2187	430	19.66
species	RS_GCF_003945305.1	RS_GCF_002025445.1	5573	3787	67.95
order	RS_GCF_003945305.1	RS_GCF_015207005.2	8017	2337	29.15
genus	RS_GCF_003945305.1	RS_GCF_032701645.1	4704	3428	72.87
family	RS_GCF_003945305.1	RS_GCF_034932065.1	4337	2342	54.0
family	RS_GCF_004372675.1	RS_GCF_002091535.1	6073	3792	62.44
species	RS_GCF_004372675.1	RS_GCF_003812165.1	6302	5852	92.86
genus	RS_GCF_004372675.1	RS_GCF_014843515.1	6395	3996	62.49
class	RS_GCF_004372675.1	RS_GCF_030167915.1	6500	1776	27.32
phylum	RS_GCF_004372675.1	RS_GCF_032489455.1	6853	1507	21.99
order	RS_GCF_004372675.1	RS_GCF_037029215.1	4219	1967	46.62
phylum	RS_GCF_004564935.1	GB_GCA_032516925.1	3759	746	19.85
species	RS_GCF_004564935.1	RS_GCF_001703555.1	2482	2269	91.42
family	RS_GCF_004564935.1	RS_GCF_003264145.1	1750	871	49.77
species	RS_GCF_004564935.1	RS_GCF_004564865.1	2693	2685	99.7
order	RS_GCF_004564935.1	RS_GCF_019731355.1	3591	1365	38.01
class	RS_GCF_004564935.1	RS_GCF_037671485.1	5815	1158	19.91
genus	RS_GCF_004564935.1	RS_GCF_900088465.1	2608	2234	85.66
genus	RS_GCF_008726285.1	RS_GCF_001719605.1	2044	973	47.6
species	RS_GCF_008726285.1	RS_GCF_002847705.1	1749	1649	94.28
species	RS_GCF_008726285.1	RS_GCF_003286825.2	1711	1692	98.89
phylum	RS_GCF_008726285.1	RS_GCF_003327215.1	3931	583	14.83
order	RS_GCF_008726285.1	RS_GCF_014322565.1	3215	722	22.46
family	RS_GCF_008726285.1	RS_GCF_030230525.1	1683	722	42.9
class	RS_GCF_008726285.1	RS_GCF_036620945.1	5743	708	12.33
family	RS_GCF_009645235.1	GB_GCA_005518075.1	2894	1346	46.51
order	RS_GCF_009645235.1	RS_GCF_000480665.1	6337	1650	26.04
class	RS_GCF_009645235.1	RS_GCF_011065385.1	5115	1318	25.77
genus	RS_GCF_009645235.1	RS_GCF_016502445.1	4385	2559	58.36
species	RS_GCF_009645235.1	RS_GCF_023361275.1	4071	3184	78.21
phylum	RS_GCF_009645235.1	RS_GCF_041262305.1	6487	937	14.44
genus	RS_GCF_009734745.1	GB_GCA_017356385.1	3589	2409	67.12
family	RS_GCF_009734745.1	RS_GCF_000407105.1	2945	1668	56.64
order	RS_GCF_009734745.1	RS_GCF_000582665.1	3029	1177	38.86
class	RS_GCF_009734745.1	RS_GCF_003284765.1	3700	1051	28.41
phylum	RS_GCF_009734745.1	RS_GCF_018263955.1	4092	865	21.14
species	RS_GCF_009734745.1	RS_GCF_030282445.1	3615	2865	79.25
family	RS_GCF_009762745.1	RS_GCF_001953605.1	2878	1478	51.36
phylum	RS_GCF_009762745.1	RS_GCF_001972185.1	4067	653	16.06
class	RS_GCF_009762745.1	RS_GCF_003410355.1	5473	942	17.21
genus	RS_GCF_009762745.1	RS_GCF_003627375.1	3304	2511	76.0
species	RS_GCF_009762745.1	RS_GCF_017963535.1	3200	2722	85.06
order	RS_GCF_009762745.1	RS_GCF_025958885.1	2661	1111	41.75
phylum	RS_GCF_010119915.1	GB_GCA_032561555.1	2894	473	16.34
genus	RS_GCF_010119915.1	RS_GCF_013359775.1	4330	2833	65.43
order	RS_GCF_010119915.1	RS_GCF_018598365.1	3540	1430	40.4
species	RS_GCF_010119915.1	RS_GCF_019024305.1	4055	3700	91.25
family	RS_GCF_010119915.1	RS_GCF_024124905.1	4034	2259	56.0
class	RS_GCF_010119915.1	RS_GCF_040685455.1	7034	1715	24.38
order	RS_GCF_013177455.1	GB_GCA_017306015.1	3814	1288	33.77
class	RS_GCF_013177455.1	GB_GCA_900090175.1	6979	1786	25.59
species	RS_GCF_013177455.1	RS_GCF_014493605.1	4109	3874	94.28
genus	RS_GCF_013177455.1	RS_GCF_018831735.1	5566	2461	44.21
phylum	RS_GCF_013177455.1	RS_GCF_035830675.1	2301	414	17.99
family	RS_GCF_013177455.1	RS_GCF_039531265.1	4196	2153	51.31
phylum	RS_GCF_013410875.1	GB_GCA_018269055.1	6241	1190	19.07
order	RS_GCF_013410875.1	GB_GCA_020073665.1	4796	1529	31.88
class	RS_GCF_013410875.1	GB_GCA_038212445.1	6731	1470	21.84
family	RS_GCF_013410875.1	RS_GCF_000800015.1	4223	2150	50.91
genus	RS_GCF_013410875.1	RS_GCF_025264665.1	3735	2387	63.91
species	RS_GCF_013410875.1	RS_GCF_040358985.1	4234	3949	93.27
order	RS_GCF_014129645.1	GB_GCA_027621865.1	2414	501	20.75
family	RS_GCF_014129645.1	RS_GCF_000026005.1	968	554	57.23
class	RS_GCF_014129645.1	RS_GCF_001664525.1	6193	402	6.49
phylum	RS_GCF_014129645.1	RS_GCF_024241195.1	5286	338	6.39
genus	RS_GCF_014129645.1	RS_GCF_947250595.1	1413	779	55.13
species	RS_GCF_014129645.1	RS_GCF_964026995.1	1455	875	60.14
species	RS_GCF_014236815.1	RS_GCF_014236835.1	4232	3947	93.27
order	RS_GCF_014236815.1	RS_GCF_018599235.1	4493	2070	46.07
phylum	RS_GCF_014236815.1	RS_GCF_020880995.1	5715	1016	17.78
family	RS_GCF_014236815.1	RS_GCF_028749785.1	4378	2918	66.65
class	RS_GCF_014236815.1	RS_GCF_900584695.1	5390	1510	28.01
genus	RS_GCF_014236815.1	RS_GCF_913777745.1	4001	3307	82.65
order	RS_GCF_014493605.1	GB_GCA_016716635.1	3643	1168	32.06
species	RS_GCF_014493605.1	RS_GCF_013177455.1	4114	3874	94.17
genus	RS_GCF_014493605.1	RS_GCF_018831735.1	5566	2429	43.64
phylum	RS_GCF_014493605.1	RS_GCF_019052535.1	2814	465	16.52
class	RS_GCF_014493605.1	RS_GCF_036013915.1	7863	1779	22.62
family	RS_GCF_014493605.1	RS_GCF_039531265.1	4196	2144	51.1
phylum	RS_GCF_016584425.1	GB_GCA_000749545.1	4868	311	6.39
order	RS_GCF_016584425.1	GB_GCA_027621865.1	2414	516	21.38
family	RS_GCF_016584425.1	RS_GCF_000026005.1	968	572	59.09
class	RS_GCF_016584425.1	RS_GCF_040009165.1	5938	429	7.22
genus	RS_GCF_016584425.1	RS_GCF_947250595.1	1413	872	61.71
species	RS_GCF_016584425.1	RS_GCF_964026995.1	1455	984	67.63
order	RS_GCF_017303205.1	GB_GCA_002530625.1	5845	2122	36.3
family	RS_GCF_017303205.1	RS_GCF_000972245.3	5326	2463	46.24
class	RS_GCF_017303205.1	RS_GCF_001278015.1	3034	858	28.28
species	RS_GCF_017303205.1	RS_GCF_005577315.1	4136	3595	86.92
phylum	RS_GCF_017303205.1	RS_GCF_009718345.1	4019	764	19.01
genus	RS_GCF_017303205.1	RS_GCF_038005965.1	5675	3081	54.29
phylum	RS_GCF_019024305.1	GB_GCA_003169635.1	2562	760	29.66
class	RS_GCF_019024305.1	RS_GCF_000736435.1	9227	1661	18.0
species	RS_GCF_019024305.1	RS_GCF_010119915.1	3970	3700	93.2
genus	RS_GCF_019024305.1	RS_GCF_013359775.1	4330	2851	65.84
family	RS_GCF_019024305.1	RS_GCF_024124905.1	4034	2266	56.17
