genome_id	ref_index	error_type	error_rate	error_rate_pct	net_mass_lost	total_ratio	l1_relative	cosine_similarity_to_control	n_selected_kmers_lost	normalised_l2_per_dim	summary_normalised_l2_per_dim	predicted_kmer_position_corruption_1_minus_1mp9	summary_delta_log10_total_kmer_count	summary_delta_total_kmer_sum	summary_delta_unique_kmer_count	summary_delta_duplicate_kmer_count	summary_delta_kmer_entropy	summary_delta_unique_kmer_ratio	summary_delta_duplicate_kmer_ratio
G_r002_chimera_10pct	2	chimera	0.1	10.0	0.0	1.000009	9e-06	1.0	0	0.000414	2e-06		0.0	0.0	0.0	0.0	0.0	0.0	0.0
G_r002_chimera_20pct	2	chimera	0.2	20.0	0.0	1.000018	1.8e-05	1.0	0	0.000357	4e-06		1e-05	1e-05	0.0	0.0	-0.0	0.0	0.0
G_r002_chimera_40pct	2	chimera	0.4	40.0	0.0	1.000048	4.8e-05	1.0	0	0.001951	1.1e-05		2e-05	2e-05	0.0	0.0	1e-05	0.0	0.0
G_r002_uneven_coverage_5pct	2	uneven_coverage	0.05	5.0	0.0	1.047269	0.047269	0.999817	0	0.071416	0.236046		0.02006	0.02006	0.0	0.62353	-0.00061	0.0	0.02076
G_r002_uneven_coverage_10pct	2	uneven_coverage	0.1	10.0	0.0	1.098781	0.098781	0.999446	0	0.116495	0.232386		0.04091	0.04091	0.0	0.61176	-0.00233	0.0	0.02037
G_r002_uneven_coverage_20pct	2	uneven_coverage	0.2	20.0	0.0	1.201868	0.201868	0.999301	0	0.201542	0.566646		0.07986	0.07986	0.0	1.49412	-0.00088	0.0	0.04975
G_r002_uneven_coverage_40pct	2	uneven_coverage	0.4	40.0	0.0	1.404457	0.404457	0.998216	0	0.352623	0.71621		0.14751	0.14751	0.0	1.88235	-0.00052	0.0	0.06268
G_r003_substitution_0p1pct	3	substitution	0.001	0.1	0.00562	0.99803	0.009271	0.99995	0	0.025053	0.000513	0.008964	-0.00086	-0.00086	0.0	0.0	0.00061	0.0	0.0
G_r003_substitution_0p5pct	3	substitution	0.005	0.5	0.017584	0.99081	0.025978	0.99973	0	0.055253	0.002503	0.04411	-0.00401	-0.00401	0.0	0.0	0.00342	0.0	0.0
G_r003_substitution_1pct	3	substitution	0.01	1.0	0.029269	0.981831	0.04037	0.999412	0	0.08007	0.017713	0.086483	-0.00796	-0.00796	0.04348	0.01176	0.00636	0.00026	0.0
G_r003_substitution_2pct	3	substitution	0.02	2.0	0.052335	0.962335	0.067005	0.998624	0	0.114812	0.019247	0.166252	-0.01667	-0.01667	0.04348	0.0	0.0121	0.00026	-0.00036
G_r003_substitution_5pct	3	substitution	0.05	5.0	0.112024	0.909837	0.133884	0.995399	0	0.19623	0.03098	0.369751	-0.04104	-0.04104	0.04348	0.02353	0.0301	0.00026	0.00036
G_r003_substitution_titv_0p1pct	3	substitution_titv	0.001	0.1	0.005246	0.998328	0.00882	0.999954	0	0.023091	0.000435	0.008964	-0.00073	-0.00073	0.0	0.0	0.00052	0.0	0.0
G_r003_substitution_titv_0p5pct	3	substitution_titv	0.005	0.5	0.017634	0.990656	0.025923	0.99974	0	0.055458	0.016632	0.04411	-0.00408	-0.00408	0.04348	0.0	0.00355	0.00026	-0.00036
G_r003_substitution_titv_1pct	3	substitution_titv	0.01	1.0	0.030342	0.981385	0.042068	0.999368	0	0.079165	0.017792	0.086483	-0.00816	-0.00816	0.04348	0.01176	0.00734	0.00026	0.0
G_r003_substitution_titv_2pct	3	substitution_titv	0.02	2.0	0.051055	0.965145	0.067255	0.998519	0	0.114165	0.021138	0.166252	-0.01541	-0.01541	0.04348	0.02353	0.01445	0.00026	0.00036
G_r003_substitution_titv_5pct	3	substitution_titv	0.05	5.0	0.110923	0.914645	0.136492	0.994849	0	0.204273	0.030671	0.369751	-0.03875	-0.03875	0.04348	0.02353	0.03374	0.00026	0.00036
G_r003_indel_0p1pct	3	indel	0.001	0.1	0.004757	0.998398	0.007912	0.999961	0	0.021509	0.000391		-0.0007	-0.0007	0.0	0.0	0.00032	0.0	0.0
G_r003_indel_0p5pct	3	indel	0.005	0.5	0.015546	0.991909	0.023	0.999774	0	0.050541	0.001956		-0.00353	-0.00353	0.0	0.0	0.00137	0.0	0.0
G_r003_indel_1pct	3	indel	0.01	1.0	0.026183	0.983637	0.036002	0.999532	0	0.071286	0.017484		-0.00717	-0.00717	0.04348	0.01176	0.0029	0.00026	0.0
G_r003_indel_2pct	3	indel	0.02	2.0	0.044944	0.968091	0.057978	0.998918	0	0.108088	0.018736		-0.01408	-0.01408	0.04348	0.01176	0.00563	0.00026	0.0
G_r003_indel_5pct	3	indel	0.05	5.0	0.093537	0.924833	0.111907	0.996588	0	0.183413	0.025403		-0.03394	-0.03394	0.04348	0.01176	0.0136	0.00026	0.0
G_r003_chimera_5pct	3	chimera	0.05	5.0	0.0	1.0	0.0	1.0	0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
G_r003_chimera_10pct	3	chimera	0.1	10.0	0.0	1.000008	8e-06	1.0	0	0.000474	2e-06		0.0	0.0	0.0	0.0	0.0	0.0	0.0
G_r003_chimera_20pct	3	chimera	0.2	20.0	0.0	1.000029	2.9e-05	1.0	0	0.001004	7e-06		1e-05	1e-05	0.0	0.0	-0.0	0.0	0.0
G_r003_chimera_40pct	3	chimera	0.4	40.0	0.0	1.000031	3.1e-05	1.0	0	0.000831	7e-06		1e-05	1e-05	0.0	0.0	0.0	0.0	0.0
G_r003_uneven_coverage_5pct	3	uneven_coverage	0.05	5.0	0.0	1.050267	0.050267	0.999831	0	0.063269	0.011386		0.0213	0.0213	0.0	0.0	-0.00037	0.0	0.0
G_r003_uneven_coverage_10pct	3	uneven_coverage	0.1	10.0	0.0	1.097067	0.097067	0.999586	0	0.111833	0.021507		0.04023	0.04023	0.0	0.0	0.00063	0.0	0.0
G_r003_uneven_coverage_20pct	3	uneven_coverage	0.2	20.0	0.0	1.203824	0.203824	0.998738	0	0.207493	0.043087		0.08056	0.08056	0.0	0.0	-0.00381	0.0	0.0
G_r003_uneven_coverage_40pct	3	uneven_coverage	0.4	40.0	0.0	1.402495	0.402495	0.998589	0	0.363034	0.078548		0.1469	0.1469	0.0	0.0	-0.0053	0.0	0.0
G_r004_substitution_0p1pct	4	substitution	0.001	0.1	0.007053	0.997573	0.011679	0.99991	5	0.06326	0.354265	0.008964	-0.00106	-0.00106	0.91304	0.21176	0.00157	0.00538	-0.0006
G_r004_substitution_0p5pct	4	substitution	0.005	0.5	0.023345	0.989779	0.036469	0.999562	22	0.139839	1.178909	0.04411	-0.00446	-0.00446	3.04348	0.68235	0.00686	0.01793	-0.00276
G_r004_substitution_1pct	4	substitution	0.01	1.0	0.038025	0.982189	0.058238	0.999076	37	0.194704	2.272262	0.086483	-0.0078	-0.0078	5.82609	1.48235	0.01544	0.03431	0.00037
G_r004_substitution_2pct	4	substitution	0.02	2.0	0.069758	0.959368	0.098883	0.997718	66	0.274875	3.830769	0.166252	-0.01801	-0.01801	9.6087	3.22353	0.02983	0.05659	0.02515
G_r004_substitution_5pct	4	substitution	0.05	5.0	0.146204	0.90135	0.193758	0.991496	68	0.432527	6.127971	0.369751	-0.04511	-0.04511	15.13043	5.82353	0.0688	0.08912	0.06228
G_r004_substitution_titv_0p1pct	4	substitution_titv	0.001	0.1	0.006423	0.998404	0.011249	0.999919	6	0.065218	0.296005	0.008964	-0.00069	-0.00069	0.73913	0.25882	0.00175	0.00435	0.00233
G_r004_substitution_titv_0p5pct	4	substitution_titv	0.005	0.5	0.023165	0.990847	0.037177	0.999543	25	0.140913	1.379142	0.04411	-0.00399	-0.00399	3.56522	0.77647	0.0074	0.021	-0.00396
G_r004_substitution_titv_1pct	4	substitution_titv	0.01	1.0	0.039257	0.982291	0.060805	0.998954	42	0.209373	2.739598	0.086483	-0.00776	-0.00776	6.95652	2.03529	0.01627	0.04097	0.00886
G_r004_substitution_titv_2pct	4	substitution_titv	0.02	2.0	0.066094	0.965246	0.097434	0.997509	65	0.288703	3.784609	0.166252	-0.01536	-0.01536	9.43478	3.35294	0.03151	0.05557	0.03063
G_r004_substitution_titv_5pct	4	substitution_titv	0.05	5.0	0.142172	0.912972	0.197315	0.990957	59	0.448106	6.857969	0.369751	-0.03954	-0.03954	16.82609	6.78824	0.07506	0.0991	0.07862
G_r004_indel_0p1pct	4	indel	0.001	0.1	0.005997	0.998469	0.010463	0.999924	7	0.065008	0.236177		-0.00067	-0.00067	0.6087	0.14118	0.00091	0.00359	-0.0004
G_r004_indel_0p5pct	4	indel	0.005	0.5	0.018998	0.99395	0.031946	0.999594	19	0.120721	0.817164		-0.00264	-0.00264	2.04348	0.70588	0.00532	0.01204	0.00611
G_r004_indel_1pct	4	indel	0.01	1.0	0.03414	0.985079	0.053359	0.999124	29	0.180172	1.688967		-0.00653	-0.00653	4.30435	1.2	0.01087	0.02535	0.00362
G_r004_indel_2pct	4	indel	0.02	2.0	0.057714	0.970306	0.085735	0.997937	66	0.253056	2.798533		-0.01309	-0.01309	7.04348	2.28235	0.02178	0.04149	0.016
G_r004_indel_5pct	4	indel	0.05	5.0	0.110996	0.934234	0.156225	0.993951	70	0.383008	5.23069		-0.02954	-0.02954	13.04348	4.62353	0.04578	0.07682	0.04158
G_r004_chimera_5pct	4	chimera	0.05	5.0	0.0	1.000016	1.6e-05	1.0	0	0.000999	4e-06		1e-05	1e-05	0.0	0.0	1e-05	0.0	0.0
G_r004_chimera_10pct	4	chimera	0.1	10.0	0.0	1.000025	2.5e-05	1.0	0	0.001507	6e-06		1e-05	1e-05	0.0	0.0	-1e-05	0.0	0.0
G_r004_chimera_20pct	4	chimera	0.2	20.0	0.0	1.000057	5.7e-05	1.0	0	0.003458	0.004449		3e-05	3e-05	0.0	0.01176	1e-05	0.0	0.00038
G_r004_chimera_40pct	4	chimera	0.4	40.0	0.0	1.000131	0.000131	0.999999	0	0.002814	3.1e-05		6e-05	6e-05	0.0	0.0	-2e-05	0.0	0.0
G_r004_uneven_coverage_5pct	4	uneven_coverage	0.05	5.0	0.0	1.048271	0.048271	0.99965	0	0.082805	0.129483		0.02047	0.02047	0.0	0.34118	-4e-05	0.0	0.01103
G_r004_uneven_coverage_10pct	4	uneven_coverage	0.1	10.0	0.0	1.096779	0.096779	0.99946	0	0.123799	0.245631		0.04012	0.04012	0.0	0.64706	0.00029	0.0	0.02092
G_r004_uneven_coverage_20pct	4	uneven_coverage	0.2	20.0	0.0	1.19883	0.19883	0.999138	0	0.203982	0.424743		0.07876	0.07876	0.0	1.11765	-0.00037	0.0	0.03613
G_r004_uneven_coverage_40pct	4	uneven_coverage	0.4	40.0	0.0	1.404578	0.404578	0.996856	0	0.368154	0.685249		0.14755	0.14755	0.0	1.8	-0.00567	0.0	0.0582
G_r005_substitution_0p1pct	5	substitution	0.001	0.1	0.008053	0.997806	0.013911	0.999776	0	0.035256	0.004482	0.008964	-0.00095	-0.00095	0.0	0.01176	0.0005	0.0	0.00036
G_r005_substitution_0p5pct	5	substitution	0.005	0.5	0.025862	0.990994	0.042717	0.998853	0	0.079389	0.034129	0.04411	-0.00393	-0.00393	0.08696	0.02353	0.00274	0.00051	0.0
G_r005_substitution_1pct	5	substitution	0.01	1.0	0.040475	0.982827	0.063776	0.997733	1	0.112013	0.016994	0.086483	-0.00752	-0.00752	0.04348	0.0	0.00422	0.00026	-0.00036
G_r005_substitution_2pct	5	substitution	0.02	2.0	0.067383	0.962214	0.096979	0.995106	1	0.158307	0.036729	0.166252	-0.01673	-0.01673	0.08696	0.03529	0.0087	0.00051	0.00036
G_r005_substitution_5pct	5	substitution	0.05	5.0	0.123344	0.91721	0.163899	0.985966	1	0.243951	0.050065	0.369751	-0.03753	-0.03753	0.08696	0.08235	0.01953	0.00051	0.00178
G_r005_substitution_titv_0p1pct	5	substitution_titv	0.001	0.1	0.007399	0.997899	0.012697	0.999798	0	0.033464	0.008912	0.008964	-0.00091	-0.00091	0.0	-0.02353	0.00046	0.0	-0.00071
G_r005_substitution_titv_0p5pct	5	substitution_titv	0.005	0.5	0.025186	0.991819	0.042192	0.998894	0	0.07773	0.034114	0.04411	-0.00357	-0.00357	0.08696	0.02353	0.00236	0.00051	0.0
G_r005_substitution_titv_1pct	5	substitution_titv	0.01	1.0	0.039601	0.9842	0.063401	0.997657	0	0.109378	0.024558	0.086483	-0.00692	-0.00692	0.04348	0.04706	0.00444	0.00026	0.00107
G_r005_substitution_titv_2pct	5	substitution_titv	0.02	2.0	0.064703	0.965256	0.094662	0.995046	0	0.155574	0.046122	0.166252	-0.01536	-0.01536	0.08696	0.08235	0.00849	0.00051	0.00178
G_r005_substitution_titv_5pct	5	substitution_titv	0.05	5.0	0.123084	0.918508	0.164676	0.98571	1	0.244337	0.040042	0.369751	-0.03692	-0.03692	0.08696	-0.02353	0.0195	0.00051	-0.00143
G_r005_indel_0p1pct	5	indel	0.001	0.1	0.00671	0.997943	0.011364	0.999821	0	0.031783	0.000495		-0.00089	-0.00089	0.0	0.0	0.00034	0.0	0.0
G_r005_indel_0p5pct	5	indel	0.005	0.5	0.024935	0.989237	0.039106	0.999006	0	0.074878	0.033272		-0.0047	-0.0047	0.08696	-0.01176	0.00195	0.00051	-0.00107
G_r005_indel_1pct	5	indel	0.01	1.0	0.039106	0.980663	0.058875	0.998057	1	0.1034	0.018423		-0.00848	-0.00848	0.0	0.04706	0.00394	0.0	0.00143
G_r005_indel_2pct	5	indel	0.02	2.0	0.064244	0.962315	0.090803	0.99582	1	0.147684	0.019437		-0.01668	-0.01668	0.04348	-0.01176	0.00766	0.00026	-0.00071
G_r005_indel_5pct	5	indel	0.05	5.0	0.125954	0.910384	0.162292	0.987292	0	0.239282	0.058722		-0.04077	-0.04077	0.13043	0.05882	0.0184	0.00077	0.00071
G_r005_chimera_5pct	5	chimera	0.05	5.0	0.0	1.000009	9e-06	1.0	0	0.000269	2e-06		0.0	0.0	0.0	0.0	-0.0	0.0	0.0
G_r005_chimera_10pct	5	chimera	0.1	10.0	0.0	1.000004	4e-06	1.0	0	0.000688	1e-06		0.0	0.0	0.0	0.0	0.0	0.0	0.0
G_r005_chimera_20pct	5	chimera	0.2	20.0	0.0	1.0	0.0	1.0	0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
G_r005_chimera_40pct	5	chimera	0.4	40.0	0.0	1.000053	5.3e-05	0.999999	0	0.001015	1.3e-05		2e-05	2e-05	0.0	0.0	-1e-05	0.0	0.0
G_r005_uneven_coverage_5pct	5	uneven_coverage	0.05	5.0	0.0	1.051414	0.051414	0.999423	0	0.071321	0.01164		0.02177	0.02177	0.0	0.0	-0.00038	0.0	0.0
G_r005_uneven_coverage_10pct	5	uneven_coverage	0.1	10.0	0.0	1.098816	0.098816	0.998697	0	0.124673	0.025626		0.04093	0.04093	0.0	0.03529	0.00044	0.0	0.00107
G_r005_uneven_coverage_20pct	5	uneven_coverage	0.2	20.0	0.0	1.198502	0.198502	0.996577	0	0.220765	0.042967		0.07864	0.07864	0.0	0.02353	-0.00091	0.0	0.00071
G_r005_uneven_coverage_40pct	5	uneven_coverage	0.4	40.0	0.0	1.398593	0.398593	0.992321	0	0.373415	0.078413		0.14569	0.14569	0.0	0.02353	-0.00589	0.0	0.00071
