draft_accession	complete_accession	status	draft_bp	draft_contigs	draft_n50	ref_bp	ref_seqs	covered_ref_bp	aligned_draft_bp	unaligned_draft_bp	true_completeness	true_contamination_upper	organism	group	species_taxid	strain	draft_level	complete_level	draft_biosample	draft_excluded_from_refseq	size_ratio_draft_over_complete
GCA_001306525.1	GCA_001278745.1	ok	2860602.0	152.0	166700.0	2893726.0	4.0	2832755.0	2835445.0	25157.0	97.892993	0.869364	Staphylococcus aureus	bacteria	1280	strain=HOU1444-VR	Contig	Complete Genome	SAMN03093451	na	0.9886
GCA_001247715.1	GCA_028885395.1	ok	3749125.0	121.0	51512.0	3855105.0	1.0	3717441.0	3720241.0	28884.0	96.429047	0.74924	Roseovarius tolerans	bacteria	74031	strain=EL-164	Contig	Complete Genome	SAMN03943304	na	0.9725
GCA_000818435.1	GCA_002906655.1	ok	5494662.0	71.0	191228.0	5612082.0	2.0	5494386.0	5493360.0	1302.0	97.90281	0.0232	Vibrio hyugaensis	bacteria	1534743	strain=090810a	Scaffold	Complete Genome	SAMD00019133	na	0.9791
GCA_000818335.1	GCA_002893865.1	ok	5765968.0	251.0	311101.0	5821717.0	4.0	5751220.0	5759897.0	6071.0	98.789069	0.104282	Vibrio campbellii	bacteria	680	strain=151112C	Scaffold	Chromosome	SAMD00019136	na	0.9904
GCA_000790465.1	GCA_006971785.1	ok	6640508.0	99.0	138084.0	6712466.0	2.0	6635656.0	6638224.0	2284.0	98.855711	0.034026	Pseudomonas paraeruginosa	bacteria	2994495	strain=AZPAE15042	Scaffold	Complete Genome	SAMN03105739	na	0.9893
GCA_000829635.1	GCA_002887655.1	ok	6066276.0	133.0	145844.0	6261380.0	3.0	6063400.0	6063702.0	2574.0	96.838077	0.041109	Vibrio owensii	bacteria	696485	strain=051011B	Scaffold	Complete Genome	SAMD00019129	na	0.9688
GCA_001754005.1	GCA_042134675.1	ok	3080303.0	102.0	80270.0	2957764.0	1.0	2877250.0	2850506.0	229797.0	97.277876	7.769281	Lactiplantibacillus plantarum	bacteria	1590	strain=CGMCC 8198	Contig	Chromosome	SAMN04437239	na	1.0414
GCA_001506125.1	GCA_002846995.1	ok	4910404.0	25.0	485395.0	4962430.0	2.0	4910544.0	4909864.0	540.0	98.954424	0.010882	Dickeya solani	bacteria	1089444	strain=PPO 9019	Scaffold	Complete Genome	SAMN03266541	na	0.9895
GCA_001512215.1	GCA_047227755.2	ok	4109780.0	92.0	418925.0	4180892.0	4.0	4103655.0	4108181.0	1599.0	98.152619	0.038245	Acinetobacter baumannii	bacteria	470	strain=A297	Scaffold	Complete Genome	SAMEA1709749	na	0.9830
GCA_001673755.1	GCA_001913155.1	ok	4221554.0	52.0	396800.0	4271158.0	1.0	4222329.0	4220317.0	1237.0	98.856774	0.028962	Maribacter hydrothermalis	bacteria	1836467	strain=T28	Contig	Complete Genome	SAMN04633439	na	0.9884
GCA_002023065.1	GCA_002022125.1	ok	4184835.0	18.0	480185.0	4216720.0	1.0	4184039.0	4184397.0	438.0	99.224966	0.010387	Elizabethkingia ursingii	bacteria	1756150	strain=G4123	Contig	Complete Genome	SAMN05281858	na	0.9924
GCA_003289475.1	GCA_013372165.1	ok	1786312.0	86.0	47292.0	1808149.0	2.0	1784758.0	1784752.0	1560.0	98.706357	0.086276	Campylobacter hyointestinalis subsp. lawsonii	bacteria	198	strain=CHY5	Contig	Complete Genome	SAMN09274393	na	0.9879
GCA_002077835.1	GCA_014678925.1	ok	3553583.0	363.0	32887.0	3562720.0	1.0	3302916.0	3490422.0	63161.0	92.707706	1.772831	Geobacillus zalihae	bacteria	213419	strain=SURF-189	Scaffold	Complete Genome	SAMN06347034	na	0.9974
GCA_002738605.1	GCA_009938095.1	ok	4219019.0	15.0	573018.0	4249586.0	1.0	4218599.0	4218749.0	270.0	99.270823	0.006354	Elizabethkingia miricola	bacteria	172045	strain=FL160902	Contig	Complete Genome	SAMN07139315	na	0.9928
GCA_002023205.1	GCA_002024805.1	ok	4385854.0	26.0	682446.0	4433522.0	1.0	4384170.0	4385174.0	680.0	98.886844	0.015338	Elizabethkingia bruuniana	bacteria	1756149	strain=G0146	Contig	Complete Genome	SAMN05277827	na	0.9892
GCA_001865315.1	GCA_001704195.1	ok	7261502.0	9.0	7182059.0	7070328.0	1.0	7070295.0	7187121.0	74381.0	99.999533	1.052016	Streptomyces sampsonii	bacteria	42239	strain=KJ40	Scaffold	Complete Genome	SAMN04338613	na	1.0270
GCA_003414715.1	GCA_047496975.1	ok	1923765.0	58.0	111202.0	1958307.0	1.0	1918911.0	1922348.0	1417.0	97.988262	0.072358	Haemophilus influenzae	bacteria	727	strain=P638-3144	Contig	Complete Genome	SAMN07421915	na	0.9824
GCA_006505855.1	GCA_976989155.1	missing_file											Pseudomonas fluorescens	bacteria	294	strain=CFBP 13502	Contig	Complete Genome	SAMN09044009	unverified source organism	0.9909
GCA_004016275.1	GCA_055766035.1	ok	2431283.0	88.0	116341.0	2512899.0	1.0	2427966.0	2429698.0	1585.0	96.620119	0.063075	Xylella fastidiosa subsp. fastidiosa	bacteria	2371	strain=CFBP7969	Contig	Complete Genome	SAMN07998892	na	0.9675
GCA_006176125.1	GCA_009036385.1	ok	1705878.0	90.0	118615.0	1767432.0	3.0	1702449.0	1703594.0	2284.0	96.32331	0.129227	Campylobacter armoricus	bacteria	2505970	strain=CA639	Contig	Complete Genome	SAMN10711499	na	0.9652
GCA_003112595.1	GCA_027947575.1	ok	8454377.0	21.0	684865.0	8411861.0	1.0	8376131.0	8376726.0	77651.0	99.575243	0.923113	Streptomyces rubrogriseus	bacteria	194673	strain=NBRC 15455	Scaffold	Complete Genome	SAMD00090290	na	1.0051
GCA_004745255.1	GCA_005843885.1	ok	5108826.0	113.0	177505.0	5120753.0	1.0	5003398.0	5028746.0	80080.0	97.708247	1.563833	Escherichia sp. E4742	bacteria	2044467	strain=E4742	Contig	Complete Genome	SAMN07759781	na	0.9977
GCA_007785795.1	GCA_022832715.1	ok	4363693.0	24.0	757025.0	4317714.0	1.0	4295419.0	4357111.0	6582.0	99.483639	0.152442	Venatorbacter sp. C2-1	bacteria	2597518	strain=C2-1	Scaffold	Complete Genome	SAMN12292084	na	1.0106
GCA_003698065.1	GCA_000148745.1	ok	6824311.0	58.0	235815.0	6866064.0	1.0	6817702.0	6777586.0	46725.0	99.295637	0.680521	Pseudomonas aeruginosa 39016	bacteria	287	strain=39016	Contig	Chromosome	SAMN02471834	na	0.9939
GCA_009192875.1	GCA_001583415.1	ok	5335599.0	56.0	206388.0	5349645.0	1.0	5308785.0	5333724.0	1875.0	99.236211	0.035049	Mycolicibacterium phlei DSM 43239 = CCUG 21000	bacteria	1771	strain=CCUG 21000	Contig	Complete Genome	SAMN04481318	na	0.9974
GCA_010994285.1	GCA_009708215.1	ok	4958346.0	34.0	272812.0	5648255.0	1.0	4951005.0	4864139.0	94207.0	87.655479	1.667896	Occultella kanbiaonis	bacteria	2675754	strain=HY044	Contig	Complete Genome	SAMN13324936	na	0.8779
GCA_013189855.1	GCA_024220115.1	ok	2103856.0	47.0	124502.0	2169516.0	1.0	2107032.0	2102768.0	1088.0	97.119911	0.050149	Streptococcus suis	bacteria	1307	strain=LSS42	Contig	Complete Genome	SAMN14932654	from large multi-isolate project	0.9697
GCA_013150925.1	GCA_009931515.2	ok	4685207.0	596.0	24011.0	4948444.0	2.0	4512315.0	4516051.0	169156.0	91.186543	3.418367	Shigella sonnei	bacteria	624	strain=6607.69	Contig	Complete Genome	SAMN13075194	na	0.9468
GCA_013150945.1	GCA_009931475.1	ok	4500648.0	456.0	29574.0	4686959.0	2.0	4304270.0	4324420.0	176228.0	91.835026	3.759965	Shigella flexneri	bacteria	623	strain=5908.2	Contig	Complete Genome	SAMN13075196	na	0.9602
GCA_015831885.1	GCA_016350125.1	ok	1760687.0	67.0	70974.0	1775616.0	1.0	1751134.0	1756449.0	4238.0	98.621211	0.238678	Campylobacter jejuni	bacteria	197	strain=RM1221	Contig	Complete Genome	SAMN14933898	na	0.9916
GCA_013378475.1	GCA_013348685.1	ok	3769422.0	16.0	735662.0	3188924.0	1.0	3024881.0	3762689.0	6733.0	94.855851	0.211137	Treponema phagedenis	bacteria	162	strain=KS1	Contig	Complete Genome	SAMN14943778	na	1.1820
GCA_014527395.1	GCA_024800705.1	ok	2917447.0	9.0	586103.0	2943855.0	2.0	2917499.0	2917317.0	130.0	99.104711	0.004416	Listeria innocua	bacteria	1642	strain=F6215	Contig	Complete Genome	SAMN13941779	na	0.9910
GCA_013393275.1	GCA_051027655.1	ok	4845531.0	55.0	280133.0	4843545.0	2.0	4816842.0	4843228.0	2303.0	99.448689	0.047548	Paenarthrobacter nitroguajacolicus	bacteria	211146	strain=xwA3	Scaffold	Complete Genome	SAMN09303052	na	1.0004
GCA_013393325.1	GCA_051027635.1	ok	5998552.0	104.0	209214.0	6006648.0	1.0	5975355.0	5996086.0	2466.0	99.479027	0.041055	Pseudomonas hunanensis	bacteria	1247546	strain=xwS6	Contig	Complete Genome	SAMN09303051	na	0.9987
GCA_015893805.1	GCA_051131725.1	ok	5354121.0	46.0	367077.0	5229639.0	1.0	5181607.0	5352974.0	1147.0	99.081543	0.021933	Klebsiella planticola	bacteria	575	I089	Contig	Complete Genome	SAMN15566995	from large multi-isolate project	1.0238
GCA_019537175.1	GCA_030585565.1	ok	3662518.0	73.0	176223.0	3778256.0	3.0	3657525.0	3660390.0	2128.0	96.804584	0.056322	Clostridium sp. CM028	bacteria	2851575	strain=CM028	Contig	Complete Genome	SAMN19799017	na	0.9694
GCA_020554685.1	GCA_036419255.1	ok	4124399.0	978.0	106469.0	4012312.0	2.0	3904956.0	3906797.0	217602.0	97.324336	5.423357	Agathobacter rectalis	bacteria	39491	strain=DFI.5.28	Contig	Complete Genome	SAMN22167620	na	1.0279
GCA_020557405.1	GCA_036419155.1	ok	3548121.0	257.0	62327.0	3664709.0	1.0	3535805.0	3539441.0	8680.0	96.482558	0.236854	Anaerobutyricum hallii	bacteria	39488	strain=DFI.9.38	Contig	Complete Genome	SAMN22167559	na	0.9682
GCA_019537185.1	GCA_030585445.1	ok	5325216.0	141.0	153050.0	5507024.0	5.0	5322075.0	5322336.0	2880.0	96.64158	0.052297	Clostridium tagluense	bacteria	360422	strain=CM008	Contig	Complete Genome	SAMN19799795	na	0.9670
GCA_015912925.1	GCA_015708605.1	ok	8431857.0	1857.0	8743.0	8704802.0	4.0	8348587.0	8348983.0	82874.0	95.907833	0.952049	Streptomyces clavuligerus	bacteria	1901	strain=ATCC 27064	Contig	Complete Genome	SAMN13111356	na	0.9686
GCA_019131715.1	GCA_036419465.1	ok	5240539.0	195.0	92783.0	5383987.0	2.0	5231357.0	5235639.0	4900.0	97.165112	0.091011	Phocaeicola vulgatus	bacteria	821	strain=DFI.4.81	Contig	Complete Genome	SAMN19731837	na	0.9734
GCA_022138565.1	GCA_025765755.1	ok	2042768.0	63.0	54762.0	1994910.0	2.0	1971616.0	2028353.0	14415.0	98.832328	0.722589	Coxiella burnetii	bacteria	777	strain=KZQ3	Contig	Complete Genome	SAMN17672853	na	1.0240
GCA_022133565.1	GCA_036419235.1	ok	2587632.0	82.0	92935.0	2647599.0	2.0	2582869.0	2583334.0	4298.0	97.555143	0.162336	Bifidobacterium longum	bacteria	216816	strain=DFI.7.60	Contig	Complete Genome	SAMN24726073	na	0.9774
GCA_022758265.1	GCA_022749455.1	ok	3005577.0	253.0	42751.0	3122781.0	7.0	2951957.0	2963289.0	42288.0	94.529748	1.354178	Enterococcus faecium	bacteria	1352	strain=NY13320	Contig	Complete Genome	SAMN26755017	na	0.9625
GCA_020560045.1	GCA_036419695.1	ok	5253393.0	144.0	80078.0	5322633.0	1.0	5249105.0	5249364.0	4029.0	98.618578	0.075696	[Clostridium] symbiosum	bacteria	1512	strain=DFI.5.64	Contig	Complete Genome	SAMN22167467	na	0.9870
GCA_020558245.1	GCA_036419675.1	ok	6741937.0	200.0	157149.0	6847150.0	5.0	6732787.0	6736763.0	5174.0	98.329772	0.075564	Bacteroides thetaiotaomicron	bacteria	818	strain=DFI.6.40	Contig	Complete Genome	SAMN22167535	na	0.9846
GCA_023126915.1	GCA_032595075.1	ok	2288479.0	43.0	91390.0	2315477.0	2.0	2268517.0	2284280.0	4199.0	97.971908	0.181345	Streptococcus iners	bacteria	3028084	strain=29887	Contig	Complete Genome	SAMN13975613	na	0.9883
GCA_023126965.1	GCA_032594915.1	ok	2080187.0	38.0	106956.0	2133007.0	1.0	2086482.0	2079484.0	703.0	97.818807	0.032958	Streptococcus suivaginalis	bacteria	3028082	strain=29896	Contig	Complete Genome	SAMN13975611	na	0.9752
GCA_022169545.1	GCA_030007315.1	ok	5965141.0	97.0	172130.0	5923174.0	5.0	5823463.0	5963334.0	1807.0	98.316595	0.030507	Klebsiella variicola	bacteria	244366	J57	Contig	Complete Genome	SAMN14640320	from large multi-isolate project	1.0071
GCA_024462035.1	GCA_036419215.1	ok	2196015.0	50.0	363409.0	2218385.0	1.0	2189393.0	2194737.0	1278.0	98.693103	0.057609	Bifidobacterium pseudocatenulatum	bacteria	28026	strain=DFI.7.61	Contig	Complete Genome	SAMN28944553	na	0.9899
GCA_025679055.1	GCA_025215315.1	ok	971895.0	2.0	938436.0	946054.0	1.0	945912.0	971782.0	113.0	99.98499	0.011944	Mycoplasmopsis felis	bacteria	33923	strain=16-057065-4	Contig	Chromosome	SAMN30346842	na	1.0273
GCA_024461975.1	GCA_036419175.1	ok	3356998.0	463.0	704869.0	3236126.0	1.0	3195316.0	3313863.0	43135.0	98.738924	1.332921	Anaerostipes caccae	bacteria	105841	strain=DFI.7.76	Contig	Complete Genome	SAMN28944557	na	1.0374
GCA_030226925.1	GCA_033106825.1	ok	2661591.0	229.0	80511.0	2652994.0	1.0	2618143.0	2618798.0	42793.0	98.686352	1.613008	Actinomyces urogenitalis	bacteria	103621	strain=UMB10319	Contig	Complete Genome	SAMN34998651	na	1.0032
GCA_029685055.1	GCA_055379795.1	ok	4768418.0	38.0	310551.0	4749833.0	2.0	4605317.0	4761586.0	6832.0	96.957451	0.143837	Enterobacter asburiae	bacteria	61645	strain=MRY18-106	Contig	Complete Genome	SAMD00163271	from large multi-isolate project	1.0039
GCA_029750165.1	GCA_052983215.1	ok	4877438.0	469.0	17741.0	4791557.0	1.0	4708548.0	4863422.0	14016.0	98.267599	0.292515	Stenotrophomonas maltophilia	bacteria	40324	GIMC6003:STM-52ICU-1H	Contig	Complete Genome	SAMN31654604	from large multi-isolate project	1.0179
GCA_024463095.1	GCA_036419355.1	ok	5475312.0	503.0	361628.0	5362488.0	3.0	5329682.0	5418913.0	56399.0	99.388232	1.051732	Parabacteroides distasonis	bacteria	823	strain=DFI.5.23	Contig	Complete Genome	SAMN28944503	na	1.0210
GCA_032843305.1	GCA_036541085.1	ok	4368590.0	1745.0	516228.0	3967166.0	2.0	3889129.0	3889643.0	478947.0	98.032928	12.072774	Alkalihalophilus pseudofirmus	bacteria	79885	strain=BZ-TG-HK211	Contig	Complete Genome	SAMN37730773	na	1.1012
GCA_032973505.1	GCA_055900605.1	ok	5081644.0	68.0	195380.0	4998859.0	1.0	4888250.0	4967818.0	113826.0	97.787315	2.27704	Enterobacter cloacae subsp. cloacae	bacteria	550	strain=11A1213CRGN097B	Contig	Complete Genome	SAMN34137826	from large multi-isolate project	1.0166
GCA_046543865.1	GCA_054161265.1	ok	674454.0	7.0	255680.0	686552.0	1.0	673660.0	673922.0	532.0	98.122211	0.077489	Metamycoplasma hominis	bacteria	2098	strain=ZY_MH01	Contig	Complete Genome	SAMN42929155	na	0.9824
GCA_036903515.1	GCA_037292345.1	ok	2015076.0	2.0	2011404.0	1982924.0	1.0	1982775.0	1990978.0	24098.0	99.992486	1.215276	Campylobacter concisus	bacteria	199	strain=RMIT-O23	Contig	Chromosome	SAMN35102538	annotation fails completeness check; many frameshifted proteins	1.0162
GCA_034138805.1	GCA_052982595.1	ok	4214554.0	37.0	489997.0	4116560.0	1.0	4051128.0	4213786.0	768.0	98.410518	0.018656	Clostridioides difficile	bacteria	1496	strain=CD08990	Contig	Complete Genome	SAMN38448360	from large multi-isolate project	1.0238
GCA_048731915.1	GCA_055380575.1	ok	2075309.0	124.0	38672.0	2104196.0	1.0	2044026.0	2072923.0	2386.0	97.140476	0.113392	Streptococcus pneumoniae	bacteria	1313	strain=Sp943	Contig	Complete Genome	SAMD00725207	from large multi-isolate project	0.9863
GCA_048890145.1	GCA_050261105.1	ok	3416935.0	35.0	177595.0	3401821.0	1.0	3385003.0	3415725.0	1210.0	99.505618	0.035569	Ornithinimicrobium sp. Y1847	bacteria	3405419	strain=Y1847	Scaffold	Complete Genome	SAMN47294953	na	1.0044
GCA_046126195.1	GCA_053521345.1	ok	5881524.0	185.0	119262.0	5875631.0	5.0	5721617.0	5877967.0	3557.0	97.378767	0.060538	Klebsiella quasipneumoniae	bacteria	1463165	strain=15AR2774	Contig	Complete Genome	SAMN41036104	from large multi-isolate project	1.0010
GCA_033912445.1	GCA_052980665.1	ok	6321141.0	171.0	264884.0	6294894.0	12.0	6203332.0	6230597.0	90544.0	98.545456	1.438372	Klebsiella oxytoca	bacteria	571	strain=KLO00091	Contig	Chromosome	SAMN38372872	from large multi-isolate project	1.0042
GCA_051156535.1	GCA_051295335.1	ok	2387000.0	47.0	218240.0	2410285.0	1.0	2382297.0	2386025.0	975.0	98.83881	0.040452	Corynebacterium macclintockiae	bacteria	2913501	strain=TUM24530	Contig	Complete Genome	SAMN46555309	na	0.9903
GCA_052284055.1	GCA_055386915.1	ok	2674015.0	158.0	45890.0	2862874.0	1.0	2543414.0	2533341.0	140674.0	88.841283	4.913734	Flavobacterium psychrophilum	bacteria	96345	strain=KKI-2306	Contig	Complete Genome	SAMD01614998	from large multi-isolate project	0.9340
GCA_033793105.1	GCA_051122705.1	ok	10945851.0	207.0	174034.0	10886267.0	1.0	10790748.0	10800198.0	145653.0	99.122573	1.337952	Streptomyces ipomoeae	bacteria	103232	strain=NRRL_B-12321	Scaffold	Complete Genome	SAMN33288068	na	1.0055
GCA_052295795.1	GCA_055380035.1	ok	3760324.0	72.0	121592.0	3650540.0	2.0	3586189.0	3758863.0	1461.0	98.23722	0.040021	Edwardsiella tarda	bacteria	636	strain=MYK24826	Contig	Complete Genome	SAMD00892090	from large multi-isolate project	1.0301
GCA_050519465.1	GCA_053209605.1	ok	7617194.0	164.0	93077.0	7608365.0	3.0	7545738.0	7613287.0	3907.0	99.176867	0.051351	Burkholderia sola	bacteria	2843302	strain=BC00106	Contig	Complete Genome	SAMN48682150	from large multi-isolate project	1.0012
GCA_900156585.1	GCA_003815775.1	ok	5268044.0	22.0	553821.0	4890621.0	2.0	4847082.0	5226738.0	41306.0	99.109745	0.844596	Chryseobacterium joostei	bacteria	112234	strain=DSM 16927	Scaffold	Complete Genome	SAMN05421768	na	1.0772
GCA_903684615.1	GCA_903815275.1	ok	3998500.0	180.0	59627.0	4047112.0	1.0	3978581.0	3982736.0	15764.0	98.306669	0.389512	Comamonas aquatica	bacteria	225991	BB1454	Contig	Complete Genome	SAMEA6863324	na	0.9880
GCA_903684465.1	GCA_903815245.1	ok	5982055.0	258.0	115332.0	5862847.0	1.0	5805121.0	5830560.0	151495.0	99.015393	2.583984	Pseudomonas putida	bacteria	303	BB1451	Contig	Complete Genome	SAMEA6863321	unverified source organism	1.0203
GCA_903684635.1	GCA_903815225.1	ok	6134768.0	169.0	148859.0	6126880.0	1.0	6096923.0	6099663.0	35105.0	99.511056	0.572967	Delftia tsuruhatensis	bacteria	180282	BB1455	Contig	Complete Genome	SAMEA6863325	na	1.0013
