tier	group_key	draft_accession	complete_accession	organism	group	species_taxid	strain	draft_level	complete_level	draft_biosample	complete_biosample	draft_contigs	complete_contigs	draft_bp	complete_bp	size_ratio_draft_over_complete	draft_gc	complete_gc	draft_excluded_from_refseq	complete_excluded_from_refseq	draft_submitter	complete_submitter	draft_release_date	complete_release_date	n_complete_in_group	n_draft_in_group	draft_ftp	complete_ftp
same_biosample	SAMN02596923	GCA_000273685.1	GCA_000156855.2	Neisseria gonorrhoeae MS11	bacteria	485	strain=MS11	Contig	Complete Genome	SAMN02596923	SAMN02596923	8	2	2233325	2237793	0.9980	52.500000	52.500000	na	na	Broad Institute	Broad Institute	2012-06-15	2013-09-03	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/273/685/GCA_000273685.1_PB_Neis_gono_MS11_V1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/156/855/GCA_000156855.2_ASM15685v2/
same_biosample	SAMN02596921	GCA_000273565.1	GCA_000157355.2	Enterococcus casseliflavus EC20	bacteria	37734	strain=EC20	Contig	Complete Genome	SAMN02596921	SAMN02596921	1	1	3428870	3427276	1.0005	43.000000	43.000000	na	na	Broad Institute	Broad Institute	2012-06-15	2013-04-11	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/273/565/GCA_000273565.1_PB_Ente_cass_899205_V1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/157/355/GCA_000157355.2_ASM15735v2/
same_biosample	SAMN02463711	GCA_000273625.1	GCA_000158275.2	Fusobacterium animalis 7_1	bacteria	76859	strain=7_1	Contig	Complete Genome	SAMN02463711	SAMN02463711	4	2	2515488	2514029	1.0006	27.000000	27.000000	na	na	Broad Institute	Broad Institute	2012-06-15	2014-02-03	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/273/625/GCA_000273625.1_PB_Fuso_sp_7_1_V1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/275/GCA_000158275.2_ASM15827v2/
same_biosample	SAMN00008757	GCA_000162895.1	GCA_005886335.1	Actinomyces sp. oral taxon 848 str. F0332	bacteria	649739	strain=F0332	Scaffold	Complete Genome	SAMN00008757	SAMN00008757	19	1	2520418	2526493	0.9976	64.500000	64.500000	unverified source organism	unverified source organism	WUGSC	University of Technology Sydney	2009-10-02	2019-05-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/895/GCA_000162895.1_ASM16289v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/886/335/GCA_005886335.1_ASM588633v1/
same_biosample	SAMN02436016	GCA_000166595.2	GCA_018884445.1	Escherichia coli TW11681	bacteria	562	strain=TW11681	Contig	Complete Genome	SAMN02436016	SAMN02436016	153	5	5305843	5283837	1.0042	50.500000	50.500000	na	na	Institute for Genome Sciences	University of Maryland, School of Medicine	2010-11-15	2021-06-15	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/595/GCA_000166595.2_ASM16659v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/445/GCA_018884445.1_ASM1888444v1/
same_biosample	SAMN01121066	GCA_000168435.1	GCA_000250715.1	Listeria monocytogenes FSL J1-208	bacteria	1639	strain=FSL J1-208	Scaffold	Chromosome	SAMN01121066	SAMN01121066	1665	9	1963740	2854354	0.6880	37.500000	37.500000	fragmented assembly; genome length too small	na	Broad Institute	Food Safety Laboratory, Cornell University	2008-09-11	2012-02-28	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/168/435/GCA_000168435.1_ASM16843v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/250/715/GCA_000250715.1_ASM25071v1/
same_biosample	SAMN02436122	GCA_000170735.1	GCA_005843985.1	Caminibacter mediatlanticus TB-2	bacteria	291048	strain=TB-2	Contig	Complete Genome	SAMN02436122	SAMN02436122	35	1	1663618	1685887	0.9868	27.000000	27.000000	na	na	The Gordon and Betty Moore Foundation Microbial Genome Sequencing Project	Rutgers University	2007-06-19	2019-05-26	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/170/735/GCA_000170735.1_ASM17073v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/843/985/GCA_005843985.1_ASM584398v1/
same_biosample	SAMN00210774	GCA_000185325.1	GCA_005886055.1	Aliarcobacter butzleri JV22	bacteria	28197	strain=JV22	Scaffold	Complete Genome	SAMN00210774	SAMN00210774	78	1	2302726	2297844	1.0021	27.000000	27.000000	na	na	Baylor College of Medicine	University of Technology Sydney	2011-01-14	2019-05-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/325/GCA_000185325.1_ASM18532v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/886/055/GCA_005886055.1_ASM588605v1/
same_biosample	SAMN00710627	GCA_000188455.2	GCA_003073575.1	Salmonella enterica subsp. enterica serovar Montevideo str. 531954	bacteria	28901	strain=531954	Contig	Complete Genome	SAMN00710627	SAMN00710627	132	1	4324453	4694397	0.9212	52.500000	52.000000	na	na	FDA	Center for Food Safety and Applied Nutrition	2011-02-08	2018-04-30	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/455/GCA_000188455.2_ASM18845v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/073/575/GCA_003073575.1_ASM307357v1/
same_biosample	SAMN02952920	GCA_000195415.2	GCA_009649015.1	Vibrio parahaemolyticus 10329	bacteria	670	strain=10329	Contig	Complete Genome	SAMN02952920	SAMN02952920	33	2	5093003	5144090	0.9901	45.500000	45.500000	na	na	FDA	FDA Center for Food Safety and Applied Nutrition	2011-04-07	2019-11-11	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/415/GCA_000195415.2_ASM19541v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/649/015/GCA_009649015.1_ASM964901v1/
same_biosample	SAMN02981321	GCA_000223645.2	GCA_002937415.1	Zymoseptoria tritici STIR04_A26b	fungi	1047171	strain=STIR04_A26b	Contig	Chromosome	SAMN02981321	SAMN02981321	1154	22	32641306	39328958	0.8300	53.500000	51.500000	na	na	University of Aarhus, Bioinformatics Research Center	Christian-Albrechts University of Kiel	2011-08-08	2018-02-23	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/645/GCA_000223645.2_ASM22364v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/937/415/GCA_002937415.1_ASM293741v1/
same_biosample	SAMN02469939	GCA_000234845.2	GCA_003692675.1	Aeromonas salmonicida subsp. salmonicida 01-B526	bacteria	645	strain=01-B526	Contig	Complete Genome	SAMN02469939	SAMN02469939	604	1	4927927	4736282	1.0405	58.500000	58.500000	na	na	IBIS, Université Laval	Universite Laval	2011-11-10	2018-10-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/234/845/GCA_000234845.2_ASM23484v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/692/675/GCA_003692675.1_ASM369267v1/
same_biosample	SAMN02463855	GCA_000235505.1	GCA_005886215.1	Hungatella hathewayi WAL-18680	bacteria	154046	strain=WAL-18680	Scaffold	Complete Genome	SAMN02463855	SAMN02463855	142	1	5697783	5662031	1.0063	50.000000	50.000000	na	na	Broad Institute	University of Technology Sydney	2011-11-16	2019-05-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/505/GCA_000235505.1_Clos_hath_WAL_18680_V1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/886/215/GCA_005886215.1_ASM588621v1/
same_biosample	SAMN01758044	GCA_000235995.2	GCA_009731565.1	Danaus plexippus plexippus	invertebrate	13037	F-2	Scaffold	Chromosome	SAMN01758044	SAMN01758044	15069	10791	248577651	248676414	0.9996	31.500000	31.500000	na	superseded by newer assembly for species	Steven M. Reppert	Princeton University	2017-06-23	2019-12-11	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/995/GCA_000235995.2_Dpv3/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/731/565/GCA_009731565.1_Dplex_v4/
same_biosample	SAMN02471737	GCA_000251185.1	GCA_024585345.2	Pseudomonas fuscovaginae UPB0736	bacteria	53407	strain=UPB0736	Scaffold	Chromosome	SAMN02471737	SAMN02471737	273	1	6708432	6445564	1.0408	61.500000	61.500000	na	na	University of Exeter	KU Leuven	2012-03-13	2022-09-20	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/251/185/GCA_000251185.1_ASM25118v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/585/345/GCA_024585345.2_ASM2458534v2/
same_biosample	SAMN02470504	GCA_000256465.2	GCA_038442155.1	Vibrio cyclitrophicus ZF270	bacteria	47951	strain=ZF270	Scaffold	Complete Genome	SAMN02470504	SAMN02470504	244	4	5182207	5284523	0.9806	43.500000	43.500000	na	na	Massachusetts Institute of Technology	Principles of Microbial Ecosystems (PriME)	2016-09-16	2024-04-23	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/256/465/GCA_000256465.2_ASM25646v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/442/155/GCA_038442155.1_ASM3844215v1/
same_biosample	SAMN02471767	GCA_000258925.1	GCA_001553195.1	Mycoplasmopsis canis PG 14	bacteria	29555	strain=PG 14	Contig	Complete Genome	SAMN02471767	SAMN02471767	6	1	867208	897443	0.9663	27.000000	27.000000	na	na	University of Florida	University of Florida	2012-04-17	2016-02-08	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/925/GCA_000258925.1_ASM25892v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/195/GCA_001553195.1_ASM155319v1/
same_biosample	SAMN02596920	GCA_000482265.1	GCA_000269645.2	Escherichia coli str. K-12 substr. MG1655	bacteria	562	strain=K-12 substr. MG1655	Contig	Complete Genome	SAMN02596920	SAMN02596920	1	1	4638920	4638970	1.0000	51.000000	51.000000	na	na	Broad Institute	Broad Institute	2013-10-25	2012-06-15	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/482/265/GCA_000482265.1_EC_K12_MG1655_Broad_SNP/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/645/GCA_000269645.2_PB_Esch_coli_MG12655_V1/
same_biosample	SAMEA2272344	GCA_904845865.1	GCA_000313855.2	Musa acuminata subsp. malaccensis	plant	4641	strain=Doubled-haploid Pahang (DH-Pahang)	Scaffold	Chromosome	SAMEA2272344	SAMEA2272344	12525	29249	450848473	472231289	0.9547	39.000000	39.000000	na	superseded by newer assembly for species	Genoscope/IG/CEA	Genoscope/IG/CEA	2020-10-12	2012-11-14	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/904/845/865/GCA_904845865.1_assembly_for_Musa_acuminata_subsp._malaccensis/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/855/GCA_000313855.2_ASM31385v2/
same_biosample	SAMN00998488	GCA_000315215.1	GCA_000503835.1	sediment metagenome	metagenomes	749907	na	Scaffold	Complete Genome	SAMN00998488	SAMN00998488	33620	1	39108640	878109	44.5373	38.500000	43.000000	fragmented assembly; genus undefined; metagenome	derived from metagenome; genus undefined; low gene count	University of California, Berkeley	University of California, Berkeley	2013-01-16	2013-12-04	3	2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/215/GCA_000315215.1_r9c/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/503/835/GCA_000503835.1_ASM50383v1/
same_biosample	SAMN00998488	GCA_000505065.1	GCA_000503835.1	Parcubacteria bacterium RAAC4_OD1_1	bacteria	1394712	na	Scaffold	Complete Genome	SAMN00998488	SAMN00998488	4	1	693530	878109	0.7898	31.000000	43.000000	derived from metagenome; genus undefined	derived from metagenome; genus undefined; low gene count	University of California, Berkeley	University of California, Berkeley	2013-12-09	2013-12-04	3	2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/505/065/GCA_000505065.1_RAAC_OD1_1.0/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/503/835/GCA_000503835.1_ASM50383v1/
same_biosample	SAMN01041108	GCA_000329725.1	GCA_018338875.2	Salmonella enterica subsp. enterica serovar Enteritidis str. 607307-2	bacteria	28901	strain=607307-2	Contig	Complete Genome	SAMN01041108	SAMN01041108	56	3	4724126	4778885	0.9885	52.000000	52.000000	na	from large multi-isolate project	FDA	Center for Food Safety and Applied Nutrition	2012-12-31	2021-05-11	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/329/725/GCA_000329725.1_ASM32972v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/338/875/GCA_018338875.2_ASM1833887v2/
same_biosample	SAMN02470677	GCA_000331815.1	GCA_002023665.2	Elizabethkingia anophelis R26	bacteria	1117645	strain=R26	Contig	Complete Genome	SAMN02470677	SAMN02470677	66	1	4032720	4058311	0.9937	35.500000	35.500000	na	na	Stockholm University	CDC	2013-01-15	2017-09-18	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/815/GCA_000331815.1_ASM33181v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/023/665/GCA_002023665.2_ASM202366v2/
same_biosample	SAMN02469793	GCA_000331875.1	GCA_002155245.1	Ralstonia solanacearum FJAT-91	bacteria	305	strain=FJAT-91	Contig	Complete Genome	SAMN02469793	SAMN02469793	1322	2	5407139	5874087	0.9205	66.500000	67.000000	unverified source organism	unverified source organism	Fujian Academy of Agricultural Sciences, Fuzhou, Fujian, PR China	Fujian Academy of Agricultural Science	2013-01-16	2017-05-22	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/875/GCA_000331875.1_FJAT-91/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/155/245/GCA_002155245.1_ASM215524v1/
same_biosample	SAMN02469975	GCA_000332585.1	GCA_021172085.1	Microcystis aeruginosa FACHB-905 = DIANCHI905	bacteria	1126	strain=DIANCHI905	Contig	Complete Genome	SAMN02469975	SAMN02469975	335	1	4858867	5103104	0.9521	42.500000	42.000000	na	na	Institute of Hydrobiology, Chinese Academy of Sciences	South China Normal University	2013-01-22	2021-12-13	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/585/GCA_000332585.1_MicAerD1.0/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/172/085/GCA_021172085.1_ASM2117208v1/
same_biosample	SAMN01112701	GCA_000335355.2	GCA_036923325.1	Escherichia coli PA2	bacteria	562	strain=PA2	Contig	Complete Genome	SAMN01112701	SAMN01112701	109	2	5246924	5505582	0.9530	50.500000	50.500000	na	na	Institute for Genome Sciences	University of Texas at San Antonio	2013-01-31	2024-02-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/335/355/GCA_000335355.2_ASM33535v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/923/325/GCA_036923325.1_STEC27/
same_biosample	SAMN01112590	GCA_000335415.2	GCA_036923505.1	Escherichia coli PA11	bacteria	562	strain=PA11	Contig	Complete Genome	SAMN01112590	SAMN01112590	121	2	5158962	5476635	0.9420	50.500000	50.500000	na	na	Institute for Genome Sciences	University of Texas at San Antonio	2013-01-31	2024-02-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/335/415/GCA_000335415.2_ASM33541v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/923/505/GCA_036923505.1_STEC28/
same_biosample	SAMN01112512	GCA_000335455.2	GCA_036923335.1	Escherichia coli PA8	bacteria	562	strain=PA8	Contig	Complete Genome	SAMN01112512	SAMN01112512	122	2	5260390	5568137	0.9447	50.500000	50.500000	na	na	Institute for Genome Sciences	University of Texas at San Antonio	2013-01-31	2024-02-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/335/455/GCA_000335455.2_ASM33545v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/923/335/GCA_036923335.1_STEC26/
same_biosample	SAMN02981415	GCA_000337935.2	GCA_001887795.1	Columba livia	vertebrate_other	8932	breed=Danish Tumbler	Scaffold	Chromosome	SAMN02981415	SAMN02981415	107177	77053	1108534737	1018016946	1.0889	41.500000	41.000000	na	na	BGI	Royal Veterinary College	2017-12-13	2016-12-02	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/935/GCA_000337935.2_Cliv_2.1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/887/795/GCA_001887795.1_colLiv2/
same_biosample	SAMN02981425	GCA_000337955.1	GCA_001887755.1	Falco peregrinus	vertebrate_other	8954	na	Scaffold	Chromosome	SAMN02981425	SAMN02981425	83080	60351	1171955363	1112064469	1.0539	42.000000	41.500000	superseded by newer assembly for species	na	BGI	Royal Veterinary College	2013-02-05	2016-12-02	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/955/GCA_000337955.1_F_peregrinus_v1.0/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/887/755/GCA_001887755.1_falPer2/
same_biosample	SAMEA2271920	GCA_000343875.1	GCA_905183055.1	Mycobacterium canettii CIPT 140070002	bacteria	78331	strain=CIPT 140070002	Contig	Chromosome	SAMEA2271920	SAMEA2271920	587	79	4308975	4402586	0.9787	65.500000	65.500000	na	na	Institut Pasteur	Institut Pasteur	2013-02-27	2021-02-02	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/343/875/GCA_000343875.1_ASM34387v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/183/055/GCA_905183055.1_ASM34387v2/
same_biosample	SAMEA2272108	GCA_000343895.1	GCA_905183065.2	Mycobacterium canettii CIPT 140070005	bacteria	78331	strain=CIPT 140070005	Contig	Chromosome	SAMEA2272108	SAMEA2272108	516	93	4297970	4371897	0.9831	65.500000	65.500000	na	na	Institut Pasteur	Genopole Institut Pasteur	2013-02-27	2022-04-01	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/343/895/GCA_000343895.1_ASM34389v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/183/065/GCA_905183065.2_ASM34389v4/
same_biosample	SAMEA2272417	GCA_000343915.1	GCA_946221705.1	Mycobacterium canettii CIPT 140070013	bacteria	78331	strain=CIPT 140070013	Contig	Chromosome	SAMEA2272417	SAMEA2272417	542	105	4341599	4406013	0.9854	65.500000	65.500000	na	na	Institut Pasteur	Genopole Institut Pasteur	2013-02-27	2022-11-17	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/343/915/GCA_000343915.1_ASM34391v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/946/221/705/GCA_946221705.1_ASM34391v2/
same_biosample	SAMEA2272657	GCA_000343935.1	GCA_905183045.1	Mycobacterium canettii CIPT 140070007	bacteria	78331	strain=CIPT 140070007	Contig	Chromosome	SAMEA2272657	SAMEA2272657	502	86	4414324	4464427	0.9888	65.500000	65.500000	na	na	Institut Pasteur	Institut Pasteur	2013-02-27	2021-02-02	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/343/935/GCA_000343935.1_ASM34393v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/183/045/GCA_905183045.1_ASM34393v2/
same_biosample	SAMN01087923	GCA_000349085.1	GCA_003951495.1	Anopheles funestus	invertebrate	62324	strain=FUMOZ	Scaffold	Chromosome	SAMN01087923	SAMN01087923	9880	9931	225223604	444530063	0.5067	41.500000	41.000000	na	genome length too large	Broad Institute	University of Notre Dame	2013-03-28	2018-12-20	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/085/GCA_000349085.1_Anop_fune_FUMOZ_V1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/951/495/GCA_003951495.1_AfunF3/
same_biosample	SAMN00260255	GCA_000364865.1	GCA_005886435.1	Schaalia cardiffensis F0333	bacteria	181487	strain=F0333	Scaffold	Complete Genome	SAMN00260255	SAMN00260255	40	1	2214851	2230588	0.9929	61.500000	61.500000	na	na	Baylor College of Medicine	University of Technology Sydney	2013-04-15	2019-05-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/865/GCA_000364865.1_ASM36486v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/886/435/GCA_005886435.1_ASM588643v1/
same_biosample	SAMN02054413	GCA_000365185.2	GCA_003033685.1	Nelumbo nucifera	plant	4432	cultivar=China Antique	Scaffold	Chromosome	SAMN02054413	SAMN02054413	58427	53811	804484421	817267751	0.9844	38.500000	38.500000	na	na	University of Illinois at Urbana-Champaign	Wuhan University	2022-09-27	2018-04-18	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/365/185/GCA_000365185.2_Chinese_Lotus_1.1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/033/685/GCA_003033685.1_ASM303368v1/
