tier	group_key	draft_accession	complete_accession	organism	group	species_taxid	strain	draft_level	complete_level	draft_biosample	complete_biosample	draft_contigs	complete_contigs	draft_bp	complete_bp	size_ratio_draft_over_complete	draft_gc	complete_gc	draft_excluded_from_refseq	complete_excluded_from_refseq	draft_submitter	complete_submitter	draft_release_date	complete_release_date	n_complete_in_group	n_draft_in_group	draft_ftp	complete_ftp	ratio
same_biosample	SAMN02469975	GCA_000332585.1	GCA_021172085.1	Microcystis aeruginosa FACHB-905 = DIANCHI905	bacteria	1126	strain=DIANCHI905	Contig	Complete Genome	SAMN02469975	SAMN02469975	335	1	4858867	5103104	0.9521	42.500000	42.000000	na	na	Institute of Hydrobiology, Chinese Academy of Sciences	South China Normal University	2013-01-22	2021-12-13	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/585/GCA_000332585.1_MicAerD1.0/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/172/085/GCA_021172085.1_ASM2117208v1/	0.9521
same_biosample	SAMD00036656	GCA_000400285.1	GCA_002887615.1	Vibrio jasicida 090810c	bacteria	766224	strain=090810c	Scaffold	Complete Genome	SAMD00036656	SAMD00036656	169	2	5954450	5989523	0.9941	45.000000	45.000000	na	na	University of Miyazaki	Academia Sinica	2013-05-15	2018-01-17	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/400/285/GCA_000400285.1_ASM40028v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/887/615/GCA_002887615.1_ASM288761v1/	0.9941
same_biosample	SAMN02304133	GCA_000461895.1	GCA_011212705.1	Vibrio coralliilyticus OCN008	bacteria	190893	strain=OCN008	Contig	Complete Genome	SAMN02304133	SAMN02304133	210	3	5534904	5634694	0.9823	45.500000	46.000000	annotation fails completeness check; many frameshifted proteins	na	University of Hawaii	Indiana University	2013-08-29	2020-03-12	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/461/895/GCA_000461895.1_OCN008/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/212/705/GCA_011212705.1_ASM1121270v1/	0.9823
same_biosample	SAMD00041832	GCA_000466945.1	GCA_003860345.1	Caenibius tardaugens NBRC 16725	bacteria	169176	strain=NBRC 16725	Contig	Complete Genome	SAMD00041832	SAMD00041832	54	1	4291514	4358096	0.9847	61.500000	61.000000	na	na	National Institute of Technology and Evaluation	CSIC	2013-09-09	2018-12-04	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/945/GCA_000466945.1_ASM46694v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/860/345/GCA_003860345.1_ASM386034v1/	0.9847
same_biosample	SAMD00011324	GCA_000474175.2	GCA_015074805.1	Sphingobium fuliginis	bacteria	336203	strain=KK22	Contig	Complete Genome	SAMD00011324	SAMD00011324	252	4	4916601	4984172	0.9864	64.500000	64.500000	na	na	Japan Agency for Marine-Earth Science and Technology	Yokohama City University	2015-01-05	2020-10-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/474/175/GCA_000474175.2_ASM47417v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/074/805/GCA_015074805.1_ASM1507480v1/	0.9864
same_biosample	SAMN02138554	GCA_000474785.1	GCA_018074945.1	Enterobacter sp. MGH 14	bacteria	1329823	strain=MGH 14	Contig	Complete Genome	SAMN02138554	SAMN02138554	8	9	5506631	5481241	1.0046	55.000000	54.500000	na	na	Broad Institute	Broad Institute	2013-10-18	2021-04-19	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/474/785/GCA_000474785.1_Ente_cloa_complex_MGH_14_V1_PacBio/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/074/945/GCA_018074945.1_ASM1807494v1/	1.0046
same_biosample	SAMN02364109	GCA_000485945.1	GCA_049942905.1	Franconibacter helveticus 513	bacteria	357240	strain=513	Contig	Complete Genome	SAMN02364109	SAMN02364109	377	4	4841867	4952231	0.9777	55.500000	55.500000	na	na	OARSA, CFSAN	FDA/CFSAN	2013-10-29	2025-04-27	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/485/945/GCA_000485945.1_Ehel513.sqn/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/049/942/905/GCA_049942905.1_z513/	0.9777
same_biosample	SAMN02369275	GCA_000485965.1	GCA_049942875.1	Franconibacter pulveris 1160	bacteria	435910	strain=1160	Contig	Complete Genome	SAMN02369275	SAMN02369275	137	3	4811103	4882495	0.9854	56.500000	56.500000	na	unverified source organism	OARSA, CFSAN	FDA/CFSAN	2013-10-29	2025-04-27	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/485/965/GCA_000485965.1_Epul1160/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/049/942/875/GCA_049942875.1_z1160/	0.9854
same_biosample	SAMN02597176	GCA_000510665.1	GCA_013315775.1	Sinorhizobium meliloti WSM1022	bacteria	382	strain=WSM1022	Scaffold	Chromosome	SAMN02597176	SAMN02597176	126	3	6641566	6751834	0.9837	62.000000	62.000000	na	na	JGI	University of Warwick	2013-12-18	2020-06-10	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/510/665/GCA_000510665.1_ASM51066v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/315/775/GCA_013315775.1_ASM1331577v1/	0.9837
same_biosample	SAMN02597285	GCA_000517145.1	GCA_013170845.1	Mesorhizobium loti R88b	bacteria	381	strain=R88b	Scaffold	Complete Genome	SAMN02597285	SAMN02597285	14	1	7195110	7207166	0.9983	62.500000	62.500000	na	na	JGI	University of Otago	2014-01-08	2020-05-26	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/517/145/GCA_000517145.1_ASM51714v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/170/845/GCA_013170845.1_ASM1317084v1/	0.9983
same_biosample	SAMN02138600	GCA_000534495.1	GCA_018075245.1	Enterobacter sp. BWH 37	bacteria	1329836	strain=BWH 37	Scaffold	Complete Genome	SAMN02138600	SAMN02138600	15	4	5283674	5255410	1.0054	54.500000	54.500000	na	na	Broad Institute	Broad Institute	2014-02-03	2021-04-19	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/534/495/GCA_000534495.1_Ente_cloa_complex_BWH_37_V1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/075/245/GCA_018075245.1_ASM1807524v1/	1.0054
same_biosample	SAMN02138547	GCA_000534675.1	GCA_018075005.1	Enterobacter sp. MGH 7	bacteria	1329816	strain=MGH 7	Scaffold	Complete Genome	SAMN02138547	SAMN02138547	26	4	5276280	5305481	0.9945	55.000000	55.000000	na	na	Broad Institute	Broad Institute	2014-02-03	2021-04-19	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/534/675/GCA_000534675.1_Ente_cloa_complex_MGH_7_V2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/075/005/GCA_018075005.1_ASM1807500v1/	0.9945
same_biosample	SAMN02138579	GCA_000567725.1	GCA_018075085.1	Klebsiella pneumoniae MGH 39	bacteria	573	strain=MGH 39	Scaffold	Complete Genome	SAMN02138579	SAMN02138579	26	4	5734362	5730426	1.0007	57.000000	57.000000	na	na	Broad Institute	Broad Institute	2014-02-07	2021-04-19	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/567/725/GCA_000567725.1_Kleb_pneu_MGH_39_V1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/075/085/GCA_018075085.1_ASM1807508v1/	1.0007
same_biosample	SAMN02843220	GCA_000710215.1	GCA_943184895.1	Pantoea agglomerans	bacteria	549	strain=DAPP-PG734	Contig	Complete Genome	SAMN02843220	SAMN02843220	195	5	5365929	5396424	0.9943	54.500000	54.500000	na	na	International Centre for Genetic Engineering and Biotechnology	Zurich University of Applied Sciences (ZHAW), School of Life Sciences and Facility Management, Institute of Natural Resource Sciences	2014-06-18	2022-11-01	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/710/215/GCA_000710215.1_ASM71021v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/943/184/895/GCA_943184895.1_DAPP-PG_734/	0.9943
same_biosample	SAMN02893814	GCA_000758145.1	GCA_001443645.1	Lactiplantibacillus paraplantarum	bacteria	60520	strain=L-ZS9	Scaffold	Complete Genome	SAMN02893814	SAMN02893814	43	1	3119721	3139729	0.9936	44.000000	44.000000	na	na	China Agricultural University	Institute Of Microbiology Chinese Academy of Sciences	2014-09-25	2015-11-13	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/758/145/GCA_000758145.1_ASM75814v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/443/645/GCA_001443645.1_ASM144364v1/	0.9936
same_biosample	SAMN03121471	GCA_000770375.1	GCA_001187595.1	Anoxybacillus gonensis	bacteria	198467	strain=G2	Contig	Complete Genome	SAMN03121471	SAMN03121471	56	1	2758325	2803668	0.9838	41.500000	41.500000	na	na	Universiti Teknologi Malaysia	University of Malaya	2014-10-31	2015-07-27	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/375/GCA_000770375.1_ASM77037v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/187/595/GCA_001187595.1_ASM118759v1/	0.9838
same_biosample	SAMN03105739	GCA_000790465.1	GCA_006971785.1	Pseudomonas paraeruginosa	bacteria	2994495	strain=AZPAE15042	Scaffold	Complete Genome	SAMN03105739	SAMN03105739	143	2	6640508	6712466	0.9893	66.500000	66.500000	na	na	AstraZeneca	Biosciences and Biotechnology Institute of Grenoble - CEA Grenoble	2014-12-04	2019-07-15	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/790/465/GCA_000790465.1_AZPAE15042/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/971/785/GCA_006971785.1_ASM697178v1/	0.9893
same_biosample	SAMD00019136	GCA_000818335.1	GCA_002893865.1	Vibrio campbellii	bacteria	680	strain=151112C	Scaffold	Chromosome	SAMD00019136	SAMD00019136	253	4	5765968	5821717	0.9904	45.500000	45.500000	na	na	University of Miyazaki	Academia Sinica	2015-01-09	2018-01-21	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/818/335/GCA_000818335.1_ASM81833v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/893/865/GCA_002893865.1_ASM289386v1/	0.9904
same_biosample	SAMD00019133	GCA_000818435.1	GCA_002906655.1	Vibrio hyugaensis	bacteria	1534743	strain=090810a	Scaffold	Complete Genome	SAMD00019133	SAMD00019133	76	2	5494662	5612082	0.9791	45.000000	45.000000	na	na	University of Miyazaki	Academia Sinica	2015-01-09	2018-01-17	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/818/435/GCA_000818435.1_ASM81843v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/906/655/GCA_002906655.1_ASM290665v1/	0.9791
same_biosample	SAMD00019129	GCA_000829635.1	GCA_002887655.1	Vibrio owensii	bacteria	696485	strain=051011B	Scaffold	Complete Genome	SAMD00019129	SAMD00019129	143	3	6066276	6261380	0.9688	45.500000	45.500000	na	na	University of Miyazaki	Academia Sinica	2015-01-09	2018-01-17	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/635/GCA_000829635.1_ASM82963v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/887/655/GCA_002887655.1_ASM288765v1/	0.9688
same_biosample	SAMN03943304	GCA_001247715.1	GCA_028885395.1	Roseovarius tolerans	bacteria	74031	strain=EL-164	Contig	Complete Genome	SAMN03943304	SAMN03943304	121	1	3749125	3855105	0.9725	63.500000	63.500000	na	na	Goettingen Genomics Laboratory	Leibniz-Institut DSMZ - German Collection of Microorganisms and Cell Cultures GmbH	2015-08-05	2023-02-28	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/247/715/GCA_001247715.1_ASM124771v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/885/395/GCA_028885395.1_ASM2888539v1/	0.9725
same_biosample	SAMN03093451	GCA_001306525.1	GCA_001278745.1	Staphylococcus aureus	bacteria	1280	strain=HOU1444-VR	Contig	Complete Genome	SAMN03093451	SAMN03093451	152	4	2860602	2893726	0.9886	32.500000	33.000000	na	na	Universidad El Bosque	Universidad El Bosque	2015-10-05	2015-09-04	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/306/525/GCA_001306525.1_ASM130652v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/278/745/GCA_001278745.1_ASM127874v1/	0.9886
same_biosample	SAMN03266541	GCA_001506125.1	GCA_002846995.1	Dickeya solani	bacteria	1089444	strain=PPO 9019	Scaffold	Complete Genome	SAMN03266541	SAMN03266541	27	2	4910404	4962430	0.9895	56.500000	56.500000	na	na	CNRS - UPR2355	Institute for integrative biology of the cell	2016-01-07	2017-12-21	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/506/125/GCA_001506125.1_ASM150612v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/846/995/GCA_002846995.1_ASM284699v1/	0.9895
same_biosample	SAMEA1709749	GCA_001512215.1	GCA_047227755.2	Acinetobacter baumannii	bacteria	470	strain=A297	Scaffold	Complete Genome	SAMEA1709749	SAMEA1709749	99	4	4109780	4180892	0.9830	39.000000	39.000000	na	na	SC	University of Technology Sydney	2016-01-09	2025-05-14	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/512/215/GCA_001512215.1_9179_4_6/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/227/755/GCA_047227755.2_A297_complete_genome/	0.983
same_biosample	SAMN04633439	GCA_001673755.1	GCA_001913155.1	Maribacter hydrothermalis	bacteria	1836467	strain=T28	Contig	Complete Genome	SAMN04633439	SAMN04633439	52	1	4221554	4271158	0.9884	34.500000	34.500000	na	na	Xiamen University	Xiamen University	2016-06-21	2016-12-21	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/673/755/GCA_001673755.1_ASM167375v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/913/155/GCA_001913155.1_ASM191315v1/	0.9884
same_biosample	SAMN04437239	GCA_001754005.1	GCA_042134675.1	Lactiplantibacillus plantarum	bacteria	1590	strain=CGMCC 8198	Contig	Chromosome	SAMN04437239	SAMN04437239	102	1	3080303	2957764	1.0414	44.500000	45.000000	na	annotation fails completeness check; many frameshifted proteins	Tianjin University of Science&Technology	Tianjin University of Science and Technology	2016-10-07	2024-09-21	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/754/005/GCA_001754005.1_ASM175400v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/134/675/GCA_042134675.1_ASM4213467v1/	1.0414
same_biosample	SAMN04338613	GCA_001865315.1	GCA_001704195.1	Streptomyces sampsonii	bacteria	42239	strain=KJ40	Scaffold	Complete Genome	SAMN04338613	SAMN04338613	578	1	7261502	7070328	1.0270	73.500000	73.500000	na	na	Sichuan Agricultural University	Sichuan Agricultural University	2016-11-03	2016-08-12	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/315/GCA_001865315.1_ASM186531v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/195/GCA_001704195.1_ASM170419v1/	1.027
same_biosample	SAMN05281858	GCA_002023065.1	GCA_002022125.1	Elizabethkingia ursingii	bacteria	1756150	strain=G4123	Contig	Complete Genome	SAMN05281858	SAMN05281858	18	1	4184835	4216720	0.9924	35.500000	35.500000	na	na	CDC	CDC	2017-03-07	2017-03-06	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/023/065/GCA_002023065.1_ASM202306v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/022/125/GCA_002022125.1_ASM202212v1/	0.9924
same_biosample	SAMN05277827	GCA_002023205.1	GCA_002024805.1	Elizabethkingia bruuniana	bacteria	1756149	strain=G0146	Contig	Complete Genome	SAMN05277827	SAMN05277827	26	1	4385854	4433522	0.9892	36.000000	36.000000	na	na	CDC	CDC	2017-03-07	2017-03-10	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/023/205/GCA_002023205.1_ASM202320v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/024/805/GCA_002024805.1_ASM202480v1/	0.9892
same_biosample	SAMN06347034	GCA_002077835.1	GCA_014678925.1	Geobacillus zalihae	bacteria	213419	strain=SURF-189	Scaffold	Complete Genome	SAMN06347034	SAMN06347034	372	1	3553583	3562720	0.9974	52.500000	52.000000	na	na	Jet Propulsion Laboratory, California Institute of Technology	Jet Propulsion Laboratory, California Institute of Technology	2017-04-03	2020-09-22	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/077/835/GCA_002077835.1_ASM207783v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/678/925/GCA_014678925.1_ASM1467892v1/	0.9974
same_biosample	SAMN07139315	GCA_002738605.1	GCA_009938095.1	Elizabethkingia miricola	bacteria	172045	strain=FL160902	Contig	Complete Genome	SAMN07139315	SAMN07139315	15	1	4219019	4249586	0.9928	35.500000	35.500000	na	na	Huazhong Agricultural University	Huazhong Agricultural University	2017-10-31	2020-01-28	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/738/605/GCA_002738605.1_ASM273860v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/938/095/GCA_009938095.1_ASM993809v1/	0.9928
same_biosample	SAMD00090290	GCA_003112595.1	GCA_027947575.1	Streptomyces rubrogriseus	bacteria	194673	strain=NBRC 15455	Scaffold	Complete Genome	SAMD00090290	SAMD00090290	22	1	8454377	8411861	1.0051	72.000000	72.000000	na	na	National Institute of Technology and Evaluation Biological Resource Center	National Institute of Technology and Evaluation Biological Resource Center	2018-03-30	2023-01-25	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/112/595/GCA_003112595.1_ASM311259v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/947/575/GCA_027947575.1_ASM2794757v1/	1.0051
same_biosample	SAMN09274393	GCA_003289475.1	GCA_013372165.1	Campylobacter hyointestinalis subsp. lawsonii	bacteria	198	strain=CHY5	Contig	Complete Genome	SAMN09274393	SAMN09274393	86	2	1786312	1808149	0.9879	33.500000	33.500000	na	na	USDA, ARS, WRRC	USDA, ARS, WRRC	2018-07-06	2020-06-24	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/289/475/GCA_003289475.1_ASM328947v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/372/165/GCA_013372165.1_ASM1337216v1/	0.9879
same_biosample	SAMN07421915	GCA_003414715.1	GCA_047496975.1	Haemophilus influenzae	bacteria	727	strain=P638-3144	Contig	Complete Genome	SAMN07421915	SAMN07421915	58	1	1923765	1958307	0.9824	38.000000	38.500000	na	from large multi-isolate project	Institute of Agrobiotechnology	Drexel University College of Medicine	2018-08-22	2025-02-06	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/414/715/GCA_003414715.1_ASM341471v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/496/975/GCA_047496975.1_ASM4749697v1/	0.9824
same_biosample	SAMN02471834	GCA_003698065.1	GCA_000148745.1	Pseudomonas aeruginosa 39016	bacteria	287	strain=39016	Contig	Chromosome	SAMN02471834	SAMN02471834	58	349	6824311	6866064	0.9939	66.000000	66.000000	na	na	International Pseudomonas aeruginosa Consortium	Centre for Genomics Research, University of Liverpool	2018-10-30	2010-09-30	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/698/065/GCA_003698065.1_ASM369806v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/745/GCA_000148745.1_ASM14874v1/	0.9939
same_biosample	SAMN07998892	GCA_004016275.1	GCA_055766035.1	Xylella fastidiosa subsp. fastidiosa	bacteria	2371	strain=CFBP7969	Contig	Complete Genome	SAMN07998892	SAMN07998892	88	1	2431283	2512899	0.9675	51.500000	51.500000	na	na	INRA	Institute for Sustainable Agriculture - CSIC	2019-01-14	2026-03-10	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/016/275/GCA_004016275.1_ASM401627v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/055/766/035/GCA_055766035.1_ASM5576603v1/	0.9675
same_biosample	SAMN07759781	GCA_004745255.1	GCA_005843885.1	Escherichia sp. E4742	bacteria	2044467	strain=E4742	Contig	Complete Genome	SAMN07759781	SAMN07759781	113	1	5108826	5120753	0.9977	50.500000	50.500000	na	na	The Hong Kong University of Science and Technology	Hong Kong University of Science and Technology	2019-04-08	2019-05-25	1	2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/745/255/GCA_004745255.1_ASM474525v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/843/885/GCA_005843885.1_ASM584388v1/	0.9977
