accession	cohort	v5_completeness	v5_contamination	checkm2_completeness	checkm2_contamination	total_bp	n_contigs	classified_bp	unclassified_pct	orig_phylum_dominant	orig_phylum_dominant_pct	orig_phylum_contam_pct	orig_n_phyla	strict_phylum_dominant	strict_phylum_dominant_pct	strict_phylum_contam_pct	strict_n_phyla	strict_qualifying_bp	strict_qualifying_bp_frac	strict_n_qualifying_contigs	total_kmers	informative_kmers	informative_kmer_density	mean_contig_confidence_bpw	asm_total_bp	asm_n_contigs	asm_n50	asm_gc_pct
GCA_015487885.1	disagreement_141	89.26524	64.5203	96.66	2.28	4891862	299	4852112	0.813	Pseudomonadota	72.815	17.547	13	unresolved			0	0	0.0	0	4881696	48232	0.00988	0.0009	4891862	299	25711	54.323
GCA_016278515.1	disagreement_141	99.1635	8.066452	100.0	1.6	4270740	167	4245768	0.585	Bacillota	95.464	1.661	5	unresolved			0	0	0.0	0	4264415	43598	0.010224	0.002372	4270740	167	46988	40.874
GCA_016295605.1	disagreement_141	75.380974	0.008767843	93.13	1.53	1674252	266	1671916	0.14	Pseudomonadota	49.775	45.276	8	unresolved			0	0	0.0	0	1665208	57008	0.034235	0.00251	1674252	266	8156	64.893
GCA_016787285.1	disagreement_141	99.80432	7.4893355	96.77	1.11	5556013	345	5506252	0.896	Bacteroidota	55.426	38.769	9	unresolved			0	0	0.0	0	5544283	66739	0.012037	0.000976	5556013	345	24969	55.688
GCA_017939065.1	disagreement_141	89.018974	14.0129175	95.04	3.18	1444896	50	1440840	0.281	Bacillota	88.23	10.647	7	Campylobacterota	100.0	0.0	1	22019	0.0152	3	1443196	38171	0.026449	0.005763	1444896	50	59691	26.613
GCA_018057765.1	disagreement_141	73.647125	48.25221	97.73	0.03	1759823	51	1749502	0.586	Bacillota	40.499	38.278	7	unresolved			0	0	0.0	0	1756493	14281	0.00813	0.001261	1759823	51	65094	35.81
GCA_018677455.1	disagreement_141	79.18665	1.9505739	100.0	0.98	3208883	168	3196815	0.376	Pseudomonadota	96.519	1.506	4	unresolved			0	0	0.0	0	3203171	113119	0.035315	0.001022	3208883	168	34782	61.645
GCA_019235985.1	disagreement_141	93.24382	5.475268	94.11	2.13	2336253	389	2270686	2.807	Pseudomonadota	48.539	37.197	15	unresolved			0	0	0.0	0	2323027	34278	0.014756	0.002273	2336253	389	7735	61.976
GCA_021810405.1	disagreement_141	98.36741	22.343327	92.47	0.11	2103954	62	2096472	0.356	Pseudomonadota	36.492	62.56	8	unresolved			0	0	0.0	0	2101013	13465	0.006409	0.001075	2103954	62	50265	45.63
GCA_022783155.1	disagreement_141	87.640724	0.06647408	96.78	1.88	2501410	168	2495807	0.224	Bacillota	99.651	0.0	1	Bacillota	100.0	0.0	1	2442339	0.9764	156	2495698	1377553	0.551971	0.529994	2501410	168	22074	47.178
GCA_022827685.1	disagreement_141	99.820816	5.138433	98.84	2.77	4307412	167	4304804	0.061	Pseudomonadota	94.525	4.618	3	unresolved			0	0	0.0	0	4301734	271434	0.063099	0.000956	4307412	167	42335	68.611
GCA_023139045.1	disagreement_141	81.678955	6.5615745	94.38	1.03	3695767	205	3445515	6.771	Pseudomonadota	37.677	35.341	12	unresolved			0	0	0.0	0	3688797	10301	0.002793	0.000558	3695767	205	39366	46.932
GCA_023409405.1	disagreement_141	98.861916	6.478524	96.14	0.2	1695966	9	1695966	0.0	Bacillota	99.765	0.235	2	unresolved			0	0	0.0	0	1695660	26818	0.015816	7.4e-05	1695966	9	375312	28.388
GCA_024228115.1	disagreement_141	96.737625	26.185966	97.44	0.96	6414368	700	6139244	4.289	Pseudomonadota	60.702	30.565	10	unresolved			0	0	0.0	0	6390568	98404	0.015398	0.001426	6414368	700	22846	64.086
GCA_024763275.1	disagreement_141	81.40536	0.34325123	91.13	0.29	2554815	98	2548995	0.228	Pseudomonadota	66.936	22.092	6	unresolved			0	0	0.0	0	2551483	18766	0.007355	0.000956	2554815	98	40789	54.106
GCA_027442175.1	disagreement_141	99.96314	5.958909	99.55	1.23	2314502	61	2310138	0.189	Pseudomonadota	99.421	0.189	2	unresolved			0	0	0.0	0	2312428	55373	0.023946	0.003783	2314502	61	108777	53.222
GCA_028724105.1	disagreement_141	88.850006	0.016728044	98.24	0.59	2416929	86	2410316	0.274	Bacillota	98.767	0.423	2	unresolved			0	0	0.0	0	2414005	92781	0.038434	0.002152	2416929	86	48291	41.844
GCA_029007115.1	disagreement_141	75.70194	0.29004216	93.11	4.46	1243304	54	1243304	0.0	Bacillota	83.771	11.213	3	unresolved			0	0	0.0	0	1241468	19285	0.015534	0.000892	1243304	54	40649	24.74
GCA_029559035.1	disagreement_141	98.4721	9.046748	95.64	0.37	2863561	100	2825940	1.314	Pseudomonadota	74.212	22.616	11	Thermotogota	78.431	21.569	3	43429	0.0152	6	2860161	57711	0.020178	0.008151	2863561	100	78009	55.931
GCA_031263035.1	disagreement_141	62.08219	26.310593	93.8	2.73	2392468	156	2352707	1.662	Bacillota	80.925	12.796	4	unresolved			0	0	0.0	0	2387164	41638	0.017442	0.00126	2392468	156	28309	31.157
GCA_031969975.1	disagreement_141	88.15625	29.18064	99.37	2.37	9145261	1116	9061124	0.92	Cyanobacteriota	87.843	8.502	12	Cyanobacteriota	52.4	47.6	2	13063	0.0014	2	9099878	202312	0.022232	0.003867	9145261	1116	13144	46.354
GCA_035386105.1	disagreement_141	77.825836	0.0044882298	94.02	0.88	1886924	106	1883735	0.169	Bacillota	91.198	6.034	7	unresolved			0	0	0.0	0	1871307	27809	0.014861	0.001734	1886924	106	30030	34.871
GCA_035435645.1	disagreement_141	71.285835	0.38408637	90.7	1.11	1663062	208	1643162	1.197	Bacillota	96.098	2.157	3	Pseudomonadota	79.12	20.88	2	40250	0.0242	2	1652891	79229	0.047934	0.006407	1663062	208	9925	39.416
GCA_035436425.1	disagreement_141	93.48346	9.269306	95.16	0.05	2254552	40	2251570	0.132	Pseudomonadota	81.632	18.041	5	unresolved			0	0	0.0	0	2251330	16237	0.007212	0.000498	2254552	40	95107	46.387
GCA_035453605.1	disagreement_141	80.10804	6.6231728	95.64	0.24	3932547	24	3932547	0.0	Pseudomonadota	74.126	25.727	3	Thermodesulfobacteriota	100.0	0.0	1	2850	0.0007	1	3930667	107636	0.027384	0.000337	3932547	24	319965	67.022
GCA_035601835.1	disagreement_141	80.189095	14.553431	98.23	0.11	2565881	18	2565881	0.0	Pseudomonadota	67.062	32.938	2	unresolved			0	0	0.0	0	2565269	56871	0.02217	0.000182	2565881	18	228804	63.509
GCA_036387965.1	disagreement_141	81.47278	0.43416917	92.98	3.39	4156919	685	3787927	8.877	Bacteroidota	77.153	8.425	14	unresolved			0	0	0.0	0	4133629	42129	0.010192	0.001996	4156919	685	8753	38.033
GCA_036638955.1	disagreement_141	89.15718	0.4679054	94.94	0.41	3800672	59	3800672	0.0	Pseudomonadota	100.0	0.0	1	Pseudomonadota	100.0	0.0	1	44331	0.0117	1	3796006	423069	0.111451	0.025022	3800672	59	107360	48.056
GCA_036666455.1	disagreement_141	87.22237	1.8401891	93.25	0.69	2057459	95	2057459	0.0	Bacillota	98.563	1.265	4	unresolved			0	0	0.0	0	2053165	27563	0.013425	0.000697	2057459	95	33882	32.445
GCA_036724015.1	disagreement_141	72.55689	1.4502823	98.9	1.67	2505319	265	2445101	2.404	Bacteroidota	64.598	19.418	12	unresolved			0	0	0.0	0	2495777	22889	0.009171	0.001379	2505319	265	13723	37.807
GCA_036772475.1	disagreement_141	85.269714	0.086310506	93.32	0.17	2894137	72	2857295	1.273	Bacteroidota	88.79	9.292	4	unresolved			0	0	0.0	0	2883975	19978	0.006927	0.000371	2894137	72	85658	49.184
GCA_036794495.1	disagreement_141	71.75981	5.736023	95.43	3.6	2207610	85	2207610	0.0	Actinomycetota	37.79	58.946	8	unresolved			0	0	0.0	0	2198299	42804	0.019471	0.002089	2207610	85	46718	62.821
GCA_037143955.1	disagreement_141	82.787	13.499811	90.1	3.16	2153551	326	2126719	1.246	Actinomycetota	91.794	4.864	6	unresolved			0	0	0.0	0	2142467	78483	0.036632	0.002167	2153551	326	9868	62.892
GCA_038246785.1	disagreement_141	68.34118	2.9494822	96.66	1.04	3405052	84	3405052	0.0	Actinomycetota	99.835	0.165	3	unresolved			0	0	0.0	0	3402196	393303	0.115603	0.001668	3405052	84	69285	73.017
GCA_039925865.1	disagreement_141	70.96335	1.8668145	94.4	0.49	3104186	342	2996927	3.455	Bacteroidota	40.436	36.224	20	unresolved			0	0	0.0	0	3092558	19535	0.006317	0.001456	3104186	342	11818	34.507
GCA_040797425.1	disagreement_141	99.48987	5.974123	100.0	2.29	3660398	145	3658643	0.048	Bacillota	95.998	3.821	3	Bacillota	94.579	5.421	3	87033	0.0238	13	3655468	254675	0.06967	0.027556	3660398	145	53258	68.465
GCA_041241815.1	disagreement_141	83.19635	0.04364252	90.95	2.23	1722530	126	1719908	0.152	Bacteroidota	97.926	1.422	4	unresolved			0	0	0.0	0	1718246	39193	0.02281	0.001847	1722530	126	18131	38.478
GCA_041586535.1	disagreement_141	64.70879	3.27836	96.48	1.44	3824862	239	3824862	0.0	Pseudomonadota	99.816	0.184	2	unresolved			0	0	0.0	0	3816736	151053	0.039576	0.006594	3824862	239	22059	42.701
GCA_041655595.1	disagreement_141	72.85508	0.15984178	93.5	1.2	2088801	169	2060229	1.368	Bacillota	70.543	17.097	9	unresolved			0	0	0.0	0	2083055	18456	0.00886	0.001423	2088801	169	16164	42.288
GCA_041781395.1	disagreement_141	82.7688	0.06915629	92.09	0.07	2088110	131	2075712	0.594	Bacteroidota	96.363	1.149	3	unresolved			0	0	0.0	0	2083656	37083	0.017797	0.002855	2088110	131	21394	37.444
GCA_043557685.1	disagreement_141	84.93734	0.37379563	92.42	1.58	2615191	319	2577996	1.422	Bacillota	89.434	4.667	6	unresolved			0	0	0.0	0	2603340	55414	0.021286	0.00261	2615191	319	10084	33.424
GCA_043747205.1	disagreement_141	79.73966	0.28936267	95.78	4.71	2959920	472	2908345	1.742	Bacteroidota	95.423	1.515	5	Bacteroidota	100.0	0.0	1	3993	0.0013	3	2943872	240474	0.081686	0.004612	2959920	472	12357	31.086
GCA_043788545.1	disagreement_141	99.409546	6.054342	99.35	0.05	4870130	167	4849320	0.427	Bacteroidota	91.933	5.618	6	unresolved			0	0	0.0	0	4864452	36355	0.007474	0.000834	4870130	167	46754	44.335
GCA_043813215.1	disagreement_141	69.82423	3.599155	95.29	0.49	612632	44	593856	3.065	Pseudomonadota	38.613	46.549	6	unresolved			0	0	0.0	0	611136	2808	0.004595	0.000864	612632	44	23799	39.375
GCA_044344765.1	disagreement_141	63.872627	15.361121	93.3	1.35	3596205	307	3596205	0.0	Pseudomonadota	33.614	64.328	6	unresolved			0	0	0.0	0	3585767	141102	0.039351	0.002035	3596205	307	15862	69.87
GCA_046063625.1	disagreement_141	88.17737	0.042948127	93.73	0.57	4635650	552	4635650	0.0	Cyanobacteriota	99.696	0.101	2	Cyanobacteriota	100.0	0.0	1	4207689	0.9077	483	4616882	1700828	0.368393	0.247322	4635650	552	10901	37.699
GCA_046160275.1	disagreement_141	91.71346	29.836962	93.87	4.26	5881720	782	5440159	7.507	Bacteroidota	63.347	17.632	15	unresolved			0	0	0.0	0	5855132	40063	0.006842	0.001497	5881720	782	9510	37.824
GCA_046302235.1	disagreement_141	88.575096	0.13864636	93.76	0.49	2566202	475	2565506	0.027	Cyanobacteriota	93.342	5.774	5	unresolved			0	0	0.0	0	2550052	231965	0.090965	0.00562	2566202	475	7899	68.586
GCA_046757765.1	disagreement_141	97.883835	5.975813	91.67	4.7	5642785	698	5384786	4.572	Pseudomonadota	51.962	29.969	15	unresolved			0	0	0.0	0	5619053	39802	0.007083	0.00137	5642785	698	10924	59.167
GCA_048428545.1	disagreement_141	85.10075	0.10340512	91.03	2.82	3016132	236	3016132	0.0	Actinomycetota	99.761	0.239	2	Actinomycetota	100.0	0.0	1	2480431	0.8224	206	3008108	2861397	0.951228	0.630274	3016132	236	16920	64.608
GCA_048491915.1	disagreement_141	55.629852	32.329674	97.63	0.01	847736	39	847736	0.0	Pseudomonadota	100.0	0.0	1	unresolved			0	0	0.0	0	846410	40335	0.047654	0.007551	847736	39	30238	38.604
GCA_048535265.1	disagreement_141	86.42712	0.21836162	98.92	0.57	1903751	74	1903751	0.0	Actinomycetota	100.0	0.0	1	Actinomycetota	100.0	0.0	1	1591361	0.8359	65	1901235	1825689	0.960265	0.335282	1903751	74	40595	59.705
GCA_048561425.1	disagreement_141	87.94443	12.419516	100.0	1.15	3621627	1495	2937139	18.9	Pseudomonadota	65.129	11.219	16	Chordata	51.155	48.845	2	35287	0.0097	17	3566608	143150	0.040136	0.010463	3621627	1495	4743	43.639
GCA_049282835.1	disagreement_141	98.08657	19.41846	95.42	1.52	5067105	179	5037509	0.584	Pseudomonadota	83.487	13.93	7	unresolved			0	0	0.0	0	5061019	64262	0.012697	0.000823	5067105	179	62967	59.129
GCA_049324695.1	disagreement_141	97.80748	15.378988	98.81	4.8	9979657	69	9979657	0.0	Pseudomonadota	73.35	26.565	3	unresolved			0	0	0.0	0	9970442	119259	0.011961	8.8e-05	9979657	69	234877	63.254
GCA_049840515.1	disagreement_141	78.669754	2.5625288	91.27	1.76	2986087	28	2986087	0.0	Bacillota	100.0	0.0	1	unresolved			0	0	0.0	0	2985135	81540	0.027315	0.002823	2986087	28	201501	42.607
GCA_049970495.1	disagreement_141	90.60214	5.628517	95.94	1.88	1988594	143	1915099	3.696	Bacillota	59.263	20.215	14	unresolved			0	0	0.0	0	1983647	11481	0.005788	0.00108	1988594	143	25676	36.795
GCA_050949705.1	disagreement_141	79.283195	13.875094	95.08	1.48	2489808	21	2489808	0.0	Bacillota	100.0	0.0	1	unresolved			0	0	0.0	0	2489094	48935	0.01966	0.002212	2489808	21	202195	36.628
GCA_051270635.1	disagreement_141	99.19812	11.948755	93.7	1.51	7862417	419	7699399	2.073	Pseudomonadota	45.883	37.975	14	unresolved			0	0	0.0	0	7848171	39208	0.004996	0.000826	7862417	419	26933	54.07
GCA_051656445.1	disagreement_141	80.6943	4.4070573	91.22	3.58	2447981	655	2324529	5.043	Pseudomonadota	91.205	1.843	7	Pseudomonadota	100.0	0.0	1	1704	0.0007	1	2425711	75020	0.030927	0.00356	2447981	655	4695	53.519
GCA_051873075.1	disagreement_141	89.484276	1.7819911	93.75	2.08	1713025	83	1713025	0.0	Bacillota	100.0	0.0	1	Bacillota	100.0	0.0	1	27128	0.0158	1	1707942	118501	0.069382	0.023976	1713025	83	36055	51.331
GCA_051874775.1	disagreement_141	67.64038	35.292583	97.33	1.54	1643850	39	1641150	0.164	Pseudomonadota	45.572	41.773	6	unresolved			0	0	0.0	0	1641726	13954	0.0085	0.000709	1643850	39	67922	47.778
GCA_052086065.1	disagreement_141	87.28264	0.14001727	98.94	0.44	3668688	131	3668688	0.0	Actinomycetota	100.0	0.0	1	Actinomycetota	100.0	0.0	1	2851748	0.7773	94	3645927	3427855	0.940188	0.228815	3668688	131	58518	63.236
GCA_052109275.1	disagreement_141	84.554596	0.26167333	91.72	1.7	3538844	172	3538844	0.0	Actinomycetota	99.802	0.0	1	Actinomycetota	100.0	0.0	1	2488165	0.7031	115	3519755	3309833	0.940359	0.221874	3538844	172	46486	63.182
GCA_052733055.1	disagreement_141	83.08392	0.1269728	91.79	1.02	2769163	148	2743584	0.924	Bacteroidota	96.727	0.398	4	Bacteroidota	100.0	0.0	1	5938	0.0021	1	2764131	51120	0.018494	0.001366	2769163	148	34121	35.786
GCA_053497875.1	disagreement_141	85.47356	2.6081114	95.65	1.32	2373738	48	2373738	0.0	Actinomycetota	98.567	1.433	2	unresolved			0	0	0.0	0	2372106	52262	0.022032	0.000634	2373738	48	66067	65.277
GCA_053526915.1	disagreement_141	85.60852	1.855737	99.66	0.2	1618686	90	1612498	0.382	Campylobacterota	89.968	7.767	3	unresolved			0	0	0.0	0	1615626	24705	0.015291	0.001075	1618686	90	28566	36.871
GCA_054040315.1	disagreement_141	99.80986	17.307032	95.33	0.47	991928	77	984838	0.715	Bacillota	41.588	51.873	10	unresolved			0	0	0.0	0	989310	10861	0.010978	0.001202	991928	77	23654	30.651
GCA_054186275.1	disagreement_141	76.78789	3.7255168	93.27	0.0	1766851	125	1668891	5.544	Bacteroidota	87.554	4.384	3	Pseudomonadota	100.0	0.0	1	1644	0.0009	1	1761388	17578	0.00998	0.000807	1766851	125	25398	42.129
GCA_054602775.1	disagreement_141	93.534775	5.8497963	97.97	0.54	2177818	73	2177818	0.0	Actinomycetota	51.278	45.519	2	unresolved			0	0	0.0	0	2175121	60351	0.027746	0.00146	2177818	73	40805	61.665
GCA_055962315.1	disagreement_141	95.67377	50.675446	97.96	0.04	3310086	42	3310086	0.0	Pseudomonadota	92.822	5.279	4	unresolved			0	0	0.0	0	3308658	26559	0.008027	0.00025	3310086	42	116990	50.784
GCA_902797625.1	disagreement_141	75.634384	1.0822743	95.18	0.1	1811845	139	1767673	2.438	Bacteroidota	84.56	8.75	8	unresolved			0	0	0.0	0	1807119	18055	0.009991	0.001081	1811845	139	19595	35.11
GCA_903852135.1	disagreement_141	84.78137	0.57608485	94.4	4.85	1480201	237	1474803	0.365	Pseudomonadota	99.635	0.0	1	Pseudomonadota	100.0	0.0	1	1456835	0.9842	227	1472143	1407735	0.956249	0.813634	1480201	237	8694	46.42
GCA_903898695.1	disagreement_141	99.6242	9.661332	97.81	0.96	4787948	95	4772588	0.321	Pseudomonadota	71.923	26.801	8	unresolved			0	0	0.0	0	4784718	58709	0.01227	0.000299	4787948	95	89749	61.016
GCA_903952265.1	disagreement_141	54.315018	0.11792183	97.61	0.0	571808	2	571808	0.0	Pseudomonadota	100.0	0.0	1	unresolved			0	0	0.0	0	571740	5944	0.010396	0.000379	571808	2	333063	36.693
GCA_934202235.1	disagreement_141	79.70908	0.111055374	99.85	0.64	1616150	75	1616150	0.0	Bacillota	100.0	0.0	1	unresolved			0	0	0.0	0	1613600	31020	0.019224	0.001442	1616150	75	28576	48.661
GCA_937870855.1	disagreement_141	69.05198	0.4454732	100.0	0.63	3224987	211	3159415	2.033	Bacteroidota	92.225	2.643	6	Pseudomonadota	100.0	0.0	1	4280	0.0013	1	3217813	34957	0.010864	0.00178	3224987	211	22795	41.781
GCA_937897955.1	disagreement_141	73.79252	7.9890103	97.58	3.2	2001936	248	1919502	4.118	Pseudomonadota	89.766	3.874	9	unresolved			0	0	0.0	0	1993504	72930	0.036584	0.002433	2001936	248	24275	59.098
GCA_938009135.1	disagreement_141	99.63043	9.431428	97.51	0.64	4169948	165	4130564	0.944	Bacteroidota	85.299	9.516	7	unresolved			0	0	0.0	0	4164338	28944	0.00695	0.000655	4169948	165	30004	39.351
GCA_938038695.1	disagreement_141	85.63953	0.7593602	98.54	2.03	2034131	139	2015728	0.905	Bacillota	91.924	2.825	4	Bacillota	100.0	0.0	1	20286	0.01	1	2029405	34853	0.017174	0.003465	2034131	139	21303	44.265
GCA_938082465.1	disagreement_141	94.05246	9.034342	94.86	0.63	2448320	43	2444413	0.16	Pseudomonadota	98.888	0.542	3	unresolved			0	0	0.0	0	2446858	33515	0.013697	0.00089	2448320	43	103285	40.685
GCA_944355355.1	disagreement_141	71.42343	28.078032	93.78	0.93	1370104	80	1363248	0.5	Bacillota	79.624	13.693	5	unresolved			0	0	0.0	0	1367384	14039	0.010267	0.00094	1370104	80	25084	31.513
GCA_945860945.1	disagreement_141	70.507614	0.07409155	93.8	0.33	2627201	131	2622598	0.175	Pseudomonadota	59.654	38.098	5	unresolved			0	0	0.0	0	2622720	54075	0.020618	0.001032	2627201	131	31512	61.172
GCA_945881845.1	disagreement_141	77.36545	0.009056926	91.68	1.01	2067449	66	2067449	0.0	Actinomycetota	95.725	3.991	2	unresolved			0	0	0.0	0	2065205	60027	0.029066	0.001285	2067449	66	57637	64.011
GCA_946999215.1	disagreement_141	83.94728	0.0067949295	92.54	0.13	1607478	12	1607478	0.0	Actinomycetota	84.385	15.615	3	unresolved			0	0	0.0	0	1607070	32679	0.020335	0.004534	1607478	12	212402	46.44
GCA_947085045.1	disagreement_141	78.72232	1.7234564	99.76	2.31	2795204	14	2795204	0.0	Actinomycetota	100.0	0.0	1	unresolved			0	0	0.0	0	2794728	422065	0.151022	0.000328	2795204	14	276992	70.208
GCA_947498875.1	disagreement_141	68.635315	1.42636	100.0	0.23	2316515	78	2316515	0.0	Pseudomonadota	99.157	0.517	2	unresolved			0	0	0.0	0	2313863	137791	0.05955	0.000923	2316515	78	53396	62.422
GCA_947626165.1	disagreement_141	65.47315	11.839453	97.45	2.05	1836353	16	1836353	0.0	Bacillota	98.132	1.073	2	unresolved			0	0	0.0	0	1835809	19094	0.010401	0.000408	1836353	16	163983	38.011
GCA_948703015.1	disagreement_141	82.77455	31.674969	92.25	0.48	1657732	84	1638937	1.134	Bacillota	82.748	14.911	6	Bacillota	78.01	21.99	3	16021	0.0097	4	1652922	24841	0.015029	0.004166	1657732	84	42023	27.317
GCA_949386215.1	disagreement_141	97.38136	63.80365	95.05	2.27	4751202	156	4751202	0.0	Bacillota	92.279	6.729	4	unresolved			0	0	0.0	0	4745898	78453	0.016531	0.001091	4751202	156	49215	54.935
GCA_963537445.1	disagreement_141	86.96846	0.20753741	91.0	0.43	1674560	164	1667649	0.413	Pseudomonadota	97.61	0.771	3	Pseudomonadota	100.0	0.0	1	15657	0.0093	4	1668984	77391	0.04637	0.004371	1674560	164	13204	37.983
GCA_963639955.1	disagreement_141	98.86117	7.129261	95.81	0.39	2610100	66	2605406	0.18	Actinomycetota	97.403	2.307	6	unresolved			0	0	0.0	0	2607017	153637	0.058932	0.003471	2610100	66	107664	64.164
GCA_963705225.1	disagreement_141	97.244446	25.59051	94.3	0.02	4850502	1	4850502	0.0	Pseudomonadota	100.0	0.0	1	unresolved			0	0	0.0	0	4850468	61285	0.012635	4e-06	4850502	1	4850502	52.176
GCA_963729245.1	disagreement_141	92.32568	14.7138	90.35	4.84	4361354	58	4361354	0.0	Pseudomonadota	79.859	20.141	3	unresolved			0	0	0.0	0	4359382	142984	0.032799	0.000367	4361354	58	113422	61.528
GCA_963761895.1	disagreement_141	96.33667	15.909502	91.69	4.71	10215802	5	10215802	0.0	Pseudomonadota	100.0	0.0	1	Pseudomonadota	100.0	0.0	1	10215802	1.0	5	10215632	4088341	0.400204	0.234549	10215802	5	2762856	61.175
GCA_963765295.1	disagreement_141	76.11514	1.4574498	91.39	0.72	3754360	8	3754360	0.0	Actinomycetota	100.0	0.0	1	unresolved			0	0	0.0	0	3754088	175403	0.046723	0.000312	3754360	8	569695	69.915
GCA_963849745.1	disagreement_141	98.231514	5.8389335	95.99	1.09	4261971	15	4261971	0.0	Actinomycetota	98.886	1.114	2	unresolved			0	0	0.0	0	4261461	113431	0.026618	0.002614	4261971	15	447667	63.095
GCA_963979665.1	disagreement_141	65.830055	0.006312132	92.5	2.78	1621888	367	1492593	7.972	Pseudomonadota	83.465	2.985	8	unresolved			0	0	0.0	0	1609410	29219	0.018155	0.002612	1621888	367	5301	51.012
GCA_964242225.1	disagreement_141	74.63924	11.433495	99.64	0.39	3920059	39	3917829	0.057	Acidobacteriota	97.724	2.219	2	unresolved			0	0	0.0	0	3917004	88697	0.022644	0.000795	3920059	39	281990	62.04
GCA_964358905.1	disagreement_141	99.82205	5.1383348	91.92	0.72	1251100	163	1087024	13.115	Pseudomonadota	27.734	41.359	13	unresolved			0	0	0.0	0	1243841	5377	0.004323	0.001124	1251100	163	9748	45.051
GCA_964362675.1	disagreement_141	74.257385	1.7480195	91.88	0.18	581374	71	561483	3.421	Pseudomonadota	34.874	42.302	8	unresolved			0	0	0.0	0	575060	3739	0.006502	0.001417	581374	71	13912	36.523
GCA_964370005.1	disagreement_141	85.284195	0.047799945	95.2	0.3	2172649	128	2136277	1.674	Bacillota	52.21	37.656	7	unresolved			0	0	0.0	0	2161976	16361	0.007568	0.000967	2172649	128	26486	48.397
GCA_964436235.1	disagreement_141	98.94782	32.64514	92.41	2.11	4757597	321	4619724	2.898	Pseudomonadota	50.656	31.613	13	unresolved			0	0	0.0	0	4722571	21708	0.004597	0.000864	4757597	321	27117	43.348
GCA_964441855.1	disagreement_141	80.09703	0.05390942	95.71	0.21	532405	78	490751	7.824	Pseudomonadota	48.452	29.213	12	unresolved			0	0	0.0	0	527865	3277	0.006208	0.001199	532405	78	9803	53.879
GCA_964442135.1	disagreement_141	73.216705	0.53073466	90.37	0.04	1458986	63	1451923	0.484	Bacillota	91.178	7.662	4	unresolved			0	0	0.0	0	1454141	13987	0.009619	0.000654	1458986	63	33252	49.834
GCA_964453895.1	disagreement_141	99.72406	10.420132	96.82	1.75	4033014	60	4033014	0.0	Pseudomonadota	93.106	3.977	6	unresolved			0	0	0.0	0	4030583	25129	0.006235	0.000502	4033014	60	112159	52.297
