accession	cohort	domain	n_proteins	n_profiles_in_set	n_bact_families	n_arch_families	n_families_detected	frac_profiles_detected	n_families_multicopy_raw	n_families_multicopy	n_pairs_rejected_split_gene	frac_families_multicopy	total_extra_copies	max_copies	n_dup_pairs	n_dup_pairs_valid	n_dup_pairs_diff_contig	n_dup_pairs_scored	mean_dup_pair_identity	median_dup_pair_identity	min_dup_pair_identity	n_dup_pairs_divergent	n_dup_pairs_strongly_divergent	n_dup_pairs_near_identical	frac_dup_pairs_divergent	n_divergent_families	n_strongly_divergent_families	divergent_dup_families_per_100_profiles	strongly_divergent_families_per_100_profiles	v5_completeness	v5_contamination	checkm2_completeness	checkm2_contamination	total_bp	n_contigs	n50	gc_pct
GCA_009843765.1	agree_clean	bacteria	2932	85	80	31	80	0.9412	3	3	0	0.0375	3	2	3	3	3	3	0.5665	0.6047	0.4267	3	3	0	1.0	3	3	3.529	3.529	94.21657	1.06543	93.22	2.31	3087209	310	13400	69.075
GCA_012729715.1	agree_clean	bacteria	2679	85	81	33	81	0.9529	1	1	0	0.0123	1	2	1	1	1	1	0.9602	0.9602	0.9602	0	0	1	0.0	0	0	0.0	0.0	98.6978	0.45121312	93.12	3.92	2674193	298	15466	43.221
GCA_014377455.1	agree_clean	bacteria	3281	85	74	28	74	0.8706	3	3	0	0.0405	3	2	3	3	3	3	0.9588	0.9672	0.9386	0	0	2	0.0	0	0	0.0	0.0	99.935715	2.5003672	95.01	2.77	3285859	269	28180	31.042
GCA_015060685.1	agree_clean	bacteria	2197	85	84	34	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.964066	0.5022615	98.81	0.02	2600571	31	120347	45.497
GCA_015660205.1	agree_clean	bacteria	2743	85	82	31	82	0.9647	1	1	0	0.0122	1	2	1	1	1	1	0.3598	0.3598	0.3598	1	1	0	1.0	1	1	1.176	1.176	99.95734	0.7643044	93.09	1.66	2674636	157	27893	54.388
GCA_016187975.1	agree_clean	bacteria	4605	85	78	31	78	0.9176	1	1	0	0.0128	1	2	1	1	1	1	0.4441	0.4441	0.4441	1	1	0	1.0	1	1	1.176	1.176	99.12106	4.957688	91.87	1.48	4179931	452	12073	72.317
GCA_016283595.1	agree_clean	bacteria	2497	85	81	39	81	0.9529	1	1	0	0.0123	1	2	1	1	1	1	0.9545	0.9545	0.9545	0	0	1	0.0	0	0	0.0	0.0	99.898865	0.2791494	94.58	3.1	2899150	162	26700	38.104
GCA_016291665.1	agree_clean	bacteria	1857	85	76	30	76	0.8941	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.73636	0.4713714	91.05	0.51	1967109	44	83796	49.75
GCA_016704105.1	agree_clean	bacteria	3837	85	80	32	80	0.9412	1	1	0	0.0125	1	2	1	1	1	1	0.3978	0.3978	0.3978	1	1	0	1.0	1	1	1.176	1.176	99.31407	3.2043457	97.56	1.07	3711359	27	483918	65.276
GCA_017308295.1	agree_clean	bacteria	7228	85	84	32	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.96278	0.48876703	98.5	3.93	7324041	445	27801	65.958
GCA_018367955.1	agree_clean	bacteria	3541	85	84	34	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.972015	4.2438655	97.18	1.96	3829325	94	105022	41.824
GCA_018380175.1	agree_clean	bacteria	3978	85	84	34	84	0.9882	1	1	0	0.0119	1	2	1	1	1	1	0.3287	0.3287	0.3287	1	1	0	1.0	1	1	1.176	1.176	99.89792	0.37766695	99.88	1.7	4339557	231	67980	42.882
GCA_018381015.1	agree_clean	bacteria	3657	85	84	34	84	0.9882	1	1	0	0.0119	1	2	1	1	1	1	0.3806	0.3806	0.3806	1	1	0	1.0	1	1	1.176	1.176	99.920334	0.08769035	99.99	0.42	4295644	49	188486	46.371
GCA_020244765.1	agree_clean	bacteria	5101	85	85	33	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.95292	1.7761797	99.99	0.0	5287563	357	23178	42.689
GCA_020245415.1	agree_clean	bacteria	5147	85	85	33	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.946335	2.659133	100.0	0.0	5326101	368	23030	42.652
GCA_020245635.1	agree_clean	bacteria	4948	85	85	33	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.85597	0.91721714	99.6	0.03	4912543	535	12004	42.483
GCA_020720785.1	agree_clean	bacteria	2433	85	80	29	80	0.9412	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.95669	0.004851818	98.89	1.1	2589571	103	56959	45.476
GCA_020847735.1	agree_clean	bacteria	2951	85	50	17	50	0.5882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	97.68775	1.4837056	98.03	0.47	3656978	27	185302	71.243
GCA_020859825.1	agree_clean	bacteria	4241	85	85	35	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.865974	0.5004555	100.0	0.69	4564309	31	201699	50.694
GCA_021153025.1	agree_clean	bacteria	2876	85	85	32	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.940735	1.6253412	100.0	0.65	2931923	123	109473	53.59
GCA_021325555.1	agree_clean	bacteria	3628	85	82	31	82	0.9647	1	1	0	0.0122	1	2	1	1	0	1	0.4703	0.4703	0.4703	1	1	0	1.0	1	1	1.176	1.176	95.878555	1.6475886	92.85	3.05	4350908	46	197976	63.465
GCA_021732365.1	agree_clean	bacteria	2393	85	85	32	85	1.0	1	1	0	0.0118	1	2	1	1	1	1	0.4184	0.4184	0.4184	1	1	0	1.0	1	1	1.176	1.176	99.68788	0.25179088	99.99	0.72	2503213	35	125826	42.383
GCA_022482265.1	agree_clean	bacteria	2105	85	84	29	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.973076	0.1631558	99.98	0.0	2385521	1	2385521	53.628
GCA_022646625.1	agree_clean	bacteria	4706	85	84	35	84	0.9882	2	1	1	0.0119	2	2	2	1	1	1	0.3325	0.3325	0.3325	1	1	0	1.0	1	1	1.176	1.176	92.701904	0.29070973	100.0	0.54	5333158	144	52287	29.668
GCA_022715355.1	agree_clean	bacteria	2543	85	84	33	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.83504	1.2505025	99.99	0.2	2884527	134	44594	55.33
GCA_022837345.1	agree_clean	bacteria	2226	85	84	34	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.93442	1.1827052	99.65	0.73	2222617	75	88150	59.717
GCA_022844135.1	agree_clean	bacteria	4391	85	84	32	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.88452	0.14752746	99.89	0.11	5340936	75	95021	61.916
GCA_023383015.1	agree_clean	bacteria	4194	85	84	32	84	0.9882	1	1	0	0.0119	1	2	1	1	1	1	0.5012	0.5012	0.5012	1	1	0	1.0	1	1	1.176	1.176	99.81741	0.4832685	100.0	1.33	4359817	84	106185	72.492
GCA_023395465.1	agree_clean	bacteria	3671	85	81	30	81	0.9529	2	2	0	0.0247	2	2	2	2	2	2	0.8965	0.9571	0.836	1	0	1	0.5	1	0	1.176	0.0	99.965225	0.21253228	93.58	3.73	3824360	301	19622	70.175
GCA_023429945.1	agree_clean	bacteria	5131	85	78	33	78	0.9176	1	1	0	0.0128	1	2	1	1	1	1	0.3945	0.3945	0.3945	1	1	0	1.0	1	1	1.176	1.176	99.80006	3.293261	91.96	2.86	5659112	273	33239	52.155
GCA_023436885.1	agree_clean	bacteria	5048	85	83	33	83	0.9765	2	2	0	0.0241	2	2	2	2	2	2	0.6028	0.7788	0.4267	2	2	0	1.0	2	2	2.353	2.353	98.7155	0.31206906	99.18	3.83	5431508	52	242212	61.83
GCA_023511995.1	agree_clean	bacteria	2488	85	85	35	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.906166	1.0385096	99.98	0.0	2507758	44	96876	65.259
GCA_023709145.1	agree_clean	bacteria	2306	85	83	33	83	0.9765	1	1	0	0.012	1	2	1	1	1	1	0.4	0.4	0.4	1	1	0	1.0	1	1	1.176	1.176	99.9284	1.130709	97.74	1.84	2378870	73	75282	38.35
GCA_024276305.1	agree_clean	bacteria	2999	85	85	36	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.69873	0.39054453	95.48	0.37	3545856	119	58584	63.329
GCA_025359005.1	agree_clean	bacteria	4221	85	72	28	72	0.8471	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.59494	0.9408593	90.76	1.67	4160079	673	7837	63.935
GCA_026129125.1	agree_clean	bacteria	2946	85	78	31	78	0.9176	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	92.2231	0.14104247	91.03	1.71	3102172	231	24576	70.113
GCA_026339155.1	agree_clean	bacteria	2235	85	83	34	83	0.9765	1	1	0	0.012	1	2	1	1	1	1	0.354	0.354	0.354	1	1	0	1.0	1	1	1.176	1.176	99.963486	1.9103497	94.45	0.35	2706857	81	103071	46.618
GCA_027315205.1	agree_clean	bacteria	1995	85	79	31	79	0.9294	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	98.98157	2.2628756	99.91	0.09	1999789	42	158198	56.859
GCA_027404155.1	agree_clean	bacteria	3433	85	84	35	84	0.9882	1	1	0	0.0119	1	2	1	1	1	1	0.7483	0.7483	0.7483	1	1	0	1.0	1	1	1.176	1.176	99.922005	0.46352744	100.0	2.81	3654244	40	193130	51.202
GCA_027421505.1	agree_clean	bacteria	2660	85	83	35	83	0.9765	2	2	0	0.0241	2	2	2	2	2	2	0.5913	0.6703	0.5122	2	2	0	1.0	2	2	2.353	2.353	98.38318	0.033313036	95.93	1.64	2676550	100	51524	45.499
GCA_027457585.1	agree_clean	bacteria	3476	85	82	30	82	0.9647	1	1	0	0.0122	1	2	1	1	1	1	0.3841	0.3841	0.3841	1	1	0	1.0	1	1	1.176	1.176	99.91	3.0813308	93.32	0.68	3984583	155	82672	54.89
GCA_027532385.1	agree_clean	bacteria	2988	85	85	30	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.80505	0.22369623	99.99	0.01	3062897	30	449267	65.455
GCA_028281345.1	agree_clean	bacteria	2427	85	84	35	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.8521	0.35874546	99.99	0.03	2495008	61	71107	48.349
GCA_029056385.1	agree_clean	bacteria	2525	85	74	29	74	0.8706	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.87825	0.36754906	96.23	0.09	2919501	81	65470	48.994
GCA_030065935.1	agree_clean	bacteria	6328	85	84	35	84	0.9882	1	1	0	0.0119	1	2	1	1	1	1	0.7189	0.7189	0.7189	1	1	0	1.0	1	1	1.176	1.176	99.95561	0.51608384	98.9	0.41	7020599	282	35571	37.847
GCA_030148245.1	agree_clean	bacteria	3355	85	76	30	76	0.8941	1	1	0	0.0132	1	2	1	1	1	1	0.7025	0.7025	0.7025	1	1	0	1.0	1	1	1.176	1.176	99.70056	0.1368761	99.97	2.65	3529287	52	102498	67.979
GCA_030451785.1	agree_clean	bacteria	4453	85	76	29	76	0.8941	1	1	0	0.0132	1	2	1	1	1	1	1.0	1.0	1.0	0	0	1	0.0	0	0	0.0	0.0	99.769165	0.27025044	96.06	0.8	4824369	196	41285	58.579
GCA_030524455.1	agree_clean	bacteria	2924	85	83	36	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.94365	0.8457422	98.38	0.38	3269885	88	65343	55.415
GCA_030622115.1	agree_clean	bacteria	2226	85	82	33	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	98.99671	1.3146847	100.0	1.44	2631142	98	59457	60.142
GCA_030655455.1	agree_clean	bacteria	4148	85	84	32	84	0.9882	5	5	0	0.0595	5	2	5	5	5	5	0.6469	0.6829	0.4512	5	5	0	1.0	5	5	5.882	5.882	99.17057	0.29512942	100.0	1.97	4234421	28	206429	68.804
GCA_030696565.1	agree_clean	bacteria	3393	85	85	33	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.905014	0.22817254	97.45	1.58	3520058	234	27945	54.158
GCA_032054165.1	agree_clean	bacteria	4207	85	83	33	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.89798	0.18238425	100.0	1.1	4427851	145	56715	64.103
GCA_032483655.1	agree_clean	bacteria	4243	85	46	19	46	0.5412	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	94.7616	0.07972121	94.83	1.71	4345638	340	18106	55.3
GCA_034133345.1	agree_clean	bacteria	4208	85	80	36	80	0.9412	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.916435	0.4997939	99.28	0.36	5048007	36	358176	43.275
GCA_035435265.1	agree_clean	bacteria	1837	85	82	34	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.974014	0.1416117	93.8	0.32	1922879	170	17174	49.565
GCA_035509275.1	agree_clean	bacteria	5851	85	84	35	84	0.9882	4	4	0	0.0476	4	2	4	4	4	4	0.8046	0.8718	0.6522	3	2	0	0.75	3	2	3.529	2.353	99.91637	1.0528535	95.27	3.7	5989716	246	38385	67.027
GCA_035517775.1	agree_clean	bacteria	3921	85	74	28	74	0.8706	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.811874	0.8485973	92.33	2.31	4468943	134	60760	61.095
GCA_035529375.1	agree_clean	bacteria	920	85	64	24	64	0.7529	2	1	1	0.0156	2	2	2	1	1	1	0.4933	0.4933	0.4933	1	1	0	1.0	1	1	1.176	1.176	99.881226	0.3369063	95.4	1.21	843625	19	129809	38.792
GCA_035547775.1	agree_clean	bacteria	999	85	61	22	61	0.7176	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.71328	0.4094243	93.56	0.08	893716	54	23565	50.738
GCA_035556475.1	agree_clean	bacteria	4251	85	64	22	64	0.7529	1	1	0	0.0156	1	2	1	1	1	1	0.7209	0.7209	0.7209	1	1	0	1.0	1	1	1.176	1.176	99.93436	0.21564364	99.5	2.23	4333466	148	44559	65.522
GCA_035568395.1	agree_clean	bacteria	3676	85	84	32	84	0.9882	4	4	0	0.0476	4	2	4	4	4	4	0.9702	0.9739	0.9481	0	0	3	0.0	0	0	0.0	0.0	96.22838	0.17223358	99.85	0.86	4066114	14	396014	44.495
GCA_036454225.1	agree_clean	bacteria	1848	85	84	34	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.78542	1.0749966	97.59	0.87	2109743	10	1153841	63.191
GCA_036481315.1	agree_clean	bacteria	3055	85	77	34	77	0.9059	1	1	0	0.013	1	2	1	1	1	1	0.6007	0.6007	0.6007	1	1	0	1.0	1	1	1.176	1.176	99.848206	4.837048	94.22	2.83	3343458	265	18318	47.033
GCA_036501045.1	agree_clean	bacteria	5245	85	82	32	82	0.9647	4	4	0	0.0488	4	2	4	4	4	4	0.8787	0.9835	0.5753	1	1	3	0.25	1	1	1.176	1.176	99.03834	0.15933216	96.23	4.94	5770505	408	23848	58.176
GCA_036504555.1	agree_clean	bacteria	4457	85	80	33	80	0.9412	3	3	0	0.0375	3	2	3	3	3	3	0.7792	0.693	0.675	2	2	1	0.6667	2	2	2.353	2.353	98.95835	1.3138026	98.43	4.3	5244749	322	27353	42.677
GCA_036550795.1	agree_clean	bacteria	2190	85	85	31	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.976074	1.888445	98.09	0.0	2239824	92	50302	53.598
GCA_036718835.1	agree_clean	bacteria	1731	85	85	32	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.95636	0.114783645	99.9	0.22	1886076	23	113439	53.774
GCA_036753785.1	agree_clean	bacteria	2270	85	85	34	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.899376	0.050216913	97.42	2.01	2400617	186	17242	50.648
GCA_036797105.1	agree_clean	bacteria	1174	85	75	24	75	0.8824	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.767784	1.7726988	99.64	0.87	1101585	18	915683	46.927
GCA_037235235.1	agree_clean	bacteria	1406	85	77	29	77	0.9059	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	95.9298	0.3533095	98.8	2.7	1312561	70	43316	27.832
GCA_037250815.1	agree_clean	bacteria	1752	85	84	31	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.92105	0.13597906	94.0	0.69	1829810	158	17246	57.388
GCA_037293335.1	agree_clean	bacteria	2550	85	71	30	71	0.8353	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.86314	0.56798756	91.57	3.12	2628091	677	5370	48.177
GCA_037444405.1	agree_clean	bacteria	2421	85	83	34	83	0.9765	1	1	0	0.012	1	2	1	1	1	1	1.0	1.0	1.0	0	0	1	0.0	0	0	0.0	0.0	99.84654	0.12230277	98.9	1.44	2683681	40	159462	62.509
GCA_038108155.1	agree_clean	bacteria	2142	85	80	30	80	0.9412	2	2	0	0.025	4	3	6	6	6	6	0.5683	0.4643	0.321	4	4	0	0.6667	2	2	2.353	2.353	99.55616	1.2274146	96.82	4.03	2268489	139	37573	30.682
GCA_038115005.1	agree_clean	bacteria	2654	85	76	30	76	0.8941	1	1	0	0.0132	1	2	1	1	1	1	0.96	0.96	0.96	0	0	1	0.0	0	0	0.0	0.0	99.80975	0.07035136	92.73	4.3	2441315	326	12712	53.874
GCA_039200565.1	agree_clean	bacteria	6403	85	76	27	76	0.8941	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.252914	3.7528992	94.21	1.14	7507890	560	18074	37.453
GCA_039630445.1	agree_clean	bacteria	2555	85	82	33	82	0.9647	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.94539	0.008496642	97.33	1.29	2714412	190	20812	60.154
GCA_039810665.1	agree_clean	bacteria	3100	85	85	36	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	94.19679	1.1067986	95.97	0.26	3644877	83	98396	34.437
GCA_040506335.1	agree_clean	bacteria	4192	85	85	35	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.90329	0.30725896	100.0	0.8	4501209	136	60491	52.531
GCA_041241435.1	agree_clean	bacteria	2872	85	78	30	78	0.9176	3	3	0	0.0385	3	2	3	3	3	3	0.9354	0.9455	0.9138	0	0	0	0.0	0	0	0.0	0.0	92.59628	0.4394263	96.95	3.33	2773499	177	21694	66.294
GCA_041329955.1	agree_clean	bacteria	2469	85	81	33	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.941864	0.8534223	91.86	0.21	2874844	27	181901	54.678
GCA_041331335.1	agree_clean	bacteria	1855	85	84	33	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.89093	0.7070601	99.99	0.45	2241931	4	776145	56.454
GCA_041674285.1	agree_clean	bacteria	872	85	62	23	62	0.7294	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	97.67197	4.211256	96.4	0.02	813783	13	87594	38.048
GCA_041686735.1	agree_clean	bacteria	3454	85	85	30	85	1.0	1	1	0	0.0118	1	2	1	1	1	1	0.3502	0.3502	0.3502	1	1	0	1.0	1	1	1.176	1.176	99.933914	1.5553355	100.0	0.79	3471147	92	61289	44.709
GCA_041742335.1	agree_clean	bacteria	4336	85	75	30	75	0.8824	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.82855	0.10266602	94.68	0.29	4527968	116	60890	57.565
GCA_041855225.1	agree_clean	bacteria	1628	85	84	33	84	0.9882	2	2	0	0.0238	2	2	2	2	2	2	0.7024	0.7264	0.6783	2	2	0	1.0	2	2	2.353	2.353	99.9707	0.06979108	94.25	1.15	1980962	85	42329	43.315
GCA_043425335.1	agree_clean	bacteria	2361	85	82	36	82	0.9647	6	6	0	0.0732	7	3	8	8	8	8	0.6647	0.6939	0.5065	8	7	0	1.0	6	6	7.059	7.059	95.39992	1.4171749	96.54	4.58	2360436	255	14227	41.802
GCA_044343935.1	agree_clean	bacteria	1396	85	84	32	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	91.00907	0.02528727	95.01	0.31	1378459	37	55468	46.0
GCA_045430285.1	agree_clean	bacteria	3339	85	84	32	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.64133	1.1031777	92.67	0.01	4040293	10	762379	45.366
GCA_045540655.1	agree_clean	bacteria	1816	85	82	28	82	0.9647	2	2	0	0.0244	2	2	2	2	2	2	0.6149	0.8663	0.3636	2	1	0	1.0	2	1	2.353	1.176	90.1372	3.4597933	94.05	1.87	1983668	138	21744	55.729
GCA_045565895.1	agree_clean	bacteria	2028	85	84	29	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.87995	0.18611848	99.97	0.05	1732532	11	241815	35.377
GCA_045644425.1	agree_clean	bacteria	2022	85	83	27	83	0.9765	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	92.67854	1.4901161e-05	94.97	0.09	2429506	49	95205	46.371
GCA_046080885.1	agree_clean	bacteria	1616	85	84	33	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.28527	1.132217	98.77	0.08	1797015	40	66323	41.079
GCA_046093905.1	agree_clean	bacteria	3062	85	78	31	78	0.9176	1	1	0	0.0128	1	2	1	1	1	1	0.5192	0.5192	0.5192	1	1	0	1.0	1	1	1.176	1.176	93.80839	3.0603023	92.35	4.59	2795881	464	8765	59.436
GCA_046305415.1	agree_clean	bacteria	3326	85	73	33	73	0.8588	1	0	1	0.0	1	2	1	0	0	0				0	0	0		0	0	0.0	0.0	99.82922	0.34699738	92.77	2.83	3454779	756	6630	66.957
GCA_046309535.1	agree_clean	bacteria	4383	85	84	33	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	90.34622	0.14740825	99.89	0.26	4794609	434	16839	42.269
GCA_046384805.1	agree_clean	bacteria	2412	85	81	34	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	97.049164	0.11541247	97.07	0.05	2731934	93	53760	48.751
GCA_046952625.1	agree_clean	bacteria	2558	85	84	34	84	0.9882	1	1	0	0.0119	1	2	1	1	1	1	0.3621	0.3621	0.3621	1	1	0	1.0	1	1	1.176	1.176	99.88957	0.43010116	100.0	1.63	2950622	26	176484	44.045
GCA_046994035.1	agree_clean	bacteria	3809	85	74	30	74	0.8706	2	2	0	0.027	2	2	2	2	2	2	0.4203	0.4899	0.3507	2	2	0	1.0	2	2	2.353	2.353	99.78422	3.1470628	97.28	3.83	3806517	18	375736	42.74
GCA_047723295.1	agree_clean	bacteria	1955	85	84	29	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.9581	1.8270195	99.99	0.02	2238666	142	35675	46.374
GCA_048319185.1	agree_clean	bacteria	2508	85	84	34	84	0.9882	1	1	0	0.0119	1	2	1	1	1	1	0.3772	0.3772	0.3772	1	1	0	1.0	1	1	1.176	1.176	99.93089	0.26269853	100.0	0.72	2897732	22	214163	43.005
GCA_049510975.1	agree_clean	bacteria	3683	85	81	31	81	0.9529	3	3	0	0.037	3	2	3	3	2	3	0.5686	0.4405	0.4081	3	2	0	1.0	3	2	3.529	2.353	99.697205	1.2719005	90.78	1.14	4097705	86	89998	68.604
GCA_049581465.1	agree_clean	bacteria	7151	85	72	26	72	0.8471	1	0	1	0.0	1	2	1	0	0	0				0	0	0		0	0	0.0	0.0	99.479675	0.082585216	91.06	3.74	6761753	1434	5827	59.887
