treated_accession	control_accession	match_distance	treated_informative_kmer_density	treated_log10_total_bp	treated_log10_n_contigs	treated_log10_n50	treated_gc_pct	control_informative_kmer_density	control_log10_total_bp	control_log10_n_contigs	control_log10_n50	control_gc_pct	treated_orig_contam_pct	control_orig_contam_pct
GCA_018677455.1	GCA_964429895.1	0.2603	0.000891	6.5064	2.225309281725863	4.5413545507544155	61.645	0.00034	6.555	2.225309281725863	4.488480208426273	62.237	8.493	42.614
GCA_965321045.1	GCA_949744905.1	0.3552	0.000281	6.2427	2.0863598306747484	4.379287383990714	45.736	0.000178	6.2554	2.1492191126553797	4.309395925869756	49.016	40.435	33.375
GCA_031263035.1	GCA_038108155.1	0.2623	0.000559	6.3788	2.1931245983544616	4.451924528420122	31.157	0.000605	6.3557	2.143014800254095	4.574875872503636	30.682	19.838	13.046
GCA_036724015.1	GCA_937900615.1	0.2643	0.000265	6.3989	2.423245873936808	4.137449063340335	37.807	0.000408	6.3713	2.359835482339888	4.21648259735246	36.273	34.571	19.902
GCA_002440965.1	GCA_046080885.1	0.2647	0.000221	6.2027	1.591064607026499	4.773837621450204	41.877	0.00042	6.2546	1.6020599913279625	4.821664162505704	41.079	51.272	5.044
GCA_016787285.1	GCA_036501045.1	0.2806	0.00035	6.7448	2.537819095073274	4.397401149352611	55.688	0.000319	6.7612	2.61066016308988	4.3774519630245745	58.176	42.443	27.069
GCA_938082465.1	GCA_948758425.1	0.3949	0.000399	6.3889	1.6334684555795866	5.014037253850235	40.685	0.00043	6.4676	1.6720978579357175	5.019531684531255	39.104	8.055	6.197
GCA_016278515.1	GCA_949397535.1	0.292	0.000317	6.6305	2.2227164711475833	4.671986960080435	40.874	0.000396	6.639	2.1958996524092336	4.831312957688113	40.414	20.198	14.642
GCA_043557685.1	GCA_002783685.1	0.7029	0.000662	6.4175	2.503790683057181	4.0036328370044085	33.424	0.000229	6.3552	2.4409090820652177	4.014352500651009	40.15	19.548	30.235
GCA_015067545.1	GCA_036718835.1	0.3007	0.000524	6.2556	1.255272505103306	5.137018448050548	52.159	0.000613	6.2756	1.3617278360175928	5.054762389415189	53.774	41.172	21.425
GCA_903898695.1	GCA_051002135.1	0.3034	0.000333	6.6801	1.9777236052888478	4.953029618287667	61.016	0.000341	6.6279	1.9344984512435677	4.872162102165302	62.01	27.381	48.409
GCA_035386105.1	GCA_944324785.1	0.3707	0.000448	6.2758	2.0253058652647704	4.477555332198981	34.871	0.000414	6.3498	1.9590413923210936	4.53011001161644	34.818	17.493	22.195
GCA_036794495.1	GCA_030622115.1	0.4814	0.000462	6.3439	1.9294189257142929	4.669484242333031	62.821	0.000247	6.4201	1.9912260756924949	4.774202992384649	60.142	45.572	31.197
GCA_052733055.1	GCA_016283595.1	0.3101	0.000493	6.4423	2.1702617153949575	4.533021750752162	35.786	0.000386	6.4623	2.2095150145426308	4.426511261364575	38.104	18.647	45.108
GCA_015487885.1	GCA_902463845.1	0.3157	0.000309	6.6895	2.4756711883244296	4.4101189683595505	54.323	0.000218	6.698	2.571708831808688	4.315529533213849	52.208	28.515	32.22
GCA_963979665.1	GCA_982264465.1	0.3264	0.000531	6.21	2.5646660642520893	3.7243578042264267	51.012	0.000439	6.2598	2.546542663478131	3.830203598925704	49.554	8.066	10.741
GCA_947498875.1	GCA_900540455.1	0.4746	0.001496	6.3648	1.8920946026904804	4.727508724388225	62.422	0.00315	6.3626	1.8512583487190752	4.752478685807261	58.189	1.074	0.162
GCA_036638955.1	GCA_949052265.1	0.3355	0.002738	6.5799	1.7708520116421442	5.030842502824917	48.056	0.001206	6.5337	1.7323937598229686	4.978445305600499	47.548	0.0	4.476
GCA_938038695.1	GCA_919901925.1	0.4706	0.000494	6.3084	2.143014800254095	4.3284407673684075	44.265	0.000225	6.2524	2.303196057420489	4.18974290024157	43.281	31.103	39.106
GCA_044344765.1	GCA_009843765.1	0.3403	0.000914	6.5558	2.4871383754771865	4.2003579455416356	69.87	0.000601	6.4896	2.4913616938342726	4.127104798364807	69.075	40.938	33.311
GCA_041655595.1	GCA_948704125.1	0.4901	0.000314	6.3199	2.2278867046136734	4.20854884177061	42.288	0.00038	6.3299	2.3521825181113627	4.1910316088486175	37.684	29.696	19.857
GCA_050949705.1	GCA_947648685.1	0.3518	0.00059	6.3962	1.3222192947339193	5.305770411891689	36.628	0.000451	6.3494	1.4313637641589874	5.232589562754787	38.182	3.152	11.237
GCA_041241815.1	GCA_948819215.1	0.6078	0.000612	6.2362	2.100370545117563	4.258421757901637	38.478	0.000323	6.1361	2.012837224705172	4.3206654666652975	34.755	22.326	32.068
GCA_945860945.1	GCA_055896255.1	0.3549	0.000536	6.4195	2.1172712956557644	4.4984759678010855	61.172	0.000332	6.4592	2.0	4.619656712693948	61.345	42.132	46.865
GCA_937870855.1	GCA_903878475.1	0.3565	0.000342	6.5085	2.3242824552976926	4.357839596537981	41.781	0.000473	6.4552	2.3891660843645326	4.241222631195892	42.9	21.627	15.944
GCA_017939065.1	GCA_905198135.1	0.3583	0.000791	6.1598	1.6989700043360187	4.775908854663898	26.613	0.000575	6.2277	1.6434526764861874	4.799795286471086	28.096	16.091	18.604
GCA_964453895.1	GCA_948620335.1	0.3743	0.000227	6.6056	1.7781512503836436	5.049834128507587	52.297	0.000333	6.6409	1.9084850188786497	4.930057124920841	51.118	21.229	30.432
GCA_977552645.1	GCA_977075605.1	0.5069	0.000845	6.3635	1.8864907251724818	4.804452938401215	40.816	0.000739	6.4289	1.8573324964312685	4.788232025276355	45.147	3.601	28.808
GCA_051874775.1	GCA_044343935.1	0.4189	0.000276	6.2159	1.591064607026499	4.832010465459919	47.778	0.000332	6.1394	1.568201724066995	4.744042506880766	46.0	49.569	43.312
GCA_035435645.1	GCA_949404875.1	0.8628	0.001301	6.2209	2.3180633349627615	3.9967305154351527	39.416	0.000295	6.1032	2.08278537031645	4.147212416970458	34.912	7.777	38.107
GCA_963639955.1	GCA_023511995.1	0.3718	0.001264	6.4167	1.8195439355418688	5.032070510958555	64.164	0.001968	6.3993	1.6434526764861874	4.986216198531042	65.259	4.923	4.009
GCA_029007115.1	GCA_037235235.1	0.3742	0.000562	6.0946	1.7323937598229686	4.609049866047581	24.74	0.000547	6.1181	1.845098040014257	4.6366483450415865	27.832	27.115	39.359
GCA_944355355.1	GCA_945877265.1	0.3761	0.000346	6.1368	1.9030899869919435	4.399396792103312	31.513	0.000388	6.0991	1.968482948553935	4.290012339279541	34.135	35.106	29.83
GCA_021810405.1	GCA_041855225.1	0.3762	0.000215	6.323	1.792391689498254	4.701265686890952	45.63	0.000306	6.2969	1.9294189257142929	4.626638008620199	43.315	27.652	31.757
GCA_053497875.1	GCA_958436535.1	0.5693	0.00061	6.3754	1.6812412373755872	4.819984586617214	65.277	0.000944	6.3061	1.568201724066995	4.951293795674055	61.497	13.006	30.772
GCA_035453605.1	GCA_016704105.1	0.387	0.000646	6.5947	1.380211241711606	5.505102474763049	67.022	0.000551	6.5695	1.4313637641589874	5.68477177659361	65.276	44.082	42.194
GCA_049282835.1	GCA_035517775.1	0.3873	0.000352	6.7048	2.2528530309798933	4.799113002266927	59.129	0.000488	6.6502	2.1271047983648077	4.7836177651907485	61.095	23.955	34.681
GCA_964242225.1	GCA_021325555.1	0.3894	0.000529	6.5933	1.591064607026499	5.450233707532753	62.04	0.000435	6.6386	1.662757831681574	5.296612545315481	63.465	44.476	34.724
GCA_048491915.1	GCA_977613245.1	0.3923	0.001193	5.9283	1.591064607026499	4.480553062699267	38.604	0.000148	5.9177	1.6334684555795866	4.450079669621688	42.283	2.647	41.26
GCA_980363365.1	GCA_977892965.1	0.7011	0.000902	6.4862	1.9493900066449128	4.794940926679733	64.295	0.001748	6.4157	1.9777236052888478	4.651219845663316	58.389	2.322	4.473
GCA_015068615.1	GCA_964628655.1	0.7672	0.000418	6.122	1.8692317197309762	4.393662930667503	48.057	0.000198	6.0306	2.012837224705172	4.1604685311190375	52.526	26.695	20.258
GCA_027442175.1	GCA_948945125.1	0.4144	0.000672	6.3645	1.7853298350107671	5.036537077080624	53.222	0.000484	6.4452	1.7993405494535817	4.931254406416413	53.207	0.088	11.711
GCA_963729245.1	GCA_913057855.1	0.4144	0.000808	6.6396	1.7634279935629373	5.054697301046486	61.528	0.001837	6.6414	1.919078092376074	5.041242630235316	58.773	33.913	0.614
GCA_945881845.1	GCA_022837345.1	0.5479	0.000651	6.3154	1.8195439355418688	4.760701367746521	64.011	0.000385	6.3469	1.8750612633917	4.94522231663534	59.717	21.498	27.832
GCA_022827685.1	GCA_035556475.1	0.4237	0.001359	6.6342	2.2227164711475833	4.626699564107673	68.611	0.003314	6.6368	2.1702617153949575	4.648935435770809	65.522	7.15	0.748
GCA_902797625.1	GCA_938022355.1	0.5356	0.000303	6.2581	2.143014800254095	4.292145267814122	35.11	0.0007	6.3066	2.167317334748176	4.3037790465955315	29.958	29.885	36.38
GCA_043747205.1	GCA_014377455.1	0.809	0.002227	6.4713	2.673941998634088	4.09191304667608	31.086	0.001514	6.5166	2.429752280002408	4.449940988773338	31.042	5.671	4.79
GCA_052086065.1	GCA_032054165.1	0.448	0.018819	6.5645	2.1172712956557644	4.7672894745994325	63.236	0.020287	6.6462	2.161368002234975	4.753697936418217	64.103	0.0	0.0
GCA_977879445.1	GCA_963706305.1	0.4493	0.000578	6.5575	0.0	6.557487952970193	64.143	0.000592	6.4724	0.0	6.472386337095773	62.338	0.0	0.0
GCA_049970495.1	GCA_946415095.1	0.7525	0.00019	6.2985	2.155336037465062	4.40952736701224	36.795	0.001282	6.4081	2.110589710299249	4.544650848573516	41.878	38.046	2.822
GCA_019235985.1	GCA_046093905.1	0.4605	0.00036	6.3685	2.5899496013257077	3.8884603180353863	61.976	0.000427	6.4465	2.6665179805548807	3.9427519204298136	59.436	25.039	22.745
GCA_041781395.1	GCA_977885655.1	0.8373	0.000507	6.3198	2.1172712956557644	4.330291991468156	37.444	0.000426	6.3169	1.968482948553935	4.523954462257064	45.077	25.7	14.848
GCA_053526915.1	GCA_905182275.1	0.9765	0.000378	6.2092	1.9542425094393248	4.455849431858154	36.871	0.000402	6.3048	1.9444826721501687	4.5429996075770545	46.067	33.274	11.324
GCA_051873075.1	GCA_036550795.1	0.636	0.001735	6.2338	1.919078092376074	4.556965499896942	51.331	0.00124	6.3502	1.9637878273455553	4.701585252882888	53.598	0.986	28.191
GCA_977587715.1	GCA_035509275.1	0.4826	0.000335	6.8214	2.399673721481038	4.662493398030702	62.984	0.0015	6.7774	2.3909351071033793	4.584161544942867	67.027	39.316	4.829
GCA_937897955.1	GCA_037250815.1	0.507	0.000914	6.3015	2.3944516808262164	4.385159238580043	59.098	0.000591	6.2624	2.1986570869544226	4.2366883817646155	57.388	3.335	40.281
GCA_040797425.1	GCA_049510975.1	0.6328	0.001701	6.5635	2.161368002234975	4.726384853329496	68.465	0.000863	6.6125	1.9344984512435677	4.9542328583436035	68.604	15.898	4.709
GCA_947626165.1	GCA_934294665.1	0.5158	0.00035	6.264	1.2041199826559248	5.214798827383828	38.011	0.000349	6.1707	1.1760912590556813	5.209485524409924	41.075	23.774	12.984
GCA_043788545.1	GCA_018380175.1	0.6535	0.000268	6.6875	2.2227164711475833	4.669818772505095	44.335	0.003317	6.6374	2.3636119798921444	4.832381160247041	42.882	26.164	4.386
GCA_002730975.1	GCA_964352035.1	0.5254	0.000163	6.5852	2.1818435879447726	4.549493713215013	50.37	0.001964	6.5229	2.113943352306837	4.631240780235509	53.518	33.94	0.781
GCA_041586535.1	GCA_036481315.1	0.5274	0.001036	6.5826	2.3783979009481375	4.343585820691403	42.701	0.000188	6.5242	2.423245873936808	4.2628780546823055	47.033	5.99	31.683
GCA_018057765.1	GCA_977581115.1	0.5301	0.000312	6.2455	1.7075701760979363	4.813540959582321	35.81	0.000713	6.2099	1.568201724066995	4.917941160888583	39.979	60.193	4.604
GCA_051656445.1	GCA_037293335.1	0.5305	0.000819	6.3888	2.816241299991783	3.6716355966021297	53.519	0.000614	6.4196	2.8305886686851442	3.7299742856995555	48.177	6.579	17.838
GCA_001782735.1	GCA_041674285.1	0.5334	0.000195	5.9288	1.3617278360175928	4.830293479079566	39.978	0.000239	5.9105	1.1139433523068367	4.942474358951938	38.048	44.543	13.364
GCA_024228115.1	GCA_017308295.1	0.5358	0.00042	6.8072	2.845098040014257	4.358810172458563	64.086	0.001673	6.8648	2.6483600109809315	4.444060417740776	65.958	36.544	4.524
GCA_946999215.1	GCA_009783085.1	0.543	0.000501	6.2061	1.0791812460476249	5.327158601792079	46.44	0.000328	6.1982	1.2787536009528289	5.191065176206951	49.849	28.989	18.353
GCA_052109275.1	GCA_030696565.1	0.9783	0.018804	6.5489	2.2355284469075487	4.66732217787452	63.182	0.017595	6.5465	2.369215857410143	4.446304113951924	54.158	0.0	0.306
GCA_938009135.1	GCA_948900265.1	0.5492	0.000238	6.6201	2.2174839442139063	4.47717915679053	39.351	0.00034	6.5708	2.423245873936808	4.375700184587989	36.386	37.986	26.568
GCA_023139045.1	GCA_977576075.1	0.5789	0.000132	6.5677	2.311753861055754	4.595121288140943	46.932	0.000339	6.5404	2.1072099696478683	4.624240830741628	42.446	38.828	14.48
GCA_963849745.1	GCA_980299275.1	0.8028	0.000676	6.6296	1.1760912590556813	5.650955081325315	63.095	0.003608	6.5542	1.3010299956639813	5.397131468760261	66.135	0.0	0.0
GCA_038246785.1	GCA_023383015.1	0.5918	0.002611	6.5321	1.9242792860618816	4.840639221302228	73.017	0.002699	6.6395	1.9242792860618816	5.026063171384531	72.492	1.514	0.747
GCA_963765295.1	GCA_963772135.1	0.5926	0.000955	6.5745	0.9030899869919435	5.755642407833126	69.915	0.001528	6.6681	1.0	5.945858880817862	71.303	0.0	0.294
GCA_980315005.1	GCA_046305415.1	0.7949	0.001743	6.4141	2.61066016308988	3.932676658622401	66.813	0.000563	6.5384	2.8785217955012063	3.821513528404773	66.957	8.062	29.298
GCA_965249325.1	GCA_027532385.1	0.6237	0.000473	6.4463	1.3010299956639813	5.514800021737716	64.998	0.0034	6.4861	1.4771212547196624	5.652504519540625	65.455	28.623	0.057
GCA_048535265.1	GCA_982262265.1	0.6729	0.020815	6.2796	1.8692317197309762	4.608472545741434	59.705	0.020393	6.3866	1.8512583487190752	4.830441098962372	57.189	0.0	0.0
GCA_037143955.1	GCA_902784765.1	0.7179	0.0009	6.3332	2.513217600067939	3.9942291408176986	62.892	0.000564	6.4401	2.428134794028789	4.149496233465742	58.413	12.386	36.746
GCA_046302235.1	GCA_903948385.1	0.8946	0.002217	6.4093	2.6766936096248664	3.8975721138257304	68.586	0.000648	6.5098	2.8115750058705933	3.8029104894190398	61.441	13.912	31.707
GCA_947085045.1	GCA_020847735.1	0.8807	0.003186	6.4464	1.146128035678238	5.4424672260824005	70.208	0.000916	6.5631	1.4313637641589874	5.267880106767771	71.243	0.0	46.52
GCA_022783155.1	GCA_052271025.1	0.6922	0.011866	6.3982	2.225309281725863	4.343881038214771	47.178	0.013659	6.4247	2.3443922736851106	4.439885080817302	41.16	0.316	0.057
GCA_035601835.1	GCA_037444405.1	0.7045	0.000516	6.4092	1.255272505103306	5.3594636126154915	63.509	0.000465	6.4287	1.6020599913279625	5.2026572067880466	62.509	23.373	19.232
GCA_051270635.1	GCA_023429945.1	0.7751	0.000203	6.8956	2.622214022966295	4.430284731089956	54.07	0.000459	6.7527	2.436162647040756	4.521647949497911	52.155	36.507	42.17
GCA_003511635.1	GCA_035529375.1	0.7321	0.000281	6.0367	1.3222192947339193	4.858789760795765	35.914	0.000257	5.9261	1.2787536009528289	5.113304804288969	38.792	36.655	1.756
GCA_046757765.1	GCA_025359005.1	0.8053	0.000228	6.7515	2.843855422623161	4.038381691467696	59.167	0.00115	6.6191	2.828015064223977	3.894149846767922	63.935	26.13	10.368
GCA_046160275.1	GCA_039200565.1	0.748	0.000246	6.7695	2.893206753059848	3.978180516937414	37.824	0.000942	6.8755	2.7481880270062002	4.2570542779446585	37.453	26.088	6.506
GCA_964937175.1	GCA_949481065.1	0.7682	0.000247	5.9526	1.0	5.251818226789312	49.112	0.000233	5.9471	1.2304489213782739	4.943474729829792	45.494	19.916	46.382
GCA_963705225.1	GCA_977879495.1	0.7985	0.000355	6.6858	0.0	6.6857866879935655	52.176	0.000481	6.7542	0.0	6.754166551547456	59.927	0.0	0.0
GCA_046063625.1	GCA_046309535.1	0.8147	0.008965	6.6661	2.741939077729199	4.0374663396435	37.699	0.005126	6.6808	2.637489729512511	4.226316296939335	42.269	0.189	0.414
GCA_964358905.1	GCA_964348975.1	0.9859	0.000192	6.0973	2.2121876044039577	3.9889155205126867	45.051	0.000203	5.9174	2.1072099696478683	4.03953308766939	50.433	25.527	19.621
