accession	cohort	v5_completeness	v5_contamination	checkm2_completeness	checkm2_contamination	total_bp	n_contigs	n50	gc_pct	unclassified_pct	informative_kmer_density	mean_contig_confidence_bpw	orig_phylum_contam_pct	orig_phylum_dominant_pct	orig_n_phyla	strict_phylum_contam_pct	strict_qualifying_bp_frac	scg_domain	frac_profiles_detected	n_families_multicopy	total_extra_copies	max_copies	n_dup_pairs	n_dup_pairs_diff_contig	median_dup_pair_identity	n_dup_pairs_divergent	divergent_dup_families_per_100_profiles	gunc_pg21_css	gunc_pg21_pass	gunc_pg21_rrs	gunc_gtdb95_css	gunc_gtdb95_pass	gunc_gtdb95_rrs
GCA_014377455.1	agree_clean	99.935715	2.5003672	95.01	2.77	3285859.0	269.0	28180.0	31.042	7.51	0.001514	0.000467	4.79	85.34	10.0		0.0	bacteria	0.8706	3.0	3.0	2.0	3.0	3.0	0.9672	0.0	0.0						
GCA_015060685.1	agree_clean	99.964066	0.5022615	98.81	0.02	2600571.0	31.0	120347.0	45.497	1.067	0.00072	0.000118	0.756	95.412	2.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_015660205.1	agree_clean	99.95734	0.7643044	93.09	1.66	2674636.0	157.0	27893.0	54.388	26.003	0.000238	0.000182	33.63	34.228	9.0		0.0	bacteria	0.9647	1.0	1.0	2.0	1.0	1.0	0.3598	1.0	1.176						
GCA_016187975.1	agree_clean	99.12106	4.957688	91.87	1.48	4179931.0	452.0	12073.0	72.317	6.829	0.001209	0.000624	37.54	39.671	14.0		0.0	bacteria	0.9176	1.0	1.0	2.0	1.0	1.0	0.4441	1.0	1.176						
GCA_016283595.1	agree_clean	99.898865	0.2791494	94.58	3.1	2899150.0	162.0	26700.0	38.104	13.591	0.000386	0.00028	45.108	23.451	14.0		0.0	bacteria	0.9529	1.0	1.0	2.0	1.0	1.0	0.9545	0.0	0.0						
GCA_016291665.1	agree_clean	99.73636	0.4713714	91.05	0.51	1967109.0	44.0	83796.0	49.75	5.562	0.00049	0.000143	3.659	83.166	4.0		0.0	bacteria	0.8941	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_016704105.1	agree_clean	99.31407	3.2043457	97.56	1.07	3711359.0	27.0	483918.0	65.276	0.514	0.000551	8e-05	42.194	43.638	5.0		0.0	bacteria	0.9412	1.0	1.0	2.0	1.0	1.0	0.3978	1.0	1.176						
GCA_017308295.1	agree_clean	99.96278	0.48876703	98.5	3.93	7324041.0	445.0	27801.0	65.958	2.554	0.001673	0.000384	4.524	89.398	8.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_018367955.1	agree_clean	99.972015	4.2438655	97.18	1.96	3829325.0	94.0	105022.0	41.824	2.19	0.000957	0.000299	8.253	83.285	4.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_018380175.1	agree_clean	99.89792	0.37766695	99.88	1.7	4339557.0	231.0	67980.0	42.882	1.457	0.003317	0.001233	4.386	93.882	5.0		0.0	bacteria	0.9882	1.0	1.0	2.0	1.0	1.0	0.3287	1.0	1.176						
GCA_018381015.1	agree_clean	99.920334	0.08769035	99.99	0.42	4295644.0	49.0	188486.0	46.371	0.0	0.020922	0.001017	0.059	99.941	2.0		0.0	bacteria	0.9882	1.0	1.0	2.0	1.0	1.0	0.3806	1.0	1.176						
GCA_020244765.1	agree_clean	99.95292	1.7761797	99.99	0.0	5287563.0	357.0	23178.0	42.689	0.261	0.017798	0.001318	0.0	99.739	1.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_020245415.1	agree_clean	99.946335	2.659133	100.0	0.0	5326101.0	368.0	23030.0	42.652	0.25	0.017605	0.001322	0.82	98.931	2.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_020245635.1	agree_clean	99.85597	0.91721714	99.6	0.03	4912543.0	535.0	12004.0	42.483	0.187	0.016871	0.001631	0.333	99.325	3.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_020720785.1	agree_clean	99.95669	0.004851818	98.89	1.1	2589571.0	103.0	56959.0	45.476	17.249	0.000196	0.00015	34.662	31.221	12.0		0.0	bacteria	0.9412	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_020847735.1	agree_clean	97.68775	1.4837056	98.03	0.47	3656978.0	27.0	185302.0	71.243	0.073	0.000916	0.000123	46.52	46.681	3.0		0.0	bacteria	0.5882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_020859825.1	agree_clean	99.865974	0.5004555	100.0	0.69	4564309.0	31.0	201699.0	50.694	0.0	0.025074	0.001087	0.0	100.0	1.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_021153025.1	agree_clean	99.940735	1.6253412	100.0	0.65	2931923.0	123.0	109473.0	53.59	2.285	0.005351	0.000598	2.522	93.281	5.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_021325555.1	agree_clean	95.878555	1.6475886	92.85	3.05	4350908.0	46.0	197976.0	63.465	0.593	0.000435	0.00014	34.724	45.864	4.0		0.0	bacteria	0.9647	1.0	1.0	2.0	1.0	0.0	0.4703	1.0	1.176						
GCA_021732365.1	agree_clean	99.68788	0.25179088	99.99	0.72	2503213.0	35.0	125826.0	42.383	2.88	0.000759	0.000112	3.091	94.028	3.0		0.0	bacteria	1.0	1.0	1.0	2.0	1.0	1.0	0.4184	1.0	1.176						
GCA_022482265.1	agree_clean	99.973076	0.1631558	99.98	0.0	2385521.0	1.0	2385521.0	53.628	0.0	0.005659	0.000218	0.0	100.0	1.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_022646625.1	agree_clean	92.701904	0.29070973	100.0	0.54	5333158.0	144.0	52287.0	29.668	0.0	0.017881	0.001377	0.0	100.0	1.0		0.0	bacteria	0.9882	1.0	2.0	2.0	2.0	1.0	0.3325	1.0	1.176						
GCA_022715355.1	agree_clean	99.83504	1.2505025	99.99	0.2	2884527.0	134.0	44594.0	55.33	0.038	0.02222	0.017884	0.0	99.962	1.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_022837345.1	agree_clean	99.93442	1.1827052	99.65	0.73	2222617.0	75.0	88150.0	59.717	6.769	0.000385	0.000177	27.832	48.025	12.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_022844135.1	agree_clean	99.88452	0.14752746	99.89	0.11	5340936.0	75.0	95021.0	61.916	0.0	0.000654	0.000119	2.045	97.208	2.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_023383015.1	agree_clean	99.81741	0.4832685	100.0	1.33	4359817.0	84.0	106185.0	72.492	0.241	0.002699	0.000274	0.747	98.413	4.0		0.0	bacteria	0.9882	1.0	1.0	2.0	1.0	1.0	0.5012	1.0	1.176						
GCA_023395465.1	agree_clean	99.965225	0.21253228	93.58	3.73	3824360.0	301.0	19622.0	70.175	1.503	0.004362	0.000692	1.429	96.787	2.0		0.0	bacteria	0.9529	2.0	2.0	2.0	2.0	2.0	0.9571	1.0	1.176						
GCA_023429945.1	agree_clean	99.80006	3.293261	91.96	2.86	5659112.0	273.0	33239.0	52.155	16.125	0.000459	0.000253	42.17	23.536	15.0		0.0	bacteria	0.9176	1.0	1.0	2.0	1.0	1.0	0.3945	1.0	1.176						
GCA_023436885.1	agree_clean	98.7155	0.31206906	99.18	3.83	5431508.0	52.0	242212.0	61.83	0.0	0.002176	0.000417	0.303	99.512	2.0		0.0	bacteria	0.9765	2.0	2.0	2.0	2.0	2.0	0.7788	2.0	2.353						
GCA_023511995.1	agree_clean	99.906166	1.0385096	99.98	0.0	2507758.0	44.0	96876.0	65.259	0.697	0.001968	0.000179	4.009	95.294	4.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_023709145.1	agree_clean	99.9284	1.130709	97.74	1.84	2378870.0	73.0	75282.0	38.35	0.816	0.014328	0.009127	1.393	97.791	2.0		0.0	bacteria	0.9765	1.0	1.0	2.0	1.0	1.0	0.4	1.0	1.176						
GCA_024276305.1	agree_clean	99.69873	0.39054453	95.48	0.37	3545856.0	119.0	58584.0	63.329	8.215	0.000321	0.000162	40.388	34.513	10.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_025359005.1	agree_clean	99.59494	0.9408593	90.76	1.67	4160079.0	673.0	7837.0	63.935	16.8	0.00115	0.000679	10.368	65.041	12.0		0.0	bacteria	0.8471	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_026129125.1	agree_clean	92.2231	0.14104247	91.03	1.71	3102172.0	231.0	24576.0	70.113	5.669	0.000916	0.000429	27.59	49.107	11.0		0.0	bacteria	0.9176	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_026339155.1	agree_clean	99.963486	1.9103497	94.45	0.35	2706857.0	81.0	103071.0	46.618	4.595	0.000439	0.000192	13.401	67.451	5.0		0.0	bacteria	0.9765	1.0	1.0	2.0	1.0	1.0	0.354	1.0	1.176						
GCA_027315205.1	agree_clean	98.98157	2.2628756	99.91	0.09	1999789.0	42.0	158198.0	56.859	1.461	0.000391	8.5e-05	58.278	37.024	4.0		0.0	bacteria	0.9294	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_027404155.1	agree_clean	99.922005	0.46352744	100.0	2.81	3654244.0	40.0	193130.0	51.202	0.972	0.000548	7.7e-05	31.88	62.929	4.0		0.0	bacteria	0.9882	1.0	1.0	2.0	1.0	1.0	0.7483	1.0	1.176						
GCA_027421505.1	agree_clean	98.38318	0.033313036	95.93	1.64	2676550.0	100.0	51524.0	45.499	10.56	0.000307	0.000138	21.115	63.646	10.0		0.0	bacteria	0.9765	2.0	2.0	2.0	2.0	2.0	0.6703	2.0	2.353						
GCA_027457585.1	agree_clean	99.91	3.0813308	93.32	0.68	3984583.0	155.0	82672.0	54.89	5.462	0.000284	0.00015	30.467	34.152	11.0		0.0	bacteria	0.9647	1.0	1.0	2.0	1.0	1.0	0.3841	1.0	1.176						
GCA_027532385.1	agree_clean	99.80505	0.22369623	99.99	0.01	3062897.0	30.0	449267.0	65.455	0.312	0.0034	0.000361	0.057	98.064	2.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_028281345.1	agree_clean	99.8521	0.35874546	99.99	0.03	2495008.0	61.0	71107.0	48.349	1.45	0.000619	0.000186	8.766	88.446	6.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_029056385.1	agree_clean	99.87825	0.36754906	96.23	0.09	2919501.0	81.0	65470.0	48.994	1.853	0.000542	0.000258	13.425	65.686	7.0		0.0	bacteria	0.8706	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_030065935.1	agree_clean	99.95561	0.51608384	98.9	0.41	7020599.0	282.0	35571.0	37.847	7.716	0.000438	0.000217	19.603	62.221	8.0		0.0	bacteria	0.9882	1.0	1.0	2.0	1.0	1.0	0.7189	1.0	1.176						
GCA_030148245.1	agree_clean	99.70056	0.1368761	99.97	2.65	3529287.0	52.0	102498.0	67.979	0.0	0.018747	0.010193	0.0	100.0	1.0		0.0	bacteria	0.8941	1.0	1.0	2.0	1.0	1.0	0.7025	1.0	1.176						
GCA_030451785.1	agree_clean	99.769165	0.27025044	96.06	0.8	4824369.0	196.0	41285.0	58.579	0.0	0.023124	0.001792	0.0	100.0	1.0		0.0	bacteria	0.8941	1.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0						
GCA_030524455.1	agree_clean	99.94365	0.8457422	98.38	0.38	3269885.0	88.0	65343.0	55.415	2.355	0.000575	0.000177	28.54	57.524	8.0		0.0	bacteria	0.9765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_030622115.1	agree_clean	98.99671	1.3146847	100.0	1.44	2631142.0	98.0	59457.0	60.142	9.643	0.000247	0.000164	31.197	30.298	12.0		0.0	bacteria	0.9647	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_030655455.1	agree_clean	99.17057	0.29512942	100.0	1.97	4234421.0	28.0	206429.0	68.804	0.0	0.003681	0.001115	0.0	100.0	1.0		0.0	bacteria	0.9882	5.0	5.0	2.0	5.0	5.0	0.6829	5.0	5.882						
GCA_030696565.1	agree_clean	99.905014	0.22817254	97.45	1.58	3520058.0	234.0	27945.0	54.158	0.449	0.017595	0.013853	0.306	99.245	2.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_032054165.1	agree_clean	99.89798	0.18238425	100.0	1.1	4427851.0	145.0	56715.0	64.103	0.0	0.020287	0.003925	0.0	100.0	1.0		0.0	bacteria	0.9765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_032483655.1	agree_clean	94.7616	0.07972121	94.83	1.71	4345638.0	340.0	18106.0	55.3	0.0	0.023453	0.001296	0.0	100.0	1.0		0.0	bacteria	0.5412	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_034133345.1	agree_clean	99.916435	0.4997939	99.28	0.36	5048007.0	36.0	358176.0	43.275	0.0	0.021219	0.002886	0.0	100.0	1.0		0.0	bacteria	0.9412	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_035435265.1	agree_clean	99.974014	0.1416117	93.8	0.32	1922879.0	170.0	17174.0	49.565	29.123	0.000306	0.000299	41.443	24.572	12.0		0.0	bacteria	0.9647	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_035509275.1	agree_clean	99.91637	1.0528535	95.27	3.7	5989716.0	246.0	38385.0	67.027	0.637	0.0015	0.00035	4.829	90.753	5.0		0.0	bacteria	0.9882	4.0	4.0	2.0	4.0	4.0	0.8718	3.0	3.529						
GCA_035517775.1	agree_clean	99.811874	0.8485973	92.33	2.31	4468943.0	134.0	60760.0	61.095	3.344	0.000488	0.000183	34.681	41.17	10.0		0.0	bacteria	0.8706	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_035529375.1	agree_clean	99.881226	0.3369063	95.4	1.21	843625.0	19.0	129809.0	38.792	12.086	0.000257	0.000173	1.756	55.459	3.0		0.0	bacteria	0.7529	1.0	2.0	2.0	2.0	1.0	0.4933	1.0	1.176						
GCA_035547775.1	agree_clean	99.71328	0.4094243	93.56	0.08	893716.0	54.0	23565.0	50.738	18.715	0.000263	0.000226	37.048	30.907	7.0		0.0	bacteria	0.7176	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_035556475.1	agree_clean	99.93436	0.21564364	99.5	2.23	4333466.0	148.0	44559.0	65.522	0.719	0.003314	0.000446	0.748	98.21	4.0		0.0	bacteria	0.7529	1.0	1.0	2.0	1.0	1.0	0.7209	1.0	1.176						
GCA_035568395.1	agree_clean	96.22838	0.17223358	99.85	0.86	4066114.0	14.0	396014.0	44.495	0.0	0.000862	6.6e-05	0.0	100.0	1.0		0.0	bacteria	0.9882	4.0	4.0	2.0	4.0	4.0	0.9739	0.0	0.0						
GCA_036454225.1	agree_clean	99.78542	1.0749966	97.59	0.87	2109743.0	10.0	1153841.0	63.191	0.0	0.001799	0.00024	0.0	100.0	1.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_036481315.1	agree_clean	99.848206	4.837048	94.22	2.83	3343458.0	265.0	18318.0	47.033	41.842	0.000188	0.000238	31.683	15.89	16.0		0.0	bacteria	0.9059	1.0	1.0	2.0	1.0	1.0	0.6007	1.0	1.176						
GCA_036501045.1	agree_clean	99.03834	0.15933216	96.23	4.94	5770505.0	408.0	23848.0	58.176	19.577	0.000319	0.000257	27.069	33.189	16.0		0.0	bacteria	0.9647	4.0	4.0	2.0	4.0	4.0	0.9835	1.0	1.176						
GCA_036504555.1	agree_clean	98.95835	1.3138026	98.43	4.3	5244749.0	322.0	27353.0	42.677	17.118	0.000377	0.000273	26.407	42.714	13.0		0.0	bacteria	0.9412	3.0	3.0	2.0	3.0	3.0	0.693	2.0	2.353						
GCA_036550795.1	agree_clean	99.976074	1.888445	98.09	0.0	2239824.0	92.0	50302.0	53.598	7.054	0.00124	0.00057	28.191	54.282	8.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_036718835.1	agree_clean	99.95636	0.114783645	99.9	0.22	1886076.0	23.0	113439.0	53.774	0.453	0.000613	0.000134	21.425	72.49	4.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_036753785.1	agree_clean	99.899376	0.050216913	97.42	2.01	2400617.0	186.0	17242.0	50.648	23.216	0.000478	0.000286	30.027	31.239	11.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_036797105.1	agree_clean	99.767784	1.7726988	99.64	0.87	1101585.0	18.0	915683.0	46.927	4.532	0.000492	4.9e-05	12.344	83.124	5.0		0.0	bacteria	0.8824	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_037235235.1	agree_clean	95.9298	0.3533095	98.8	2.7	1312561.0	70.0	43316.0	27.832	6.109	0.000547	0.000242	39.359	43.957	6.0		0.0	bacteria	0.9059	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_037250815.1	agree_clean	99.92105	0.13597906	94.0	0.69	1829810.0	158.0	17246.0	57.388	16.056	0.000591	0.000345	40.281	35.069	7.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_037293335.1	agree_clean	99.86314	0.56798756	91.57	3.12	2628091.0	677.0	5370.0	48.177	55.316	0.000614	0.001112	17.838	23.604	15.0		0.0	bacteria	0.8353	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_037444405.1	agree_clean	99.84654	0.12230277	98.9	1.44	2683681.0	40.0	159462.0	62.509	1.882	0.000465	9.4e-05	19.232	71.424	9.0		0.0	bacteria	0.9765	1.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0						
GCA_038108155.1	agree_clean	99.55616	1.2274146	96.82	4.03	2268489.0	139.0	37573.0	30.682	10.384	0.000605	0.000268	13.046	64.89	8.0		0.0	bacteria	0.9412	2.0	4.0	3.0	6.0	6.0	0.4643	4.0	2.353						
GCA_038115005.1	agree_clean	99.80975	0.07035136	92.73	4.3	2441315.0	326.0	12712.0	53.874	24.869	0.000601	0.000412	8.778	57.815	9.0		0.0	bacteria	0.8941	1.0	1.0	2.0	1.0	1.0	0.96	0.0	0.0						
GCA_039200565.1	agree_clean	99.252914	3.7528992	94.21	1.14	7507890.0	560.0	18074.0	37.453	8.254	0.000942	0.000502	6.506	81.376	10.0		0.0	bacteria	0.8941	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_039630445.1	agree_clean	99.94539	0.008496642	97.33	1.29	2714412.0	190.0	20812.0	60.154	19.582	0.000356	0.000267	33.624	30.011	17.0		0.0	bacteria	0.9647	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_039810665.1	agree_clean	94.19679	1.1067986	95.97	0.26	3644877.0	83.0	98396.0	34.437	3.166	0.000365	0.000128	46.69	23.96	8.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_040506335.1	agree_clean	99.90329	0.30725896	100.0	0.8	4501209.0	136.0	60491.0	52.531	0.828	0.007573	0.006687	1.203	97.796	2.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_041241435.1	agree_clean	92.59628	0.4394263	96.95	3.33	2773499.0	177.0	21694.0	66.294	5.981	0.00085	0.00035	17.659	64.8	7.0		0.0	bacteria	0.9176	3.0	3.0	2.0	3.0	3.0	0.9455	0.0	0.0						
GCA_041329955.1	agree_clean	99.941864	0.8534223	91.86	0.21	2874844.0	27.0	181901.0	54.678	0.0	0.018591	0.001218	0.0	100.0	1.0		0.0	bacteria	0.9529	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_041331335.1	agree_clean	99.89093	0.7070601	99.99	0.45	2241931.0	4.0	776145.0	56.454	0.0	0.019885	0.004213	0.0	100.0	1.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_041674285.1	agree_clean	97.67197	4.211256	96.4	0.02	813783.0	13.0	87594.0	38.048	0.0	0.000239	0.000138	13.364	14.8	4.0		0.0	bacteria	0.7294	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_041686735.1	agree_clean	99.933914	1.5553355	100.0	0.79	3471147.0	92.0	61289.0	44.709	5.347	0.000496	0.000169	12.45	71.371	7.0		0.0	bacteria	1.0	1.0	1.0	2.0	1.0	1.0	0.3502	1.0	1.176						
GCA_041742335.1	agree_clean	99.82855	0.10266602	94.68	0.29	4527968.0	116.0	60890.0	57.565	0.731	0.001579	0.000207	1.205	96.845	4.0		0.0	bacteria	0.8824	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_041855225.1	agree_clean	99.9707	0.06979108	94.25	1.15	1980962.0	85.0	42329.0	43.315	9.394	0.000306	0.000193	31.757	31.967	7.0		0.0	bacteria	0.9882	2.0	2.0	2.0	2.0	2.0	0.7264	2.0	2.353						
GCA_043425335.1	agree_clean	95.39992	1.4171749	96.54	4.58	2360436.0	255.0	14227.0	41.802	22.647	0.000756	0.000549	16.453	53.818	9.0		0.0	bacteria	0.9647	6.0	7.0	3.0	8.0	8.0	0.6939	8.0	7.059						
GCA_044343935.1	agree_clean	91.00907	0.02528727	95.01	0.31	1378459.0	37.0	55468.0	46.0	5.52	0.000332	0.000128	43.312	35.605	4.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_045430285.1	agree_clean	99.64133	1.1031777	92.67	0.01	4040293.0	10.0	762379.0	45.366	0.032	0.000509	2.6e-05	0.0	99.461	1.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_045540655.1	agree_clean	90.1372	3.4597933	94.05	1.87	1983668.0	138.0	21744.0	55.729	16.96	0.000505	0.000283	43.428	26.988	8.0		0.0	bacteria	0.9647	2.0	2.0	2.0	2.0	2.0	0.8663	2.0	2.353						
GCA_045565895.1	agree_clean	99.87995	0.18611848	99.97	0.05	1732532.0	11.0	241815.0	35.377	0.0	0.018149	0.000991	0.0	100.0	1.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_045644425.1	agree_clean	92.67854	1.4901161e-05	94.97	0.09	2429506.0	49.0	95205.0	46.371	5.88	0.000209	0.000107	19.506	43.193	6.0		0.0	bacteria	0.9765	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_046080885.1	agree_clean	99.28527	1.132217	98.77	0.08	1797015.0	40.0	66323.0	41.079	7.986	0.00042	0.000157	5.044	76.235	3.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_046093905.1	agree_clean	93.80839	3.0603023	92.35	4.59	2795881.0	464.0	8765.0	59.436	41.921	0.000427	0.000489	22.745	26.212	18.0		0.0	bacteria	0.9176	1.0	1.0	2.0	1.0	1.0	0.5192	1.0	1.176						
GCA_046305415.1	agree_clean	99.82922	0.34699738	92.77	2.83	3454779.0	756.0	6630.0	66.957	39.881	0.000563	0.000633	29.298	20.77	20.0		0.0	bacteria	0.8588	0.0	1.0	2.0	1.0	0.0		0.0	0.0						
GCA_046309535.1	agree_clean	90.34622	0.14740825	99.89	0.26	4794609.0	434.0	16839.0	42.269	0.951	0.005126	0.003929	0.414	98.548	2.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
