accession	domain	family	n_copies	n_pairs_total	n_pairs_valid	n_pairs_diff_contig	mean_pairwise_identity	min_pairwise_identity	survives_split_gene_control	contigs	cohort
GCA_030655455.1	bacteria	Ribosomal_S9	2	1	1	1	0.719	0.719	True	JAURVO010000009.1;JAURVO010000018.1	agree_clean
GCA_030655455.1	bacteria	rplM_bact	2	1	1	1	0.6343	0.6343	True	JAURVO010000009.1;JAURVO010000018.1	agree_clean
GCA_030655455.1	bacteria	rpoB	2	1	1	1	0.7469	0.7469	True	JAURVO010000017.1;JAURVO010000025.1	agree_clean
GCA_035529375.1	bacteria	S20	2	1	1	1	0.4933	0.4933	True	DATKWU010000008.1;DATKWU010000009.1	agree_clean
GCA_035529375.1	bacteria	infC	2	1	0	0			False	DATKWU010000002.1;DATKWU010000003.1	agree_clean
GCA_031969975.1	bacteria	IF-2	2	1	1	1	0.7853	0.7853	True	DALYJI010000019.1;DALYJI010000020.1	disagreement_141
GCA_031969975.1	bacteria	infC	3	3	3	3	0.5175	0.3985	True	DALYJI010000094.1;DALYJI010000279.1;DALYJI010000485.1	disagreement_141
GCA_035509275.1	bacteria	rpoA	2	1	1	1	0.9	0.9	True	DATJLU010000010.1;DATJLU010000090.1	agree_clean
GCA_035509275.1	bacteria	secG	2	1	1	1	0.6522	0.6522	True	DATJLU010000075.1;DATJLU010000140.1	agree_clean
GCA_035509275.1	bacteria	uS11_bact	2	1	1	1	0.8718	0.8718	True	DATJLU010000090.1;DATJLU010000228.1	agree_clean
GCA_035509275.1	bacteria	uS13_bact	2	1	1	1	0.7946	0.7946	True	DATJLU010000090.1;DATJLU010000228.1	agree_clean
GCA_035556475.1	bacteria	rpmH_bact	2	1	1	1	0.7209	0.7209	True	DATMFA010000017.1;DATMFA010000110.1	agree_clean
GCA_036481315.1	bacteria	ruvB	2	1	1	1	0.6007	0.6007	True	JAZGHS010000046.1;JAZGHS010000080.1	agree_clean
GCA_035568395.1	bacteria	Ribosomal_S9	2	1	1	1	0.9587	0.9587	True	DATMOF010000003.1;DATMOF010000012.1	agree_clean
GCA_035568395.1	bacteria	rpsB_bact	2	1	1	1	0.9481	0.9481	True	DATMOF010000003.1;DATMOF010000012.1	agree_clean
GCA_035568395.1	bacteria	rpsG_bact	2	1	1	1	0.9739	0.9739	True	DATMOF010000003.1;DATMOF010000011.1	agree_clean
GCA_035568395.1	bacteria	rpsL_bact	2	1	1	1	1.0	1.0	True	DATMOF010000003.1;DATMOF010000011.1	agree_clean
GCA_036387965.1	bacteria	RNAse_H_YqgF	2	1	1	1	0.4225	0.4225	True	DASVST010000181.1;DASVST010000268.1	disagreement_141
GCA_036387965.1	bacteria	uS11_bact	2	1	1	1	0.9722	0.9722	True	DASVST010000107.1;DASVST010000216.1	disagreement_141
GCA_036638955.1	bacteria	hisS	2	1	1	1	0.5088	0.5088	True	JAVWJO010000015.1;JAVWJO010000033.1	disagreement_141
GCA_036501045.1	bacteria	S16	2	1	1	1	0.5753	0.5753	True	DASYAX010000046.1;DASYAX010000214.1	agree_clean
GCA_036501045.1	bacteria	rpsD_bact	2	1	1	1	0.9835	0.9835	True	DASYAX010000116.1;DASYAX010000129.1	agree_clean
GCA_036501045.1	bacteria	uS11_bact	2	1	1	1	0.9915	0.9915	True	DASYAX010000116.1;DASYAX010000129.1	agree_clean
GCA_036501045.1	bacteria	uS13_bact	2	1	1	1	0.9646	0.9646	True	DASYAX010000116.1;DASYAX010000129.1	agree_clean
GCA_037143955.1	bacteria	L17	2	1	1	1	0.5596	0.5596	True	JBAWXR010000050.1;JBAWXR010000153.1	disagreement_141
GCA_037143955.1	bacteria	PGK	2	1	0	0			False	JBAWXR010000030.1;JBAWXR010000213.1	disagreement_141
GCA_037143955.1	bacteria	TIGR00152	2	1	1	1	0.4551	0.4551	True	JBAWXR010000030.1;JBAWXR010000303.1	disagreement_141
GCA_037143955.1	bacteria	nusG	2	1	1	1	0.6893	0.6893	True	JBAWXR010000016.1;JBAWXR010000275.1	disagreement_141
GCA_037143955.1	bacteria	rpoA	2	1	1	1	0.5298	0.5298	True	JBAWXR010000050.1;JBAWXR010000153.1	disagreement_141
GCA_037143955.1	bacteria	rpsD_bact	2	1	1	1	0.5735	0.5735	True	JBAWXR010000050.1;JBAWXR010000153.1	disagreement_141
GCA_037143955.1	bacteria	rpsG_bact	2	1	1	1	0.7987	0.7987	True	JBAWXR010000037.1;JBAWXR010000290.1	disagreement_141
GCA_037143955.1	bacteria	rpsL_bact	2	1	1	1	0.8537	0.8537	True	JBAWXR010000037.1;JBAWXR010000290.1	disagreement_141
GCA_037143955.1	bacteria	secE_bact	2	1	1	1	0.6364	0.6364	True	JBAWXR010000016.1;JBAWXR010000275.1	disagreement_141
GCA_037143955.1	bacteria	uS11_bact	2	1	1	1	0.6581	0.6581	True	JBAWXR010000050.1;JBAWXR010000153.1	disagreement_141
GCA_037143955.1	bacteria	uS13_bact	2	1	1	1	0.5841	0.5841	True	JBAWXR010000050.1;JBAWXR010000153.1	disagreement_141
GCA_036504555.1	bacteria	L3_bact	2	1	1	1	0.675	0.675	True	DASXUZ010000162.1;DASXUZ010000243.1	agree_clean
GCA_036504555.1	bacteria	rplD_bact	2	1	1	1	0.693	0.693	True	DASXUZ010000162.1;DASXUZ010000243.1	agree_clean
GCA_036504555.1	bacteria	rpsJ_bact	2	1	1	1	0.9697	0.9697	True	DASXUZ010000162.1;DASXUZ010000243.1	agree_clean
GCA_038108155.1	bacteria	S20	3	3	3	3	0.5316	0.321	True	JAYNHP010000002.1;JAYNHP010000089.1;JAYNHP010000139.1	agree_clean
GCA_038108155.1	bacteria	smpB	3	3	3	3	0.605	0.45	True	JAYNHP010000021.1;JAYNHP010000089.1;JAYNHP010000123.1	agree_clean
GCA_037444405.1	bacteria	S16	2	1	1	1	1.0	1.0	True	JBBIML010000003.1;JBBIML010000009.1	agree_clean
GCA_038115005.1	bacteria	rpsJ_bact	2	1	1	1	0.96	0.96	True	JAYNRZ010000029.1;JAYNRZ010000085.1	agree_clean
GCA_038246785.1	bacteria	S6	2	1	1	1	0.6883	0.6883	True	JBBRVP010000049.1;JBBRVP010000072.1	disagreement_141
GCA_041241435.1	bacteria	infC	2	1	1	1	0.9455	0.9455	True	JBERZM010000037.1;JBERZM010000149.1	agree_clean
GCA_041241435.1	bacteria	rplT_bact	2	1	1	1	0.9469	0.9469	True	JBERZM010000037.1;JBERZM010000149.1	agree_clean
GCA_041241435.1	bacteria	rpmI_bact	2	1	1	1	0.9138	0.9138	True	JBERZM010000037.1;JBERZM010000149.1	agree_clean
GCA_041241815.1	bacteria	L9	2	1	1	1	0.2828	0.2828	True	JBESAC010000018.1;JBESAC010000037.1	disagreement_141
GCA_041241815.1	bacteria	S6	2	1	1	1	0.3	0.3	True	JBESAC010000018.1;JBESAC010000037.1	disagreement_141
GCA_041655595.1	bacteria	L11_bact	2	1	1	1	0.9854	0.9854	True	JBBAFB010000049.1;JBBAFB010000152.1	disagreement_141
GCA_041655595.1	bacteria	L12	2	1	1	1	0.9839	0.9839	True	JBBAFB010000049.1;JBBAFB010000152.1	disagreement_141
GCA_041655595.1	bacteria	Ribosomal_L10	2	1	1	1	0.9072	0.9072	True	JBBAFB010000049.1;JBBAFB010000152.1	disagreement_141
GCA_041655595.1	bacteria	rplA_bact	2	1	1	1	0.9511	0.9511	True	JBBAFB010000049.1;JBBAFB010000152.1	disagreement_141
GCA_041686735.1	bacteria	ileS	2	1	1	1	0.3502	0.3502	True	JAWLDF010000001.1;JAWLDF010000005.1	agree_clean
GCA_043425335.1	bacteria	L9	2	1	1	1	0.6939	0.6939	True	JBHWQB010000182.1;JBHWQB010000206.1	agree_clean
GCA_043425335.1	bacteria	Ribosomal_L10	3	3	3	3	0.6999	0.6452	True	JBHWQB010000088.1;JBHWQB010000135.1;JBHWQB010000160.1	agree_clean
GCA_043425335.1	bacteria	S6	2	1	1	1	0.5957	0.5957	True	JBHWQB010000206.1;JBHWQB010000220.1	agree_clean
GCA_043425335.1	bacteria	TIGR00043	2	1	1	1	0.5065	0.5065	True	JBHWQB010000002.1;JBHWQB010000176.1	agree_clean
GCA_043425335.1	bacteria	frr	2	1	1	1	0.7069	0.7069	True	JBHWQB010000057.1;JBHWQB010000107.1	agree_clean
GCA_043425335.1	bacteria	pyrH_bact	2	1	1	1	0.7149	0.7149	True	JBHWQB010000057.1;JBHWQB010000107.1	agree_clean
GCA_041855225.1	bacteria	3a0501s007	2	1	1	1	0.7264	0.7264	True	JBHADV010000002.1;JBHADV010000084.1	agree_clean
GCA_041855225.1	bacteria	rplO_bact	2	1	1	1	0.6783	0.6783	True	JBHADV010000002.1;JBHADV010000084.1	agree_clean
GCA_043813215.1	bacteria	serS	2	1	1	1	0.6053	0.6053	True	JBDRLH010000038.1;JBDRLH010000040.1	disagreement_141
GCA_043747205.1	bacteria	infC	2	1	1	1	0.8824	0.8824	True	JAYTPO010000062.1;JAYTPO010000237.1	disagreement_141
GCA_043747205.1	bacteria	pheT_bact	2	1	1	1	0.9746	0.9746	True	JAYTPO010000108.1;JAYTPO010000109.1	disagreement_141
GCA_043747205.1	bacteria	rplT_bact	3	3	3	3	0.9415	0.9123	True	JAYTPO010000055.1;JAYTPO010000062.1;JAYTPO010000237.1	disagreement_141
GCA_043747205.1	bacteria	rpmI_bact	3	3	3	3	0.9665	0.9492	True	JAYTPO010000055.1;JAYTPO010000062.1;JAYTPO010000237.1	disagreement_141
GCA_043747205.1	bacteria	rpsG_bact	2	1	1	1	0.9551	0.9551	True	JAYTPO010000156.1;JAYTPO010000275.1	disagreement_141
GCA_043747205.1	bacteria	rpsL_bact	2	1	1	1	1.0	1.0	True	JAYTPO010000156.1;JAYTPO010000275.1	disagreement_141
GCA_045540655.1	bacteria	guanyl_kin	2	1	1	1	0.3636	0.3636	True	JAZQHP010000030.1;JAZQHP010000076.1	agree_clean
GCA_045540655.1	bacteria	rpoB	2	1	1	1	0.8663	0.8663	True	JAZQHP010000081.1;JAZQHP010000083.1	agree_clean
GCA_044344765.1	bacteria	fmt	2	1	1	1	0.6928	0.6928	True	JBIJCJ010000044.1;JBIJCJ010000133.1	disagreement_141
GCA_046093905.1	bacteria	secE_bact	2	1	1	1	0.5192	0.5192	True	JBJTGN010000077.1;JBJTGN010000099.1	agree_clean
GCA_046305415.1	bacteria	PGK	2	1	0	0			False	JBKCCK010000016.1;JBKCCK010000545.1	agree_clean
GCA_046302235.1	bacteria	L21	2	1	1	1	0.7869	0.7869	True	JBKCIO010000233.1;JBKCIO010000469.1	disagreement_141
GCA_046302235.1	bacteria	L27	2	1	1	1	0.8929	0.8929	True	JBKCIO010000233.1;JBKCIO010000469.1	disagreement_141
GCA_046302235.1	bacteria	TIGR00043	2	1	1	1	0.918	0.918	True	JBKCIO010000184.1;JBKCIO010000293.1	disagreement_141
GCA_046952625.1	bacteria	TIGR00006	2	1	1	1	0.3621	0.3621	True	JBKUJO010000001.1;JBKUJO010000007.1	agree_clean
GCA_046994035.1	bacteria	TIGR00006	2	1	1	1	0.3507	0.3507	True	JBKXCZ010000014.1;JBKXCZ010000015.1	agree_clean
GCA_046994035.1	bacteria	ruvB	2	1	1	1	0.4899	0.4899	True	JBKXCZ010000008.1;JBKXCZ010000015.1	agree_clean
GCA_046757765.1	bacteria	PGK	2	1	1	1	0.5491	0.5491	True	JBHHYX010000030.1;JBHHYX010000452.1	disagreement_141
GCA_046757765.1	bacteria	TIGR00006	2	1	1	1	0.6073	0.6073	True	JBHHYX010000025.1;JBHHYX010000528.1	disagreement_141
GCA_046757765.1	bacteria	secG	2	1	1	1	0.6571	0.6571	True	JBHHYX010000030.1;JBHHYX010000452.1	disagreement_141
GCA_046160275.1	bacteria	NusA	2	1	1	1	0.5503	0.5503	True	JBJXHA010000174.1;JBJXHA010000761.1	disagreement_141
GCA_048319185.1	bacteria	TIGR00006	2	1	1	1	0.3772	0.3772	True	DBFEAJ010000002.1;DBFEAJ010000016.1	agree_clean
GCA_048428545.1	bacteria	RNAse_H_YqgF	2	1	1	1	0.8538	0.8538	True	DBFOQF010000001.1;DBFOQF010000101.1	disagreement_141
GCA_048428545.1	bacteria	alaS	2	1	1	1	0.9121	0.9121	True	DBFOQF010000001.1;DBFOQF010000101.1	disagreement_141
GCA_049510975.1	bacteria	PGK	2	1	1	1	0.4081	0.4081	True	JBEKYM010000007.1;JBEKYM010000011.1	agree_clean
GCA_049510975.1	bacteria	ileS	2	1	1	1	0.4405	0.4405	True	JBEKYM010000001.1;JBEKYM010000006.1	agree_clean
GCA_049510975.1	bacteria	secE_bact	2	1	1	0	0.8571	0.8571	True	JBEKYM010000003.1	agree_clean
GCA_049840515.1	bacteria	RNAse_H_YqgF	2	1	0	0			False	JASGKW010000019.1	disagreement_141
GCA_049840515.1	bacteria	TIGR00006	2	1	1	1	0.3793	0.3793	True	JASGKW010000002.1;JASGKW010000011.1	disagreement_141
GCA_049581465.1	bacteria	PGK	2	1	0	0			False	JBAUSA010000455.1;JBAUSA010000758.1	agree_clean
GCA_051656445.1	bacteria	Ribosomal_S9	2	1	0	0			False	JBOGBX010000326.1;JBOGBX010000344.1	disagreement_141
GCA_049324695.1	bacteria	PGK	2	1	1	1	0.3777	0.3777	True	JBMOMJ010000016.1;JBMOMJ010000039.1	disagreement_141
GCA_052271025.1	bacteria	TIGR00006	2	1	1	1	0.3621	0.3621	True	DAVZMT010000015.1;DAVZMT010000051.1	agree_clean
GCA_054040315.1	bacteria	hisS	2	1	1	1	0.3316	0.3316	True	JBPKZF010000012.1;JBPKZF010000029.1	disagreement_141
GCA_051270635.1	bacteria	TIGR00006	2	1	1	1	0.3825	0.3825	True	JBNMNB010000018.1;JBNMNB010000142.1	disagreement_141
GCA_053492575.1	bacteria	hisS	2	1	1	1	0.3358	0.3358	True	JBRCBR010000089.1;JBRCBR010000134.1	agree_clean
GCA_900540455.1	bacteria	Ribosomal_S9	2	1	0	0			False	UQGD01000017.1;UQGD01000058.1	agree_clean
GCA_900540455.1	bacteria	alaS	2	1	1	1	0.5631	0.5631	True	UQGD01000010.1;UQGD01000012.1	agree_clean
GCA_900768675.1	bacteria	3a0501s007	2	1	1	1	0.723	0.723	True	CAAGDT010000017.1;CAAGDT010000177.1	agree_clean
GCA_900768675.1	bacteria	L18_bact	2	1	1	1	0.7857	0.7857	True	CAAGDT010000017.1;CAAGDT010000177.1	agree_clean
GCA_900768675.1	bacteria	L29	2	1	1	1	0.8214	0.8214	True	CAAGDT010000017.1;CAAGDT010000177.1	agree_clean
GCA_900768675.1	bacteria	L6_bact	2	1	1	1	0.8	0.8	True	CAAGDT010000017.1;CAAGDT010000177.1	agree_clean
GCA_900768675.1	bacteria	Ribosomal_L5	2	1	1	1	0.8246	0.8246	True	CAAGDT010000017.1;CAAGDT010000177.1	agree_clean
GCA_900768675.1	bacteria	Ribosomal_S8	2	1	1	1	0.8672	0.8672	True	CAAGDT010000017.1;CAAGDT010000177.1	agree_clean
GCA_900768675.1	bacteria	ksgA	2	1	1	1	0.9781	0.9781	True	CAAGDT010000112.1;CAAGDT010000250.1	agree_clean
GCA_900768675.1	bacteria	rplN_bact	2	1	1	1	0.9344	0.9344	True	CAAGDT010000017.1;CAAGDT010000177.1	agree_clean
GCA_900768675.1	bacteria	rplO_bact	2	1	1	1	0.7832	0.7832	True	CAAGDT010000017.1;CAAGDT010000177.1	agree_clean
GCA_900768675.1	bacteria	rplP_bact	2	1	1	1	0.9127	0.9127	True	CAAGDT010000017.1;CAAGDT010000177.1	agree_clean
GCA_900768675.1	bacteria	rplV_bact	2	1	1	1	0.8155	0.8155	True	CAAGDT010000017.1;CAAGDT010000177.1	agree_clean
GCA_900768675.1	bacteria	rplX_bact	2	1	1	1	0.76	0.76	True	CAAGDT010000017.1;CAAGDT010000177.1	agree_clean
GCA_900768675.1	bacteria	rpsC_bact	2	1	1	1	0.8286	0.8286	True	CAAGDT010000017.1;CAAGDT010000177.1	agree_clean
GCA_900768675.1	bacteria	rpsE_bact	2	1	1	1	0.9286	0.9286	True	CAAGDT010000017.1;CAAGDT010000177.1	agree_clean
GCA_900768675.1	bacteria	uS17_bact	2	1	1	1	0.9167	0.9167	True	CAAGDT010000017.1;CAAGDT010000177.1	agree_clean
GCA_902483105.1	bacteria	dnaG	2	1	1	1	0.3341	0.3341	True	CABTBY010000007.1;CABTBY010000018.1	agree_clean
GCA_903852135.1	bacteria	RNAse_H_YqgF	2	1	1	1	0.9694	0.9694	True	CAINQE010000163.1;CAINQE010000211.1	disagreement_141
GCA_903878475.1	bacteria	PGK	2	1	1	1	0.7676	0.7676	True	CAIRHQ010000213.1;CAIRHQ010000243.1	agree_clean
GCA_903898695.1	bacteria	TIGR00006	2	1	1	1	0.3542	0.3542	True	CAIUGK010000013.1;CAIUGK010000043.1	disagreement_141
GCA_903908245.1	bacteria	TIGR00006	2	1	1	1	0.3737	0.3737	True	CAIVRE010000011.1;CAIVRE010000018.1	agree_clean
GCA_905198135.1	bacteria	dnaG	2	1	1	1	0.3359	0.3359	True	CAJKBM010000008.1;CAJKBM010000011.1	agree_clean
GCA_903887525.1	bacteria	rpsJ_bact	2	1	1	1	0.6531	0.6531	True	CAISQC010000113.1;CAISQC010000166.1	agree_clean
GCA_910577175.1	bacteria	rpoA	2	1	1	1	0.8243	0.8243	True	CAJTLU010000016.1;CAJTLU010000025.1	agree_clean
GCA_910577175.1	bacteria	rpsD_bact	2	1	1	1	0.733	0.733	True	CAJTLU010000016.1;CAJTLU010000025.1	agree_clean
GCA_910577175.1	bacteria	uS11_bact	2	1	1	1	0.9231	0.9231	True	CAJTLU010000016.1;CAJTLU010000025.1	agree_clean
GCA_910577175.1	bacteria	uS13_bact	2	1	1	1	0.8142	0.8142	True	CAJTLU010000016.1;CAJTLU010000025.1	agree_clean
GCA_910577855.1	bacteria	TIGR00006	2	1	1	1	0.3741	0.3741	True	CAJTNQ010000007.1;CAJTNQ010000057.1	agree_clean
GCA_903948385.1	bacteria	PGK	2	1	0	0			False	CAJAYP010000002.1;CAJAYP010000320.1	agree_clean
GCA_903948385.1	bacteria	rpoB	2	1	0	0			False	CAJAYP010000150.1;CAJAYP010000535.1	agree_clean
GCA_934294665.1	bacteria	leuS_bact	2	1	1	1	0.4699	0.4699	True	CAKRAD010000007.1;CAKRAD010000013.1	agree_clean
GCA_934876215.1	bacteria	TIGR00006	2	1	1	1	0.4231	0.4231	True	CAKXKJ010000002.1;CAKXKJ010000021.1	agree_clean
GCA_937897955.1	bacteria	L21	2	1	1	1	0.9394	0.9394	True	CALCOT010000083.1;CALCOT010000143.1	disagreement_141
GCA_938038695.1	bacteria	guanyl_kin	2	1	1	1	0.4663	0.4663	True	CALHTG010000015.1;CALHTG010000087.1	disagreement_141
GCA_944324785.1	bacteria	guanyl_kin	2	1	1	1	0.4078	0.4078	True	CALUXQ010000007.1;CALUXQ010000033.1	agree_clean
GCA_945881845.1	bacteria	PGK	2	1	1	1	0.9521	0.9521	True	CAMCVN010000004.1;CAMCVN010000019.1	disagreement_141
GCA_946415095.1	bacteria	TIGR00006	2	1	1	1	0.3414	0.3414	True	CAMKRC010000001.1;CAMKRC010000019.1	agree_clean
GCA_947061575.1	bacteria	rpsB_bact	2	1	0	0			False	CAMSNW010000015.1;CAMSNW010000029.1	agree_clean
GCA_947085045.1	bacteria	S15_bact	2	1	1	1	0.869	0.869	True	CAMTUU010000002.1;CAMTUU010000013.1	disagreement_141
GCA_947378535.1	bacteria	TIGR00006	2	1	1	1	0.9617	0.9617	True	CANCKI010000114.1;CANCKI010000171.1	agree_clean
