genome	taxid	ref_len	ref_len_source	fasta_basename	cami_novelty_category	sci_name	tax_species	tax_genus	tax_family	tax_order	tax_class	tax_phylum
Otu116.0	2745	5643878	fai	Halomonas_sp_A3H3_genomic	known_strain	Halomonas		Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota
Otu1160	1547283	4361276	fai	Bacillus_sp_Alg07_genomic	known_strain	Bacillus weihaiensis	Bacillus weihaiensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Bacillota
Otu1168.0	1453352	3569807	fai	Sediminicola_sp_YIK13_genomic	known_strain	Sediminicola sp. YIK13	Sediminicola sp. YIK13	Sediminicola	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
Otu1179.0	314275	4947126	fai	Alteromonas_macleodii_AltDE1_genomic	known_strain	Alteromonas mediterranea	Alteromonas mediterranea	Alteromonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu1179.1	226	4721861	fai	Alteromonas_stellipolaris_strain_PQQ-44_genomic	known_strain	Alteromonas		Alteromonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu1180.0	28108	4674885	fai	Alteromonas_macleodii_str_Balearic_Sea_AD45_genomic	known_strain	Alteromonas macleodii	Alteromonas macleodii	Alteromonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu1182	1346	2149844	fai	Streptococcus_iniae_SF1_genomic	known_strain	Streptococcus iniae	Streptococcus iniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
Otu1184	52133	3544508	fai	Acinetobacter_venetianus_VE-C3_genomic	known_strain	Acinetobacter venetianus	Acinetobacter venetianus	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Pseudomonadota
Otu1186	70864	5174581	fai	Shewanella_pealeana_ATCC_700345_genomic	known_strain	Shewanella pealeana	Shewanella pealeana	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu1187	43657	6221248	fai	Pseudoalteromonas_luteoviolacea_strain_S4054_genomic	known_strain	Pseudoalteromonas luteoviolacea	Pseudoalteromonas luteoviolacea	Pseudoalteromonas	Pseudoalteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu119.0	28108	4653851	fai	Alteromonas_macleodii_ATCC_27126_genomic	known_strain	Alteromonas macleodii	Alteromonas macleodii	Alteromonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu119.1	28108	4480507	fai	Alteromonas_macleodii_str_Black_Sea_11_genomic	known_strain	Alteromonas macleodii	Alteromonas macleodii	Alteromonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu1191	1462	3592666	fai	Geobacillus_kaustophilus_HTA426_genomic	known_strain	Geobacillus kaustophilus	Geobacillus kaustophilus	Geobacillus	Anoxybacillaceae	Bacillales	Bacilli	Bacillota
Otu1193	64160	1541968	fai	Desulfurobacterium_thermolithotrophum_DSM_11699_genomic	known_strain	Desulfurobacterium thermolithotrophum	Desulfurobacterium thermolithotrophum	Desulfurobacterium	Desulfurobacteriaceae	Desulfurobacteriales	Aquificia	Aquificota
Otu1196	511678	3902994	fai	A-H130426-2_S6_contigs	new_species	Aliivibrio		Aliivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu12.0	84980	3659634	fai	Desulfotalea_psychrophila_LSv54_genomic	known_strain	Desulfotalea psychrophila	Desulfotalea psychrophila	Desulfotalea	Desulfocapsaceae	Desulfobulbales	Desulfobulbia	Thermodesulfobacteriota
Otu1200.0	400668	5100344	fai	Marinomonas_sp_MWYL1_genomic	known_strain	Marinomonas sp. MWYL1	Marinomonas sp. MWYL1	Marinomonas	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota
Otu1204	1737403	1118574	fai	Nanohaloarchaea_archaeon_SG9_genomic	known_strain	Nanohaloarchaea archaeon SG9	Nanohaloarchaea archaeon SG9				Candidatus Nanohaloarchaea	Methanobacteriota
Otu1209	80852	4655067	fai	A-Hdes-12_S11_contigs	new_strain	Aliivibrio wodanis	Aliivibrio wodanis	Aliivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1219	62322	5547544	fai	Shewanella_baltica_OS195_genomic	new_strain	Shewanella baltica	Shewanella baltica	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu122.0	159346	3555109	fai	Roseibacterium_elongatum_DSM_19469_genomic	known_strain	Roseicyclus elongatus	Roseicyclus elongatus	Roseicyclus	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota
Otu122.1	1920883	3147211	fai	Donghicola_sp_JLT3646_genomic	known_strain	Marivivens sp. JLT3646	Marivivens sp. JLT3646	Marivivens	Paracoccaceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota
Otu1221	585423	2585813	fai	Synechococcus_sp_KORDI-49_genomic	known_strain	Synechococcus sp. KORDI-49	Synechococcus sp. KORDI-49	Synechococcus	Synechococcaceae	Synechococcales	Cyanophyceae	Cyanobacteriota
Otu1224	35746	3918454	fai	Haloferax_gibbonsii_strain_ARA6_genomic	known_strain	Haloferax gibbonsii	Haloferax gibbonsii	Haloferax	Haloferacaceae	Halobacteriales	Halobacteria	Methanobacteriota
Otu1225	62322	5009503	fai	MC4_S2_contigs	new_strain	Shewanella baltica	Shewanella baltica	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu1227	129337	3442724	fai	Geobacillus_sp_12AMOR1_genomic	known_strain	Geobacillus		Geobacillus	Anoxybacillaceae	Bacillales	Bacilli	Bacillota
Otu123.0	1076588	3153637	fai	Thiolapillus_brandeum_Hiromi_1_genomic	known_strain	Thiolapillus brandeum	Thiolapillus brandeum	Thiolapillus	Sedimenticolaceae	Chromatiales	Gammaproteobacteria	Pseudomonadota
Otu1233.0	76831	4064534	fai	Myroides_profundi_D25_genomic	known_strain	Myroides		Myroides	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
Otu1236	1219	1709204	fai	Prochlorococcus_marinus_str_MIT_9312_genomic	known_strain	Prochlorococcus marinus	Prochlorococcus marinus	Prochlorococcus	Prochlorococcaceae	Synechococcales	Cyanophyceae	Cyanobacteriota
Otu1237.0	1758689	3597394	fai	Serinicoccus_sp_JLT9_genomic	known_strain	Serinicoccus hydrothermalis	Serinicoccus hydrothermalis	Serinicoccus	Ornithinimicrobiaceae	Micrococcales	Actinomycetes	Actinomycetota
Otu1238	55601	4219865	fai	3_S3_contigs	new_strain	Vibrio anguillarum	Vibrio anguillarum	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1240.0	1816218	4683314	fai	Colwellia_sp_PAMC_20917_genomic	known_strain	Colwellia sp. PAMC 20917	Colwellia sp. PAMC 20917	Colwellia	Colwelliaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu1242	349106	2995049	fai	Psychrobacter_sp_PRwf-1_genomic	known_strain	Psychrobacter sp. PRwf-1	Psychrobacter sp. PRwf-1	Psychrobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Pseudomonadota
Otu1247	291990	2280035	fai	Thermosediminibacter_oceani_DSM_16646_genomic	known_strain	Thermosediminibacter oceani	Thermosediminibacter oceani	Thermosediminibacter	Thermosediminibacteraceae	Thermosediminibacterales	Clostridia	Bacillota
Otu1248	657445	1859720	fai	Francisella_noatunensis_subsp_orientalis_FNO12_genomic	known_strain	Francisella noatunensis	Francisella noatunensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Pseudomonadota
Otu1251	511678	4328361	fai	A25_S9_contigs	new_species	Aliivibrio		Aliivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1254	271097	5517674	fai	Shewanella_sediminis_HAW-EB3_genomic	known_strain	Shewanella sediminis	Shewanella sediminis	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu1255	1112209	3261848	fai	35_S4_contigs	new_strain	Psychrobacter sp. PAMC 21119	Psychrobacter sp. PAMC 21119	Psychrobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Pseudomonadota
Otu1257	1720344	3138120	fai	Psychrobacter_sp_AntiMn-1_genomic	known_strain	Psychrobacter sp. AntiMn-1	Psychrobacter sp. AntiMn-1	Psychrobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Pseudomonadota
Otu1263	62322	5368767	fai	Shewanella_baltica_OS678_genomic	new_strain	Shewanella baltica	Shewanella baltica	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu1264	29486	3605216	fai	Yersinia_ruckeri_YRB_genomic	known_strain	Yersinia ruckeri	Yersinia ruckeri	Yersinia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota
Otu1267.0	313603	3868304	fai	Maribacter_sp_HTCC2170_genomic	known_strain	Maribacter sp. HTCC2170	Maribacter sp. HTCC2170	Maribacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
Otu1270	212663	4928188	fai	V-H1309-5I_S5_contigs	new_strain	Vibrio tasmaniensis	Vibrio tasmaniensis	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1272	1723645	7438324	fai	Rhodococcus_sp_008_genomic	known_strain	Rhodococcus sp. 008	Rhodococcus sp. 008	Rhodococcus	Nocardiaceae	Mycobacteriales	Actinomycetes	Actinomycetota
Otu1277	662	5168686	fai	Vibrio_natriegens_NBRC_15636_ATCC_14048_DSM_759_genomic	known_strain	Vibrio		Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1278.0	104267	2644621	fai	T-2016-70-F4-3_S10_contigs	new_species	Tenacibaculum		Tenacibaculum	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
Otu1279	106589	7949449	fai	Cupriavidus_sp_USMAA1020_genomic	new_species	Cupriavidus		Cupriavidus	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota
Otu128	80854	5158435	fai	9_S9_contigs	known_strain	Moritella viscosa	Moritella viscosa	Moritella	Moritellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu1283	511678	4451800	fai	A-H1309-4-1_S7_contigs	new_species	Aliivibrio		Aliivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1287	82654	4885680	fai	Pseudanabaena_sp_PCC_7367_genomic	known_strain	Pseudanabaena sp. PCC 7367	Pseudanabaena sp. PCC 7367	Pseudanabaena	Pseudanabaenaceae	Pseudanabaenales	Cyanophyceae	Cyanobacteriota
Otu1297	645517	2591679	fai	Altererythrobacter_namhicola_strain_JCM_16345_genomic	known_strain	Paraurantiacibacter namhicola	Paraurantiacibacter namhicola	Paraurantiacibacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota
Otu13.0	1329899	2655425	fai	Cycloclasticus_zancles_78-ME_genomic	known_strain	Cycloclasticus zancles	Cycloclasticus zancles	Cycloclasticus	Piscirickettsiaceae	Thiotrichales	Gammaproteobacteria	Pseudomonadota
Otu130.0	880	4289847	fai	Desulfovibrio_salexigens_DSM_2638_genomic	known_strain	Maridesulfovibrio salexigens	Maridesulfovibrio salexigens	Maridesulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Desulfovibrionia	Thermodesulfobacteriota
Otu1300	1821960	4329652	fai	Edwardsiella_tarda_080813_genomic	known_strain	Edwardsiella anguillarum	Edwardsiella anguillarum	Edwardsiella	Hafniaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota
Otu1301	80852	4453751	fai	Vw5_S4_contigs	new_strain	Aliivibrio wodanis	Aliivibrio wodanis	Aliivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1302	2337	1884562	fai	Thermotoga_neapolitana_DSM_4359_genomic	known_strain	Thermotoga neapolitana	Thermotoga neapolitana	Thermotoga	Thermotogaceae	Thermotogales	Thermotogae	Thermotogota
Otu1308	208596	2685399	fai	Carnobacterium_sp_17-4_genomic	known_strain	Carnobacterium sp. 17-4	Carnobacterium sp. 17-4	Carnobacterium	Carnobacteriaceae	Lactobacillales	Bacilli	Bacillota
Otu1316	131112	1998342	fai	Arcanobacterium_phocae_strain_DSM_10002_genomic	known_strain	Arcanobacterium phocae	Arcanobacterium phocae	Arcanobacterium	Actinomycetaceae	Actinomycetales	Actinomycetes	Actinomycetota
Otu132	914150	2495242	fai	Kangiella_geojedonensis_strain_YCS-5_genomic	known_strain	Kangiella geojedonensis	Kangiella geojedonensis	Kangiella	Kangiellaceae	Kangiellales	Gammaproteobacteria	Pseudomonadota
Otu1321	1579979	3675202	fai	Wenzhouxiangella_marina_strain_KCTC_42284_genomic	known_strain	Wenzhouxiangella marina	Wenzhouxiangella marina	Wenzhouxiangella	Wenzhouxiangellaceae	Chromatiales	Gammaproteobacteria	Pseudomonadota
Otu1322	60961	5935403	fai	Shewanella_woodyi_ATCC_51908_genomic	known_strain	Shewanella woodyi	Shewanella woodyi	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu1326	497	3465893	fai	20_S10_contigs	known_strain	Psychrobacter		Psychrobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Pseudomonadota
Otu133.0	983548	3389993	fai	Krokinobacter_sp_4H-3-7-5_genomic	known_strain	Dokdonia sp. 4H-3-7-5	Dokdonia sp. 4H-3-7-5	Dokdonia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
Otu133.1	762954	3303986	fai	Siansivirga_zeaxanthinifaciens_CC-SAMT-1_genomic	known_strain	Siansivirga zeaxanthinifaciens	Siansivirga zeaxanthinifaciens	Siansivirga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
Otu1330	342948	1847607	fai	Thermococcus_onnurineus_NA1_genomic	known_strain	Thermococcus onnurineus	Thermococcus onnurineus	Thermococcus	Thermococcaceae	Thermococcales	Thermococci	Methanobacteriota
Otu1332.0	1906738	3628091	fai	Hyphomonas_sp_Mor2_genomic	known_strain	Hyphomonas sp. Mor2	Hyphomonas sp. Mor2	Hyphomonas	Hyphomonadaceae	Hyphomonadales	Alphaproteobacteria	Pseudomonadota
Otu1334	74109	6403280	fai	Photobacterium_profundum_SS9_genomic	known_strain	Photobacterium profundum	Photobacterium profundum	Photobacterium	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1336	754477	2745290	fai	Methylophaga_sp_JAM7_genomic	known_strain	Methylophaga frappieri	Methylophaga frappieri	Methylophaga	Piscirickettsiaceae	Thiotrichales	Gammaproteobacteria	Pseudomonadota
