dataset	genome	name_key_source	taxid	cami_novelty_category	sci_name	tax_species	tax_genus	tax_phylum	match_level	matched_accessions	n_matched_accessions	ncbi_name_key	in_train	in_val	in_test	in_kmer_selection	leaked
marine	Otu1070.0	Methylophaga_sp_JAM1_genomic	754476	known_strain	Methylophaga nitratireducenticrescens	Methylophaga nitratireducenticrescens	Methylophaga	Pseudomonadota	L2_ncbi_name_match	GCA_002692615.1;GCA_002694545.1;GCA_002696735.1;GCA_002706095.1;GCA_002710675.1;GCA_002722965.1;GCA_002726815.1;GCA_002733105.1	84	methylophaga sp	True	False	False	False	True
marine	Otu1078	haloarchaeon_HSR6_genomic	1873524	new_strain	Halodesulfurarchaeum formicicum	Halodesulfurarchaeum formicicum	Halodesulfurarchaeum	Methanobacteriota	none		0		False	False	False	False	False
marine	Otu1079.0	Phaeobacter_gallaeciensis_210_Roseobacter_gallaeciensis_genomic	221822	known_strain	Phaeobacter inhibens	Phaeobacter inhibens	Phaeobacter	Pseudomonadota	L2_ncbi_name_match	GCA_001678945.1;GCA_002381285.1;GCA_002381305.1;GCA_002381325.1;GCA_002381365.1;GCA_002381385.1;GCA_002393525.1;GCA_003318155.1	171	phaeobacter gallaeciensis	True	True	True	False	True
marine	Otu108.0	2_S8_contigs	90736	new_strain	Moritella marina	Moritella marina	Moritella	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu108.1	Mv3632_S3_contigs	80854	known_strain	Moritella viscosa	Moritella viscosa	Moritella	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu1080	Francisella_noatunensis_subsp_orientalis_strain_FNO01_genomic	657445	known_strain	Francisella noatunensis	Francisella noatunensis	Francisella	Pseudomonadota	L2_ncbi_name_match	GCA_016600315.1;GCA_016604455.1;GCA_016605025.1;GCA_016605035.1;GCA_016605045.1;GCA_016605085.1;GCA_016605105.1;GCA_016605115.1	43	francisella noatunensis	False	False	False	False	False
marine	Otu1082	Prochlorococcus_marinus_str_MIT_9215_genomic	1219	known_strain	Prochlorococcus marinus	Prochlorococcus marinus	Prochlorococcus	Cyanobacteriota	L2_ncbi_name_match	GCA_000018065.1;GCA_949486985.1;GCF_000018065.1	3	prochlorococcus marinus str mit 9215	True	False	False	False	True
marine	Otu1084	Lactococcus_garvieae_ATCC_49156_genomic	1363	known_strain	Lactococcus garvieae	Lactococcus garvieae	Lactococcus	Bacillota	L2_ncbi_name_match	GCA_000269925.1;GCA_000407125.1;GCA_000407645.1;GCF_000269925.1;GCF_000407125.1;GCF_000407645.1	6	lactococcus garvieae atcc 49156	False	False	True	False	False
marine	Otu1089	Pseudoalteromonas_haloplanktis_TAC125_genomic	228	new_strain	Pseudoalteromonas haloplanktis	Pseudoalteromonas haloplanktis	Pseudoalteromonas	Pseudomonadota	L2_ncbi_name_match	GCA_001924935.1;GCA_017113645.1;GCA_031158615.1;GCA_945859885.1;GCF_031158615.1;GCF_945859885.1	6	pseudoalteromonas haloplanktis	False	False	False	False	False
marine	Otu1093	Kytococcus_sedentarius_DSM_20547_genomic	1276	known_strain	Kytococcus sedentarius	Kytococcus sedentarius	Kytococcus	Actinomycetota	L2_ncbi_name_match	GCA_000023925.1;GCF_000023925.1	2	kytococcus sedentarius dsm 20547	True	False	False	False	True
marine	Otu11	Hyperthermus_butylicus_DSM_5456_genomic	54248	known_strain	Hyperthermus butylicus	Hyperthermus butylicus	Hyperthermus	Thermoproteota	L2_ncbi_name_match	GCA_000015145.1;GCF_000015145.1	2	hyperthermus butylicus dsm 5456	True	False	False	False	True
marine	Otu110.0	Nonlabens_sp_MIC269_genomic	363408	known_strain	Nonlabens		Nonlabens	Bacteroidota	L2_ncbi_name_match	GCA_001430865.1;GCF_001430865.1	2	nonlabens sp mic269	False	False	False	False	False
marine	Otu1101.0	Piscirickettsia_salmonis_strain_PM22180B_genomic	1238	known_strain	Piscirickettsia salmonis	Piscirickettsia salmonis	Piscirickettsia	Pseudomonadota	L2_ncbi_name_match	GCA_000756415.3;GCA_000756435.3;GCA_001029935.1;GCA_001514395.1;GCA_001534725.1;GCA_001746795.1;GCA_001932595.1;GCA_001932735.1	172	piscirickettsia salmonis	True	True	True	False	True
marine	Otu1106	Aliivibrio_wodanis_genomic	80852	new_strain	Aliivibrio wodanis	Aliivibrio wodanis	Aliivibrio	Pseudomonadota	L2_ncbi_name_match	GCA_000953695.1;GCA_052920805.1;GCA_052920865.1;GCF_052920805.1;GCF_052920865.1	5	aliivibrio wodanis	True	False	False	False	True
marine	Otu1108.0	Candidatus_Pelagibacter_sp_IMCC9063_genomic	1002672	known_strain	Candidatus Pelagibacter sp. IMCC9063	Candidatus Pelagibacter sp. IMCC9063	Candidatus Pelagibacter	Pseudomonadota	L2_ncbi_name_match	GCA_000195085.1;GCF_000195085.1	2	candidatus pelagibacter sp imcc9063	True	False	False	False	True
marine	Otu1108.1	Candidatus_Pelagibacter_ubique_HTCC1062_genomic	198252	known_strain	Candidatus Pelagibacter communis	Candidatus Pelagibacter communis	Candidatus Pelagibacter	Pseudomonadota	L2_ncbi_name_match	GCA_000012345.1;GCF_000012345.1	2	candidatus pelagibacter ubique htcc1062	False	True	False	False	True
marine	Otu1111	19_S5_contigs	662	known_strain	Vibrio		Vibrio	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu1113	A4_S4_contigs	40269	new_strain	Aliivibrio salmonicida	Aliivibrio salmonicida	Aliivibrio	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu1119.0	Flexistipes_sinusarabici_DSM_4947_genomic	2352	known_strain	Flexistipes sinusarabici	Flexistipes sinusarabici	Flexistipes	Deferribacterota	L2_ncbi_name_match	GCA_000218625.1;GCF_000218625.1	2	flexistipes sinusarabici dsm 4947	True	False	False	False	True
marine	Otu1123	Vibrio_furnissii_NCTC_11218_genomic	29494	known_strain	Vibrio furnissii	Vibrio furnissii	Vibrio	Pseudomonadota	L2_ncbi_name_match	GCA_000184325.1;GCF_000184325.1	2	vibrio furnissii nctc 11218	False	False	False	False	False
marine	Otu1126	endosymbiont_of_unidentified_scaly_snail_isolate_Monju_genomic	1248727	known_strain	endosymbiont of unidentified scaly snail isolate Monju	endosymbiont of unidentified scaly snail isolate Monju		Pseudomonadota	L2_ncbi_name_match	GCA_000801295.1;GCF_000801295.1	2	endosymbiont of unidentified scaly snail isolate monju	True	False	False	False	True
marine	Otu1127	V-H1309-2-4_S3_contigs	662	known_strain	Vibrio		Vibrio	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu1129	Saccharophagus_degradans_2-40_genomic	86304	known_strain	Saccharophagus degradans	Saccharophagus degradans	Saccharophagus	Pseudomonadota	L2_ncbi_name_match	GCA_000013665.1;GCF_000013665.1	2	saccharophagus degradans 2 40	False	False	False	False	False
marine	Otu1132	VwK7F1_S12_contigs	80852	new_strain	Aliivibrio wodanis	Aliivibrio wodanis	Aliivibrio	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu1133	B9-25K2_S3_contigs	662	known_strain	Vibrio		Vibrio	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu1136.0	Polaribacter_sp_LPB0003_genomic	1774273	known_strain	Polaribacter vadi	Polaribacter vadi	Polaribacter	Bacteroidota	L2_ncbi_name_match	GCA_002749195.1;GCA_003537695.1;GCA_012033045.1;GCA_018608505.1;GCA_018608545.1;GCA_018608585.1;GCA_018653585.1;GCA_018653985.1	333	polaribacter sp	True	True	True	False	True
marine	Otu1139	Francisella_sp_FSC1006_genomic	1547445	known_strain					L2_ncbi_name_match	GCA_003248485.1;GCA_038141505.1;GCA_047609165.1;GCA_047625165.1;GCA_054681155.1	5	francisella sp	False	False	False	False	False
marine	Otu1140	ukjent2_S9_contigs	511678	new_species	Aliivibrio		Aliivibrio	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu1142.0	Flavobacterium_psychrophilum_v4-33_genomic	96345	known_strain	Flavobacterium psychrophilum	Flavobacterium psychrophilum	Flavobacterium	Bacteroidota	L2_ncbi_name_match	GCA_000831205.1	1	flavobacterium psychrophilum v4 33	False	False	False	False	False
marine	Otu1146.0	Flavobacterium_sp_LPB0076_genomic	1763534	known_strain	Flavobacterium crassostreae	Flavobacterium crassostreae	Flavobacterium	Bacteroidota	L2_ncbi_name_match	GCA_002714575.1;GCA_002715085.1;GCA_002733185.1;GCA_003449615.1;GCA_003483305.1;GCA_003484045.1;GCA_003497625.1;GCA_003506665.1	897	flavobacterium sp	True	True	True	False	True
marine	Otu1147	Vibrio_vulnificus_strain_93U204_genomic	672	known_strain	Vibrio vulnificus	Vibrio vulnificus	Vibrio	Pseudomonadota	L2_ncbi_name_match	GCA_000743095.1;GCA_000743105.1;GCA_000743115.1;GCA_000743155.1;GCA_000743165.1;GCA_000746665.1;GCA_000764895.1;GCA_000788315.1	3353	vibrio vulnificus	True	True	True	True	True
marine	Otu115	A6_S6_contigs	40269	new_strain	Aliivibrio salmonicida	Aliivibrio salmonicida	Aliivibrio	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu1153	Methylophilales_bacterium_MBRSF5_genomic	32003	known_strain	Nitrosomonadales			Pseudomonadota	L2_ncbi_name_match	GCA_001044335.1	1	methylophilales bacterium mbrsf5	False	False	False	False	False
marine	Otu1156	A-H1309-5II_S9_contigs	80852	new_strain	Aliivibrio wodanis	Aliivibrio wodanis	Aliivibrio	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu116.0	Halomonas_sp_A3H3_genomic	2745	known_strain	Halomonas		Halomonas	Pseudomonadota	L2_ncbi_name_match	GCA_000982975.1;GCF_000982975.1	2	halomonas sp a3h3	False	False	False	False	False
marine	Otu1160	Bacillus_sp_Alg07_genomic	1547283	known_strain	Bacillus weihaiensis	Bacillus weihaiensis	Bacillus	Bacillota	none		0		False	False	False	False	False
marine	Otu1168.0	Sediminicola_sp_YIK13_genomic	1453352	known_strain	Sediminicola sp. YIK13	Sediminicola sp. YIK13	Sediminicola	Bacteroidota	L2_ncbi_name_match	GCA_001430825.1;GCF_001430825.1	2	sediminicola sp yik13	True	False	False	False	True
marine	Otu1179.0	Alteromonas_macleodii_AltDE1_genomic	314275	known_strain	Alteromonas mediterranea	Alteromonas mediterranea	Alteromonas	Pseudomonadota	L2_ncbi_name_match	GCA_000808595.1;GCA_000808635.1;GCA_001077695.1;GCA_001562235.1;GCA_001578515.1;GCA_001626115.1;GCA_001626275.1;GCA_001626315.1	294	alteromonas macleodii	True	True	True	False	True
marine	Otu1179.1	Alteromonas_stellipolaris_strain_PQQ-44_genomic	226	known_strain	Alteromonas		Alteromonas	Pseudomonadota	L2_ncbi_name_match	GCA_001562115.1;GCA_001562195.1;GCA_001632765.1;GCA_001632825.1;GCA_019931075.1;GCA_024518635.1;GCA_030547325.1;GCA_030547565.1	37	alteromonas stellipolaris	True	False	True	False	True
marine	Otu1180.0	Alteromonas_macleodii_str_Balearic_Sea_AD45_genomic	28108	known_strain	Alteromonas macleodii	Alteromonas macleodii	Alteromonas	Pseudomonadota	L2_ncbi_name_match	GCA_000300175.1;GCF_000300175.1	2	alteromonas macleodii str balearic sea ad45	False	False	False	False	False
marine	Otu1182	Streptococcus_iniae_SF1_genomic	1346	known_strain	Streptococcus iniae	Streptococcus iniae	Streptococcus	Bacillota	L2_ncbi_name_match	GCA_000403625.1	1	streptococcus iniae sf1	False	False	False	False	False
marine	Otu1184	Acinetobacter_venetianus_VE-C3_genomic	52133	known_strain	Acinetobacter venetianus	Acinetobacter venetianus	Acinetobacter	Pseudomonadota	L2_ncbi_name_match	GCA_000308235.2;GCF_000308235.1	2	acinetobacter venetianus ve c3	False	False	False	False	False
marine	Otu1186	Shewanella_pealeana_ATCC_700345_genomic	70864	known_strain	Shewanella pealeana	Shewanella pealeana	Shewanella	Pseudomonadota	L2_ncbi_name_match	GCA_000018285.1;GCF_000018285.1	2	shewanella pealeana atcc 700345	False	False	False	False	False
marine	Otu1187	Pseudoalteromonas_luteoviolacea_strain_S4054_genomic	43657	known_strain	Pseudoalteromonas luteoviolacea	Pseudoalteromonas luteoviolacea	Pseudoalteromonas	Pseudomonadota	L2_ncbi_name_match	GCA_000814765.1;GCA_001634065.1;GCA_001696455.1;GCA_001750165.1;GCA_001750185.1;GCA_001750405.1;GCA_006704145.1;GCA_018100925.1	24	pseudoalteromonas luteoviolacea	True	False	False	False	True
marine	Otu119.0	Alteromonas_macleodii_ATCC_27126_genomic	28108	known_strain	Alteromonas macleodii	Alteromonas macleodii	Alteromonas	Pseudomonadota	L2_ncbi_name_match	GCA_000172635.2;GCA_050500325.1;GCF_000172635.2;GCF_050500325.1	4	alteromonas macleodii atcc 27126	False	False	False	False	False
marine	Otu119.1	Alteromonas_macleodii_str_Black_Sea_11_genomic	28108	known_strain	Alteromonas macleodii	Alteromonas macleodii	Alteromonas	Pseudomonadota	L2_ncbi_name_match	GCA_000299995.1	1	alteromonas macleodii str black sea 11	False	False	False	False	False
marine	Otu1191	Geobacillus_kaustophilus_HTA426_genomic	1462	known_strain	Geobacillus kaustophilus	Geobacillus kaustophilus	Geobacillus	Bacillota	L2_ncbi_name_match	GCA_000009785.1;GCF_000009785.1	2	geobacillus kaustophilus hta426	False	False	False	False	False
marine	Otu1193	Desulfurobacterium_thermolithotrophum_DSM_11699_genomic	64160	known_strain	Desulfurobacterium thermolithotrophum	Desulfurobacterium thermolithotrophum	Desulfurobacterium	Aquificota	L2_ncbi_name_match	GCA_000191045.1;GCF_000191045.1	2	desulfurobacterium thermolithotrophum dsm 11699	False	True	False	False	True
marine	Otu1196	A-H130426-2_S6_contigs	511678	new_species	Aliivibrio		Aliivibrio	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu12.0	Desulfotalea_psychrophila_LSv54_genomic	84980	known_strain	Desulfotalea psychrophila	Desulfotalea psychrophila	Desulfotalea	Thermodesulfobacteriota	L2_ncbi_name_match	GCA_000025945.1;GCF_000025945.1	2	desulfotalea psychrophila lsv54	False	True	False	False	True
marine	Otu1200.0	Marinomonas_sp_MWYL1_genomic	400668	known_strain	Marinomonas sp. MWYL1	Marinomonas sp. MWYL1	Marinomonas	Pseudomonadota	L2_ncbi_name_match	GCA_002685915.1;GCA_003978615.1;GCA_003978655.1;GCA_028273945.1;GCA_039939315.1;GCA_039939435.1;GCA_039939535.1;GCA_039939735.1	146	marinomonas sp	True	False	True	False	True
marine	Otu1204	Nanohaloarchaea_archaeon_SG9_genomic	1737403	known_strain	Nanohaloarchaea archaeon SG9	Nanohaloarchaea archaeon SG9		Methanobacteriota	L2_ncbi_name_match	GCA_001761425.1	1	nanohaloarchaea archaeon sg9	False	True	False	False	True
marine	Otu1209	A-Hdes-12_S11_contigs	80852	new_strain	Aliivibrio wodanis	Aliivibrio wodanis	Aliivibrio	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu1219	Shewanella_baltica_OS195_genomic	62322	new_strain	Shewanella baltica	Shewanella baltica	Shewanella	Pseudomonadota	L2_ncbi_name_match	GCA_000018765.1;GCF_000018765.1	2	shewanella baltica os195	False	False	False	False	False
marine	Otu122.0	Roseibacterium_elongatum_DSM_19469_genomic	159346	known_strain	Roseicyclus elongatus	Roseicyclus elongatus	Roseicyclus	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu122.1	Donghicola_sp_JLT3646_genomic	1920883	known_strain	Marivivens sp. JLT3646	Marivivens sp. JLT3646	Marivivens	Pseudomonadota	L2_ncbi_name_match	GCA_025210255.1;GCA_041233355.1;GCA_041250685.1;GCA_964217625.1;GCA_964224285.1;GCF_025210255.1	6	donghicola sp	True	False	False	False	True
marine	Otu1221	Synechococcus_sp_KORDI-49_genomic	585423	known_strain	Synechococcus sp. KORDI-49	Synechococcus sp. KORDI-49	Synechococcus	Cyanobacteriota	L2_ncbi_name_match	GCA_000737575.1;GCF_000737575.1	2	synechococcus sp kordi 49	False	True	False	False	True
marine	Otu1224	Haloferax_gibbonsii_strain_ARA6_genomic	35746	known_strain	Haloferax gibbonsii	Haloferax gibbonsii	Haloferax	Methanobacteriota	L2_ncbi_name_match	GCA_001190965.1;GCA_014969745.1;GCF_001190965.1;GCF_014969745.1	4	haloferax gibbonsii	True	False	False	True	True
marine	Otu1225	MC4_S2_contigs	62322	new_strain	Shewanella baltica	Shewanella baltica	Shewanella	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu1227	Geobacillus_sp_12AMOR1_genomic	129337	known_strain	Geobacillus		Geobacillus	Bacillota	L2_ncbi_name_match	GCA_001028085.1	1	geobacillus sp 12amor1	True	False	False	False	True
marine	Otu123.0	Thiolapillus_brandeum_Hiromi_1_genomic	1076588	known_strain	Thiolapillus brandeum	Thiolapillus brandeum	Thiolapillus	Pseudomonadota	L2_ncbi_name_match	GCA_000828615.1;GCF_000828615.1	2	thiolapillus brandeum hiromi 1	False	False	False	False	False
marine	Otu1233.0	Myroides_profundi_D25_genomic	76831	known_strain	Myroides		Myroides	Bacteroidota	L2_ncbi_name_match	GCA_000833025.1;GCF_000833025.1	2	myroides profundi d25	False	False	False	False	False
marine	Otu1236	Prochlorococcus_marinus_str_MIT_9312_genomic	1219	known_strain	Prochlorococcus marinus	Prochlorococcus marinus	Prochlorococcus	Cyanobacteriota	L2_ncbi_name_match	GCA_000012645.1;GCF_000012645.1	2	prochlorococcus marinus str mit 9312	True	False	False	False	True
marine	Otu1237.0	Serinicoccus_sp_JLT9_genomic	1758689	known_strain	Serinicoccus hydrothermalis	Serinicoccus hydrothermalis	Serinicoccus	Actinomycetota	none		0		False	False	False	False	False
marine	Otu1238	3_S3_contigs	55601	new_strain	Vibrio anguillarum	Vibrio anguillarum	Vibrio	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu1240.0	Colwellia_sp_PAMC_20917_genomic	1816218	known_strain	Colwellia sp. PAMC 20917	Colwellia sp. PAMC 20917	Colwellia	Pseudomonadota	L2_ncbi_name_match	GCA_001767295.1;GCF_001767295.1	2	colwellia sp pamc 20917	False	False	True	False	False
marine	Otu1242	Psychrobacter_sp_PRwf-1_genomic	349106	known_strain	Psychrobacter sp. PRwf-1	Psychrobacter sp. PRwf-1	Psychrobacter	Pseudomonadota	L2_ncbi_name_match	GCA_002686735.1;GCA_003452955.1;GCA_003455155.1;GCA_003476945.1;GCA_003484085.1;GCA_003497105.1;GCA_003501145.1;GCA_003504345.1	187	psychrobacter sp	True	False	False	False	True
marine	Otu1247	Thermosediminibacter_oceani_DSM_16646_genomic	291990	known_strain	Thermosediminibacter oceani	Thermosediminibacter oceani	Thermosediminibacter	Bacillota	L2_ncbi_name_match	GCA_000144645.1;GCF_000144645.1	2	thermosediminibacter oceani dsm 16646	False	False	False	False	False
marine	Otu1248	Francisella_noatunensis_subsp_orientalis_FNO12_genomic	657445	known_strain	Francisella noatunensis	Francisella noatunensis	Francisella	Pseudomonadota	L2_ncbi_name_match	GCA_016600315.1;GCA_016604455.1;GCA_016605025.1;GCA_016605035.1;GCA_016605045.1;GCA_016605085.1;GCA_016605105.1;GCA_016605115.1	43	francisella noatunensis	False	False	False	False	False
marine	Otu1251	A25_S9_contigs	511678	new_species	Aliivibrio		Aliivibrio	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu1254	Shewanella_sediminis_HAW-EB3_genomic	271097	known_strain	Shewanella sediminis	Shewanella sediminis	Shewanella	Pseudomonadota	L2_ncbi_name_match	GCA_000018025.1;GCF_000018025.1	2	shewanella sediminis haw eb3	False	False	False	False	False
marine	Otu1255	35_S4_contigs	1112209	new_strain	Psychrobacter sp. PAMC 21119	Psychrobacter sp. PAMC 21119	Psychrobacter	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu1257	Psychrobacter_sp_AntiMn-1_genomic	1720344	known_strain	Psychrobacter sp. AntiMn-1	Psychrobacter sp. AntiMn-1	Psychrobacter	Pseudomonadota	L2_ncbi_name_match	GCA_001854065.1;GCF_001854065.1	2	psychrobacter sp antimn 1	False	False	False	False	False
marine	Otu1263	Shewanella_baltica_OS678_genomic	62322	new_strain	Shewanella baltica	Shewanella baltica	Shewanella	Pseudomonadota	L2_ncbi_name_match	GCA_000178875.2;GCF_000178875.2	2	shewanella baltica os678	False	False	False	False	False
marine	Otu1264	Yersinia_ruckeri_YRB_genomic	29486	known_strain	Yersinia ruckeri	Yersinia ruckeri	Yersinia	Pseudomonadota	L2_ncbi_name_match	GCA_000834255.1;GCF_000834255.1	2	yersinia ruckeri yrb	False	False	False	False	False
