genome	taxid	ref_len	ref_len_source	fasta_basename	cami_novelty_category	sci_name	tax_species	tax_genus	tax_family	tax_order	tax_class	tax_phylum
MIKI-NS23	671267	5370360	fai	MIKI-NS23	new_strain	Phocaeicola sartorii	Phocaeicola sartorii	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
MIKI-NS24	671267	5364208	fai	MIKI-NS24	new_strain	Phocaeicola sartorii	Phocaeicola sartorii	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
MIKI-NS25	671267	5371711	fai	MIKI-NS25	new_strain	Phocaeicola sartorii	Phocaeicola sartorii	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
SP100_S81	1313	2092705	fai	SP100_S81	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP101_S82	1313	2132333	fai	SP101_S82	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP102_S82	1313	2014786	fai	SP102_S82	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP103_S83	1313	2047626	fai	SP103_S83	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP105_S84	1313	2024006	fai	SP105_S84	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP106_S85	1313	2015226	fai	SP106_S85	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP107_S86	1313	2073529	fai	SP107_S86	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP108_S87	1313	1937122	fai	SP108_S87	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP109_S83	1313	2012505	fai	SP109_S83	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP10_S7	1313	2082760	fai	SP10_S7	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP110_S88	1313	2140902	fai	SP110_S88	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP111_S89	1313	2099202	fai	SP111_S89	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP112_S90	1313	2079727	fai	SP112_S90	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP113_S91	1313	2058653	fai	SP113_S91	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP114_S92	1313	1987692	fai	SP114_S92	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP115_S93	1313	2041665	fai	SP115_S93	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP116_S94	1313	2013236	fai	SP116_S94	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP117_S95	257758	2236418	fai	SP117_S95	new_strain	Streptococcus pseudopneumoniae	Streptococcus pseudopneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP118_S96	1313	1983599	fai	SP118_S96	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP119_S1	257758	2137079	fai	SP119_S1	new_strain	Streptococcus pseudopneumoniae	Streptococcus pseudopneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP11_S8	1313	2065838	fai	SP11_S8	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP120_S2	1313	2076062	fai	SP120_S2	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP121_S3	1313	2078750	fai	SP121_S3	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP122_S4	1313	2049787	fai	SP122_S4	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP124_S6	1313	2070014	fai	SP124_S6	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP125_S84	1313	2015328	fai	SP125_S84	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP126_S7	1313	2003842	fai	SP126_S7	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP127_S8	1313	2054557	fai	SP127_S8	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP128_S9	1313	2012996	fai	SP128_S9	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP129_S10	1313	2028767	fai	SP129_S10	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP12_S9	1313	1985084	fai	SP12_S9	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP130_S11	1313	2077144	fai	SP130_S11	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP131_S12	1313	2155215	fai	SP131_S12	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP132_S13	1313	2000885	fai	SP132_S13	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP133_S14	1313	1991005	fai	SP133_S14	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP134_S15	1313	2061331	fai	SP134_S15	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP135_S16	1313	2058733	fai	SP135_S16	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP136_S17	1313	2038096	fai	SP136_S17	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP137_S18	1313	2035362	fai	SP137_S18	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP138_S19	1313	2139728	fai	SP138_S19	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP139_S20	1313	2017343	fai	SP139_S20	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP13_S10	1313	2040289	fai	SP13_S10	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP140_S21	1313	2128346	fai	SP140_S21	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP141_S22	1313	1979460	fai	SP141_S22	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP142_S23	1313	2060851	fai	SP142_S23	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP143_S24	1313	2012493	fai	SP143_S24	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP144_S25	1313	2073909	fai	SP144_S25	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP145_S26	1313	2040147	fai	SP145_S26	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP146_S27	1313	1976220	fai	SP146_S27	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP147_S28	1313	2131103	fai	SP147_S28	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP148_S29	1313	2086142	fai	SP148_S29	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP149_S30	1313	2113372	fai	SP149_S30	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP14_S11	1313	2059376	fai	SP14_S11	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP150_S31	1313	1987853	fai	SP150_S31	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP151_S32	1313	1974069	fai	SP151_S32	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP152_S33	1313	2010753	fai	SP152_S33	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP153_S34	1313	2042628	fai	SP153_S34	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP154_S35	1313	2162035	fai	SP154_S35	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP155_S36	1313	2075312	fai	SP155_S36	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP156_S37	1313	2079530	fai	SP156_S37	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP157_S38	1313	2048216	fai	SP157_S38	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP158_S39	1313	1975569	fai	SP158_S39	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP159_S40	1313	2086141	fai	SP159_S40	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP15_S89	1313	2011560	fai	SP15_S89	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP160_S41	1313	2045367	fai	SP160_S41	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP161_S42	1313	2050632	fai	SP161_S42	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP162_S43	1313	1982417	fai	SP162_S43	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP163_S44	1313	1948475	fai	SP163_S44	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP164_S45	1313	1984518	fai	SP164_S45	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP165_S46	1313	1973565	fai	SP165_S46	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP166_S47	1313	2090273	fai	SP166_S47	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP167_S48	1313	2065677	fai	SP167_S48	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP168_S49	1313	1749640	fai	SP168_S49	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP169_S50	1313	1902740	fai	SP169_S50	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP16_S12	1313	2043829	fai	SP16_S12	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP170_S51	1313	2021551	fai	SP170_S51	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP171_S52	1313	1993908	fai	SP171_S52	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP172_S53	1313	1957437	fai	SP172_S53	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP173_S54	1313	1973592	fai	SP173_S54	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP174_S55	1313	2117559	fai	SP174_S55	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP176_S56	1313	2044611	fai	SP176_S56	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP177_S57	1313	1977200	fai	SP177_S57	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP178_S58	1313	1925491	fai	SP178_S58	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP179_S59	1313	2098228	fai	SP179_S59	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP17_S90	1313	2082160	fai	SP17_S90	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP180_S96	1313	2031083	fai	SP180_S96	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP181_S61	28037	2135333	fai	SP181_S61	new_strain	Streptococcus mitis	Streptococcus mitis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP182_S62	1313	2047295	fai	SP182_S62	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP184_S64	1313	1635099	fai	SP184_S64	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP185_S65	1313	1845437	fai	SP185_S65	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP187_S66	1313	1958898	fai	SP187_S66	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP188_S67	1313	2040293	fai	SP188_S67	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP189_S68	1313	2062647	fai	SP189_S68	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP18_S91	1313	2072566	fai	SP18_S91	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP190_S69	1313	1976008	fai	SP190_S69	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP191_S70	1313	2000529	fai	SP191_S70	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP192_S71	1313	1924197	fai	SP192_S71	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP194_S73	1313	2053846	fai	SP194_S73	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP195_S74	1313	1985003	fai	SP195_S74	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP196_S75	1313	1970420	fai	SP196_S75	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP198_S01	1313	2057645	fai	SP198_S01	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP1_S85	1313	2164447	fai	SP1_S85	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP20_S77	1301	2202269	fai	SP20_S77	new_species	Streptococcus		Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP21_S92	68892	1689727	fai	SP21_S92	new_strain	Streptococcus infantis	Streptococcus infantis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP22_S78	1313	2120430	fai	SP22_S78	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP23_S93	1313	2030322	fai	SP23_S93	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP24_S13	1313	2093455	fai	SP24_S13	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP25_S14	1313	2028415	fai	SP25_S14	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP27_S15	1313	1980747	fai	SP27_S15	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP2_S86	1313	2105629	fai	SP2_S86	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP30_S17	1313	2078679	fai	SP30_S17	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP31_S18	1313	2096146	fai	SP31_S18	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP32_S19	1313	2103320	fai	SP32_S19	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP33_S20	1313	2079363	fai	SP33_S20	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP34_S21	1313	2072742	fai	SP34_S21	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP35_S22	1313	1990563	fai	SP35_S22	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP36_S23	1313	2086015	fai	SP36_S23	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP38_S25	1313	2056653	fai	SP38_S25	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP39_S26	1313	2010726	fai	SP39_S26	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP3_S87	1313	2041279	fai	SP3_S87	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP40_S27	1313	2129381	fai	SP40_S27	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP41_S28	1313	2044969	fai	SP41_S28	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP42_S29	1313	2065552	fai	SP42_S29	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP43_S30	1313	1998079	fai	SP43_S30	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP44_S31	1313	2047099	fai	SP44_S31	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP45_S32	1313	2070043	fai	SP45_S32	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP46_S33	1313	2068370	fai	SP46_S33	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP47_S34	1313	2027743	fai	SP47_S34	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP48_S35	1313	2032240	fai	SP48_S35	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP49_S36	1313	2058421	fai	SP49_S36	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP4_S3	1313	2195551	fai	SP4_S3	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP50_S37	1313	1958348	fai	SP50_S37	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP52_S38	1313	2038081	fai	SP52_S38	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP53_S39	1313	2156089	fai	SP53_S39	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP54_S40	1313	2028957	fai	SP54_S40	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP55_S41	1313	1980370	fai	SP55_S41	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
SP56_S42	1313	2048034	fai	SP56_S42	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
