cohort	grouping	stratum	n_genomes	n_at_floor_le_50.5	n_at_floor_le_50.0	rate_le_50.5	ci95_lo	ci95_hi	min_magicc_completeness	note
catalogue_weighted	phylum	Bdellovibrionota	567	0	0	0	0	0	50.8944	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Bipolaricaulota	268	7	0	0.0265865	0	0.0633748	50.0448	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Campylobacterota	1203	14	0	0.00310656	0.00153718	0.00812761	50.2092	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Chlamydiota	428	4	0	0.00951206	0.00156883	0.0224951	50.3270	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Chloroflexota	1822	65	0	0.00925781	0.00429984	0.014785	50.0204	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Cloacimonadota	578	0	0	0	0	0	50.5589	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Cyanobacteria	1126	5	0	0.000897343	0	0.00302638	50.0178	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Deinococcota	506	3	0	0.00605833	0	0.00778544	50.2424	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Dependentiae	257	3	0	0.0117966	0	0.0380884	50.0700	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Desulfobacterota	810	24	0	0.00568007	0.00207375	0.010832	50.0537	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Desulfobacterota_B	743	1	0	0.00138208	0	0.0030403	50.1565	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Desulfobacterota_G	285	2	0	0.00720717	0	0.00992141	50.0305	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Desulfobacterota_I	900	8	0	0.00256246	0	0.00259742	50.2014	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Dormibacterota	522	4	0	0.00773891	0	0.021486	50.1899	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Eisenbacteria	238	0	0	0	0	0	51.9075	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Elusimicrobiota	317	4	0	0.00339398	0	0.010175	50.0405	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Eremiobacterota	597	0	0	0	0	0	51.4969	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Firmicutes	17637	428	0	0.00696455	0.00367408	0.0125624	50.0138	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Firmicutes_A	88454	1995	0	0.00483262	0.00122476	0.0144135	50.0150	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Firmicutes_B	340	40	0	0.0297332	0.00335661	0.0463849	50.0871	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Firmicutes_C	8315	539	0	0.0155318	0.000823647	0.0331562	50.0126	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Firmicutes_G	385	1	0	0.00262303	0	0.00975865	50.4549	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Fusobacteriota	871	42	0	0.0108635	0	0.205174	50.0489	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Gemmatimonadota	460	1	0	0.000402861	0	0.00143875	50.4245	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Halobacteriota	635	22	0	0.00877792	0.00398773	0.0135076	50.0190	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Krumholzibacteriota	210	0	0	0	0	0	50.6831	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Marinisomatota	391	59	0	0.0418884	0.00974491	0.0967061	50.0894	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Methanobacteriota	1018	4	0	0.000897271	0	0.095171	50.1388	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Methylomirabilota	643	3	0	0.00474481	0	0.0320522	50.0767	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Micrarchaeota	442	53	0	0.120472	0.0275854	0.181431	50.0048	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Myxococcota	424	0	0	0	0	0	50.8462	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Myxococcota_A	502	0	0	0	0	0	51.3594	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Nanoarchaeota	1689	108	0	0.0513491	0.0308685	0.0845196	50.0138	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Nitrospinota	289	1	0	0.00353996	0	0.00424644	50.4426	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Nitrospirota	241	11	0	0.0090439	0.00154407	0.0263166	50.1308	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Omnitrophota	317	12	0	0.0130533	0.00447262	0.0198096	50.0458	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Patescibacteria	20169	392	0	0.0179422	0.0133562	0.0242984	50.0100	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Planctomycetota	1153	5	0	0.00153581	0	0.00380148	50.1967	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Proteobacteria	24149	470	0	0.00528681	0.00293334	0.00765534	50.0068	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	SAR324	735	0	0	0	0	0	50.5834	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Spirochaetota	1554	3	0	0.000365489	0	0.00119135	50.2257	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Synergistota	205	4	0	0.00384352	0	0.00913792	50.0402	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Thermoplasmatota	2007	243	0	0.0396633	0.0105036	0.0697165	50.0099	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Thermoproteota	1774	164	0	0.0392653	0.0256865	0.066488	50.0018	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Thermotogota	410	0	0	0	0	0	50.8958	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Verrucomicrobiota	3473	10	0	0.000787092	0.000202763	0.00192798	50.2425	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	WOR-3	305	1	0	0.00334928	0	0.0108926	50.2127	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Zixibacteria	254	1	0	0.00403575	0	0.0176618	50.4257	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	unclassified	441	86	0	0.0770422	0.0770422	0.0770422	50.0037	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	other (<200 in cohort)	5294	68	0	0.0112697	0.00460925	0.0201715	50.0190	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	overall	ALL	265943	5317	0	0.00508325	0.00298048	0.00857904	50.0018	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	size_bin	<1Mb	57652	5215	0	0.0904565	0.058084	0.135777	50.0018	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	size_bin	1-2Mb	89416	96	0	0.00102618	0.000638468	0.00151339	50.1193	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	size_bin	2-3Mb	78986	6	0	8.02281e-05	0	0.000246555	50.1648	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	size_bin	3-5Mb	34179	0	0	0	0	0	50.8946	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	size_bin	>5Mb	5710	0	0	0	0	0	53.5106	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Acidobacteriota	1639	35	0	0.00407635	0	0.0138955	50.0228	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Actinobacteriota	19468	137	0	0.00185327	0.000967325	0.00275195	50.0280	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Aenigmatarchaeota	441	61	0	0.138686	0.0714504	0.200149	50.0166	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Armatimonadota	963	0	0	0	0	0	50.8034	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Asgardarchaeota	207	3	0	0.014713	0	0.0484234	50.3876	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Atribacterota	200	0	0	0	0	0	51.3213	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Bacteroidota	46672	171	0	0.00107692	0.00073974	0.00241454	50.0195	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Bdellovibrionota	567	0	0	0	0	0	50.8944	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Bipolaricaulota	268	7	0	0.026674	0	0.063096	50.0448	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Campylobacterota	1203	14	0	0.00311496	0.00142753	0.00831799	50.2092	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Chlamydiota	428	4	0	0.00952905	0.00184492	0.0219562	50.3270	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Chloroflexota	1822	65	0	0.00922446	0.00444393	0.0148003	50.0204	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Cloacimonadota	578	0	0	0	0	0	50.5589	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Cyanobacteria	1126	5	0	0.00089729	0	0.00298173	50.0178	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Deinococcota	506	3	0	0.00606407	0	0.00793958	50.2424	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Dependentiae	257	3	0	0.0117973	0	0.0342431	50.0700	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Desulfobacterota	810	24	0	0.00566153	0.00215469	0.0101963	50.0537	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Desulfobacterota_B	743	1	0	0.00137766	0	0.00306026	50.1565	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Desulfobacterota_G	285	2	0	0.00718184	0	0.00988712	50.0305	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Desulfobacterota_I	900	8	0	0.00256126	0	0.00259616	50.2014	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Dormibacterota	522	4	0	0.00766214	0	0.0213677	50.1899	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Eisenbacteria	238	0	0	0	0	0	51.9075	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Elusimicrobiota	317	4	0	0.00340633	0	0.00961152	50.0405	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Eremiobacterota	597	0	0	0	0	0	51.4969	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Firmicutes	17637	428	0	0.00698048	0.00373981	0.0123468	50.0138	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Firmicutes_A	88454	1995	0	0.00484055	0.001237	0.015911	50.0150	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Firmicutes_B	340	40	0	0.0297648	0.0031768	0.0462147	50.0871	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Firmicutes_C	8315	539	0	0.0155498	0.000731188	0.0345958	50.0126	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Firmicutes_G	385	1	0	0.00259708	0	0.0093657	50.4549	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Fusobacteriota	871	42	0	0.0108672	0	0.220966	50.0489	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Gemmatimonadota	460	1	0	0.000400188	0	0.00143356	50.4245	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Halobacteriota	635	22	0	0.00878231	0.0042195	0.0135314	50.0190	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Krumholzibacteriota	210	0	0	0	0	0	50.6831	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Marinisomatota	391	59	0	0.0418977	0.00921577	0.0922138	50.0894	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Methanobacteriota	1018	4	0	0.000902158	0	0.0957681	50.1388	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Methylomirabilota	643	3	0	0.00470209	0	0.0313696	50.0767	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Micrarchaeota	442	53	0	0.120616	0.0267607	0.182854	50.0048	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Myxococcota	424	0	0	0	0	0	50.8462	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Myxococcota_A	502	0	0	0	0	0	51.3594	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Nanoarchaeota	1689	108	0	0.0513773	0.0311145	0.0849962	50.0138	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Nitrospinota	289	1	0	0.00354152	0	0.00424675	50.4426	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Nitrospirota	241	11	0	0.0090296	0.00152577	0.0269776	50.1308	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Omnitrophota	317	12	0	0.0130911	0.00490231	0.0192208	50.0458	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Patescibacteria	20169	392	0	0.0179385	0.0131413	0.0242577	50.0100	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Planctomycetota	1153	5	0	0.00152095	0	0.00390964	50.1967	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Proteobacteria	24149	470	0	0.00527115	0.00295027	0.00764548	50.0068	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	SAR324	735	0	0	0	0	0	50.5834	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Spirochaetota	1554	3	0	0.000365697	0	0.00124838	50.2257	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Synergistota	205	4	0	0.00384588	0	0.0103377	50.0402	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Thermoplasmatota	2007	243	0	0.0396594	0.0106291	0.0696044	50.0099	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Thermoproteota	1774	164	0	0.0393038	0.0255786	0.0648686	50.0018	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Thermotogota	410	0	0	0	0	0	50.8958	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Verrucomicrobiota	3473	10	0	0.000787453	0.000224275	0.00186338	50.2425	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	WOR-3	305	1	0	0.00335239	0	0.0107994	50.2127	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Zixibacteria	254	1	0	0.00402981	0	0.0179536	50.4257	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	unclassified	441	86	0	0.076744	0.076744	0.076744	50.0037	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	other (<200 in cohort)	5294	68	0	0.0112659	0.00448453	0.0196457	50.0190	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	overall	ALL	193774	92	0	0.00047478	0.000340314	0.000670541	50.1193	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	size_bin	1-2Mb	84711	86	0	0.00101522	0.000642252	0.00147161	50.1193	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	size_bin	2-3Mb	73868	6	0	8.1226e-05	0	0.00025246	50.1648	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	size_bin	3-5Mb	30528	0	0	0	0	0	50.8946	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	size_bin	>5Mb	4667	0	0	0	0	0	53.5106	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Acidobacteriota	1564	0	0	0	0	0	50.7213	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Actinobacteriota	15497	6	0	0.000387172	8.98415e-05	0.00108223	50.1193	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Bacteroidota	45669	22	0	0.000481727	0.000207679	0.000952801	50.1745	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Campylobacterota	741	0	0	0	0	0	51.3235	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Chloroflexota	1393	2	0	0.00143575	0	0.00413223	50.2160	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Cyanobacteria	1001	0	0	0	0	0	50.8419	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Desulfobacterota	772	0	0	0	0	0	50.6576	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Desulfobacterota_I	891	1	0	0.00112233	0	0.00113766	50.4015	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Firmicutes	10979	8	0	0.000728664	6.8925e-05	0.00250678	50.2957	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Firmicutes_A	77830	24	0	0.000308364	0.000101703	0.000462761	50.1702	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Firmicutes_B	226	0	0	0	0	0	50.8831	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Firmicutes_C	5996	1	0	0.000166778	0	0.000375941	50.4462	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Fusobacteriota	674	0	0	0	0	0	51.0376	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Gemmatimonadota	459	0	0	0	0	0	50.5125	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Halobacteriota	421	0	0	0	0	0	50.8189	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Marinisomatota	229	0	0	0	0	0	50.7105	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Methanobacteriota	769	0	0	0	0	0	51.3385	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Myxococcota	422	0	0	0	0	0	52.5896	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Nitrospirota	220	0	0	0	0	0	50.7190	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Patescibacteria	379	0	0	0	0	0	60.4958	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Planctomycetota	1138	1	0	0.000878735	0	0.0033976	50.4996	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Proteobacteria	19190	24	0	0.00125065	0.000482321	0.00211429	50.1648	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Spirochaetota	1497	0	0	0	0	0	50.5299	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Thermoplasmatota	978	2	0	0.00204499	0	0.004662	50.4975	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Thermoproteota	540	0	0	0	0	0	50.7513	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Verrucomicrobiota	3347	1	0	0.000298775	0	0.000505181	50.4566	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	other (<200 in cohort)	952	0	0	0	0	0	50.6733	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S1_small_census	overall	ALL	57652	5215	0	0.0904565	0.0584582	0.134268	50.0018	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S1_small_census	size_bin	<1Mb	57652	5215	0	0.0904565	0.0583901	0.132228	50.0018	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
