quantity	cohort	n	estimate	ci95_lo	ci95_hi	note
MQ_to_HQ_rate	SPIRE catalogue_weighted_no_nr_adjustment	265943	0.169959	0.146563	0.189897	
MQ_to_HQ_rate	SPIRE S3_srs_unweighted	193774	0.179732	0.158248	0.199017	
MQ_to_HQ_rate	SPIRE S1_small_census	57652	0.0186437	0.0108914	0.0280203	
MQ_to_HQ_rate	SPIRE reps_census	92064	0.185484	0.175124	0.195423	
MQ_to_LQ_rate	SPIRE catalogue_weighted	265943	0.0226772	0.0167768	0.0330552	
MQ_to_LQ_rate	SPIRE catalogue_weighted_no_nr_adjustment	265943	0.0227537	0.0170141	0.0334284	
MQ_to_LQ_rate	SPIRE S3_srs_unweighted	193774	0.0190114	0.0141281	0.0284002	
MQ_to_LQ_rate	SPIRE S1_small_census	57652	0.0486968	0.0356865	0.0658722	
MQ_to_LQ_rate	SPIRE reps_census	92064	0.0963676	0.0822313	0.114331	
floor_rate	SPIRE catalogue_weighted	265943	0.00508448	0.00302042	0.00872504	
floor_rate	SPIRE catalogue_weighted_no_nr_adjustment	265943	0.00508325	0.00298048	0.00857904	
floor_rate	SPIRE S3_srs_unweighted	193774	0.00047478	0.000340314	0.000670541	
floor_rate	SPIRE S1_small_census	57652	0.0904565	0.0584582	0.134268	
floor_rate	SPIRE reps_census	92064	0.00740789	0.00592168	0.009355	
mean_d_comp	SPIRE catalogue_weighted	265943	0.352537	-0.669212	1.04067	
mean_d_comp	SPIRE catalogue_weighted_no_nr_adjustment	265943	0.360845	-0.705638	1.07534	
mean_d_comp	SPIRE S3_srs_unweighted	193774	0.798599	-0.161105	1.39788	
mean_d_comp	SPIRE S1_small_census	57652	-7.20283	-8.36639	-6.15509	
mean_d_comp	SPIRE reps_census	92064	-1.29164	-1.89512	-0.76443	
mean_d_cont	SPIRE catalogue_weighted	265943	-0.66218	-0.948364	-0.227896	
mean_d_cont	SPIRE catalogue_weighted_no_nr_adjustment	265943	-0.661727	-0.93662	-0.237379	
mean_d_cont	SPIRE S3_srs_unweighted	193774	-0.81413	-1.06609	-0.419064	
mean_d_cont	SPIRE S1_small_census	57652	0.798768	0.431791	1.23586	
mean_d_cont	SPIRE reps_census	92064	1.05814	0.58685	1.66573	
floor_rate	WS3.10 SPIRE five reviewer genera	591	0.0321489	nan	nan	19/591; the previously published floor-censoring figure
