accession	organism	species_taxid	level	contigs	genome_size	ftp	excluded	label	matched_to
GCA_020785475.1	Limosilactobacillus reuteri	1598	Scaffold	71	2154690	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/785/475/GCA_020785475.1_ASM2078547v1/	na	unflagged_control	GCA_948943175.1
GCA_948551085.1	Acutalibacter muris	1796620	Scaffold	773	1962709	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/948/551/085/GCA_948551085.1_MGBC129669/	contaminated; derived from metagenome; fragmented assembly; genome length too small	flagged_contaminated	
GCA_910576365.1	Acutalibacter muris	1796620	Contig	52	3661183	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/576/365/GCA_910576365.1_MGBC000244/	na	unflagged_control	GCA_948551085.1
GCA_028327825.1	Ruminococcus sp. 1001136sp1	2986996	Scaffold	93	4479165	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/327/825/GCA_028327825.1_ASM2832782v1/	contaminated	flagged_contaminated	
GCA_028327705.1	Ruminococcus sp. 1001136sp1	2986996	Scaffold	86	4479269	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/327/705/GCA_028327705.1_ASM2832770v1/	na	unflagged_control	GCA_028327825.1
GCA_009647145.1	Bacillus thuringiensis	1428	Contig	365	5458462	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/647/145/GCA_009647145.1_ASM964714v1/	contaminated	flagged_contaminated	
GCA_002564505.1	Bacillus thuringiensis	1428	Scaffold	364	6462279	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/564/505/GCA_002564505.1_ASM256450v1/	na	unflagged_control	GCA_009647145.1
GCA_900012905.1	Clostridioides difficile	1496	Contig	560	4163338	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/012/905/GCA_900012905.1_Peptoclostridium_difficile/	contaminated	flagged_contaminated	
GCA_016093635.1	Clostridioides difficile	1496	Scaffold	559	4070520	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/093/635/GCA_016093635.1_ASM1609363v1/	na	unflagged_control	GCA_900012905.1
GCA_965283135.1	Escherichia coli	562	Contig	295	5668909	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/283/135/GCA_965283135.1_25-2058/	contaminated; RefSeq annotation failed	flagged_contaminated	
GCA_000618985.2	Escherichia coli O157:H7 str. 2011EL-2313	562	Scaffold	295	5349283	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/618/985/GCA_000618985.2_Ec2011EL-2313/	na	unflagged_control	GCA_965283135.1
GCA_014863925.1	Ruminococcus bromii	40518	Contig	50	2169201	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/863/925/GCA_014863925.1_ASM1486392v1/	contaminated; derived from metagenome	flagged_contaminated	
GCA_023369675.1	Ruminococcus bromii	40518	Contig	57	2511695	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/369/675/GCA_023369675.1_ASM2336967v1/	na	unflagged_control	GCA_014863925.1
GCA_007113605.1	Acinetobacter baumannii	470	Scaffold	791	4153672	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/113/605/GCA_007113605.1_ASM711360v1/	contaminated	flagged_contaminated	
GCA_001950155.1	Acinetobacter baumannii	470	Contig	793	3869061	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/950/155/GCA_001950155.1_ASM195015v1/	na	unflagged_control	GCA_007113605.1
GCA_003462815.1	Paraprevotella clara	454154	Scaffold	133	4639001	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/462/815/GCA_003462815.1_ASM346281v1/	contaminated	flagged_contaminated	
GCA_027683835.1	Paraprevotella clara	454154	Scaffold	142	4467759	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/683/835/GCA_027683835.1_ASM2768383v1/	na	unflagged_control	GCA_003462815.1
GCA_017912145.1	Borreliella garinii	29519	Contig	471	1370352	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/912/145/GCA_017912145.1_ASM1791214v1/	contaminated	flagged_contaminated	
GCA_017911845.1	Borreliella garinii	29519	Contig	476	1445293	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/911/845/GCA_017911845.1_ASM1791184v1/	na	unflagged_control	GCA_017912145.1
GCA_039543685.1	Alloalcanivorax gelatiniphagus	1194167	Scaffold	170	8794969	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/543/685/GCA_039543685.1_ASM3954368v1/	contaminated; not used as type	flagged_contaminated	
GCA_005938655.1	Alloalcanivorax gelatiniphagus	1194167	Contig	50	4215373	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/938/655/GCA_005938655.1_ASM593865v1/	na	unflagged_control	GCA_039543685.1
GCA_005929015.1	Campylobacter jejuni	197	Contig	238	1850155	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/929/015/GCA_005929015.1_PDT000509557.1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_001292245.1	Campylobacter jejuni	197	Scaffold	238	1701890	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/292/245/GCA_001292245.1_RC104_S12contigs.fa/	na	unflagged_control	GCA_005929015.1
GCA_031884385.1	Salmonella enterica subsp. enterica serovar Oslo	28901	Scaffold	724	4996616	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/884/385/GCA_031884385.1_ASM3188438v1/	contaminated	flagged_contaminated	
GCA_052372155.1	Salmonella enterica subsp. enterica serovar Jukestown	28901	Contig	726	5046711	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/372/155/GCA_052372155.1_ASM5237215v1/	na	unflagged_control	GCA_031884385.1
GCA_948779115.1	Phocaeicola vulgatus	821	Scaffold	1242	3414445	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/948/779/115/GCA_948779115.1_MGBC155431/	contaminated; derived from metagenome; fragmented assembly; genome length too small	flagged_contaminated	
GCA_029076805.1	Phocaeicola vulgatus	821	Contig	937	5506578	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/076/805/GCA_029076805.1_ASM2907680v1/	na	unflagged_control	GCA_948779115.1
GCA_024211095.2	Citrobacter freundii	546	Contig	85	5863541	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/211/095/GCA_024211095.2_PDT001356904.2/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_016501085.1	Citrobacter freundii	546	Contig	85	5322398	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/501/085/GCA_016501085.1_ASM1650108v1/	na	unflagged_control	GCA_024211095.2
GCA_016742575.1	Escherichia coli	562	Contig	661	2544500	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/742/575/GCA_016742575.1_ASM1674257v1/	contaminated; derived from metagenome; genome length too small	flagged_contaminated	
GCA_006350895.1	Escherichia coli	562	Contig	661	5348730	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/350/895/GCA_006350895.1_ASM635089v1/	na	unflagged_control	GCA_016742575.1
GCA_900011435.1	Clostridioides difficile	1496	Contig	865	4138932	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/011/435/GCA_900011435.1_Peptoclostridium_difficile/	contaminated	flagged_contaminated	
GCA_021284655.1	Clostridioides difficile	1496	Contig	863	4064003	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/284/655/GCA_021284655.1_ASM2128465v1/	na	unflagged_control	GCA_900011435.1
GCA_054770015.1	Staphylococcus aureus	1280	Scaffold	632	3013562	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/770/015/GCA_054770015.1_ASM5477001v1/	contaminated	flagged_contaminated	
GCA_008040335.1	Staphylococcus aureus	1280	Contig	632	2513646	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/040/335/GCA_008040335.1_ASM804033v1/	na	unflagged_control	GCA_054770015.1
GCA_022728395.1	Alistipes putredinis	28117	Contig	405	3235242	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/728/395/GCA_022728395.1_ASM2272839v1/	contaminated; derived from metagenome; genome length too large	flagged_contaminated	
