genome_id	ref_index	original_bp	added_duplicate_bp	final_bp	added_percent_original	duplicate_percent_final	original_contigs	added_contigs	original_contigs_retained	added_segments_exact_substrings	sha256
G_r003_uneven_coverage_5pct	3	4516870	225844	4742714	5.0000110696123645	4.761914802368433	164	10	True	True	b42051a048433fadff843f9df2205813435f070124372b914e5f0421d68885d4
G_r003_uneven_coverage_10pct	3	4516870	451687	4968557	10.0	9.090909090909092	164	21	True	True	5932c2eae7da25cff886146c3d86f5be5660f739fe71ce58e29da50c1af7cccf
G_r003_uneven_coverage_20pct	3	4516870	903374	5420244	20.0	16.666666666666668	164	32	True	True	551ae813714dfa4c6f94db1e62def4526f359cb55c91118d90b82a921f3f8828
G_r003_uneven_coverage_40pct	3	4516870	1806748	6323618	40.0	28.571428571428573	164	66	True	True	b805d28c51ace387cce1ce2fdbd9bd25f7327e147144bde5197fe05fc6abdfc8
G_r004_uneven_coverage_5pct	4	1372061	68603	1440664	4.999996355847153	4.76190145655059	127	4	True	True	6c1b45b1a7d7da48bad654dee0ba43cd20333009afb4dc2f995a515233a04a07
G_r004_uneven_coverage_10pct	4	1372061	137206	1509267	9.999992711694306	9.090903067515555	127	15	True	True	cf4e9298af4150b586bf46c725a409d1a17ebf4670a61f24f8f7e550c7c9b9b7
G_r004_uneven_coverage_20pct	4	1372061	274412	1646473	19.999985423388612	16.66665654401864	127	28	True	True	05c1098e79ae9c1832d88183fe1f644e053d97bf593c6bf5a65cda9344da7552
G_r004_uneven_coverage_40pct	4	1372061	548824	1920885	39.999970846777224	28.57141369733222	127	48	True	True	d6f62ddd3110a0200e8cb54864373f83f859d88bf3d311ba936baa46f9f2a369
G_r005_uneven_coverage_5pct	5	1661384	83069	1744453	4.9999879618438605	4.761893842941025	39	2	True	True	0097754f50192dd7fe56cb7b364cf8791f1ca2bcb607936c6cff6b63fa5e9502
G_r005_uneven_coverage_10pct	5	1661384	166138	1827522	9.999975923687721	9.090889193125992	39	6	True	True	baa9fd475707749e76869daebbf767677be368ae458e1fce50d8e8816a17ae1d
G_r005_uneven_coverage_20pct	5	1661384	332277	1993661	20.00001203815614	16.66667502649648	39	8	True	True	6b6d6e26ea20386b0272b19cc6f9f332a0e4569f1faac795e7f344c6bc812cee
G_r005_uneven_coverage_40pct	5	1661384	664554	2325938	40.00002407631228	28.571440855259254	39	10	True	True	d9f18f271c5416a6df2c1592874b7b19efb49d63bcabca48cc6b2975571caad3
G_r006_uneven_coverage_5pct	6	1148342	57417	1205759	4.999991291792863	4.761896863303529	1	1	True	True	6e7436f34ad290e001593719cceede6942e835690f09586e33a3e5103b71bc6d
G_r006_uneven_coverage_10pct	6	1148342	114834	1263176	9.999982583585727	9.090894697176006	1	1	True	True	447109597fe0d104e9aaa75ecc29bf94c3a8a6413520ef82f480bf1f5126ead2
G_r006_uneven_coverage_20pct	6	1148342	229668	1378010	19.999965167171453	16.666642477195374	1	1	True	True	861c97b5bba2e3e8830784c1381a94a38a3596ae887101caf0ead4869abd013d
G_r006_uneven_coverage_40pct	6	1148342	459337	1607679	40.00001741641427	28.571437457353117	1	1	True	True	d8d08fca10b85d6769430da6890391f169c3454fa07bb9eaa6abc8beb565fc34
G_r007_uneven_coverage_5pct	7	1425994	71300	1497294	5.000021037956682	4.761923843947815	12	1	True	True	d3d68e8b6f66389d730df7a95c747d6b91a91cc0db03a78c46f002e64a8e1ef1
G_r007_uneven_coverage_10pct	7	1425994	142599	1568593	9.99997194939109	9.090885908581766	12	1	True	True	2b4bd472577365395a7c4091670506e1ea27fa827b6cf4d74182047f5d2c5aa9
G_r007_uneven_coverage_20pct	7	1425994	285199	1711193	20.000014025304456	16.666676406460287	12	4	True	True	0891bfa48ee668c26bdb3fc3c7368e98810df435fd013b80f02906e369a9a266
G_r007_uneven_coverage_40pct	7	1425994	570398	1996392	40.00002805060891	28.571442882960863	12	8	True	True	a694db2398256dc8110962d80db20baffe5c784fb20aae680348ca41d3c6d5d3
G_r008_uneven_coverage_5pct	8	2608978	130449	2739427	5.000003832918484	4.761908238474688	51	6	True	True	877780d914f9b74403e11c440d4f0976ee78a49589c30bf3db55c345d0e256ba
G_r008_uneven_coverage_10pct	8	2608978	260898	2869876	10.000007665836968	9.090915426311103	51	9	True	True	385d2eea8a95b65419ea1d06305e6e35f6cbc657e34957ff68b6504c7aba4551
G_r008_uneven_coverage_20pct	8	2608978	521796	3130774	20.000015331673936	16.666677313661094	51	18	True	True	299da30f5fcaf4fc99a35c498cab26c6bf282d965abb16667e07465e29d47584
G_r008_uneven_coverage_40pct	8	2608978	1043591	3652569	39.99999233416303	28.571424660287047	51	32	True	True	821fccab2085d9aeabfa232ff3e93004c4628b416a64dfb12704975a5001306c
G_r009_uneven_coverage_5pct	9	2017317	100866	2118183	5.000007435618696	4.761911506229632	5	1	True	True	d2d469b25e978922adf7731d720641db812d57c72cb56db9b2a30b286c1d6035
G_r009_uneven_coverage_10pct	9	2017317	201732	2219049	10.000014871237392	9.090921381186265	5	2	True	True	0d8638d5e0e9c69dd1f26d631192e078fb54f9a4774da67402f262fba8d7a349
G_r009_uneven_coverage_20pct	9	2017317	403463	2420780	19.99998017168348	16.66665289700014	5	3	True	True	6971b2bd7a3a800d3dab30f27ac77ba9a453cde0475755429b7700cc76fc4db7
G_r009_uneven_coverage_40pct	9	2017317	806927	2824244	40.00000991415826	28.571433629672224	5	4	True	True	1ba1388c2cce2c2ca22654ed202a80087829a4122f68521d4a844a208d440f0b
G_r010_uneven_coverage_5pct	10	2621628	131081	2752709	4.999984742305163	4.761890922723761	5	1	True	True	eaf83ffe8820f3c2944f14b6bcdf2f6f0b57382d6315a6ab40f5d53b89d36d1d
G_r010_uneven_coverage_10pct	10	2621628	262163	2883791	10.000007628847419	9.09091539574123	5	1	True	True	ac77a56780ff70906e4a210b9689ab7da53eeb719e2d6b795794c4c4d2a3eabc
G_r010_uneven_coverage_20pct	10	2621628	524326	3145954	20.000015257694837	16.666677262286733	5	2	True	True	12ac2e405a2817d2a939dba1d90dd64f00d24ff8fe3016091b7d94f29607c0a8
G_r010_uneven_coverage_40pct	10	2621628	1048651	3670279	39.99999237115258	28.571424679159268	5	5	True	True	ec44be664af7a9ef218db47c56f5bf4d9531caf27d03368261d0f1ad45ee6a35
G_r011_uneven_coverage_5pct	11	1845274	92264	1937538	5.000016257748172	4.761919508159324	39	4	True	True	4d0f1527a69e009f252f6d39d0016594a929e0e7a37125836c6600a9b830c83c
G_r011_uneven_coverage_10pct	11	1845274	184527	2029801	9.999978323002438	9.090891176031542	39	6	True	True	b19ccc7c15c9eaab2af07f2460e53566a92591c571d4bb46f6e762d1e371f24d
G_r011_uneven_coverage_20pct	11	1845274	369055	2214329	20.00001083849878	16.666674193401253	39	8	True	True	07369f792fc4a354ec9ce82b49c828c21faba346b34ceaf1104d63a78652115b
G_r011_uneven_coverage_40pct	11	1845274	738110	2583384	40.00002167699756	28.571439631119492	39	28	True	True	0c5948f75c24da708aeb9fac04d5978e60fd8b4477d765033558126ed8254101
G_r012_uneven_coverage_5pct	12	2151097	107555	2258652	5.000006973186239	4.761911086789819	67	3	True	True	ee5f289ef37d38e3aa0a194f299b4812ceaac3d694e3c3dbf3ddeb760e68e3e8
G_r012_uneven_coverage_10pct	12	2151097	215110	2366207	10.000013946372478	9.090920616835298	67	9	True	True	a1e4075e0095888ad1f2078e7ebb315a138a8e0d26cf12f0c93659756cdcf59a
G_r012_uneven_coverage_20pct	12	2151097	430219	2581316	19.999981404836696	16.666653753356815	67	10	True	True	2009c7e098bd4fdfea87ffd82e75d42c741c91bb6e0293bc4b8151422133ff4f
G_r012_uneven_coverage_40pct	12	2151097	860439	3011536	40.000009297581656	28.571433315092364	67	32	True	True	ea06ae64ab4de2ced74a67368d390a339c5f7d6bf3ccb3a24c8c47ac41920687
G_r013_uneven_coverage_5pct	13	960717	48036	1008753	5.000015613338787	4.761918923661193	4	1	True	True	eb4a57591c8542c8bd77028001d5f12015c96f27bf06bdb5665494505e001308
G_r013_uneven_coverage_10pct	13	960717	96072	1056789	10.000031226677574	9.090934898073314	4	1	True	True	3d09612b63f0427612f4d37cc0f4e80e23fd0e4b128fc281c5af5adad768b0b8
G_r013_uneven_coverage_20pct	13	960717	192143	1152860	19.9999583644299	16.666637753066286	4	1	True	True	9efd23619a26b5c14512b9abbfba067a53fff14655eb62deacc8319d3fb75bf1
G_r013_uneven_coverage_40pct	13	960717	384287	1345004	40.00002081778505	28.571439192745895	4	2	True	True	6ce5d5b59aa8d1acfb0004f58546881d3a6b2fb134ff25be9ce98d61398307a7
G_r014_uneven_coverage_5pct	14	1383359	69168	1452527	5.000003614390769	4.761908040263624	80	4	True	True	8e00691f007e419ab1ee5f68abc94c621710dc6e1f65ddba5abdc90137b2c902
G_r014_uneven_coverage_10pct	14	1383359	138336	1521695	10.000007228781538	9.090915065108316	80	6	True	True	a216b0a16b614b33adaa1b869229580cb9b84ea8d7f44c16e5d3a67bb8ec33fe
G_r014_uneven_coverage_20pct	14	1383359	276672	1660031	20.000014457563076	16.666676706639816	80	20	True	True	f271fe46d71ea3e9c843ce0cb39974cc72ec8b3cffd4bff8dc2e309d89b06f98
G_r014_uneven_coverage_40pct	14	1383359	553344	1936703	40.00002891512615	28.57144332404091	80	38	True	True	815217fe67fcc5ec2b9d95389bf68e5f709efe4d4db268a5dc242937fb461b2a
G_r015_uneven_coverage_5pct	15	3821949	191097	4013046	4.999988225902544	4.761894082450089	7	1	True	True	671f53b6f7db338c01aea9a9853b215ec24a965b81af95bfba735edae3af2ec8
G_r015_uneven_coverage_10pct	15	3821949	382195	4204144	10.000002616466102	9.090911253277719	7	2	True	True	ee1dab45d18c4e163dcaa3f722ea736f38481a90bfb278ad7a0799a5cb26314a
G_r015_uneven_coverage_20pct	15	3821949	764390	4586339	20.000005232932203	16.666670300647205	7	3	True	True	10acacc3ad914c26a9c49fb6fffce6d359ceb981570dc07fe3f39f8b3ae07877
G_r015_uneven_coverage_40pct	15	3821949	1528780	5350729	40.000010465864406	28.57143391115491	7	4	True	True	06d06cd9135609a45ee2040e70b82583afb5a89202e6bd91823f679afba81b0f
G_r016_uneven_coverage_5pct	16	1420425	71021	1491446	4.999982399633913	4.7618887978512126	187	14	True	True	5f289fead898f9d6ad0dba6e26d85a9a422c4a0cf9cf84f900d77c8be39fb771
G_r016_uneven_coverage_10pct	16	1420425	142042	1562467	9.999964799267826	9.090879999385587	187	28	True	True	87597ff5c0074e43f8e50205e0652e2537b0ab2de421f1adf7b28437dea607a8
G_r016_uneven_coverage_20pct	16	1420425	284085	1704510	20.0	16.666666666666668	187	35	True	True	e821abb3459423735f1fecee6f039b4c070634902fd930a00e6b5aa1bd654a46
G_r016_uneven_coverage_40pct	16	1420425	568170	1988595	40.0	28.571428571428573	187	96	True	True	934d6be9f4a01a838bc360a46b26a80ba1e57c65ad8e024325bcf3eec4a8a8b8
G_r017_uneven_coverage_5pct	17	3047013	152351	3199364	5.00001148665923	4.761915180642153	35	3	True	True	cdefc9353f36221404cd4570f561f69cbffb1aef3a487575ac4e1cfc9993f318
G_r017_uneven_coverage_10pct	17	3047013	304701	3351714	9.999990154292089	9.090900953959675	35	5	True	True	4cffb13c2e05cae7b12ddee508797a6f5a40a673a3ca109336daaa59756a3497
G_r017_uneven_coverage_20pct	17	3047013	609403	3656416	20.000013127610547	16.666675783061883	35	10	True	True	7f92901ae54b32c08ade8d1a6011fd9f5f1bfa421445a1102f2debb125637418
G_r017_uneven_coverage_40pct	17	3047013	1218805	4265818	39.99999343619473	28.57142522254817	35	20	True	True	2fbfdb52372cef451320685f99988db8249e3181a05a50f4318306045c36d3df
G_r018_uneven_coverage_5pct	18	2153863	107693	2261556	4.999993035768756	4.76189844514131	11	1	True	True	507b5bea0104028a0cb6120580e22e647db9ea7d8e4cd545734ea1347264747f
G_r018_uneven_coverage_10pct	18	2153863	215386	2369249	9.999986071537512	9.09089757978161	11	1	True	True	c3d2659afcdc47915b2ee008cedb343b9dbe81c4b3bdd181d19089994e16d74b
G_r018_uneven_coverage_20pct	18	2153863	430773	2584636	20.000018571283317	16.666679563389195	11	3	True	True	373bcd88d962a591c2c0beed54a458a165da308abc0f58286cf4ebfc64016ddf
G_r018_uneven_coverage_40pct	18	2153863	861545	3015408	39.99999071435834	28.57142383385598	11	10	True	True	fd3e6cbb63567071f74aa381efbeabdbee396820e28e986092410853ca6be6a2
G_r019_uneven_coverage_5pct	19	2386905	119345	2506250	4.999989526185583	4.761895261845386	7	1	True	True	2c5ad4b5e3bc4a2bfbc10d7388bf31c3cea30599678927bdbda2a0120831a36a
G_r019_uneven_coverage_10pct	19	2386905	238690	2625595	9.999979052371167	9.09089177881585	7	1	True	True	b1c0c60f02c32fb173470d455765ac1ac26498edee50fd02f363cfafb4739436
G_r019_uneven_coverage_20pct	19	2386905	477381	2864286	20.0	16.666666666666668	7	2	True	True	d1c36904074dfa7b9cbc6e0d9384d40175d238ce988a0ea393bf145e0a22b334
G_r019_uneven_coverage_40pct	19	2386905	954762	3341667	40.0	28.571428571428573	7	3	True	True	4e7c658fc9f2de7b7ea9e25c676f47fa6439ad0b02f4853201a974f2c34c246d
G_r020_uneven_coverage_5pct	20	2056530	102826	2159356	4.999975687201257	4.7618827094744915	104	9	True	True	e2ab3901e43f48d1d5f3707e27af98621d61adc02ad5cb52595ab8ffc582fdd9
G_r020_uneven_coverage_10pct	20	2056530	205653	2262183	10.0	9.090909090909092	104	10	True	True	11a9df5b6446f928c1804e23266ae733ba7dc575357578255b53c5a4128a2a9a
G_r020_uneven_coverage_20pct	20	2056530	411306	2467836	20.0	16.666666666666668	104	22	True	True	7a963ebdbf92f6017304559c79a2d53f7d05931f3d451f5030295ddec601ed97
G_r020_uneven_coverage_40pct	20	2056530	822612	2879142	40.0	28.571428571428573	104	49	True	True	62de9206690e3fe888b5e28f67e06ae12e3df45be5f20aee2a54192764c912f0
G_r021_uneven_coverage_5pct	21	2273423	113671	2387094	4.999993402019774	4.761898777341822	3	1	True	True	28c2de5e596ab71c86f8f9120ad3ac43150bfbacb8b596d343d58f6a9f30ae63
G_r021_uneven_coverage_10pct	21	2273423	227342	2500765	9.999986804039548	9.090898185155343	3	1	True	True	a438311b6ddf134c801258638fcd265778b560730c241f87679637f1691e3e7e
G_r021_uneven_coverage_20pct	21	2273423	454685	2728108	20.000017594613936	16.666678885146776	3	1	True	True	c043adb4f7840351d10ad121cca2c8f57b02ce71a5adb245026c15ecae4feecb
G_r021_uneven_coverage_40pct	21	2273423	909369	3182792	39.99999120269303	28.571424083006367	3	1	True	True	9332cb0c5f9dffe22b0f9aa71364a55a6c80225fc0de12260fb03e6f623c2d4a
G_r022_uneven_coverage_5pct	22	3403370	170168	3573538	4.999985308679339	4.76189143644198	113	8	True	True	00165b052b32e5882587e09d72ef1cf7fefa9d8ede02be9397e69b1e0ba3d2d9
G_r022_uneven_coverage_10pct	22	3403370	340337	3743707	10.0	9.090909090909092	113	14	True	True	9d05b937c85ce92390182e96be9f76e2a5da04a47702e8a8d9d2036e6406abbf
G_r022_uneven_coverage_20pct	22	3403370	680674	4084044	20.0	16.666666666666668	113	32	True	True	5456029aa374927502109099cb615b9c959a2f870221c14a02e4a5dcdc4891fe
G_r022_uneven_coverage_40pct	22	3403370	1361348	4764718	40.0	28.571428571428573	113	54	True	True	332fd4426dd440625b8c7b8097768810de842bea9288b423c3ccd8b9241f17ab
G_r023_uneven_coverage_5pct	23	2182140	109107	2291247	5.0	4.761904761904762	6	1	True	True	f7a82ca96c5467fe0e5c849a6d2ebc0fc602accee2c73f0901f1a1af3bd78ee6
G_r023_uneven_coverage_10pct	23	2182140	218214	2400354	10.0	9.090909090909092	6	2	True	True	2ee3527293edea7e6d660f95b5786b8f095450c7fb8f24cc7b1594cc8e6c2295
G_r023_uneven_coverage_20pct	23	2182140	436428	2618568	20.0	16.666666666666668	6	3	True	True	ef578928b7447b708d23d433a8f4b7752b7817a5e9b6ae66fd76720eaf943fb7
G_r023_uneven_coverage_40pct	23	2182140	872856	3054996	40.0	28.571428571428573	6	4	True	True	80db69384d2dcae98fa7688b86ad2f39401c95ea6b3f9b01b2e4e012869d9011
G_r024_uneven_coverage_5pct	24	8802857	440143	9243000	5.000001703992238	4.761906307475928	58	6	True	True	ad04cb71c5d8eec610e3ca11e2c7a8aad30bb15d000f6d2e4526de8284c34094
G_r024_uneven_coverage_10pct	24	8802857	880286	9683143	10.000003407984476	9.090911907425099	58	8	True	True	2231afe36325a4f9bc3bd84ae310533c86fb5bcb2351534bfea7e199deb89e4a
G_r024_uneven_coverage_20pct	24	8802857	1760571	10563428	19.9999954560207	16.666663511125364	58	7	True	True	fbbceeb1803c78ffd931f05b1604e319a7902f220605680273ca8cfb67745f3d
G_r024_uneven_coverage_40pct	24	8802857	3521143	12324000	40.00000227198965	28.571429730606948	58	24	True	True	22be077980d51a90dfba14e97b12bad5468f340947ab5b32c2933627bc7a1b2b
G_r025_uneven_coverage_5pct	25	1837431	91872	1929303	5.000024490715569	4.761926975700551	5	1	True	True	732947aa732b22101e869b6d09f7f8f830f5b74e032a3e5e75acd57298720e28
G_r025_uneven_coverage_10pct	25	1837431	183743	2021174	9.999994557618763	9.090904593073136	5	1	True	True	ccbc88a249ca6a1e8cfe06e402098a49f2cbca3b6f8e078e747e508be69ec7ef
G_r025_uneven_coverage_20pct	25	1837431	367486	2204917	19.999989115237526	16.666659107803152	5	1	True	True	04f351c1694763d00059996ed37af4bf2eddadcfd56002dbe756a2ada01fa279
G_r025_uneven_coverage_40pct	25	1837431	734972	2572403	39.99997823047505	28.57141746452636	5	4	True	True	d9b7e0acd91ba1a2876107a6362eea85f93bef0a26ada437d48a7096070251de
G_r026_uneven_coverage_5pct	26	4597295	229865	4827160	5.000005437980378	4.761909694313013	109	3	True	True	d943776113551d4d0effe908060376752e5081a805baab8c0d3cbb45738a1f04
G_r026_uneven_coverage_10pct	26	4597295	459730	5057025	10.000010875960756	9.09091807930552	109	2	True	True	acd2e3bf7c631e80d819070e5f1b9bb763d76a39c1c386ecadd4a1c2e7a3ddd7
G_r026_uneven_coverage_20pct	26	4597295	919459	5516754	20.0	16.666666666666668	109	15	True	True	66e50ee0bc5c9e480c3a62a95f4a1726bad4ed271d6032930d2361907611b1bc
G_r026_uneven_coverage_40pct	26	4597295	1838918	6436213	40.0	28.571428571428573	109	17	True	True	3f09519128e1f7a916861dc98dcfc665bf1667cf663e11527768b92753b409c6
G_r027_uneven_coverage_5pct	27	1907575	95379	2002954	5.0000131056446016	4.761916649109265	33	4	True	True	74d726e7ee6545044eb52bb7ac84a7d81f14fe73f7c57802d48dfcad10226b81
G_r027_uneven_coverage_10pct	27	1907575	190758	2098333	10.000026211289203	9.090930753126411	33	4	True	True	493fe8e3c954c0900a810506034ffd061e8f471208487a302d9c3ed077c378e8
G_r027_uneven_coverage_20pct	27	1907575	381515	2289090	20.0	16.666666666666668	33	11	True	True	a2df1a602312bd6c07c987e57374e2f9bef8728074870732dbc72ca38f159f7d
G_r027_uneven_coverage_40pct	27	1907575	763030	2670605	40.0	28.571428571428573	33	18	True	True	5c34d12938d870c85c71ea61842eebee00ad6c8b1e33b05d1cf2db0471593320
G_r028_uneven_coverage_5pct	28	3711522	185576	3897098	4.999997305687532	4.761902318083867	10	1	True	True	6ea5b232d0ca6c9083197a2f6e80d7846228c0d3d83523d2c925dfb8ea828c19
G_r028_uneven_coverage_10pct	28	3711522	371152	4082674	9.999994611375064	9.090904637499834	10	2	True	True	d8aaa3d8f8f6e45b7709b6bfa091e74205c9cb7404b90f87ec3be6fb89ed7994
G_r028_uneven_coverage_20pct	28	3711522	742304	4453826	19.999989222750127	16.666659182464695	10	4	True	True	b1dcd4667d684b2d7dc522363d09cdd675d3fdf2cc626137336abd176e581e00
G_r028_uneven_coverage_40pct	28	3711522	1484609	5196131	40.000005388624935	28.5714313207269	10	6	True	True	8754d66cb82a345c1a71cb6eaabc53bafcbb49541d817c06b72f74f213918b98
G_r029_uneven_coverage_5pct	29	842217	42111	884328	5.000017810136818	4.761920916221131	48	3	True	True	6ada27cdcbd4abcdcc6ee21077576cdde41114eb758a7fda27ac494609a0b61a
G_r029_uneven_coverage_10pct	29	842217	84222	926439	10.000035620273636	9.090938529142232	48	3	True	True	401dd606c74659d6306f1735bf5c4b423960ec37632f1a785124208ceed5884a
G_r029_uneven_coverage_20pct	29	842217	168443	1010660	19.99995250630182	16.666633684918764	48	12	True	True	359b79152bffbb8599429ae56fcd7be20c8419fd7e076ebcebd705cc7a469e0c
G_r029_uneven_coverage_40pct	29	842217	336887	1179104	40.00002374684909	28.571440687165847	48	18	True	True	20dd7e83c8a30bfb4e81af57c5d3dcd0ce310d6b818a92fb6687f0102f08af77
G_r030_uneven_coverage_5pct	30	3773202	188660	3961862	4.9999973497310775	4.761902358032662	326	22	True	True	16921f5e1064b68b36cb85d6a9ebb73bddee0cb7f05cddfc232e967b5c77f676
G_r030_uneven_coverage_10pct	30	3773202	377320	4150522	9.999994699462155	9.09090471029909	326	40	True	True	a5de465d712315eceba1e2b4fbf9681cfdb8f8d641cfdabe8088b44cf8f23819
G_r030_uneven_coverage_20pct	30	3773202	754640	4527842	19.99998939892431	16.666659304807897	326	74	True	True	08b43d85dfff30a9bd573c5427c5b568472ddf17f5387cb0b246601d12a899b8
G_r030_uneven_coverage_40pct	30	3773202	1509281	5282483	40.00000530053784	28.571431275784512	326	135	True	True	113dee2808048c5751672966519e1d609ca4b6a669e17cad2e4b7df18516d34f
G_r031_uneven_coverage_5pct	31	896223	44811	941034	4.999983263094118	4.761889581035329	10	1	True	True	1ec480703ebcf1a172f3ad2115b1a96563d909e3ef742b0de0ad7f97163d2d7c
G_r031_uneven_coverage_10pct	31	896223	89622	985845	9.999966526188237	9.09088142659343	10	2	True	True	f3eec8552fae80e662c102ece7c7a7472d5457749859d5981ad05dfd6fdc6731
G_r031_uneven_coverage_20pct	31	896223	179245	1075468	20.000044631749017	16.66669766092529	10	2	True	True	d4f7edc56434be183268b733ba15177e0a6d74f70e92d0305ffdf0200b1e5121
G_r031_uneven_coverage_40pct	31	896223	358489	1254712	39.99997768412549	28.571417185776497	10	6	True	True	6313f8b9ccfad08fadac01dde8f484b6f4f2e1f512aeb7b8c659806429c810cc
G_r032_uneven_coverage_5pct	32	2126517	106326	2232843	5.000007053787955	4.761911159897942	8	1	True	True	ecd3fab95642270016fb919a88226957bcc22aacd66100c0d264fb0377df88d7
G_r032_uneven_coverage_10pct	32	2126517	212652	2339169	10.00001410757591	9.09092075006124	8	1	True	True	b50c77af7dc8f0fa9d7365a91a660d5e0e7543c57d878ad5a7f375c829dc9c57
G_r032_uneven_coverage_20pct	32	2126517	425303	2551820	19.999981189898786	16.666653604094332	8	3	True	True	9b33b336ffd2898089c3591ab587158e744089febe4901bb208747e119220594
G_r032_uneven_coverage_40pct	32	2126517	850607	2977124	40.000009405050605	28.571433369923458	8	4	True	True	0380f3813dca2d635d8d5091f3b7de1cd3d5c49c19ba8494f488b9e5289b3b20
G_r033_uneven_coverage_5pct	33	1367175	68359	1435534	5.000018285881471	4.761921347735407	31	2	True	True	5f662378de75cc520a62d77874d077f469fc2a339b4357b937f9e2d8e8f0d72c
G_r033_uneven_coverage_10pct	33	1367175	136718	1503893	10.000036571762942	9.090939315496515	31	2	True	True	16a8461a98103c81e7a51debd8c8fb0b555bcbc1c5c5e9013114ce844cffa2e9
G_r033_uneven_coverage_20pct	33	1367175	273435	1640610	20.0	16.666666666666668	31	9	True	True	6d254db1db71001736ce94a2448a507eee852ebfd4f2fa8cb620c8ff5e8dbf28
G_r033_uneven_coverage_40pct	33	1367175	546870	1914045	40.0	28.571428571428573	31	17	True	True	86a1e1b643314161509e73ac16d00615efb18313351ca443e9fde90c4d5dbba2
G_r034_uneven_coverage_5pct	34	2571751	128588	2700339	5.0000174978059695	4.76192063292794	1	1	True	True	0aa8735922eb5bde483110c2f55fbb6ae4188b2bff0c5b6adcbc0acd0153f1f8
G_r034_uneven_coverage_10pct	34	2571751	257175	2828926	9.999996111598673	9.090905877354162	1	1	True	True	c0f2c28161e8307eb99234a2625139307bff30ab0794146eb58ea621f245f452
G_r034_uneven_coverage_20pct	34	2571751	514350	3086101	19.999992223197346	16.666661266108918	1	1	True	True	7b7551df6c3e95cc1837a15188a74ec8ac593984461fc04a55b9610746f98300
G_r034_uneven_coverage_40pct	34	2571751	1028700	3600451	39.99998444639469	28.57142063591478	1	1	True	True	4041efbfc92bdc40ed257d15fe28051130f363ef204140a60eacb4721a128e66
G_r035_uneven_coverage_5pct	35	1364433	68222	1432655	5.0000256516809545	4.7619280287298755	10	1	True	True	b9f2e1b679687216b1606ec9979ab82589c44400c36bfca0da5458e7af99b582
G_r035_uneven_coverage_10pct	35	1364433	136443	1500876	9.999978012844895	9.090890919702893	10	2	True	True	cb7f2daee823dc1296494f4645f82c5dd38258fb1e92d0996ce31bf2d0e5e5bc
G_r035_uneven_coverage_20pct	35	1364433	272887	1637320	20.000029316206806	16.666687025138643	10	4	True	True	4128510ba104700ef69bf8c4d93050b588e8ee3ef4da4846f5e639fe94948336
