tool	margin	level	n	n_clusters	detection_slope	detection_slope_ci_lo	detection_slope_ci_hi	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	cont_r2	comp_r2	true_cont_mean	true_comp_mean	mimag_n	mimag_n_true_HQ	mimag_n_pred_HQ	mimag_HQ_tp	mimag_HQ_fp	mimag_HQ_fn	mimag_HQ_tn	mimag_HQ_precision	mimag_HQ_recall	mimag_false_clean_rate_5pct	mimag_false_dirty_rate_5pct
magicc_v5	pooled	NON_REDUNDANT(replaced+single)	1200	100	0.5469	0.4737	0.617	5.334	4.6251	6.0387	-4.7447	-5.4316	-4.057	4.9495	4.3129	5.6179	3.7758	3.0964	4.4931	-0.3758	0.4047	9.198	81.621	1200.0	87.0	303.0	85.0	218.0	2.0	895.0	0.2805	0.977	0.5897	0.0119
magicc_v5	pooled	UNCONTAMINATED_CONTROL	100	100				0.4423	0.3432	0.5661	0.4423	0.3432	0.5661	1.6341	1.2176	2.1479	0.054	-0.5028	0.6325		0.8943	0.0	85.135	100.0	19.0	23.0	18.0	5.0	1.0	76.0	0.7826	0.9474	0.0	0.0
checkm2	type	redundant	600	100	1.1318	1.0136	1.2605	4.5355	3.9941	5.1282	3.3646	2.6896	4.0881	3.754	3.0824	4.49	2.9148	2.0981	3.7808	-0.0937	0.5697	9.35	85.135	600.0	42.0	37.0	23.0	14.0	19.0	544.0	0.6216	0.5476	0.0281	0.3014
checkm2	type	replaced	600	100	0.0415	0.0078	0.0834	8.4248	7.2041	9.6284	-8.2905	-9.5098	-7.0643	9.0389	7.9495	10.2022	8.5959	7.4574	9.7796	-1.6722	-0.64	9.35	78.107	600.0	43.0	171.0	42.0	129.0	1.0	428.0	0.2456	0.9767	0.9746	0.0
checkm2	type	single	600	100	0.0835	0.0462	0.1221	7.7032	6.5742	8.7667	-7.5896	-8.6796	-6.423	2.6805	2.2104	3.2261	1.161	0.461	1.8274	-1.3309	0.797	9.046	85.135	600.0	44.0	156.0	44.0	112.0	0.0	444.0	0.2821	1.0	0.9275	0.0
checkm2	distance	species	300	100	0.3719	0.3246	0.4195	5.8459	5.0518	6.6208	-5.0604	-5.8619	-4.263	4.8085	4.2135	5.4008	3.8132	3.1081	4.5083	-0.6699	0.4064	8.743	82.689	300.0	23.0	61.0	20.0	41.0	3.0	236.0	0.3279	0.8696	0.6667	0.0541
checkm2	distance	genus	300	100	0.3552	0.3008	0.4193	6.466	5.6097	7.3828	-5.1293	-6.0402	-4.2943	5.0145	4.4313	5.6399	4.1166	3.4311	4.8881	-0.8853	0.3813	9.35	82.759	300.0	21.0	66.0	19.0	47.0	2.0	232.0	0.2879	0.9048	0.6447	0.0583
checkm2	distance	family	300	100	0.4408	0.3763	0.5059	6.7934	5.9467	7.7172	-4.3153	-5.1392	-3.5631	5.2115	4.5306	5.9398	4.4078	3.6309	5.272	-0.9159	0.3145	9.35	82.83	300.0	21.0	61.0	17.0	44.0	4.0	235.0	0.2787	0.8095	0.6462	0.1143
checkm2	distance	order	300	100	0.4602	0.3877	0.5365	7.1921	6.2687	8.1715	-3.8177	-4.5885	-3.1179	5.2197	4.5664	5.9499	4.3938	3.6311	5.2322	-1.0654	0.3349	9.35	82.9	300.0	22.0	64.0	18.0	46.0	4.0	232.0	0.2812	0.8182	0.6345	0.1165
checkm2	distance	class	300	100	0.3884	0.3027	0.473	7.3221	6.4021	8.2873	-4.0321	-4.9014	-3.181	5.0915	4.4443	5.7764	4.0067	3.2086	4.8257	-1.1078	0.3625	9.35	82.796	300.0	21.0	59.0	18.0	41.0	3.0	238.0	0.3051	0.8571	0.6684	0.1346
checkm2	distance	phylum	300	100	0.5392	0.4246	0.67	7.7076	6.6423	8.7442	-2.6763	-3.6441	-1.6868	5.6011	4.7581	6.4947	4.6051	3.6555	5.6343	-1.5395	0.246	9.35	82.778	300.0	21.0	53.0	17.0	36.0	4.0	243.0	0.3208	0.8095	0.599	0.1262
checkm2	true_contamination_band	[0,5]%	540	30	0.1328	-0.2574	0.4593	1.6897	1.4239	1.9603	-0.3608	-0.7265	0.0156	2.7652	2.1267	3.4798	1.452	0.6113	2.2801	-5.1009	0.7801	1.993	84.227	540.0	79.0	119.0	76.0	43.0	3.0	418.0	0.6387	0.962	0.0	0.0685
checkm2	true_contamination_band	[5,10]%	360	20	0.438	0.1129	0.7657	4.7614	4.2306	5.2782	-1.8304	-2.3943	-1.2728	3.6757	2.7528	4.7967	3.1122	1.9915	4.3697	-16.0403	0.5581	6.215	84.966	360.0	48.0	66.0	31.0	35.0	17.0	277.0	0.4697	0.6458	0.6547	0.3171
checkm2	true_contamination_band	[10,15]%	360	20	0.781	0.4708	1.1457	8.3171	7.733	8.952	-4.9923	-5.6004	-4.4053	5.5832	4.7326	6.425	5.0558	4.0497	6.0726	-33.0754	0.1547	11.121	81.845	360.0	1.0	49.0	1.0	48.0	0.0	311.0	0.0204	1.0	0.6461	0.0
checkm2	true_contamination_band	[15,20]%	540	30	0.4354	0.188	0.738	12.5508	11.9472	13.1374	-8.9968	-9.9693	-8.0407	8.2549	7.21	9.418	7.1822	5.8147	8.685	-28.469	0.0395	17.278	80.539	540.0	1.0	130.0	1.0	129.0	0.0	410.0	0.0077	1.0	0.635	0.0
checkm2	type_x_band	redundant|[0,5]%	180	30	1.1073	0.578	1.5742	1.8213	1.5359	2.1366	1.5215	1.1538	1.8916	2.3229	1.7262	2.9868	0.7238	-0.3668	1.7434	-6.3862	0.8355	2.0	84.882											
checkm2	type_x_band	redundant|[5,10]%	120	20	1.2376	0.7516	1.7334	4.4889	3.9171	5.0909	4.2387	3.639	4.8919	2.7674	1.4156	4.4244	2.1938	0.7621	3.9619	-18.5553	0.6489	6.25	87.142											
checkm2	type_x_band	redundant|[10,20]%	300	50	0.9407	0.5711	1.2834	6.1826	5.4351	7.0298	4.1208	2.8553	5.3545	5.0073	3.9744	6.2224	4.5178	3.3779	5.8263	-4.9345	0.4395	15.0	84.483											
checkm2	type_x_band	replaced|[0,5]%	180	30	-0.4298	-0.7406	-0.1824	1.6274	1.2709	1.9808	-1.3191	-1.774	-0.8511	3.7684	2.7161	4.939	3.2839	2.0667	4.6006	-4.5515	0.6947	2.0	82.917											
checkm2	type_x_band	replaced|[5,10]%	120	20	-0.1093	-0.4037	0.1306	5.278	4.5498	5.9472	-5.278	-5.9472	-4.5498	6.0647	5.0122	7.1632	5.8132	4.6263	7.0131	-18.6488	-0.2448	6.25	80.613											
checkm2	type_x_band	replaced|[10,20]%	300	50	0.0298	-0.059	0.1433	13.762	12.8071	14.7644	-13.6784	-14.668	-12.6861	13.391	12.1307	14.5491	12.8961	11.6072	14.1636	-15.3047	-3.1212	15.0	74.219											
checkm2	type_x_band	single|[0,5]%	180	30	-0.3106	-0.6814	0.0074	1.6203	1.3079	1.9302	-1.2849	-1.7429	-0.787	2.2043	1.5821	2.9178	0.3484	-0.6555	1.3592	-4.359	0.8443	1.981	84.882											
checkm2	type_x_band	single|[5,10]%	120	20	0.0802	-0.395	0.5376	4.5173	3.7333	5.2407	-4.4521	-5.2169	-3.5886	2.1951	1.0211	3.6331	1.3295	-0.069	2.9785	-11.8637	0.7635	6.144	87.142											
checkm2	type_x_band	single|[10,20]%	300	50	0.1108	0.0486	0.1858	12.6274	11.7515	13.5326	-12.6274	-13.5326	-11.7515	3.1604	2.4767	3.9583	1.5811	0.5977	2.5802	-9.3564	0.7836	14.447	84.483											
checkm2	pooled	ALL_contaminated	1800	100	0.4292	0.3703	0.4924	6.8878	6.0249	7.7867	-4.1718	-4.9556	-3.4343	5.1578	4.5341	5.8276	4.2239	3.5084	5.0116	-1.0299	0.3412	9.249	82.792	1800.0	129.0	364.0	109.0	255.0	20.0	1416.0	0.2995	0.845	0.643	0.1002
checkm2	pooled	NON_REDUNDANT(replaced+single)	1200	100	0.0616	0.0272	0.1012	8.064	6.9359	9.1834	-7.94	-9.0909	-6.7932	5.8597	5.1807	6.5695	4.8784	4.1429	5.6734	-1.5012	0.2117	9.198	81.621	1200.0	87.0	327.0	86.0	241.0	1.0	872.0	0.263	0.9885	0.9513	0.0
checkm2	pooled	UNCONTAMINATED_CONTROL	100	100				0.6812	0.5046	0.8761	0.6812	0.5046	0.8761	2.1518	1.7053	2.6066	0.0677	-0.543	0.683		0.8653	0.0	85.135	100.0	19.0	24.0	19.0	5.0	0.0	76.0	0.7917	1.0	0.0	0.01
cocopye	type	redundant	600	100	1.4683	1.1753	1.7904	8.4758	6.5928	10.9006	7.9154	5.9666	10.3262	3.4969	2.7935	4.2894	0.0382	-0.9664	0.9642	-4.027	0.5964	9.35	85.135	600.0	42.0	24.0	21.0	3.0	21.0	555.0	0.875	0.5	0.0409	0.4306
cocopye	type	replaced	600	100	0.0653	-0.1982	0.3635	9.4738	8.0043	11.1067	-5.5459	-7.6245	-3.3195	10.2576	9.025	11.5957	9.1369	7.6108	10.6731	-2.835	-1.0336	9.35	78.107	600.0	43.0	199.0	35.0	164.0	8.0	393.0	0.1759	0.814	0.8553	0.165
cocopye	type	single	600	100	0.3692	0.1037	0.6739	7.2644	5.7823	8.9399	-3.0215	-4.9289	-0.9137	2.8497	2.279	3.5018	-0.732	-1.5353	0.0645	-2.0964	0.7511	9.046	85.135	600.0	44.0	85.0	36.0	49.0	8.0	507.0	0.4235	0.8182	0.557	0.1776
cocopye	distance	species	300	100	0.4594	0.1583	0.8265	7.7656	6.1232	9.6005	-2.1868	-4.1046	0.0994	5.2285	4.6414	5.8728	2.5391	1.5342	3.4421	-2.801	0.3222	8.743	82.689	300.0	23.0	51.0	17.0	34.0	6.0	243.0	0.3333	0.7391	0.6349	0.1982
cocopye	distance	genus	300	100	0.5084	0.2186	0.8355	8.4381	6.8136	10.2955	-1.7536	-3.67	0.4993	5.4943	4.8868	6.1378	2.7146	1.7118	3.6155	-2.9934	0.256	9.35	82.759	300.0	21.0	56.0	15.0	41.0	6.0	238.0	0.2679	0.7143	0.5888	0.2136
cocopye	distance	family	300	100	0.6368	0.3438	0.9719	8.8566	7.1784	10.8827	-0.2029	-2.1452	2.1206	5.6009	4.9232	6.316	2.8698	1.8158	3.89	-3.3568	0.1663	9.35	82.83	300.0	21.0	53.0	15.0	38.0	6.0	241.0	0.283	0.7143	0.5128	0.2381
cocopye	distance	order	300	100	0.7197	0.4504	1.0497	8.6246	6.9567	10.5715	0.5371	-1.3424	2.8421	5.5636	4.9136	6.2415	2.837	1.7746	3.7694	-3.1934	0.2201	9.35	82.9	300.0	22.0	54.0	17.0	37.0	5.0	241.0	0.3148	0.7727	0.4518	0.2816
cocopye	distance	class	300	100	0.6979	0.4373	0.9743	8.1576	6.6868	9.935	0.49	-1.1851	2.5772	5.6712	5.0215	6.3785	3.0018	1.9868	3.9182	-2.6661	0.1905	9.35	82.796	300.0	21.0	51.0	14.0	37.0	7.0	242.0	0.2745	0.6667	0.4082	0.2885
cocopye	distance	phylum	300	100	0.7956	0.5565	1.0466	8.5855	7.1036	10.0785	1.8122	0.2402	3.5585	5.65	4.9564	6.4191	2.9238	1.8307	3.9897	-2.9417	0.1733	9.35	82.778	300.0	21.0	43.0	14.0	29.0	7.0	250.0	0.3256	0.6667	0.3198	0.3301
cocopye	true_contamination_band	[0,5]%	540	30	2.5825	-0.5782	7.9257	4.0994	1.9571	7.5553	2.6355	0.2295	6.3404	3.6917	2.5141	5.3238	-1.5231	-3.4757	0.0078	-133.6952	0.5023	1.993	84.227	540.0	79.0	75.0	61.0	14.0	18.0	447.0	0.8133	0.7722	0.0	0.2426
cocopye	true_contamination_band	[5,10]%	360	20	2.1238	-0.1201	5.7978	7.1591	4.5583	11.9363	1.2042	-2.0859	6.8818	3.6491	2.9981	4.3533	2.1981	1.2776	3.1644	-94.3238	0.6192	6.215	84.966	360.0	48.0	61.0	29.0	32.0	19.0	280.0	0.4754	0.6042	0.5935	0.3659
cocopye	true_contamination_band	[10,15]%	360	20	1.8533	0.1936	5.0521	9.9396	7.4216	13.9484	-0.4348	-3.4262	4.6828	6.3536	5.428	7.2931	4.7424	3.1541	6.1053	-70.933	-0.1157	11.121	81.845	360.0	1.0	59.0	1.0	58.0	0.0	301.0	0.0169	1.0	0.4944	0.25
cocopye	true_contamination_band	[15,20]%	540	30	1.141	0.358	2.5643	12.517	11.1075	14.5782	-3.8729	-5.9551	-0.6734	8.0889	7.3998	8.8637	6.2772	4.896	7.4652	-32.6304	-0.013	17.278	80.539	540.0	1.0	113.0	1.0	112.0	0.0	427.0	0.0088	1.0	0.4227	0.0
cocopye	type_x_band	redundant|[0,5]%	180	30	3.9458	0.2661	10.0446	4.7373	2.3526	8.8517	4.3966	1.9326	8.6419	3.3611	2.0334	5.0818	-2.6654	-4.5297	-1.1821	-170.0939	0.4369	2.0	84.882											
cocopye	type_x_band	redundant|[5,10]%	120	20	3.5234	0.5231	8.5227	7.7464	4.2088	13.6365	6.9718	3.2692	13.0059	2.1886	1.5026	2.9738	0.102	-1.1258	1.2123	-135.527	0.8568	6.25	87.142											
cocopye	type_x_band	redundant|[10,20]%	300	50	1.3805	0.5813	2.3418	11.0107	8.6747	14.4125	10.404	8.0014	13.9185	4.1018	3.1155	5.3169	1.6348	0.1207	3.0912	-19.5556	0.5771	15.0	84.483											
cocopye	type_x_band	replaced|[0,5]%	180	30	1.8314	-1.4626	6.8152	3.9618	2.0545	6.8709	1.6089	-0.7215	4.823	4.3983	3.1353	6.054	0.8092	-1.4229	2.7917	-107.9654	0.5515	2.0	82.917											
cocopye	type_x_band	replaced|[5,10]%	120	20	2.0537	-0.6269	7.0773	7.4786	4.9842	11.952	-2.4365	-5.7324	3.3447	6.5713	5.2723	7.7999	6.4426	5.0286	7.7541	-87.7442	-0.4272	6.25	80.613											
cocopye	type_x_band	replaced|[10,20]%	300	50	0.1462	-0.5587	1.0078	13.579	12.2023	15.1513	-11.0825	-13.3113	-8.1321	15.2477	14.0007	16.4002	15.2112	13.9363	16.3865	-16.1413	-4.0746	15.0	74.219											
cocopye	type_x_band	single|[0,5]%	180	30	1.9426	-1.0357	7.0925	3.5991	1.5531	7.3157	1.9009	-0.416	5.9028	3.3157	2.0058	4.9489	-2.713	-4.4217	-1.2629	-122.949	0.4697	1.981	84.882											
cocopye	type_x_band	single|[5,10]%	120	20	0.9079	-0.4834	2.9308	6.2524	3.671	10.8138	-0.9229	-4.199	4.8327	2.1875	1.4263	3.0276	0.0498	-1.2649	1.2491	-66.0225	0.8612	6.144	87.142											
cocopye	type_x_band	single|[10,20]%	300	50	0.5657	0.0355	1.2292	9.8684	8.3539	11.7473	-6.8143	-9.0373	-3.987	2.8349	2.1063	3.6261	0.1438	-0.8932	1.2393	-7.824	0.8208	14.447	84.483											
cocopye	pooled	ALL_contaminated	1800	100	0.6426	0.361	0.9321	8.4047	6.9218	10.1575	-0.2173	-1.863	1.8449	5.5347	4.9171	6.2074	2.8143	1.8221	3.7441	-2.988	0.2218	9.249	82.792	1800.0	129.0	308.0	92.0	216.0	37.0	1455.0	0.2987	0.7132	0.4851	0.2576
cocopye	pooled	NON_REDUNDANT(replaced+single)	1200	100	0.212	-0.0456	0.5084	8.3691	6.9144	9.9409	-4.2837	-6.2569	-2.1196	6.5536	5.8309	7.3119	4.2024	3.1858	5.2055	-2.4661	0.0238	9.198	81.621	1200.0	87.0	284.0	71.0	213.0	16.0	900.0	0.25	0.8161	0.7077	0.1714
cocopye	pooled	UNCONTAMINATED_CONTROL	100	100				3.2343	1.638	5.1728	3.2343	1.638	5.1728	2.8758	2.2888	3.5314	-0.9581	-1.8269	-0.189		0.7513	0.0	85.135	100.0	19.0	19.0	16.0	3.0	3.0	78.0	0.8421	0.8421	0.0	0.11
deepcheck	type	redundant	600	100	1.0775	0.9499	1.2287	3.376	2.8395	3.9792	1.7514	1.0464	2.5159	4.8981	4.0631	5.8689	2.4899	1.237	3.6797	0.2558	0.3269	9.35	85.135	600.0	42.0	38.0	21.0	17.0	21.0	541.0	0.5526	0.5	0.0512	0.1627
deepcheck	type	replaced	600	100	0.0292	0.0009	0.0563	8.6961	7.4486	9.973	-8.6132	-9.9136	-7.3224	9.9866	8.7139	11.2594	8.4128	6.7737	9.9159	-1.805	-0.981	9.35	78.107	600.0	43.0	197.0	37.0	160.0	6.0	397.0	0.1878	0.8605	0.9848	0.0
deepcheck	type	single	600	100	0.0505	0.0239	0.0809	8.0682	6.9122	9.2626	-8.0215	-9.2373	-6.8527	3.7153	2.9971	4.5581	0.0744	-1.0072	1.1089	-1.5391	0.5861	9.046	85.135	600.0	44.0	144.0	38.0	106.0	6.0	450.0	0.2639	0.8636	0.9715	0.0
deepcheck	distance	species	300	100	0.3355	0.2943	0.3801	5.9923	5.1578	6.826	-5.4474	-6.2581	-4.5985	5.9655	5.1989	6.8404	3.3638	2.0754	4.4627	-0.763	0.147	8.743	82.689	300.0	23.0	67.0	18.0	49.0	5.0	228.0	0.2687	0.7826	0.6825	0.045
deepcheck	distance	genus	300	100	0.3649	0.3179	0.4133	6.4881	5.6409	7.4083	-5.5403	-6.4349	-4.7319	6.1593	5.4453	7.0609	3.6221	2.3913	4.7824	-0.933	0.1164	9.35	82.759	300.0	21.0	65.0	16.0	49.0	5.0	230.0	0.2462	0.7619	0.6751	0.0388
deepcheck	distance	family	300	100	0.4232	0.367	0.4961	6.6365	5.7138	7.5368	-4.9083	-5.7138	-4.0882	6.3605	5.5329	7.2439	4.0325	2.8289	5.1431	-0.9956	0.0601	9.35	82.83	300.0	21.0	65.0	16.0	49.0	5.0	230.0	0.2462	0.7619	0.6615	0.0476
deepcheck	distance	order	300	100	0.4199	0.3662	0.4807	6.8233	5.8758	7.7123	-4.7661	-5.5179	-4.0313	6.3637	5.5147	7.335	3.8409	2.5688	4.9908	-0.9885	0.0881	9.35	82.9	300.0	22.0	67.0	16.0	51.0	6.0	227.0	0.2388	0.7273	0.6599	0.068
deepcheck	distance	class	300	100	0.3615	0.2843	0.4546	7.0937	6.0672	8.0557	-4.912	-5.8169	-3.9899	6.0359	5.1999	6.928	3.3405	2.0909	4.5455	-1.1321	0.1489	9.35	82.796	300.0	21.0	59.0	15.0	44.0	6.0	235.0	0.2542	0.7143	0.6888	0.0673
deepcheck	distance	phylum	300	100	0.4521	0.3471	0.5741	7.2467	6.2868	8.2998	-4.1925	-5.2068	-3.2271	6.315	5.4626	7.3172	3.7542	2.3637	5.0127	-1.3523	0.1021	9.35	82.778	300.0	21.0	56.0	15.0	41.0	6.0	238.0	0.2679	0.7143	0.6447	0.0583
deepcheck	true_contamination_band	[0,5]%	540	30	0.169	-0.1607	0.4686	1.549	1.2939	1.8175	-0.8282	-1.1746	-0.4853	4.7714	3.2371	6.8442	-0.6386	-3.304	1.6111	-4.1727	0.1682	1.993	84.227	540.0	79.0	102.0	61.0	41.0	18.0	420.0	0.598	0.7722	0.0	0.0167
deepcheck	true_contamination_band	[5,10]%	360	20	0.2269	-0.0953	0.5617	4.4112	3.881	4.8925	-2.9336	-3.5649	-2.312	4.8217	3.4218	6.8191	3.1586	1.449	5.4214	-13.9078	0.2539	6.215	84.966	360.0	48.0	85.0	33.0	52.0	15.0	260.0	0.3882	0.6875	0.7122	0.3049
deepcheck	true_contamination_band	[10,15]%	360	20	0.6671	0.3577	1.0222	8.0924	7.4399	8.7816	-5.6446	-6.2626	-5.039	6.7366	5.5086	8.1198	5.911	4.3968	7.5821	-30.4439	-0.1887	11.121	81.845	360.0	1.0	62.0	1.0	61.0	0.0	298.0	0.0161	1.0	0.6517	0.0
deepcheck	true_contamination_band	[15,20]%	540	30	0.2765	0.0144	0.6059	12.4934	11.8392	13.1211	-9.9899	-10.9887	-8.9255	8.1898	7.1658	9.2805	6.7889	5.3959	8.2694	-29.5436	0.0579	17.278	80.539	540.0	1.0	130.0	1.0	129.0	0.0	410.0	0.0077	1.0	0.6574	0.0
deepcheck	type_x_band	redundant|[0,5]%	180	30	0.9508	0.3998	1.5256	1.2357	0.9883	1.5006	0.5837	0.1585	0.9813	4.529	2.8951	6.6914	-1.3595	-4.0287	0.916	-2.8276	0.0643	2.0	84.882											
