dataset	binset	bin_id	cluster	four_tool_common	cocopye_stage	cocopye_has_row	cocopye_scored
marine	gold	s4__Otu85.0	Otu85.0	True	2.0	True	True
marine	gold	s5__Otu1089	Otu1089	True	2.0	True	True
marine	gold	s5__Otu1129	Otu1129	True	2.0	True	True
marine	gold	s5__Otu116.0	Otu116.0	True	2.0	True	True
marine	gold	s5__Otu150.0	Otu150.0	True	2.0	True	True
marine	gold	s5__Otu1786	Otu1786	True	3.0	True	True
marine	gold	s5__Otu2052	Otu2052	True	2.0	True	True
marine	gold	s5__Otu2107	Otu2107	True	3.0	True	True
marine	gold	s5__Otu2119.0	Otu2119.0	True	3.0	True	True
marine	gold	s5__Otu24.0	Otu24.0	True	3.0	True	True
marine	gold	s5__Otu245.0	Otu245.0	True	2.0	True	True
marine	gold	s5__Otu283.0	Otu283.0	True	2.0	True	True
marine	gold	s5__Otu293.0	Otu293.0	True	3.0	True	True
marine	gold	s5__Otu316.0	Otu316.0	True	2.0	True	True
marine	gold	s5__Otu318.0	Otu318.0	True	2.0	True	True
marine	gold	s5__Otu457.0	Otu457.0	True	2.0	True	True
marine	gold	s5__Otu47.0	Otu47.0	True	3.0	True	True
marine	gold	s6__Otu1240.0	Otu1240.0	True	2.0	True	True
marine	gold	s6__Otu1297	Otu1297	True	2.0	True	True
marine	gold	s6__Otu318.0	Otu318.0	True	3.0	True	True
marine	gold	s6__Otu44.0	Otu44.0	True	3.0	True	True
marine	gold	s6__Otu46	Otu46	True	3.0	True	True
marine	gold	s6__Otu496.0	Otu496.0	True	2.0	True	True
marine	gold	s6__Otu521.0	Otu521.0	True	2.0	True	True
marine	gold	s6__Otu53.0	Otu53.0	True	3.0	True	True
marine	gold	s6__Otu89	Otu89	True	3.0	True	True
marine	gold	s7__Otu107	Otu107	True	3.0	True	True
marine	gold	s7__Otu1240.0	Otu1240.0	True	3.0	True	True
marine	gold	s7__Otu133.0	Otu133.0	True	2.0	True	True
marine	gold	s7__Otu1472	Otu1472	True	2.0	True	True
marine	gold	s7__Otu196	Otu196	True	3.0	True	True
marine	gold	s7__Otu235.0	Otu235.0	True	3.0	True	True
marine	gold	s7__Otu323.0	Otu323.0	True	2.0	True	True
marine	gold	s7__Otu36.0	Otu36.0	True	3.0	True	True
marine	gold	s7__Otu365.0	Otu365.0	True	3.0	True	True
marine	gold	s7__Otu39.0	Otu39.0	True	3.0	True	True
marine	gold	s7__Otu454.0	Otu454.0	True	2.0	True	True
marine	gold	s7__Otu536	Otu536	True	3.0	True	True
marine	gold	s8__Otu115	Otu115	True	2.0	True	True
marine	gold	s8__Otu1334	Otu1334	True	2.0	True	True
marine	gold	s8__Otu139	Otu139	True	3.0	True	True
marine	gold	s8__Otu226	Otu226	True	2.0	True	True
marine	gold	s8__Otu24.0	Otu24.0	True	3.0	True	True
marine	gold	s8__Otu323.0	Otu323.0	True	2.0	True	True
marine	gold	s8__Otu36.0	Otu36.0	True	3.0	True	True
marine	gold	s8__Otu39.0	Otu39.0	True	2.0	True	True
marine	gold	s8__Otu88.0	Otu88.0	True	3.0	True	True
marine	gold	s9__Otu1283	Otu1283	True	3.0	True	True
marine	gold	s9__Otu2322	Otu2322	True	2.0	True	True
marine	gold	s9__Otu35.0	Otu35.0	True	3.0	True	True
marine	gold	s9__Otu40.0	Otu40.0	True	3.0	True	True
marine	gold	s9__Otu457.0	Otu457.0	True	2.0	True	True
marine	gold	s9__Otu47.0	Otu47.0	True	3.0	True	True
marine	gold	s9__Otu479	Otu479	True	2.0	True	True
marine	gold	s9__Otu60.0	Otu60.0	True	3.0	True	True
marine	gold	s9__Otu851.0	Otu851.0	True	2.0	True	True
marine	gold	s9__Otu987	Otu987	True	3.0	True	True
marine	gold	s0__Otu1153	Otu1153	True	2.0	True	True
marine	gold	s0__Otu1182	Otu1182	True	3.0	True	True
marine	gold	s0__Otu351	Otu351	True	3.0	True	True
marine	gold	s0__Otu352.1	Otu352.1	True	3.0	True	True
marine	gold	s0__Otu503	Otu503	True	3.0	True	True
marine	gold	s0__Otu71	Otu71	True	2.0	True	True
marine	gold	s0__Otu797	Otu797	True	2.0	True	True
marine	gold	s1__Otu2206	Otu2206	True	2.0	True	True
marine	gold	s1__Otu282.1	Otu282.1	True	3.0	True	True
marine	gold	s1__Otu523	Otu523	True	2.0	True	True
marine	gold	s1__Otu525.0	Otu525.0	True	2.0	True	True
marine	gold	s1__Otu68	Otu68	True	3.0	True	True
marine	gold	s1__Otu79.1	Otu79.1	True	2.0	True	True
marine	gold	s1__Otu894.0	Otu894.0	True	3.0	True	True
marine	gold	s1__Otu9	Otu9	True	3.0	True	True
marine	gold	s2__Otu1270	Otu1270	True	2.0	True	True
marine	gold	s2__Otu174	Otu174	True	2.0	True	True
marine	gold	s2__Otu222.0	Otu222.0	True	2.0	True	True
marine	gold	s2__Otu2487	Otu2487	True	2.0	True	True
marine	gold	s2__Otu26.0	Otu26.0	True	3.0	True	True
marine	gold	s2__Otu279	Otu279	True	2.0	True	True
marine	gold	s2__Otu351	Otu351	True	2.0	True	True
marine	gold	s2__Otu364	Otu364	True	3.0	True	True
marine	gold	s2__Otu525.0	Otu525.0	True	3.0	True	True
marine	gold	s2__Otu873.1	Otu873.1	True	3.0	True	True
marine	gold	s3__Otu10	Otu10	True	3.0	True	True
marine	gold	s3__Otu1180.0	Otu1180.0	True	3.0	True	True
marine	gold	s3__Otu219.0	Otu219.0	True	3.0	True	True
marine	gold	s3__Otu229.0	Otu229.0	True	3.0	True	True
marine	gold	s3__Otu2290.0	Otu2290.0	True	3.0	True	True
marine	gold	s3__Otu241.0	Otu241.0	True	3.0	True	True
marine	gold	s3__Otu301	Otu301	True	2.0	True	True
marine	gold	s3__Otu336	Otu336	True	2.0	True	True
marine	gold	s3__Otu54	Otu54	True	2.0	True	True
marine	gold	s3__Otu634.0	Otu634.0	True	2.0	True	True
marine	gold	s3__Otu692	Otu692	True	2.0	True	True
marine	gold	s3__Otu89	Otu89	True	3.0	True	True
marine	gold	s4__Otu13.0	Otu13.0	True	3.0	True	True
marine	gold	s4__Otu1593	Otu1593	True	2.0	True	True
marine	gold	s4__Otu230.0	Otu230.0	True	3.0	True	True
marine	gold	s4__Otu36.0	Otu36.0	True	3.0	True	True
marine	gold	s4__Otu360	Otu360	True	2.0	True	True
marine	gold	s4__Otu395	Otu395	True	2.0	True	True
marine	gold	s4__Otu44.0	Otu44.0	True	3.0	True	True
marine	gold	s4__Otu612.0	Otu612.0	True	2.0	True	True
marine	gold	s4__Otu64.0	Otu64.0	True	3.0	True	True
marine	gold	s4__Otu71	Otu71	True	2.0	True	True
marine	gold	s5__Otu1238	Otu1238	True	2.0	True	True
marine	gold	s5__Otu241.0	Otu241.0	True	3.0	True	True
marine	gold	s5__Otu2438	Otu2438	True	3.0	True	True
marine	gold	s5__Otu254	Otu254	True	2.0	True	True
marine	gold	s5__Otu292.0	Otu292.0	True	2.0	True	True
marine	gold	s5__Otu365.0	Otu365.0	True	3.0	True	True
marine	gold	s5__Otu450.0	Otu450.0	True	3.0	True	True
marine	gold	s5__Otu454.0	Otu454.0	True	2.0	True	True
marine	gold	s5__Otu72.0	Otu72.0	True	3.0	True	True
marine	gold	s5__Otu783	Otu783	True	3.0	True	True
marine	gold	s5__Otu810.0	Otu810.0	True	3.0	True	True
marine	gold	s6__Otu1111	Otu1111	True	2.0	True	True
marine	gold	s6__Otu1180.0	Otu1180.0	True	2.0	True	True
marine	gold	s6__Otu1541	Otu1541	True	2.0	True	True
marine	gold	s6__Otu1596	Otu1596	True	2.0	True	True
marine	gold	s6__Otu1676.0	Otu1676.0	True	3.0	True	True
marine	gold	s6__Otu20	Otu20	True	3.0	True	True
marine	gold	s6__Otu2080.0	Otu2080.0	True	2.0	True	True
marine	gold	s6__Otu254	Otu254	True	2.0	True	True
marine	gold	s6__Otu255	Otu255	True	3.0	True	True
marine	gold	s6__Otu3.0	Otu3.0	True	3.0	True	True
marine	gold	s6__Otu36.0	Otu36.0	True	2.0	True	True
marine	gold	s6__Otu497.1	Otu497.1	True	3.0	True	True
marine	gold	s6__Otu76.0	Otu76.0	True	3.0	True	True
marine	gold	s6__Otu85.0	Otu85.0	True	3.0	True	True
marine	gold	s7__Otu108.1	Otu108.1	True	3.0	True	True
marine	gold	s7__Otu119.1	Otu119.1	True	2.0	True	True
marine	gold	s7__Otu1607	Otu1607	True	2.0	True	True
marine	gold	s7__Otu2290.0	Otu2290.0	True	2.0	True	True
marine	gold	s7__Otu230.0	Otu230.0	True	3.0	True	True
marine	gold	s7__Otu279	Otu279	True	3.0	True	True
marine	gold	s7__Otu351	Otu351	True	2.0	True	True
marine	gold	s7__Otu360	Otu360	True	2.0	True	True
marine	gold	s7__Otu457.0	Otu457.0	True	2.0	True	True
marine	gold	s7__Otu73	Otu73	True	3.0	True	True
marine	gold	s7__Otu771	Otu771	True	2.0	True	True
marine	gold	s7__Otu89	Otu89	True	3.0	True	True
marine	gold	s7__Otu941	Otu941	True	2.0	True	True
marine	gold	s8__Otu234.0	Otu234.0	True	2.0	True	True
marine	gold	s8__Otu47.0	Otu47.0	True	3.0	True	True
marine	gold	s8__Otu473	Otu473	True	2.0	True	True
marine	gold	s8__Otu53.0	Otu53.0	True	2.0	True	True
marine	gold	s8__Otu6	Otu6	True	3.0	True	True
marine	gold	s8__Otu90.0	Otu90.0	True	2.0	True	True
marine	gold	s9__Otu108.1	Otu108.1	True	3.0	True	True
marine	gold	s9__Otu115	Otu115	True	3.0	True	True
marine	gold	s9__Otu1334	Otu1334	True	2.0	True	True
marine	gold	s9__Otu249.0	Otu249.0	True	2.0	True	True
marine	gold	s9__Otu255	Otu255	True	3.0	True	True
marine	gold	s9__Otu612.0	Otu612.0	True	2.0	True	True
marine	gold	s9__Otu68	Otu68	True	3.0	True	True
marine	gold	s9__Otu73	Otu73	True	3.0	True	True
marine	gold	s9__Otu852.0	Otu852.0	True	3.0	True	True
marine	gold	s9__Otu86.0	Otu86.0	True	3.0	True	True
marine	gold	s0__Otu108.1	Otu108.1	True	3.0	True	True
marine	gold	s0__Otu116.0	Otu116.0	True	3.0	True	True
marine	gold	s0__Otu130.0	Otu130.0	True	3.0	True	True
marine	gold	s0__Otu136	Otu136	True	3.0	True	True
marine	gold	s0__Otu22	Otu22	True	3.0	True	True
marine	gold	s0__Otu222.0	Otu222.0	True	3.0	True	True
marine	gold	s0__Otu235.0	Otu235.0	True	2.0	True	True
marine	gold	s0__Otu2487	Otu2487	True	3.0	True	True
marine	gold	s0__Otu323.0	Otu323.0	True	2.0	True	True
marine	gold	s0__Otu67.0	Otu67.0	True	3.0	True	True
marine	gold	s0__Otu696	Otu696	True	3.0	True	True
marine	gold	s1__Otu1191	Otu1191	True	3.0	True	True
marine	gold	s1__Otu1278.0	Otu1278.0	True	2.0	True	True
marine	gold	s1__Otu20	Otu20	True	3.0	True	True
marine	gold	s1__Otu2177	Otu2177	True	2.0	True	True
marine	gold	s1__Otu218	Otu218	True	3.0	True	True
marine	gold	s1__Otu229.0	Otu229.0	True	3.0	True	True
marine	gold	s1__Otu2446	Otu2446	True	2.0	True	True
marine	gold	s1__Otu2479	Otu2479	True	2.0	True	True
marine	gold	s1__Otu360	Otu360	True	2.0	True	True
marine	gold	s1__Otu39.0	Otu39.0	True	3.0	True	True
marine	gold	s1__Otu395	Otu395	True	2.0	True	True
marine	gold	s1__Otu454.0	Otu454.0	True	3.0	True	True
marine	gold	s1__Otu536	Otu536	True	2.0	True	True
marine	gold	s1__Otu597.0	Otu597.0	True	3.0	True	True
marine	gold	s1__Otu634.0	Otu634.0	True	2.0	True	True
marine	gold	s1__Otu684	Otu684	True	2.0	True	True
marine	gold	s2__Otu1184	Otu1184	True	2.0	True	True
marine	gold	s2__Otu1332.0	Otu1332.0	True	3.0	True	True
marine	gold	s2__Otu150.0	Otu150.0	True	3.0	True	True
marine	gold	s2__Otu1529	Otu1529	True	3.0	True	True
marine	gold	s2__Otu168.0	Otu168.0	True	3.0	True	True
marine	gold	s2__Otu4.0	Otu4.0	True	3.0	True	True
marine	gold	s2__Otu467	Otu467	True	2.0	True	True
marine	gold	s2__Otu473	Otu473	True	3.0	True	True
marine	gold	s2__Otu605	Otu605	True	3.0	True	True
marine	gold	s3__Otu110.0	Otu110.0	True	3.0	True	True
marine	gold	s3__Otu20	Otu20	True	3.0	True	True
marine	gold	s3__Otu203	Otu203	True	2.0	True	True
marine	gold	s3__Otu279	Otu279	True	2.0	True	True
marine	gold	s3__Otu318.0	Otu318.0	True	2.0	True	True
marine	gold	s3__Otu323.0	Otu323.0	True	2.0	True	True
marine	gold	s3__Otu44.0	Otu44.0	True	2.0	True	True
marine	gold	s3__Otu450.0	Otu450.0	True	3.0	True	True
marine	gold	s3__Otu581	Otu581	True	2.0	True	True
marine	gold	s3__Otu778	Otu778	True	2.0	True	True
marine	gold	s3__Otu839	Otu839	True	2.0	True	True
marine	gold	s4__Otu1180.0	Otu1180.0	True	3.0	True	True
marine	gold	s4__Otu128	Otu128	True	3.0	True	True
marine	gold	s4__Otu1472	Otu1472	True	2.0	True	True
marine	gold	s4__Otu152	Otu152	True	3.0	True	True
marine	gold	s4__Otu183.0	Otu183.0	True	2.0	True	True
marine	gold	s4__Otu1918	Otu1918	True	2.0	True	True
marine	gold	s4__Otu220.0	Otu220.0	True	3.0	True	True
marine	gold	s4__Otu254	Otu254	True	2.0	True	True
marine	gold	s4__Otu47.0	Otu47.0	True	3.0	True	True
marine	gold	s4__Otu596	Otu596	True	2.0	True	True
marine	gold	s4__Otu716.0	Otu716.0	True	3.0	True	True
marine	gold	s4__Otu843	Otu843	True	2.0	True	True
marine	gold	s5__Otu108.1	Otu108.1	True	2.0	True	True
marine	gold	s5__Otu163	Otu163	True	3.0	True	True
marine	gold	s5__Otu183.0	Otu183.0	True	2.0	True	True
marine	gold	s5__Otu203	Otu203	True	2.0	True	True
marine	gold	s5__Otu22	Otu22	True	3.0	True	True
marine	gold	s5__Otu255	Otu255	True	3.0	True	True
marine	gold	s5__Otu289	Otu289	True	3.0	True	True
marine	gold	s5__Otu331.0	Otu331.0	True	2.0	True	True
marine	gold	s5__Otu395	Otu395	True	3.0	True	True
marine	gold	s5__Otu44.0	Otu44.0	True	3.0	True	True
marine	gold	s5__Otu79.1	Otu79.1	True	3.0	True	True
marine	gold	s5__Otu86.0	Otu86.0	True	3.0	True	True
marine	gold	s5__Otu88.0	Otu88.0	True	3.0	True	True
marine	gold	s6__Otu1142.0	Otu1142.0	True	2.0	True	True
marine	gold	s6__Otu1860	Otu1860	True	3.0	True	True
marine	gold	s6__Otu214.0	Otu214.0	True	3.0	True	True
marine	gold	s6__Otu219.0	Otu219.0	True	3.0	True	True
marine	gold	s6__Otu230.0	Otu230.0	True	3.0	True	True
marine	gold	s6__Otu316.0	Otu316.0	True	2.0	True	True
marine	gold	s6__Otu4.0	Otu4.0	True	3.0	True	True
marine	gold	s6__Otu525.0	Otu525.0	True	3.0	True	True
marine	gold	s6__Otu597.0	Otu597.0	True	2.0	True	True
marine	gold	s6__Otu79.1	Otu79.1	True	2.0	True	True
marine	gold	s6__Otu800.0	Otu800.0	True	3.0	True	True
marine	gold	s6__Otu928.0	Otu928.0	True	2.0	True	True
marine	gold	s6__Otu980	Otu980	True	3.0	True	True
marine	gold	s7__Otu116.0	Otu116.0	True	3.0	True	True
marine	gold	s7__Otu119.0	Otu119.0	True	3.0	True	True
marine	gold	s7__Otu149	Otu149	True	3.0	True	True
marine	gold	s7__Otu316.0	Otu316.0	True	2.0	True	True
marine	gold	s7__Otu352.1	Otu352.1	True	3.0	True	True
marine	gold	s7__Otu523	Otu523	True	2.0	True	True
marine	gold	s7__Otu525.0	Otu525.0	True	3.0	True	True
marine	gold	s7__Otu595.0	Otu595.0	True	2.0	True	True
marine	gold	s7__Otu683.0	Otu683.0	True	3.0	True	True
marine	gold	s7__Otu797	Otu797	True	2.0	True	True
marine	gold	s7__Otu980	Otu980	True	2.0	True	True
marine	gold	s8__Otu130.0	Otu130.0	True	3.0	True	True
marine	gold	s8__Otu159	Otu159	True	2.0	True	True
marine	gold	s8__Otu203	Otu203	True	2.0	True	True
marine	gold	s8__Otu2052	Otu2052	True	2.0	True	True
marine	gold	s8__Otu212.0	Otu212.0	True	2.0	True	True
marine	gold	s8__Otu453	Otu453	True	3.0	True	True
marine	gold	s8__Otu491.0	Otu491.0	True	2.0	True	True
marine	gold	s8__Otu496.0	Otu496.0	True	3.0	True	True
marine	gold	s8__Otu54	Otu54	True	2.0	True	True
marine	gold	s8__Otu595.0	Otu595.0	True	3.0	True	True
marine	gold	s8__Otu894.0	Otu894.0	True	3.0	True	True
marine	gold	s9__Otu1156	Otu1156	True	3.0	True	True
marine	gold	s9__Otu1297	Otu1297	True	3.0	True	True
marine	gold	s9__Otu136	Otu136	True	3.0	True	True
marine	gold	s9__Otu150.0	Otu150.0	True	3.0	True	True
marine	gold	s9__Otu152	Otu152	True	3.0	True	True
marine	gold	s9__Otu157.0	Otu157.0	True	2.0	True	True
marine	gold	s9__Otu26.0	Otu26.0	True	3.0	True	True
marine	gold	s9__Otu46	Otu46	True	3.0	True	True
marine	gold	s9__Otu605	Otu605	True	3.0	True	True
marine	gold	s0__Otu107	Otu107	True	3.0	True	True
marine	gold	s0__Otu1278.0	Otu1278.0	True	3.0	True	True
marine	gold	s0__Otu150.0	Otu150.0	True	3.0	True	True
marine	gold	s0__Otu26.0	Otu26.0	True	3.0	True	True
marine	gold	s0__Otu453	Otu453	True	3.0	True	True
marine	gold	s2__Otu107	Otu107	True	3.0	True	True
marine	gold	s2__Otu2297	Otu2297	True	2.0	True	True
marine	gold	s3__Otu196	Otu196	True	3.0	True	True
marine	gold	s3__Otu395	Otu395	True	2.0	True	True
marine	gold	s3__Otu68	Otu68	True	3.0	True	True
marine	gold	s4__Otu352.1	Otu352.1	True	3.0	True	True
marine	gold	s5__Otu68	Otu68	True	3.0	True	True
marine	gold	s6__Otu2016.0	Otu2016.0	True	2.0	True	True
marine	gold	s7__Otu370.1	Otu370.1	True	2.0	True	True
marine	gold	s7__Otu594	Otu594	True	3.0	True	True
marine	gold	s8__Otu255	Otu255	True	3.0	True	True
marine	gold	s9__Otu1129	Otu1129	True	3.0	True	True
marine	gold	s9__Otu122.0	Otu122.0	True	3.0	True	True
marine	gold	s9__Otu133.0	Otu133.0	True	3.0	True	True
marine	gold	s9__Otu1607	Otu1607	True	2.0	True	True
marine	gold	s9__Otu1876	Otu1876	True	3.0	True	True
marine	mixed	s0__Otu1089__X__Otu122.0__c75__k15__phylum	Otu1089	True	2.0	True	True
marine	mixed	s0__Otu1487__X__Otu336__c60__k20__phylum	Otu1487	True	2.0	True	True
marine	mixed	s0__Otu235.0__X__Otu683.0__c60__k15__phylum	Otu235.0	True	3.0	True	True
marine	mixed	s0__Otu23__X__Otu800.0__c75__k10__class	Otu23	True	3.0	True	True
marine	mixed	s0__Otu24.0__X__Otu222.0__c90__k10__phylum	Otu24.0	True	3.0	True	True
marine	mixed	s0__Otu292.0__X__Otu122.0__c60__k20__family	Otu292.0	True	2.0	True	True
marine	mixed	s0__Otu47.0__X__Otu61.0__c90__k20__order	Otu47.0	True	3.0	True	True
marine	mixed	s0__Otu6__X__Otu22__c90__k2__order	Otu6	True	3.0	True	True
marine	mixed	s1__Otu1065__X__Otu958__c60__k15__class	Otu1065	True	3.0	True	True
marine	mixed	s1__Otu159__X__Otu352.1__c75__k20__class	Otu159	True	3.0	True	True
marine	mixed	s1__Otu185.0__X__Otu1270__c90__k5__class	Otu185.0	True	3.0	True	True
marine	mixed	s1__Otu226__X__Otu1498__c60__k2__family	Otu226	True	2.0	True	True
marine	mixed	s1__Otu683.0__X__Otu212.0__c75__k5__family	Otu683.0	True	2.0	True	True
marine	mixed	s1__Otu683.0__X__Otu220.0__c60__k20__class	Otu683.0	True	2.0	True	True
marine	mixed	s1__Otu6__X__Otu972__c75__k10__genus	Otu6	True	3.0	True	True
marine	mixed	s1__Otu86.0__X__Otu116.0__c90__k10__order	Otu86.0	True	3.0	True	True
marine	mixed	s1__Otu86.0__X__Otu336__c90__k20__phylum	Otu86.0	True	2.0	True	True
marine	mixed	s1__Otu90.0__X__Otu61.1__c75__k2__class	Otu90.0	True	3.0	True	True
marine	mixed	s2__Otu107__X__Otu536__c75__k5__family	Otu107	True	3.0	True	True
marine	mixed	s2__Otu1180.0__X__Otu532__c75__k15__order	Otu1180.0	True	3.0	True	True
marine	mixed	s2__Otu1270__X__Otu1548.1__c75__k15__phylum	Otu1270	True	2.0	True	True
marine	mixed	s2__Otu1769__X__Otu1596__c60__k2__genus	Otu1769	True	3.0	True	True
marine	mixed	s2__Otu185.0__X__Otu53.0__c60__k5__phylum	Otu185.0	True	3.0	True	True
marine	mixed	s2__Otu212.0__X__Otu1548.1__c60__k10__order	Otu212.0	True	2.0	True	True
marine	mixed	s2__Otu219.0__X__Otu61.0__c60__k2__phylum	Otu219.0	True	3.0	True	True
marine	mixed	s2__Otu23__X__Otu1132__c90__k2__family	Otu23	True	3.0	True	True
marine	mixed	s2__Otu23__X__Otu1970__c90__k15__family	Otu23	True	2.0	True	True
marine	mixed	s2__Otu254__X__Otu1455__c75__k5__order	Otu254	True	2.0	True	True
marine	mixed	s2__Otu255__X__Otu1569__c75__k10__phylum	Otu255	True	3.0	True	True
marine	mixed	s2__Otu255__X__Otu254__c90__k5__genus	Otu255	True	3.0	True	True
marine	mixed	s2__Otu68__X__Otu1111__c60__k5__family	Otu68	True	3.0	True	True
marine	mixed	s2__Otu796__X__Otu203__c75__k15__family	Otu796	True	2.0	True	True
marine	mixed	s2__Otu86.0__X__Otu634.0__c75__k5__phylum	Otu86.0	True	3.0	True	True
marine	mixed	s3__Otu110.0__X__Otu76.0__c75__k15__order	Otu110.0	True	2.0	True	True
marine	mixed	s3__Otu149__X__Otu393.0__c60__k2__class	Otu149	True	3.0	True	True
marine	mixed	s3__Otu241.0__X__Otu454.0__c90__k10__family	Otu241.0	True	2.0	True	True
marine	mixed	s3__Otu26.0__X__Otu800.0__c60__k2__family	Otu26.0	True	2.0	True	True
marine	mixed	s3__Otu289__X__Otu220.0__c60__k20__phylum	Otu289	True	2.0	True	True
marine	mixed	s3__Otu292.0__X__Otu1777__c90__k20__phylum	Otu292.0	True	2.0	True	True
marine	mixed	s3__Otu4.0__X__Otu1080__c90__k2__class	Otu4.0	True	3.0	True	True
marine	mixed	s3__Otu523__X__Otu384.0__c75__k15__class	Otu523	True	2.0	True	True
marine	mixed	s3__Otu595.0__X__Otu1769__c75__k15__class	Otu595.0	True	2.0	True	True
marine	mixed	s3__Otu595.0__X__Otu352.1__c60__k20__order	Otu595.0	True	3.0	True	True
marine	mixed	s3__Otu68__X__Otu707__c60__k20__species	Otu68	True	2.0	True	True
marine	mixed	s3__Otu980__X__Otu1182__c75__k5__class	Otu980	True	2.0	True	True
marine	mixed	s4__Otu105.0__X__Otu76.0__c90__k10__order	Otu105.0	True	2.0	True	True
marine	mixed	s4__Otu1111__X__Otu692__c75__k5__genus	Otu1111	True	2.0	True	True
marine	mixed	s4__Otu1180.0__X__Otu635__c90__k5__order	Otu1180.0	True	3.0	True	True
marine	mixed	s4__Otu122.0__X__Otu472.1__c90__k2__family	Otu122.0	True	3.0	True	True
marine	mixed	s4__Otu133.0__X__Otu85.0__c75__k20__family	Otu133.0	True	3.0	True	True
marine	mixed	s4__Otu157.0__X__Otu800.0__c60__k15__order	Otu157.0	True	3.0	True	True
marine	mixed	s4__Otu219.0__X__Otu4.0__c75__k15__order	Otu219.0	True	2.0	True	True
marine	mixed	s4__Otu220.0__X__Otu86.0__c60__k5__phylum	Otu220.0	True	3.0	True	True
marine	mixed	s4__Otu230.1__X__Otu664.0__c75__k20__phylum	Otu230.1	True	2.0	True	True
marine	mixed	s4__Otu44.0__X__Otu842.0__c90__k2__genus	Otu44.0	True	3.0	True	True
marine	mixed	s4__Otu716.0__X__Otu719.0__c75__k2__class	Otu716.0	True	3.0	True	True
marine	mixed	s4__Otu76.0__X__Otu852.0__c60__k10__phylum	Otu76.0	True	3.0	True	True
marine	mixed	s4__Otu843__X__Otu937__c60__k5__genus	Otu843	True	2.0	True	True
marine	mixed	s5__Otu139__X__Otu2090__c60__k2__species	Otu139	True	3.0	True	True
marine	mixed	s5__Otu157.0__X__Otu116.0__c60__k10__genus	Otu157.0	True	3.0	True	True
marine	mixed	s5__Otu230.1__X__Otu199.0__c90__k10__order	Otu230.1	True	3.0	True	True
marine	mixed	s5__Otu289__X__Otu1153__c75__k5__phylum	Otu289	True	2.0	True	True
marine	mixed	s5__Otu47.0__X__Otu61.0__c90__k10__order	Otu47.0	True	3.0	True	True
marine	mixed	s5__Otu53.0__X__Otu72.0__c90__k2__family	Otu53.0	True	3.0	True	True
