dataset	tool	distance_rank	n	n_clusters	cont_bias	cont_bias_lo	cont_bias_hi	cont_mae	slope	slope_lo	slope_hi	filter	note	denominator
marine	CheckM2	class	155	89	-5.795426014269019	-6.626030906286335	-4.918944094883169	6.402118331362549	0.2643936770963974	0.19525754594919165	0.3277358896934935	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	CheckM2	phylum	164	95	-5.56910945070778	-6.444885889616408	-4.712151038680259	6.252073956948706	0.2224893256128659	0.14646548600492834	0.30758744639462016	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	CoCoPyE	species	147	85	-2.293909168606515	-6.008625837253743	1.284264782208687	14.063815103583124	-0.42821046552281505	-0.6737069242034068	-0.15550017440398844	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	CoCoPyE	genus	143	74	11.477586295950514	9.977370323172446	12.979271120374369	11.583890876103917	0.7214543706348584	0.5427851993627206	0.899028162322267	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	CoCoPyE	family	165	85	10.82976337342681	9.190453875533294	12.558273762455553	11.454885809708324	0.6327461723677658	0.4267901917515139	0.8203950127152925	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	CoCoPyE	order	137	69	9.511483970065665	8.162808343559924	11.008903418703435	9.822071007361501	0.7352185380731184	0.5785649594831898	0.8949285912363167	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	CoCoPyE	class	155	89	10.566737417999294	9.23471115683244	12.086913071973523	10.717064179825151	0.6232737600064315	0.4531714138395219	0.7855610006939523	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	CoCoPyE	phylum	164	95	10.622115564085664	9.271218680155961	12.013961106104102	10.990274639598292	0.5800682571604225	0.4124163369402093	0.7481351611066112	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	DeepCheck	species	147	85	-8.342517719280094	-9.99373097317686	-6.711875601584928	8.673069216081675	0.06603363815824734	0.004576880019280188	0.15139195379846584	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	DeepCheck	genus	143	74	-5.060582269014324	-6.088174871861375	-4.112020172268129	5.585545653031968	0.3190422102539345	0.23452064671836897	0.4058228899527574	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	DeepCheck	family	165	85	-5.633300690705026	-6.609710000067074	-4.752837173612352	6.169215332383868	0.28820553562954354	0.20695928972313982	0.360793087360568	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	DeepCheck	order	137	69	-5.289196785632325	-6.191481113733583	-4.385822449856475	5.759876437817176	0.2971361040757002	0.20617987545548022	0.3931137273070683	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	DeepCheck	class	155	89	-6.306142400917936	-7.2225496109068015	-5.412140441694661	6.873330317383085	0.1999173534438251	0.15060463204072863	0.2508910947623693	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	DeepCheck	phylum	164	95	-6.2359945595465	-7.175839273661475	-5.340414198897934	6.701032369725733	0.1676071983361246	0.10436827865542125	0.2434931668409098	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	MAGICC_V5	species	372	205	-8.137793636491557	-8.737299658520827	-7.5094873434224745	8.699871685993145	0.3700779765954014	0.26616248346027527	0.4817660523683953	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	MAGICC_V5	genus	360	160	-7.955010121003864	-8.619583516625102	-7.273234552539083	8.136356378790286	0.35626048043829667	0.2545285506578477	0.45734831087101413	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	MAGICC_V5	family	370	177	-2.928371540486269	-3.5169217149464527	-2.3853105432117	4.009864362024521	0.9177275800124373	0.8315144910219902	1.0020443279437217	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	MAGICC_V5	order	372	155	-1.6675392186917255	-2.0052339638585845	-1.2991803535410091	2.492584139038443	1.020258114360579	0.9752389566247182	1.0635269698607652	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	MAGICC_V5	class	369	151	-0.8357702350255659	-1.1050406878339494	-0.5622652115608211	1.7745093350661112	1.0617134527275203	1.0326255734880758	1.0906524072990091	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	MAGICC_V5	phylum	375	162	-0.4222671252282937	-0.7481286527669435	-0.04308091246765419	1.506409742666423	1.040369377606078	1.0065743083482983	1.0798997305643399	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	CheckM2	species	372	205	-4.496833054384029	-4.990298903562684	-3.978483217371205	5.291877276197101	0.3929874708271464	0.34287075396692784	0.44920745332633244	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	CheckM2	genus	360	160	-4.059850393631642	-4.6257787976592475	-3.5312922134787454	5.050226895543113	0.42884483875010343	0.3658880524315013	0.4927353210516166	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	CheckM2	family	370	177	-4.782865013351134	-5.324455655427843	-4.290385310610912	5.477169030968359	0.40751309105339356	0.3505376807717467	0.46211226354249446	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	CheckM2	order	372	155	-5.856269285140651	-6.426338046920642	-5.252752786736923	6.39663376885733	0.2767236264899754	0.22551150040737777	0.3299530876220108	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	CheckM2	class	369	151	-5.718682078521501	-6.302087659694481	-5.167294610645667	6.204565594499465	0.2903057776674669	0.24836447549043625	0.33475754009012815	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	CheckM2	phylum	375	162	-6.69784539597496	-7.321035711304243	-6.064966636848235	7.120917300125123	0.16054812226723153	0.12136088720052543	0.2052585869570224	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	CoCoPyE	species	372	205	12.930737283499848	12.15569033416637	13.691995196208078	13.011620322658878	0.745556942478019	0.6366119622755695	0.8557481401645826	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	CoCoPyE	genus	360	160	12.68292837936259	11.888200902966801	13.519110656302086	12.816824265475033	0.578612472450612	0.4768394461601279	0.677177476775828	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	CoCoPyE	family	370	177	12.425053747161733	11.576310541585267	13.231766605937548	12.48497474250042	0.823511688998609	0.7003699214967948	0.9396062025382306	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	CoCoPyE	order	372	155	11.166325345354057	10.344121116937304	12.112017280750328	11.568227031985707	0.7434865253497319	0.6394138083420269	0.8467088569808157	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	CoCoPyE	class	369	151	11.448251122002226	10.6331917252124	12.247493709945424	11.588229634215025	0.723003848206452	0.6117785343221445	0.8302338581851997	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	CoCoPyE	phylum	375	162	9.446728554167205	8.395715043405865	10.614509250814224	10.094976070418227	0.6282679640235989	0.5099586836126817	0.7447615709666123	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	DeepCheck	species	372	205	-5.182534451555934	-5.678338227634451	-4.675036340922732	5.626626247801189	0.36811496540846367	0.3237363827697663	0.41320617390203906	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	DeepCheck	genus	360	160	-4.575911124148552	-5.163162297501276	-3.9881050888740117	5.4613874545700165	0.3619660758868438	0.29725046646185277	0.4297988797782549	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	DeepCheck	family	370	177	-5.690635972854076	-6.184507315803646	-5.228856790306369	6.12525737728493	0.31230020396792013	0.2666261580536752	0.35933509445036277	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	DeepCheck	order	372	155	-6.286789210784971	-6.824346935927784	-5.693559211760106	6.721879939974023	0.22620956395241146	0.18407589626738988	0.2705605121019089	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
strain_madness	DeepCheck	class	369	151	-6.22364962194613	-6.76589106844327	-5.694366642617348	6.614069701787245	0.22813085722491613	0.19668474723236248	0.2591429515907703	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
